"Scenario","EP_CrpLnd_im","EP_GrsLnd_im","EP_NatLnd_im","EP_CrpLnd_EU","EP_GrsLnd_EU","EP_NatLnd_EU"
"RCP_MFM_AF0",4.210684761944,0.8555786638798,1.8324873615176,6.991022732568,2.569055248093,3.424556112305
"RCP_MFM_AF100",6.7850240012,1.5476683332,2.920172409868,8.226326653263,2.966618595861,3.763025242563
"RCP_MFM_AF25",4.833933875,1.03322097401,2.13057706848,7.538079128066,2.74461710462,3.490621171827
"RCP_MFM_AF50",5.4852318798,1.18471260882,2.3676202252,7.726309226221,2.822949208343,3.598785328634
"RCP_MFM_AF75",5.90132457697,1.3055989750617,2.5472876256455,8.287514347918,2.948127596691,3.696306191918
"RCP_MFM_noAF",4.7691370379,0.965661184605,2.0885427200868,7.577914362326,2.775757786154,3.49915729905
"RCP_SFM_AF0",4.161223579065,0.835243546264,1.782391349224,7.101063027445,2.624675756533,3.407307946287
"RCP_SFM_AF100",9.157464858424,2.467116626622,4.268156306411,9.445177057806,3.427344013253,4.091488893752
"RCP_SFM_AF25",5.4840439975,1.174337489416,2.4003517034,7.940112752271,2.869489659565,3.613781009534
"RCP_SFM_AF50",6.78459541955,1.511310233413,2.932516726113,8.459370171056,3.04428100449,3.813633732358
"RCP_SFM_AF75",8.166383928465,2.100036717787,3.704395895585,8.972685881262,3.275969177119,3.949867410485
"RCP_SFM_noAF",4.7539779107,0.967600995187,2.080757000542,7.577844411106,2.775329291514,3.49811013581
"REF_MFM_AF0",0.76458587281,0.317863756595,0.398376419276,2.088032479281,0.861515084852,1.335395321786
"REF_MFM_AF100",0.83457309403,0.37051616623,0.455728099771,2.720604947543,1.003974037102,1.504491079884
"REF_MFM_AF25",0.67120015043,0.279308538777,0.362571953724,2.118468450514,0.86143104916,1.372102054401
"REF_MFM_AF50",0.75651554129,0.291769570666,0.372847434026,2.197645344849,0.92189907881,1.421531331887
"REF_MFM_AF75",0.58869095966,0.22642861072,0.29753820779,2.448927735779,0.978689745207,1.452901422916
"REF_MFM_noAF",0.566761285006,0.21240995818,0.2968840748555,2.306460241107,0.953899831559,1.465194985391
"REF_SFM_AF0",0.60661214621,0.22475345985,0.29598834282,2.085501690571,0.855909377935,1.338616518016
"REF_SFM_AF100",2.0283548057,0.83916098159,1.06025247035,3.829553040992,1.391447098139,1.759342205878
"REF_SFM_AF25",0.7781981949,0.320881799817,0.418461067365,2.254933233716,0.942492812854,1.418274252699
"REF_SFM_AF50",0.8914060609,0.38051114237,0.47794033006,2.766085169023,1.139710434321,1.580799415063
"REF_SFM_AF75",1.1750087559,0.44897588582,0.55306855634,3.215656144491,1.258643104957,1.688251331396
"REF_SFM_noAF",0.86350012397,0.3801883627336,0.456273195482,2.310495830574,0.953782525168,1.462406750873
