"Group","Scenario","Values","lower95","upper95"
"RCP2.6_MFM","noAFM",200.159291593332,0,0
"RCP2.6_SFM","noAFM",200.519669721859,0,0
"REF_MFM","noAFM",172.87550218872,0,0
"REF_SFM","noAFM",173.44913447095,0,0
"RCP2.6_MFM","AFMfree",197.58281063998,0,0
"RCP2.6_SFM","AFMfree",214.766955929483,0,0
"REF_MFM","AFMfree",169.167928574588,0,0
"REF_SFM","AFMfree",182.915718882283,0,0
"RCP2.6_MFM","AFM25",199.592479415314,0,0
"RCP2.6_SFM","AFM25",202.75678933504,0,0
"REF_MFM","AFM25",170.980720417344,0,0
"REF_SFM","AFM25",170.017678549896,0,0
"RCP2.6_MFM","AFM50",200.002347142375,0,0
"RCP2.6_SFM","AFM50",185.257693328667,0,0
"REF_MFM","AFM50",171.551031762361,0,0
"REF_SFM","AFM50",154.727032735091,0,0
"RCP2.6_MFM","AFM75",200.524976840683,0,0
"RCP2.6_SFM","AFM75",166.641944331677,0,0
"REF_MFM","AFM75",172.144426333598,0,0
"REF_SFM","AFM75",138.224984966719,0,0
"RCP2.6_MFM","AFM100",200.834675590769,0,0
"RCP2.6_SFM","AFM100",148.632873935156,0,0
"REF_MFM","AFM100",174.29700505333,0,0
"REF_SFM","AFM100",117.69868402693,0,0
