"Scenario","Ecoregion","A_org","A_new","Annual","Permanent","Pasture","Urban","Clearcut","Retention","PlantationFuel","SelectionSystem","SelectiveLogging","Afforested","ForExtensive","ForIntensive"
"REF_MFM_noAF","AA0101",0.216478411,0,0.000685006,0.00160622,0.020621032,0,0,0,0,0,0,0,0.186949821,0.006616331
"REF_MFM_noAF","AA0102",0.68796177,0.020366452,0.12851107,0.106127426,0.018075226,0.004158151,0,0,0,0,0,0,0.379838253,0.030885192
"REF_MFM_noAF","AA0103",0.267903701,0,0.002206366,0,0,0.02376086,0,0,0,0,0,0,0.223743566,0.018192909
"REF_MFM_noAF","AA0104",0.85343919,0.023336559,0.023145936,0.019114451,0.020790753,0.034368387,0,0,0,0,0,0,0.677587495,0.055095608
"REF_MFM_noAF","AA0105",17.23018794,2.590782389,0.090245345,0.093816463,5.193530068,0.205701163,0,0,0,0,0,0,8.60856566,0.44754685
"REF_MFM_noAF","AA0106",2.605887507,0.68813149,0.076037653,0.06279366,0.009843785,0.160894969,0,0,0,0,0,0,1.48725511,0.12093084
"REF_MFM_noAF","AA0107",1.675819542,0.369990541,0.006621721,0.015526795,0.36167424,0,0,0,0,0,0,0,0.890490928,0.031515317
"REF_MFM_noAF","AA0108",1.044714117,0.009589204,0.0037647,0.003108977,0.811942545,0.005855355,0,0,0,0,0,0,0.194627865,0.01582547
"REF_MFM_noAF","AA0110",0.150032862,0,0,0,0.019942151,0,0,0,0,0,0,0,0.125644049,0.004446662
"REF_MFM_noAF","AA0111",3.375909105,1.17972672,0.006088939,0.014277513,0.005431054,0.044975914,0,0,0,0,0,0,2.052759851,0.072649114
"REF_MFM_noAF","AA0112",1.26221085,0.776131534,0,0,0.118634582,0,0,0,0,0,0,0,0.354885018,0.012559717
"REF_MFM_noAF","AA0113",1.454164658,0.422773595,0,0,0.197639443,0.006109936,0,0,0,0,0,0,0.807356349,0.020285335
"REF_MFM_noAF","AA0115",13.49950746,0.871853857,0.02032004,0.019818842,0.05906271,0.028428172,0,0,0,0,0,0,11.82929729,0.670726549
"REF_MFM_noAF","AA0116",2.326188236,0.11778598,0.017965426,0.026331607,0.201288432,0.005261333,0,0,0,0,0,0,1.827092117,0.130463341
"REF_MFM_noAF","AA0117",3.281883986,1.166997688,0.040882155,0.00035991,0.969527966,0.060759915,0,0,0,0,0,0,1.029593151,0.013763203
"REF_MFM_noAF","AA0118",1.922593049,0.028003871,0.044386283,0.036655223,0.064493764,0.046079097,0,0,0,0,0,0,1.574916128,0.128058683
"REF_MFM_noAF","AA0119",3.489197493,0.397485251,0.004838268,0.01807399,0.013747355,0.003564129,0,0,0,0,0,0,2.970697177,0.080791323
"REF_MFM_noAF","AA0120",7.93527878,1.959676964,0.002055017,0.004818661,0.878812395,0.050491828,0,0,0,0,0,0,4.867170157,0.172253759
"REF_MFM_noAF","AA0121",10.0121477,5.830321127,0.350024185,0.289058101,0.065002925,0.024354882,0,0,0,0,0,0,3.237858058,0.215528424
"REF_MFM_noAF","AA0122",12.40783645,9.443159955,0.162765196,0.134415279,0.12983613,0.025627785,0,0,0,0,0,0,2.34702225,0.165009859
"REF_MFM_noAF","AA0123",11.43185911,0.521296306,1.764436081,1.457112292,0.155803356,0.835109384,0,0,0,0,0,0,6.194424202,0.503677492
"REF_MFM_noAF","AA0124",7.682904498,0.7235182,0.773436789,0.638722062,0.204088819,0.336470756,0,0,0,0,0,0,4.630181215,0.376486657
"REF_MFM_noAF","AA0125",0.426592305,0.016887183,0,0,0.063390581,0.037083914,0,0,0,0,0,0,0.29866074,0.010569886
"REF_MFM_noAF","AA0126",1.393235023,0.101577678,0.013529927,0.0597893,0.195093636,0.031737721,0,0,0,0,0,0,0.991506762,0
"REF_MFM_noAF","AA0127",2.207214213,0.267903701,0.030489426,0.025178876,0.547602973,0.005685634,0,0,0,0,0,0,1.230314936,0.100038667
"REF_MFM_noAF","AA0128",7.640050089,1.881860146,0.090631677,0.074845744,0.037338495,0.098013549,0,0,0,0,0,0,5.046983066,0.410377412
"REF_MFM_noAF","AA0201",3.942435906,0.089866969,0.979937579,0.809255211,0.140528517,0.208840991,0,0,0,0,0,0,1.585118395,0.128888244
"REF_MFM_noAF","AA0202",0.435248047,0.00772228,0,0,0.234553636,0.007467699,0,0,0,0,0,0,0.180957754,0.004546677
"REF_MFM_noAF","AA0203",1.090708354,0,0.556989753,0.459975073,0.043703011,0,0,0,0,0,0,0,0.027781558,0.002258958
"REF_MFM_noAF","AA0204",3.350620761,0.03555643,0.899902837,0.743160662,0.111845764,0.185674152,0,0,0,0,0,0,1.271124004,0.103356911
"REF_MFM_noAF","AA0401",0.123556474,0,0,0,0.123556474,0,0,0,0,0,0,0,0,0
"REF_MFM_noAF","AA0402",22.1765202,5.758359664,2.178026241,0.019174467,9.027344897,1.130762376,0,0,0,0,0,0,4.009258339,0.053594213
"REF_MFM_noAF","AA0403",1.888988404,0.215290367,0.076309978,0.011520345,1.582473304,0,0,0,0,0,0,0,0.002390218,0.001004191
"REF_MFM_noAF","AA0404",1.482847411,0.614981984,0.007004298,0.001057423,0.767051491,0,0,0,0,0,0,0,0.065312703,0.027439513
"REF_MFM_noAF","AA0405",8.340656031,0.655460307,2.054249869,0.310125464,4.82489729,0.232601852,0,0,0,0,0,0,0.185421151,0.077900099
"REF_MFM_noAF","AA0406",2.963403596,0.028767613,0.770693916,0.11634992,1.858947887,0.136540087,0,0,0,0,0,0,0.036689844,0.015414328
"REF_MFM_noAF","AA0407",0.1416317,0.075949893,0.007078027,0.001068554,0.050916129,0,0,0,0,0,0,0,0.004660925,0.001958172
"REF_MFM_noAF","AA0408",1.28189842,0.264509293,0.225169733,0.033993366,0.733786286,0.019348129,0,0,0,0,0,0,0.003585327,0.001506286
"REF_MFM_noAF","AA0409",27.23834721,4.865715054,15.77327748,0.13886159,3.671392377,0.64086435,0,0,0,0,0,0,2.119898382,0.028337981
"REF_MFM_noAF","AA0410",1.177180914,0.003733849,0.63532665,0.09591383,0.428968391,0.013238194,0,0,0,0,0,0,0,0
"REF_MFM_noAF","AA0411",1.960949867,0.122113851,0.87383503,0.007692892,0.801674459,0.056092603,0,0,0,0,0,0,0.09822796,0.001313073
"REF_MFM_noAF","AA0412",2.606651249,0.289033895,0.719896052,0.006337675,1.513651669,0.01179557,0,0,0,0,0,0,0.065066603,0.000869785
"REF_MFM_noAF","AA0413",3.127098952,0.213678023,0.918754928,0.008088349,1.872949823,0.021469635,0,0,0,0,0,0,0.09094251,0.001215684
"REF_MFM_noAF","AA0414",0.521805467,0.073149506,0.000678882,0,0.421670412,0,0,0,0,0,0,0,0.018524188,0.007782478
"REF_MFM_noAF","AA0701",15.30885652,0.078156259,0,0,15.21500112,0.01569914,0,0,0,0,0,0,0,0
"REF_MFM_noAF","AA0702",34.22293468,0.488031101,2.857881334,0.025159638,30.76725697,0.069415657,0,0,0,0,0,0,0.014989603,0.000200375
"REF_MFM_noAF","AA0703",11.52665803,0.462318456,0.085297335,0.000750923,10.9591129,0,0,0,0,0,0,0,0.018925421,0.000252988
"REF_MFM_noAF","AA0704",35.78334465,0.002800387,0.504633841,0.004442593,35.27146783,0,0,0,0,0,0,0,0,0
"REF_MFM_noAF","AA0705",12.84683923,0.096910366,0.022544069,0.000198469,12.70537725,0,0,0,0,0,0,0,0.021521386,0.00028769
"REF_MFM_noAF","AA0706",34.58597893,0.097504388,0,0,34.47922478,0.008486022,0,0,0,0,0,0,0.000763742,0
"REF_MFM_noAF","AA0707",46.18506209,0,2.501129855,0.022018941,43.65427587,0.007637419,0,0,0,0,0,0,0,0
"REF_MFM_noAF","AA0708",2.671993615,0.562962672,0.073789615,0.066738902,0.159791786,0.075610452,0,0,0,0,0,0,1.653467577,0.07963261
"REF_MFM_noAF","AA0709",22.62172422,0.007128258,0,0,22.61459596,0,0,0,0,0,0,0,0,0
"REF_MFM_noAF","AA0801",5.279069165,0,2.226481858,0.336126939,2.630157529,0.086302839,0,0,0,0,0,0,0,0
"REF_MFM_noAF","AA0802",25.42110854,0,2.957479012,0.026036455,22.43759308,0,0,0,0,0,0,0,0,0
"REF_MFM_noAF","AA0803",32.36599315,0.320347315,12.07949908,0.106343051,19.79811033,0.05108585,0,0,0,0,0,0,0.0104676,0.000139927
"REF_MFM_noAF","AA1001",1.223854032,0.802523061,0.013543265,0.000119229,0.356752347,0,0,0,0,0,0,0,0.050244481,0.000671649
"REF_MFM_noAF","AA1002",1.660205262,0.190596045,0.002277411,0.001880739,1.295221474,0.006873677,0,0,0,0,0,0,0.157453152,0.005902764
"REF_MFM_noAF","AA1003",4.014397369,0.051679871,0.127551944,0.019256229,3.814636421,0,0,0,0,0,0,0,0.001272903,0
"REF_MFM_noAF","AA1201",13.78287377,0,0.070239916,0.000618364,13.70437807,0.007637419,0,0,0,0,0,0,0,0
"REF_MFM_noAF","AA1202",11.45892952,0.003648989,3.905255223,0.034380296,7.512505185,0.003139828,0,0,0,0,0,0,0,0
"REF_MFM_noAF","AA1203",5.995034806,0.002206366,4.399289987,0.038729579,1.525447239,0.029361635,0,0,0,0,0,0,0,0
"REF_MFM_noAF","AA1204",1.092914719,0.021724215,0.037601488,0.000331028,0.997616697,0.003648989,0,0,0,0,0,0,0.031570282,0.000422019
"REF_MFM_noAF","AA1205",1.680826294,0.000933462,0.603053844,0.005309043,0.909956094,0.15334241,0,0,0,0,0,0,0.008122858,0.000108583
"REF_MFM_noAF","AA1206",2.315410988,0.030379957,1.912039875,0.01683283,0.1495237,0.119398324,0,0,0,0,0,0,0.086085544,0.001150758
"REF_MFM_noAF","AA1207",19.83887583,0.001357763,11.37827759,0.100169779,8.303826697,0.055244,0,0,0,0,0,0,0,0
"REF_MFM_noAF","AA1208",2.738099723,0.126187141,2.250285029,0.019810604,0.32246882,0.000848602,0,0,0,0,0,0,0.018255495,0.000244032
"REF_MFM_noAF","AA1209",16.89006819,0.031568,8.738097938,0.076926699,8.038893103,0.004582452,0,0,0,0,0,0,0,0
"REF_MFM_noAF","AA1210",4.60875832,0,2.133358701,0.018781232,2.400271204,0.041157205,0,0,0,0,0,0,0.014989603,0.000200375
"REF_MFM_noAF","AA1301",8.963360294,0.044551613,0.062248549,0.000548011,8.85558782,0,0,0,0,0,0,0,0.000424301,0
"REF_MFM_noAF","AA1302",28.26067505,0,0,0,28.25295277,0.00772228,0,0,0,0,0,0,0,0
"REF_MFM_noAF","AA1303",15.69784383,0,0,0,15.69784383,0,0,0,0,0,0,0,0,0
"REF_MFM_noAF","AA1304",82.4815662,0.168023227,0,0,82.30751789,0.006025075,0,0,0,0,0,0,0,0
"REF_MFM_noAF","AA1305",42.55770495,0,0.057201369,0.000503578,42.5,0,0,0,0,0,0,0,0,0
"REF_MFM_noAF","AA1306",19.5377628,0,0.011944992,0.000105159,19.52571265,0,0,0,0,0,0,0,0,0
"REF_MFM_noAF","AA1307",18.05865394,0,0,0,18.04397312,0.014680817,0,0,0,0,0,0,0,0
"REF_MFM_noAF","AA1308",58.7259026,0.839012954,0.924643304,0.008140188,56.95410615,0,0,0,0,0,0,0,0,0
"REF_MFM_noAF","AA1309",37.79628999,0.371687745,0.81940961,0.007213753,36.57752757,0.020451312,0,0,0,0,0,0,0,0
"REF_MFM_noAF","AA1310",46.16967024,0,0,0,46.16967024,0,0,0,0,0,0,0,0,0
"REF_MFM_noAF","AA1401",2.707974347,0.846395793,0.027933148,0.023067842,0.085708818,0.021215054,0,0,0,0,0,0,1.587549214,0.116104479
"REF_MFM_noAF","AT0101",10.32519704,0.175236346,3.935977474,0.912341236,2.773146992,0.51892022,0,0,0,0,0,0,0.323202553,1.686372218
"REF_MFM_noAF","AT0102",18.9631184,4.099512165,1.984674949,0.477204772,5.712365427,0.2201274,0,0,0,0,0,0,5.916839113,0.552394579
"REF_MFM_noAF","AT0103",3.929791734,0.042345248,1.877367878,0.301078722,0.231159228,0.305496777,0,0,0,0,0,0,1.172343881,0
"REF_MFM_noAF","AT0104",41.49978227,4.050462961,0.102848686,0.011458024,0.111166883,0.023845721,0,0,0,0,0,0,0,37.2
"REF_MFM_noAF","AT0105",0.248979873,0.035811011,0.071469078,0.04962645,0.062626839,0.018160086,0,0,0,0,0,0,0.007524272,0.003762136
"REF_MFM_noAF","AT0106",2.078141825,0,1.840571778,0.159074348,0.032077162,0.041242065,0,0,0,0,0,0,0.005176473,0
"REF_MFM_noAF","AT0107",5.234093251,0.049812947,2.371003493,0.345881176,0.202815916,0.209095572,0,0,0,0,0,0,2.054569955,0.000914192
"REF_MFM_noAF","AT0108",6.678159543,0.06670013,2.361176747,0.299360739,3.094003468,0.450692606,0,0,0,0,0,0,0.391205422,0.015020431
"REF_MFM_noAF","AT0109",2.371418731,0.18092198,0.303724715,0.045305353,1.100127838,0.028428172,0,0,0,0,0,0,0.706828637,0.006082036
"REF_MFM_noAF","AT0110",9.259352727,0.31050353,0.025349491,0.002824101,0.148335657,0.081380947,0,0,0,0,0,0,0,8.690959002
"REF_MFM_noAF","AT0111",19.11359645,0,9.664187452,8.378303352,0.580443876,0.121350109,0,0,0,0,0,0,0.353469737,0.015841923
"REF_MFM_noAF","AT0112",24.94279351,0.057026065,5.760767645,0.400338603,12.23786144,1.505250508,0,0,0,0,0,0,4.774930911,0.206618337
"REF_MFM_noAF","AT0114",3.11428506,0,0.183243405,0.079398963,2.50083056,0.009928645,0,0,0,0,0,0,0.335456015,0.005427472
"REF_MFM_noAF","AT0115",0.343683874,0.001527484,0.03355927,0.001063698,0.280293293,0.012983613,0,0,0,0,0,0,0.011226104,0.003030412
"REF_MFM_noAF","AT0116",1.76169808,0.001272903,1.214220452,0.038486054,0.278680949,0.077562237,0,0,0,0,0,0,0.119277356,0.032198129
"REF_MFM_noAF","AT0117",11.31891016,0.00390357,3.470257296,0.623399514,4.254891221,0.019263269,0,0,0,0,0,0,2.818679371,0.128515924
"REF_MFM_noAF","AT0118",19.99281226,0.066106108,0.687433224,0.123490998,18.33914124,0.042005807,0,0,0,0,0,0,0.702600268,0.03203462
"REF_MFM_noAF","AT0119",3.007446048,0.010013505,0.372123681,0.025955591,2.419534473,0.012644172,0,0,0,0,0,0,0.146067898,0.021106727
"REF_MFM_noAF","AT0120",0.331294282,0.034962409,0.122435373,0.010116284,0,0.044212172,0,0,0,0,0,0,0.101451674,0.01811637
"REF_MFM_noAF","AT0121",0.115664474,0.004412731,0.008361293,0.001821933,0.006109936,0.014086796,0,0,0,0,0,0,0.080871786,0
"REF_MFM_noAF","AT0122",1.441096185,0,1.007534178,0.087077746,0.12983613,0.09843785,0,0,0,0,0,0,0.113215664,0.004994616
"REF_MFM_noAF","AT0123",6.750799888,0,5.078937666,0.441473952,0.292682884,0.328069594,0,0,0,0,0,0,0.583877481,0.025758309
"REF_MFM_noAF","AT0124",53.4978995,6.501056273,1.935150381,0.215122627,2.237848751,0.308721465,0,0,0,0,0,0,2.326931904,39.9730681
"REF_MFM_noAF","AT0125",11.2706247,0.026391527,2.460954761,0.27638122,5.703794545,0.156482238,0,0,0,0,0,0,2.592976497,0.053643913
"REF_MFM_noAF","AT0126",43.54629115,15.48406761,1.19642429,0.082419162,6.319455411,0.339186283,0,0,0,0,0,0,19.97531178,0.149426613
"REF_MFM_noAF","AT0127",0.193735873,0,0.003945097,0.017694258,0.096401205,0.004497591,0,0,0,0,0,0,0.071197721,0
"REF_MFM_noAF","AT0128",14.64678839,0.233365593,0.40711745,0.050279113,9.4136286,0.163101335,0,0,0,0,0,0,4.36718382,0.012112477
"REF_MFM_noAF","AT0129",12.8808473,5.239778885,0.136859107,0.016143862,1.998542943,0.046588258,0,0,0,0,0,0,0.402830273,5.040103968
"REF_MFM_noAF","AT0130",20.54856182,0.152748388,3.639240413,1.292495889,12.01094522,0.101238237,0,0,0,0,0,0,3.32984148,0.022052184
"REF_MFM_noAF","AT0201",0.412505509,0.010437807,0.048180236,0.003075334,0.019857291,0.006788817,0,0,0,0,0,0,0,0.324166024
"REF_MFM_noAF","AT0202",15.17606155,0.014001936,0.533199566,0.095784353,14.43328008,0,0,0,0,0,0,0,0.095443908,0.004351705
"REF_MFM_noAF","AT0203",3.831099303,0.08239927,0.000339441,0,3.015677489,0,0,0,0,0,0,0,0.7317584,0.000924703
"REF_MFM_noAF","AT0701",66.15125492,6.846776792,1.834756848,0.140449535,41.50091433,0.048030882,0,0,0,0,0,0,13.4110188,2.369307742
"REF_MFM_noAF","AT0702",13.37923134,0,2.545869027,0.109407125,10.71623291,0.006873677,0,0,0,0,0,0,0.000848602,0
"REF_MFM_noAF","AT0704",118.2225069,7.10941916,14.06035283,1.802991608,47.84643735,0.50330594,0,0,0,0,0,0,21.60798716,25.29201284
"REF_MFM_noAF","AT0705",91.90505423,10.93245674,7.247239237,1.004313567,54.49471921,0.13747355,0,0,0,0,0,0,17.84200512,0.246846813
"REF_MFM_noAF","AT0706",48.56022704,1.91504049,4.245525364,0.517678549,29.52404398,0.187456217,0,0,0,0,0,0,12.0917884,0.07869403
"REF_MFM_noAF","AT0707",67.58360657,0.074507269,25.44294778,3.604150407,34.46415149,0.486503617,0,0,0,0,0,0,3.405944269,0.105401741
"REF_MFM_noAF","AT0708",0.812281986,0.002036645,0.231706889,0.026522748,0.483109209,0,0,0,0,0,0,0,0.041169572,0.027736924
"REF_MFM_noAF","AT0709",148.605642,0.716899103,0.559119836,0.015977847,146.1514846,0.060081033,0,0,0,0,0,0,1.09807281,0.004006812
"REF_MFM_noAF","AT0710",0.787333082,0,0.611757505,0.113882201,0.048030882,0,0,0,0,0,0,0,0.013662495,0
"REF_MFM_noAF","AT0711",32.6403459,0,7.585248117,0.87981299,23.44972995,0.525454456,0,0,0,0,0,0,0.186621111,0.013479278
"REF_MFM_noAF","AT0712",70.9162793,8.06121134,6.086391103,0.356535922,17.03416084,0.458245165,0,0,0,0,0,0,28.1887572,10.73097773
"REF_MFM_noAF","AT0713",305.8987625,37.80186692,48.75421548,2.696248579,215.2487838,0.380428347,0,0,0,0,0,0,0.984777593,0.032441814
"REF_MFM_noAF","AT0714",1.81677236,0.002036645,0.273271759,0.04096562,1.430573518,0,0,0,0,0,0,0,0.069422785,0.000502033
"REF_MFM_noAF","AT0715",105.493086,0.08273871,2.532866009,0.086853713,100.4231124,0.417172821,0,0,0,0,0,0,1.869289564,0.081052776
"REF_MFM_noAF","AT0716",22.79820614,0.438812176,7.184820228,1.04840277,12.8750768,0.429901853,0,0,0,0,0,0,0.804543573,0.016648735
"REF_MFM_noAF","AT0717",22.35905452,0.001272903,6.77170254,0.214584447,14.1804815,0.147996216,0,0,0,0,0,0,1.007817532,0.03519938
"REF_MFM_noAF","AT0718",57.18914807,2.166057009,0.360237641,0.040132858,9.402257331,0.720463232,0,0,0,0,0,0,1.343201362,43.15679864
"REF_MFM_noAF","AT0719",41.01154395,0.056771484,4.912638883,0.10582456,29.09352066,0.231159228,0,0,0,0,0,0,6.573868046,0.037761088
"REF_MFM_noAF","AT0721",16.47450772,0.251865121,9.39730529,2.666762429,3.02017508,0.249658755,0,0,0,0,0,0,0.841669746,0.047071295
"REF_MFM_noAF","AT0722",164.2133249,0.062626839,71.03104404,4.535342677,74.5417906,0.47962994,0,0,0,0,0,0,13.27244064,0.290450189
"REF_MFM_noAF","AT0723",41.39432969,2.590867249,0.465126579,0.062703964,22.47550832,0.34215639,0,0,0,0,0,0,8.787005707,6.670961484
"REF_MFM_noAF","AT0724",3.572869666,0.184401249,0.008228766,8.75347e-05,3.116576286,0,0,0,0,0,0,0,0.263223726,0.000352104
"REF_MFM_noAF","AT0725",47.26191954,0.398248993,11.46631557,0.466982557,32.25277803,0.135861206,0,0,0,0,0,0,2.416752184,0.124980999
"REF_MFM_noAF","AT0726",26.5922926,0.454256735,1.520547055,0.077201088,21.60030555,0,0,0,0,0,0,0,2.921898981,0.018083196
"REF_MFM_noAF","AT0801",2.62294441,0.36574753,0,0,2.18226531,0.074931571,0,0,0,0,0,0,0,0
"REF_MFM_noAF","AT0901",0.250083056,0.021130194,0.015447063,0.002119002,0.211386798,0,0,0,0,0,0,0,0,0
"REF_MFM_noAF","AT0902",0.784787276,0.384925939,0,0,0.399861337,0,0,0,0,0,0,0,0,0
"REF_MFM_noAF","AT0903",4.854174065,0.005006753,0.868427432,0.016834339,3.963905541,0,0,0,0,0,0,0,0,0
"REF_MFM_noAF","AT0904",1.800648919,0.006873677,0.679975145,0.013502539,1.094611924,0.005685634,0,0,0,0,0,0,0,0
"REF_MFM_noAF","AT0905",18.18297383,0.239560389,0.510708402,0.004053667,16.34142229,0.006873677,0,0,0,0,0,0,0.965119381,0.115236027
"REF_MFM_noAF","AT0906",1.96986019,0.006194796,0.033482447,0.001395102,1.536818508,0.006279656,0,0,0,0,0,0,0.385076879,0.000612802
"REF_MFM_noAF","AT0907",15.30360646,1.079676526,2.564788874,0.108392784,8.89861195,0.040393463,0,0,0,0,0,0,2.538347865,0.073394997
"REF_MFM_noAF","AT0908",3.044105661,0.635263576,0.125375877,0.005223995,2.278242214,0,0,0,0,0,0,0,0,0
"REF_MFM_noAF","AT1001",2.557008023,0,0.124493464,0.009500817,2.31210144,0.00381871,0,0,0,0,0,0,0.106859188,0.000234405
"REF_MFM_noAF","AT1002",7.599062605,0,0.679944035,0.051890466,6.060377172,0.029701076,0,0,0,0,0,0,0.775448844,0.001701012
"REF_MFM_noAF","AT1003",1.266708441,0,0.191790587,0.002709028,1.072208827,0,0,0,0,0,0,0,0,0
"REF_MFM_noAF","AT1004",20.27768801,0.02350628,5.582644889,0.434793014,12.95297848,0.13764327,0,0,0,0,0,0,0.900416562,0.245705513
"REF_MFM_noAF","AT1005",0.336216175,0,0.046681215,0.011023732,0.272910454,0.002206366,0,0,0,0,0,0,0.003394409,0
"REF_MFM_noAF","AT1006",0.785720738,0,0,0,0.378985724,0.021554495,0,0,0,0,0,0,0.382648407,0.002532113
