Eco_code,Biome_ID,Realm,Ecoregion_name,Assigned_habitat_type,Ecoregion_Area_km2,Global_area_share ,Sorg_plants,Sorg_birds,Sorg_mammals,Sorg_amphibians,Sorg_reptiles,VS_plants,VS_birds,VS_mammals,VS_amphibians,VS_reptiles
AA1001,10,AA,Australian Alps montane grasslands,non-forest,12029,0.000091,1000,227,41,19,54,0.043674,0.001481968,0.031078783,0.120976496,0.000671426
AA1002,10,AA,Central Range sub-alpine grasslands,island,15593,0.000118,1800,84,28,65,6,0.055832,0.047081281,0.211859457,0.194713042,0.292407014
AA1003,10,AA,Southland montane grasslands,island,40018,0.000304,850,42,1,0,9,0.057383,0.072563441,0.063001647,0,0.040477099
AA1101,11,AA,Antipodes Subantarctic Islands tundra,island,827,0.000006,240,77,0,0,0,0.057383,0.015968134,0,0,0
AA1201,12,AA,Coolgardie woodlands,non-forest,137674,0.001045,1800,190,36,9,109,0.00797,0.006010453,0.013089491,0.021496331,0.002971599
AA1202,12,AA,Esperance mallee,non-forest,115046,0.000873,2900,223,39,21,99,0.126994,0.011117881,0.067940995,0.052050794,0.007455095
AA1203,12,AA,Eyre and York mallee,non-forest,60261,0.000457,2000,265,27,7,85,0.011039,0.004353048,0.008332287,0.008896084,0.010950909
AA1204,12,AA,Jarrah-Karri forest and shrublands,non-forest,10269,0.000078,2200,195,29,18,45,0.126994,0.002964055,0.030044057,0.143590562,0.001761024
AA1205,12,AA,Kwongan heathlands (Swan Coastal Plain Scrub and Woodlands),non-forest,14959,0.000114,2300,227,33,16,81,0.126994,0.002150166,0.006448531,0.042262924,0.00278294
AA1206,12,AA,Mount Lofty woodlands,non-forest,23513,0.000178,2000,268,39,11,76,0.011039,0.002336275,0.029609093,0.006068634,0.000831167
AA1207,12,AA,Murray-Darling woodlands and mallee,non-forest,198364,0.001506,1100,294,52,28,124,0.011039,0.018192285,0.030001683,0.017087017,0.011968136
AA1208,12,AA,Naracoorte woodlands,non-forest,27130,0.000206,1500,274,43,11,45,0.011039,0.003371758,0.007356893,0.013868828,0.001854898
AA1209,12,AA,Southwest Australia savanna,non-forest,168935,0.001282,1900,252,46,21,138,0.126994,0.010135226,0.026523422,0.041375023,0.007598622
AA1210,12,AA,Southwest Australia woodlands,non-forest,46087,0.00035,2000,208,39,20,71,0.126994,0.012334397,0.081461145,0.080683874,0.003931571
AA1301,13,AA,Carnarvon xeric shrublands,non-forest,90023,0.000683,700,217,45,11,151,0.00797,0.003373189,0.015070481,0.029878755,0.007725078
AA1302,13,AA,Central Ranges xeric scrub,non-forest,282280,0.002143,1400,186,41,14,135,0.00797,0.009609127,0.051783076,0.018215602,0.002416323
AA1303,13,AA,Gibson desert,non-forest,156216,0.001186,400,120,29,9,104,0.00797,0.005714813,0.017432289,0.007502898,0.001575092
AA1304,13,AA,Great Sandy-Tanami desert,non-forest,824836,0.006261,500,185,58,16,144,0.00797,0.021516077,0.04650302,0.054472265,0.009816712
AA1305,13,AA,Great Victoria desert,non-forest,425299,0.003228,400,160,39,9,135,0.00797,0.013263979,0.043105055,0.013622702,0.004426696
AA1306,13,AA,Nullarbor Plains xeric shrublands,non-forest,195610,0.001485,200,167,30,4,100,0.00797,0.004758587,0.01724941,0.003064982,0.004807313
AA1307,13,AA,Pilbara shrublands,non-forest,179590,0.001363,800,208,47,10,123,0.00797,0.005696535,0.030780942,0.050112421,0.004442471
AA1308,13,AA,Simpson desert,non-forest,585797,0.004447,800,209,54,17,121,0.00797,0.022567121,0.051838732,0.035422916,0.005110952
AA1309,13,AA,Tirari-Sturt stony desert,non-forest,377705,0.002867,800,250,52,15,145,0.00797,0.014670473,0.035820165,0.021715532,0.006325515
AA1310,13,AA,Western Australian Mulga shrublands,non-forest,461478,0.003503,900,170,50,12,141,0.00797,0.014768246,0.021174216,0.042902052,0.002727351
AA1401,14,AA,New Guinea mangroves,island,23682,0.00018,250,306,38,16,38,0.055832,0.005934219,0.013789942,0.027479066,0.00738787
AT0101,1,AT,Albertine Rift montane forests,forest,104098,0.00079,3500,732,228,66,127,0.033049,0.022306597,0.078893309,0.372364577,0.010051318
AT0102,1,AT,Atlantic Equatorial coastal forests,forest,188221,0.001429,6000,484,161,93,110,0.014139,0.013197053,0.034993619,0.15404501,0.008501369
AT0103,1,AT,Cameroonian Highlands forests,forest,38134,0.000289,3300,573,144,89,36,0.004783,0.012311382,0.08205488,0.373623081,0.023380943
AT0104,1,AT,Central Congolian lowland forests,forest,415655,0.003155,3600,342,115,18,73,0.014139,0.018273944,0.061542538,0.188184884,0.015079243
AT0105,1,AT,Comoros forests,island,1970,0.000015,1500,79,5,1,18,0.057549,0.084912358,0.454543328,0,0.169326312
AT0106,1,AT,Cross-Niger transition forests,forest,20760,0.000158,2100,373,104,29,65,0.014139,0.00114642,0.008710808,0.003679963,0.000578054
AT0107,1,AT,Cross-Sanaga-Bioko coastal forests,forest,52006,0.000395,4000,485,158,108,120,0.014139,0.008871721,0.05762966,0.120667308,0.023736818
AT0108,1,AT,East African montane forests,forest,65629,0.000498,4000,621,192,17,60,0.033049,0.008932872,0.033358423,0.274578156,0.007711128
AT0109,1,AT,Eastern Arc forests,forest,23710,0.00018,3200,547,159,78,83,0.033049,0.020213983,0.043248285,0.444570781,0.052649234
AT0110,1,AT,Eastern Congolian swamp forests,forest,92946,0.000706,2000,352,122,13,65,0.014139,0.004636589,0.014566948,0.152823926,0.006272712
AT0111,1,AT,Eastern Guinean forests,forest,189114,0.001436,3200,517,181,61,82,0.014139,0.013724191,0.063824086,0.200632149,0.068731753
AT0112,1,AT,Ethiopian montane forests,forest,249282,0.001892,4000,482,132,28,59,0.033049,0.01879016,0.05438992,0.094507606,0.017841967
AT0113,1,AT,Granitic Seychelles forests,island,244,0.000002,280,54,3,5,26,0.057549,0.018782639,0.113826966,0.637389472,0.130532357
AT0114,1,AT,Guinean montane forests,forest,31124,0.000236,2700,405,128,20,47,0.004783,0.001759779,0.014914602,0.414937246,0.019029923
AT0115,1,AT,Knysna-Amatole montane forests,forest,3059,0.000023,1000,272,55,24,32,0.033049,0.000976867,0.005037251,0.02523748,0.000777716
AT0116,1,AT,KwaZulu-Cape coastal forest mosaic,forest,17560,0.000133,2000,373,74,40,83,0.029942,0.002487549,0.006421056,0.040815263,0.014106031
AT0117,1,AT,Madagascar lowland forests,island,112123,0.000851,6000,172,87,126,147,0.057549,0.079351612,0.402706447,0.507621262,0.366770872
AT0118,1,AT,Madagascar subhumid forests,island,199825,0.001517,3200,151,104,86,152,0.057549,0.075334689,0.222073255,0.516597316,0.273007476
AT0119,1,AT,Maputaland coastal forest mosaic,forest,30127,0.000229,2700,389,97,47,98,0.029942,0.00232918,0.009073929,0.008790848,0.006168095
AT0120,1,AT,Mascarene forests,island,4329,0.000033,950,54,6,1,18,0.057549,0.133003721,0.213963303,0.00026249,0.013086364
AT0121,1,AT,Mount Cameroon and Bioko montane forests,forest,1149,0.000009,3300,403,123,81,50,0.033049,0.004545121,0.03241971,0.017694134,0.002952485
AT0122,1,AT,Niger Delta swamp forests,forest,14425,0.000109,1500,333,96,3,59,0.014139,0.001393201,0.007711045,0.026706774,0.017377209
AT0123,1,AT,Nigerian lowland forests,forest,67219,0.00051,3000,407,125,35,67,0.014139,0.005000502,0.01938413,0.026812855,0.033116162
AT0124,1,AT,Northeastern Congolian lowland forests,forest,534630,0.004058,3600,554,201,62,109,0.014139,0.026723982,0.085618915,0.18716605,0.014798377
AT0125,1,AT,Northern Zanzibar-Inhambane coastal forest mosaic,island,112417,0.000853,3300,552,172,55,182,0.012072,0.014429878,0.058777816,0.166303603,0.010361504
AT0126,1,AT,Northwestern Congolian lowland forests,forest,435082,0.003303,4100,525,192,75,116,0.014139,0.023146959,0.082031332,0.094120508,0.007033058
AT0127,1,AT,Sao Tome and Principe moist lowland forests,island,992,0.000008,950,106,10,11,22,0.609797,0.08501221,0.227633236,0.155102326,0.043532005
AT0128,1,AT,Southern Zanzibar-Inhambane coastal forest mosaic,forest,146102,0.001109,2800,445,111,47,122,0.012072,0.006844346,0.017023707,0.013539893,0.003883242
AT0129,1,AT,Western Congolian swamp forests,forest,128918,0.000979,2100,321,130,19,68,0.014139,0.007603253,0.021741276,0.04545201,0.005590449
AT0130,1,AT,Western Guinean lowland forests,forest,205155,0.001557,3300,453,171,57,79,0.014139,0.025567057,0.089341041,0.341474821,0.058013621
AT0201,2,AT,Cape Verde Islands dry forests,island,3176,0.000024,257,67,4,2,14,0.609797,0.010770779,0.000248064,5.49E-05,0.289316189
AT0202,2,AT,Madagascar dry deciduous forests,island,151293,0.001148,2100,162,70,20,97,0.057549,0.059413692,0.449335199,0.352647571,0.479821608
AT0203,2,AT,Zambezian Cryptosepalum dry forests,forest,38311,0.000291,1300,380,87,14,34,0.009793,0.004140429,0.007463697,0.010451615,0.001171456
AT0701,7,AT,Angolan Miombo woodlands,non-forest,661513,0.005021,2400,531,169,52,80,0.009793,0.021165339,0.054701234,0.158324762,0.009014078
AT0702,7,AT,Angolan Mopane woodlands,non-forest,133756,0.001015,1100,383,118,20,96,0.009793,0.005608955,0.007960948,0.02347524,0.008585396
AT0703,7,AT,Ascension scrub and grasslands,island,94,0.000001,25,17,0,0,0,0.609797,5.74E-06,0,0,0
AT0704,7,AT,Central Zambezian Miombo woodlands,non-forest,1186789,0.009009,3800,698,243,84,173,0.009793,0.035957673,0.065815682,0.249300405,0.015520032
AT0705,7,AT,East Sudanian savanna,non-forest,919575,0.00698,2300,606,185,31,112,0.002702,0.015966572,0.034624996,0.13144302,0.011391176
AT0706,7,AT,Eastern Miombo woodlands,non-forest,484948,0.003681,2800,456,145,41,94,0.009793,0.024765882,0.051039425,0.287407059,0.020757315
AT0707,7,AT,Guinean forest-savanna mosaic,non-forest,673746,0.005114,2500,550,204,33,114,0.004783,0.019697537,0.050428668,0.230444878,0.146694611
AT0708,7,AT,Itigi-Sumbu thicket,non-forest,7855,0.00006,1000,359,108,12,36,0.009793,0.000460611,0.000629909,0.004323629,0.000164917
AT0709,7,AT,Kalahari Acacia-Baikiaea woodlands,non-forest,336208,0.002552,1400,470,119,30,86,0.010213,0.008365401,0.01578784,0.012084902,0.007075737
AT0710,7,AT,Mandara Plateau mosaic,non-forest,7526,0.000057,600,318,76,10,16,0.002702,0.000220927,0.000853726,0.000990171,0.000164205
AT0711,7,AT,Northern Acacia-Commiphora bushlands and thickets,non-forest,326671,0.00248,1300,688,212,15,91,0.008059,0.019218739,0.057039251,0.319442911,0.011785088
AT0712,7,AT,Northern Congolian forest-savanna mosaic,non-forest,709686,0.005387,2500,610,222,63,136,0.004783,0.017504142,0.038977688,0.191437775,0.008207351
AT0713,7,AT,Sahelian Acacia savanna,non-forest,3060116,0.023228,1300,539,154,16,105,0.001788,0.030126617,0.109121441,0.091260276,0.026814293
AT0714,7,AT,Serengeti volcanic grasslands,non-forest,18069,0.000137,1000,426,133,11,58,0.008059,0.002134833,0.002761695,0.156190238,0.000276067
AT0715,7,AT,Somali Acacia-Commiphora bushlands and thickets,non-forest,1055912,0.008015,2600,538,169,19,170,0.008059,0.039674395,0.094138117,0.202950208,0.030925166
AT0716,7,AT,Southern Acacia-Commiphora bushlands and thickets,non-forest,228276,0.001733,2300,596,180,17,83,0.008059,0.014384581,0.028679228,0.172399504,0.009343282
AT0717,7,AT,Southern Africa bushveld,non-forest,223604,0.001697,1500,471,142,37,127,0.009793,0.008778617,0.021726481,0.027476567,0.005268417
AT0718,7,AT,Southern Congolian forest-savanna mosaic,non-forest,570909,0.004334,3000,553,177,42,116,0.004089,0.012839459,0.048260251,0.098388772,0.00925271
AT0719,7,AT,Southern Miombo woodlands,non-forest,409154,0.003106,2200,508,181,45,114,0.009793,0.015503424,0.034456459,0.104457994,0.0199432
AT0721,7,AT,Victoria Basin forest-savanna mosaic,non-forest,166153,0.001261,2500,623,227,27,111,0.01014,0.010998601,0.02970727,0.159103306,0.000819738
AT0722,7,AT,West Sudanian savanna,non-forest,1641756,0.012462,2100,551,174,25,120,0.002702,0.026822661,0.076019335,0.137666312,0.08136214
AT0723,7,AT,Western Congolian forest-savanna mosaic,non-forest,414171,0.003144,3300,552,170,33,117,0.014139,0.014223619,0.050940251,0.319171567,0.005306473
AT0724,7,AT,Western Zambezian grasslands,non-forest,34089,0.000259,800,366,128,29,48,0.009793,0.001529778,0.003004404,0.003671867,0.000830526
AT0725,7,AT,Zambezian and Mopane woodlands,non-forest,474344,0.003601,2500,552,200,50,153,0.009793,0.015639158,0.0299815,0.047733956,0.017525446
AT0726,7,AT,Zambezian Baikiaea woodlands,non-forest,265017,0.002012,1300,507,160,50,80,0.009793,0.006730748,0.01067964,0.024477608,0.019066283
AT0801,8,AT,Al Hajar Al Gharbi montane woodlands,non-forest,25600,0.000194,700,70,25,2,16,0.015329,0.00110262,0.044480749,0.010559933,0.086549337
AT0802,8,AT,Amsterdam and Saint-Paul Islands temperate grasslands,island,67,0.000001,60,14,0,0,0,0.012081,6.65E-06,0,0,0
AT0803,8,AT,Tristan Da Cunha-Gough Islands shrub and grasslands,island,156,0.000001,90,67,0,0,0,0.609797,0.010066306,0,0,0
AT0901,9,AT,East African halophytics,non-forest,2641,0.00002,80,223,78,1,1,0.008059,0.000443192,0.000600882,0.014930436,0.002376746
AT0902,9,AT,Etosha Pan halophytics,non-forest,7246,0.000055,80,217,56,1,8,0.009793,0.00057416,0.00084593,0.008464833,0.001749415
AT0903,9,AT,Inner Niger Delta flooded savanna,non-forest,46139,0.00035,500,287,50,4,11,0.001788,0.001247354,0.006760084,0.004238905,0.007370335
AT0904,9,AT,Lake Chad flooded savanna,non-forest,18871,0.000143,600,293,67,3,12,0.001788,0.000580143,0.000998678,0.001650072,0.001732453
AT0905,9,AT,Saharan flooded grasslands,non-forest,180117,0.001367,1300,394,100,7,19,0.002702,0.004223369,0.012654226,0.017836983,0.000841794
AT0906,9,AT,Zambezian coastal flooded savanna,non-forest,19561,0.000148,1100,309,76,21,49,0.012072,0.001304124,0.002391679,0.004931802,0.001312357
AT0907,9,AT,Zambezian flooded grasslands,non-forest,153781,0.001167,1400,498,143,36,80,0.009793,0.007996567,0.019227282,0.130964415,0.003563036
AT0908,9,AT,Zambezian halophytics,non-forest,30440,0.000231,80,256,50,1,8,0.009793,0.001731614,0.003228255,0.049286378,0.005295316
AT1001,10,AT,Angolan montane forest-grassland mosaic,non-forest,25580,0.000194,2000,355,103,34,43,0.009793,0.006381915,0.006946347,0.008374094,0.000469014
AT1002,10,AT,Angolan scarp savanna and woodlands,non-forest,74360,0.000564,1500,387,103,32,46,0.004089,0.010840235,0.004713717,0.087666185,0.011581636
AT1003,10,AT,Drakensberg alti-montane grasslands and woodlands,non-forest,11936,0.000091,800,288,68,18,29,0.033049,0.001437806,0.002911979,0.023793366,0.000940018
AT1004,10,AT,"Drakensberg montane grasslands, woodlands and forests",non-forest,202650,0.001538,3700,450,150,47,112,0.029942,0.016428076,0.037315688,0.165031191,0.014033105
AT1005,10,AT,East African montane moorlands,non-forest,3299,0.000025,400,116,71,12,9,0.033049,0.004956273,0.036761716,0.134166325,0.017868211
AT1006,10,AT,Eastern Zimbabwe montane forest-grassland mosaic,non-forest,7852,0.00006,1700,400,108,22,57,0.033049,0.001137381,0.006896468,0.081185076,0.004130403
AT1007,10,AT,Ethiopian montane grasslands and woodlands,non-forest,245903,0.001867,2000,516,133,33,54,0.033049,0.016945403,0.079585846,0.239465504,0.019927728
AT1008,10,AT,Ethiopian montane moorlands,non-forest,25212,0.000191,700,347,88,29,16,0.033049,0.002900106,0.082023465,0.183432723,0.006239852
AT1009,10,AT,Highveld grasslands,non-forest,186586,0.001416,1900,396,114,29,65,0.010213,0.01351742,0.024891601,0.014162236,0.008823878
AT1010,10,AT,Jos Plateau forest-grassland mosaic,non-forest,13361,0.000101,1300,59,58,16,58,0.004783,0.009594469,0.029754554,0.00141385,0.038079734
AT1011,10,AT,Madagascar ericoid thickets,island,1282,0.00001,1000,44,19,23,21,0.057549,0.001873505,0.011571766,0.072353966,0.042174178
AT1012,10,AT,Maputaland-Pondoland bushland and thickets,non-forest,19578,0.000149,2100,351,86,38,59,0.029942,0.002246614,0.00676782,0.02899276,0.003870305
AT1013,10,AT,Ruwenzori-Virunga montane moorlands,non-forest,2680,0.00002,400,181,60,4,9,0.033049,0.002301202,0.036473362,0.606511209,0.019593302
AT1014,10,AT,South Malawi montane forest-grassland mosaic,non-forest,10247,0.000078,1900,412,128,34,36,0.009793,0.003588812,0.012129395,0.104635544,0.00077251
AT1015,10,AT,Southern Rift montane forest-grassland mosaic,non-forest,33573,0.000255,1900,485,151,48,46,0.033049,0.004008312,0.017135348,0.103892397,0.006222569
AT1201,12,AT,Albany thickets,non-forest,17097,0.00013,1200,280,67,14,51,0.029942,0.002207162,0.005169142,0.014525745,0.014764254
AT1202,12,AT,Lowland fynbos and renosterveld,non-forest,32264,0.000245,3000,296,78,26,63,0.24456,0.006265282,0.021496446,0.161421976,0.009671795
AT1203,12,AT,Montane fynbos and renosterveld,non-forest,45821,0.000348,6300,311,88,32,67,0.24456,0.006509114,0.019484407,0.226667443,0.014470926
AT1302,13,AT,Arabian Peninsula coastal fog desert,non-forest,81780,0.000621,1000,244,58,1,67,0.015329,0.002142204,0.010038867,0.152372517,0.05634349
AT1303,13,AT,East Saharan montane xeric woodlands,non-forest,27923,0.000212,700,232,47,2,7,0.001788,0.000394559,0.01223137,0.000675895,0.029909138
AT1304,13,AT,Eritrean coastal desert,non-forest,4430,0.000034,100,209,42,5,25,0.008059,0.000176501,0.000706295,0.000792572,0.000270484
AT1305,13,AT,Ethiopian xeric grasslands and shrublands,non-forest,152368,0.001157,850,358,76,6,76,0.008059,0.00801979,0.039112365,0.020922783,0.014556208
AT1306,13,AT,Gulf of Oman desert and semi-desert,non-forest,62200,0.000472,300,256,35,2,50,0.015329,0.000722402,0.025166829,0.020366729,0.029615732
AT1307,13,AT,Hobyo grasslands and shrublands,non-forest,25385,0.000193,800,147,53,15,20,0.008059,0.010921469,0.014911769,0.005184912,0.014125779
AT1308,13,AT,Ile Europa and Bassas da India xeric scrub,island,129,0.000001,80,0,0,0,0,0.057549,0,0,0,0
AT1309,13,AT,Kalahari xeric savanna,non-forest,589419,0.004474,700,333,98,15,101,0.010213,0.019808209,0.031444507,0.038505751,0.004981247
AT1310,13,AT,Kaokoveld desert,non-forest,45549,0.000346,500,233,49,16,59,0.041069,0.003285675,0.006162186,0.010473578,0.007678871
AT1311,13,AT,Madagascar spiny thickets,island,43107,0.000327,1100,151,39,8,85,0.057549,0.025916695,0.172192657,0.349028392,0.211933306
AT1312,13,AT,Madagascar succulent woodlands,island,79770,0.000606,1400,152,41,7,58,0.057549,0.028217217,0.218163092,0.620392443,0.149303435
AT1313,13,AT,Masai xeric grasslands and shrublands,non-forest,101184,0.000768,900,327,103,9,23,0.008059,0.008064313,0.015161659,0.040430029,0.001550239
AT1314,13,AT,Nama Karoo,non-forest,351897,0.002671,1100,300,100,11,62,0.041069,0.022714375,0.06631092,0.066596732,0.039038405
AT1315,13,AT,Namib desert,non-forest,80880,0.000614,1000,189,38,7,65,0.041069,0.007403892,0.019282469,0.012768119,0.006975942
