Eco_code,Biome_ID,Realm,Ecoregion_name,Assigned_habitat_type,Ecoregion_Area_km2,Global_area_share ,Sorg_plants,Sorg_birds,Sorg_mammals,Sorg_amphibians,Sorg_reptiles,VS_plants,VS_birds,VS_mammals,VS_amphibians,VS_reptiles
AA0101,1,AA,Admiralty Islands lowland rain forests,island,1901,0.000014,2000,64,20,7,29,0.09281,0.026344022,0.04071475,0.053669852,0.062834904
AA0102,1,AA,Banda Sea Islands moist deciduous forests,island,6786,0.000052,1200,225,19,2,53,0.02864,0.022107604,0.153810875,0.37109795,0.014999027
AA0103,1,AA,Biak-Numfoor rain forests,island,2663,0.00002,1500,107,27,3,60,0.012081,0.034563719,0.083136532,0.272883592,0.001094126
AA0104,1,AA,Buru rain forests,island,8432,0.000064,1700,178,24,5,24,0.02864,0.030351741,0.056543768,0.00328373,0.003759225
AA0105,1,AA,Central Range montane rain forests,island,172378,0.001308,7500,348,139,127,79,0.055832,0.084857506,0.220809199,0.461481523,0.017841936
AA0106,1,AA,Halmahera rain forests,island,25607,0.000194,2000,223,50,15,60,0.02864,0.041661388,0.053024294,0.322116826,0.031215864
AA0107,1,AA,Huon Peninsula montane rain forests,island,16479,0.000125,5500,370,77,42,81,0.055832,0.009490015,0.025114267,0.173258881,0.008068043
AA0108,1,AA,Japen rain forests,island,2277,0.000017,1500,147,41,16,60,0.012081,0.001152494,0.016374338,0.664756273,0.000602405
AA0109,1,AA,Lord Howe Island subtropical forests,island,12,0,210,29,2,0,2,0.012081,0,0,0,0
AA0110,1,AA,Louisiade Archipelago rain forests,island,1329,0.00001,3200,100,26,16,34,0.012081,0.018203117,0.023279346,0.328937731,0.020385294
AA0111,1,AA,New Britain-New Ireland lowland rain forests,island,32630,0.000248,2700,185,53,20,52,0.09281,0.053721617,0.068283497,0.222242369,0.031158107
AA0112,1,AA,New Britain-New Ireland montane rain forests,island,12165,0.000092,2500,103,44,20,37,0.09281,0.048625751,0.044857583,0.36488027,0.01952314
AA0113,1,AA,New Caledonia rain forests,island,14244,0.000108,3000,90,9,0,66,0.012081,0.09208862,0.347588683,0,0.529739237
AA0114,1,AA,Norfolk Island subtropical forests,island,41,0,165,42,0,0,2,0.012081,1.46E-07,0,0,6.10E-08
AA0115,1,AA,Northern New Guinea lowland rain and freshwater swamp forests,island,135066,0.001025,4400,359,97,74,117,0.055832,0.033860256,0.054597372,0.224614324,0.00949396
AA0116,1,AA,Northern New Guinea montane rain forests,island,23291,0.000177,3000,264,68,42,23,0.055832,0.013296836,0.110169207,0.202234569,0.022993132
AA0117,1,AA,Queensland tropical rain forests,forest,32007,0.000243,4800,375,97,63,164,0.174343,0.00621871,0.052535007,0.22226401,0.009427376
AA0118,1,AA,Seram rain forests,island,18664,0.000142,2100,213,47,8,54,0.02864,0.034813269,0.170508737,0.132000369,0.008028534
AA0119,1,AA,Solomon Islands rain forests,island,34746,0.000264,4800,198,45,27,71,0.09281,0.097838049,0.263387554,0.336075969,0.204597764
AA0120,1,AA,Southeastern Papuan rain forests,island,76959,0.000584,5500,509,137,91,119,0.055832,0.020921041,0.09932987,0.386572245,0.019205481
AA0121,1,AA,Southern New Guinea freshwater swamp forests,island,99163,0.000753,2100,339,93,44,107,0.055832,0.018503258,0.033829317,0.019783386,0.008423495
AA0122,1,AA,Southern New Guinea lowland rain forests,island,123109,0.000934,4000,344,119,66,110,0.055832,0.027011579,0.037639717,0.118713237,0.008439941
AA0123,1,AA,Sulawesi lowland rain forests,island,111093,0.000843,3900,337,116,26,108,0.02864,0.054199773,0.204157779,0.128360993,0.034227868
AA0124,1,AA,Sulawesi montane rain forests,island,75971,0.000577,2200,168,125,19,57,0.02864,0.083137857,0.289781425,0.17412512,0.027309948
AA0125,1,AA,Trobriand Islands rain forests,island,3599,0.000027,2800,136,39,21,43,0.012081,0.003823859,0.088607388,0.109810645,7.12E-05
AA0126,1,AA,Vanuatu rain forests,island,12744,0.000097,950,79,14,0,27,0.09281,0.065666942,0.119158441,0,0.108446809
AA0127,1,AA,Vogelkop montane rain forests,island,21809,0.000166,5500,354,30,37,43,0.055832,0.015649421,0.182711086,0.245133177,0.028667295
AA0128,1,AA,Vogelkop-Aru lowland rain forests,island,74394,0.000565,3500,366,48,49,109,0.055832,0.021878041,0.083138817,0.432641698,0.016338252
AA0201,2,AA,Lesser Sundas deciduous forests,island,37505,0.000285,2500,273,51,12,56,0.02864,0.032648484,0.141986739,0.262316009,0.031166049
AA0202,2,AA,New Caledonia dry forests,island,4180,0.000032,430,79,7,0,32,0.012081,0.018798628,0.081498303,0,0.282033711
AA0203,2,AA,Sumba deciduous forests,island,10588,0.00008,900,180,17,5,26,0.02864,0.022894936,0.016530766,0.058511484,0.004450839
AA0204,2,AA,Timor and Wetar deciduous forests,island,32660,0.000248,1600,229,40,6,54,0.02864,0.049769936,0.17592603,0.136917749,0.032869535
AA0401,4,AA,Chatham Island temperate forests,island,635,0.000005,315,72,0,0,1,0.057383,0.020225392,0,0,0
AA0402,4,AA,Eastern Australian temperate forests,forest,221718,0.001683,3700,380,87,69,174,0.043674,0.02674272,0.086476389,0.26198036,0.009857712
AA0403,4,AA,Fiordland temperate forests,island,10793,0.000082,750,45,1,0,2,0.057383,0.053306745,0.036322542,0,0.095085753
AA0404,4,AA,Nelson Coast temperate forests,island,14461,0.00011,1300,52,1,0,7,0.057383,0.028723148,0.106043787,0,0.003448543
AA0405,4,AA,Northland temperate forests,island,84164,0.000639,1200,59,2,1,15,0.057383,0.074371972,0.356635368,0.666067665,0.006494615
AA0406,4,AA,Northland temperate kauri forests,island,28916,0.000219,850,62,1,2,16,0.057383,0.042981863,0.201691877,0.555510781,0.004437224
AA0407,4,AA,Rakiura Island temperate forests,island,1593,0.000012,570,46,2,0,4,0.057383,0.01314422,0.002854719,0,0.162586031
AA0408,4,AA,Richmond temperate forests,island,12889,0.000098,1000,58,1,1,12,0.057383,0.01670946,0.025551087,0.019085535,0.054676802
AA0409,4,AA,Southeast Australia temperate forests,forest,272303,0.002067,2400,345,67,44,90,0.043674,0.023799986,0.079197855,0.171428009,0.008075041
AA0410,4,AA,Southland temperate forests,island,11597,0.000088,650,48,1,0,4,0.057383,0.010679744,0.017456666,0,0
AA0411,4,AA,Tasmanian Central Highland forests,island,18701,0.000142,700,150,34,11,15,0.057383,0.006850709,0.039708634,0.01330523,0.002717303
AA0412,4,AA,Tasmanian temperate forests,island,17595,0.000134,600,163,35,12,16,0.057383,0.007003196,0.03709804,0.008669412,0.002265989
AA0413,4,AA,Tasmanian temperate rain forests,island,30619,0.000232,800,153,33,12,16,0.057383,0.013124926,0.052623247,0.041315556,0.003183827
AA0414,4,AA,Westland temperate forests,island,5140,0.000039,700,50,1,0,1,0.057383,0.00665923,0.022392107,0,0.001015371
AA0701,7,AA,Arnhem Land tropical savanna,non-forest,155706,0.001182,2500,283,65,27,126,0.015979,0.014282093,0.096121264,0.120164993,0.017193408
AA0702,7,AA,Brigalow tropical savanna,non-forest,342667,0.002601,1600,387,106,42,163,0.015979,0.015015251,0.045160996,0.06208248,0.016242232
AA0703,7,AA,Cape York tropical savanna,non-forest,115754,0.000879,3100,328,78,36,131,0.015979,0.011914683,0.049780974,0.110355641,0.017494917
AA0704,7,AA,Carpentaria tropical savanna,non-forest,359800,0.002731,1600,307,82,32,149,0.015979,0.014038912,0.03328964,0.037953703,0.005459993
AA0705,7,AA,Einasleigh upland savanna,non-forest,128756,0.000977,1600,268,106,22,139,0.015979,0.013334926,0.025224516,0.118264268,0.006282326
AA0706,7,AA,Kimberley tropical savanna,non-forest,346533,0.00263,2000,310,79,42,191,0.015979,0.018429613,0.071970511,0.144701953,0.016214984
AA0707,7,AA,Mitchell grass downs,non-forest,461761,0.003505,900,231,78,24,141,0.015979,0.016576433,0.032606938,0.065689599,0.00342523
AA0708,7,AA,Trans Fly savanna and grasslands,island,26609,0.000202,2200,306,45,24,65,0.055832,0.008527815,0.038565989,0.035166452,0.003547059
AA0709,7,AA,Victoria Plains tropical savanna,non-forest,226126,0.001716,1200,214,64,22,127,0.015979,0.008834356,0.013401452,0.034826623,0.006810327
AA0801,8,AA,Cantebury-Otago tussock grasslands,island,53377,0.000405,800,48,0,0,10,0.057383,0.042418173,0,0,0.109534873
AA0802,8,AA,Eastern Australia mulga shrublands,non-forest,254480,0.001932,800,215,38,21,93,0.011039,0.011140172,0.030015879,0.025530103,0.004359811
AA0803,8,AA,Southeast Australia temperate savanna,non-forest,322959,0.002451,900,296,59,30,127,0.011039,0.018324783,0.030694625,0.061783624,0.004473743
