Mitigation_scenario,Forest_use,Management_scenario,Category,2000,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
RCP,MFM,AF100,Pulp_Timber_Plantation_im,15.95300318,22.45517366,26.65923164,31.39787147,41.78854762,49.55073664,62.44744798,73.23031696,83.47445502,89.09414414,97.84748737
RCP,SFM,noAF,Clear_cut_im,63.60452578,87.04359133,111.5250486,117.7662227,121.8471053,127.6840409,134.7097323,137.365064,150.4344664,169.7448205,190.0529758
RCP,SFM,noAF,Pulp_Timber_Plantation_im,15.95300318,22.43793592,26.66674592,31.06946171,43.20458135,51.28653423,57.19821345,66.48359467,78.91033293,84.1067711,90.60669299
RCP,SFM,AF0,Clear_cut_im,63.60452578,87.03962709,111.5164503,117.2298791,119.155193,120.8643689,120.7573838,116.8013606,118.5125082,129.2132139,141.7433441
RCP,SFM,AF0,Pulp_Timber_Plantation_im,15.95300318,22.44235085,26.69945971,28.8795706,37.63266939,42.59414793,43.17466591,47.20993136,55.53425193,63.98861571,69.56425197
RCP,SFM,AF25,Clear_cut_im,63.60452578,87.04357901,111.5363216,118.0934366,119.9813067,126.8316392,130.5970617,132.6919639,142.786653,161.8430076,177.8399293
RCP,SFM,AF25,Pulp_Timber_Plantation_im,15.95300318,22.43774233,26.68355663,29.31513384,38.57789367,42.08145796,50.93440589,65.79571711,73.36308715,78.45188447,88.53753942
RCP,SFM,AF50,Clear_cut_im,63.60452578,87.04255156,111.5160458,119.2529011,123.7133455,132.3150114,143.8623319,154.2696392,172.1475467,195.7260888,217.8181075
RCP,SFM,AF50,Pulp_Timber_Plantation_im,15.95300318,22.43778374,26.70467066,31.26288529,44.5743258,52.37209433,75.45054769,88.70163237,100.939668,112.5804239,123.9900405
RCP,SFM,AF75,Clear_cut_im,63.60452578,87.03441192,110.0498339,117.6256587,131.8955305,150.2071097,173.3787388,195.3715874,218.761074,250.7232557,282.8861956
RCP,SFM,AF75,Pulp_Timber_Plantation_im,15.95300318,22.44574238,26.64980999,35.74251811,48.97285586,66.67546764,88.12039198,102.579132,117.2119057,127.4730771,140.0655788
RCP,SFM,AF100,Clear_cut_im,63.60452578,87.02584589,110.4988085,119.0984902,138.2805283,161.8750811,194.7228031,227.9448604,266.7391865,308.440689,349.0279124
RCP,SFM,AF100,Pulp_Timber_Plantation_im,15.95300318,22.45517366,26.68743725,40.57022108,57.02006988,87.47071285,107.3329995,127.1384851,143.8404507,155.4794343,173.868387
REF,MFM,noAF,Selection_im,22.37742816,18.14596708,15.84049507,14.43163659,13.01869909,12.43136539,12.06580445,12.27160126,12.76641312,13.34085207,13.95294834
REF,MFM,noAF,Selective_im,5.02822221,4.996558174,4.992528532,5.013046192,5.713621199,6.42497229,7.022135005,7.468455579,7.873342026,7.995655264,8.053909255
