Mitigation_scenario,Forest_use,Management_scenario,Category,2000,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
REF,SFM,AFM75,Selection_ex,3.744387962,3.539294161,3.547869869,5.846769539,9.472431507,12.72634396,16.67319224,21.36281566,26.68582097,33.1898949,40.85342858
REF,SFM,AFM100,Selection_ex,3.744387962,3.539294161,3.559199422,2.861715274,2.356100834,1.698362053,1.463621788,1.29423991,1.122776119,1.058710126,1.038800921
RCP2.6,MFM,noAFM,Selection_ex,3.744387962,3.539294161,3.560264677,2.846689209,2.474826278,1.874668489,1.208596589,0.681366747,0.450553988,0.237342831,0.155318861
RCP2.6,MFM,AFMfree,Selection_ex,3.744387962,3.539294161,3.547869869,12.45733118,23.54384279,33.56227721,42.27182475,51.36300151,59.92258193,68.43430089,76.73403512
RCP2.6,MFM,AFM25,Selection_ex,3.744387962,3.539294161,3.547997592,12.4988415,23.6814607,33.07545151,41.32412858,49.5649748,57.95377995,65.97743506,74.40448556
RCP2.6,MFM,AFM50,Selection_ex,3.744387962,3.539294161,3.559327553,12.32430322,22.9659191,32.16299507,39.65548513,47.7226569,55.84729008,63.88622055,72.50484129
RCP2.6,MFM,AFM75,Selection_ex,3.744387962,3.539294161,3.559327553,12.16822993,21.9388267,30.14239865,37.5639612,45.38240505,53.11551225,61.2046026,69.90316711
RCP2.6,MFM,AFM100,Selection_ex,3.744387962,3.539294161,3.559197326,11.6288824,20.69093294,28.21636967,35.16172316,42.48438429,50.31306869,58.75216464,67.73414668
RCP2.6,SFM,noAFM,Selection_ex,3.744387962,3.539294161,3.560264677,2.846412208,2.473969921,1.873854082,1.208317608,0.681208444,0.450460768,0.236168805,0.154169662
RCP2.6,SFM,AFMfree,Selection_ex,3.744387962,3.539294161,3.559327553,12.40007328,23.63740478,33.24179505,41.91928261,50.60315935,59.6377084,68.16448171,76.42408394
RCP2.6,SFM,AFM25,Selection_ex,3.744387962,3.539294161,3.559327553,10.85214032,19.86896521,27.81202649,35.11148033,42.6625768,50.49905059,58.48942483,67.1501047
RCP2.6,SFM,AFM50,Selection_ex,3.744387962,3.539294161,3.559197326,8.282836341,14.6882445,20.1116953,26.06477567,32.20083893,38.92707074,46.96334727,55.76927585
RCP2.6,SFM,AFM75,Selection_ex,3.744387962,3.539294161,3.559327553,5.475531449,8.406147015,11.36024541,14.70834567,18.44998531,23.5380077,29.77150581,37.26802919
RCP2.6,SFM,AFM100,Selection_ex,3.744387962,3.539294161,3.559197326,2.498182654,1.54131356,0.954821257,0.393019668,0.158915136,0.091474749,0.049111439,0.047139986
