Country,Mitigation_scenario,Forest_use,Management_scenario,2000,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,Category
Slovenia,REF,MFM,AF25,0,0,0.000153738,0.004140295,0.027954172,0.053066879,0.056385925,0.060437109,0.058258659,0.054503318,0.053187708,Wood_EP_im
Sweden,REF,MFM,AF25,0,0,0.002461455,0.066289142,0.447566711,0.849639498,0.902779865,0.967642266,1.609652333,2.559595002,2.68591414,Wood_EP_im
UK,REF,MFM,AF25,0,0,0.004846889,0.130530979,0.881310567,1.67303834,2.0218223,2.167085011,2.088972646,1.954317897,1.907144275,Wood_EP_im
EU28,REF,MFM,AF25,0,0,0.028162173,0.86797104,7.558870869,20.4909019,25.43864326,29.98695377,30.45056923,29.56789676,29.07036061,Wood_EP_im
Belgium,REF,MFM,AF50,0,0,0.000495,0.144431473,0.562301686,1.07629488,1.140849049,1.200337606,1.169231976,1.151255494,1.092232556,Wood_EP_im
Cyprus,REF,MFM,AF50,0,0,0,0,0.003708338,0.039502581,0.056942496,0.085813634,0.083589854,0.083818767,0.079773961,Wood_EP_im
CzechRep,REF,MFM,AF50,0,0,0,0,0,0,0,0,0.040606179,0.045472237,0.043140951,Wood_EP_im
Denmark,REF,MFM,AF50,0,0,0.000764252,0.260677467,1.119378293,2.302591384,3.16817915,3.33338103,3.246999567,3.197078225,3.033169387,Wood_EP_im
France,REF,MFM,AF50,0,0,0,0.275490894,1.703754584,3.261136113,6.22791852,8.730721059,8.851577328,8.715487805,8.469830792,Wood_EP_im
Greece,REF,MFM,AF50,0,0,5.54E-05,0.016159267,0.062911379,0.120417913,0.127640356,0.134296048,0.130815891,0.128804648,0.12220105,Wood_EP_im
Ireland,REF,MFM,AF50,0,0,2.85E-05,0.008325927,0.032414562,0.062044322,0.065765626,0.069194916,0.067401794,0.066365518,0.062963069,Wood_EP_im
Italy,REF,MFM,AF50,0,0,0.001302481,0.380038418,1.715232809,3.283106446,3.937112995,4.155268819,4.073110297,4.010487827,3.804876844,Wood_EP_im
Malta,REF,MFM,AF50,0,0,0,5.26E-05,0.000883574,0.003509832,0.004471286,0.004711272,0.004856238,0.007713273,0.007460961,Wood_EP_im
Netherlands,REF,MFM,AF50,0,0,0.000673383,0.196480148,1.281332423,2.634479268,2.792490443,2.938102371,2.861964185,2.817962611,2.673490395,Wood_EP_im
Poland,REF,MFM,AF50,0,0,5.75E-05,0.016780043,0.486732946,6.941330926,7.688564749,8.415216777,8.565824554,8.714868732,8.492520534,Wood_EP_im
Slovenia,REF,MFM,AF50,0,0,2.51E-05,0.007317213,0.028487428,0.054527443,0.057797897,0.060811717,0.059235838,0.058325111,0.05533488,Wood_EP_im
Sweden,REF,MFM,AF50,0,0,0.000401514,0.117153926,0.456104537,0.873024197,0.925386567,1.306733397,2.140711311,3.370500406,3.789206825,Wood_EP_im
UK,REF,MFM,AF50,0,0,0.000790695,0.230709493,0.898199916,1.719233634,2.139645567,2.251215479,2.192877328,2.159162701,2.048466051,Wood_EP_im
EU28,REF,MFM,AF50,0,0,0.00459383,1.653616864,8.351442476,22.37119894,28.3327647,32.68580413,33.48880234,34.52730335,33.77466826,Wood_EP_im
Belgium,REF,MFM,AF75,0,0,0.000495,0.083448372,0.586927145,1.011736164,1.090062685,1.076619776,0.987501998,0.928559664,0.875940307,Wood_EP_im
Cyprus,REF,MFM,AF75,0,0,0,0,0.003440738,0.044119372,0.063165893,0.083123818,0.078763831,0.07526088,0.071095965,Wood_EP_im
Denmark,REF,MFM,AF75,0,0,0.000764252,0.150145091,1.181536391,2.234170488,2.960985603,2.924470034,2.682395463,2.522287787,2.379355495,Wood_EP_im
France,REF,MFM,AF75,0,0,0,0.159170754,1.830499438,3.155387334,6.09106039,7.552763656,7.634529067,7.355064059,7.148425206,Wood_EP_im
Greece,REF,MFM,AF75,0,0,5.54E-05,0.009336362,0.065666522,0.113194961,0.121958281,0.120454263,0.110483597,0.103889017,0.098001863,Wood_EP_im
Ireland,REF,MFM,AF75,0,0,2.85E-05,0.004810483,0.033834126,0.058322757,0.062837984,0.062063051,0.056925749,0.053527947,0.05049464,Wood_EP_im
Italy,REF,MFM,AF75,0,0,0.001302481,0.219575322,1.769423584,3.050105697,3.702508543,3.661415504,3.358339877,3.157886215,2.978936011,Wood_EP_im
Malta,REF,MFM,AF75,0,0,0,3.04E-05,0.000865332,0.003207262,0.00408539,0.004035008,0.003826625,0.005953747,0.005731152,Wood_EP_im
Netherlands,REF,MFM,AF75,0,0,0.000673383,0.120712147,1.393729712,2.565094358,2.763678656,2.729596323,2.503652527,2.354213716,2.220805799,Wood_EP_im
Poland,REF,MFM,AF75,0,0,5.75E-05,0.009695029,0.508048946,6.52497346,7.696134467,8.469892411,8.553900761,8.663980245,8.72190972,Wood_EP_im
Slovenia,REF,MFM,AF75,0,0,2.51E-05,0.004227676,0.029735007,0.051256758,0.05522495,0.054543903,0.050029002,0.047042855,0.044377044,Wood_EP_im
Sweden,REF,MFM,AF75,0,0,0.000401514,0.067688186,0.476079195,0.820658138,0.89384052,1.350871467,2.53046153,3.363875704,3.854061599,Wood_EP_im
UK,REF,MFM,AF75,0,0,0.000790695,0.133297343,0.937535714,1.616109929,2.017673007,1.99279059,1.827836283,1.718735808,1.621338973,Wood_EP_im
EU28,REF,MFM,AF75,0,0,0.00459383,0.962137153,8.817321852,21.24833668,27.52321637,30.0826398,30.37864631,30.35027764,30.07047378,Wood_EP_im
Belgium,REF,MFM,AF100,0,0,0.006414854,0.063732522,0.587407777,1.054136078,1.106784669,1.088764969,1.006202081,0.921773298,1.000537187,Wood_EP_im
Cyprus,REF,MFM,AF100,0,0,0,0,0.002548005,0.034068062,0.051284439,0.05621697,0.069712317,0.065178759,0.070748168,Wood_EP_im
CzechRep,REF,MFM,AF100,0,0,0,0,0,0.073607416,0.091917572,0.090421051,0.08356427,0.076552528,0.083093805,Wood_EP_im
Denmark,REF,MFM,AF100,0,0,0.009904168,0.114497069,1.236414851,2.369293719,3.027320079,2.978031903,2.752202708,2.521269848,2.736707872,Wood_EP_im
France,REF,MFM,AF100,0,0,0,0.107736602,1.721646605,3.089591032,5.844461995,7.452959105,7.954724348,7.59522921,8.634742639,Wood_EP_im
Greece,REF,MFM,AF100,0,0,0.000717706,0.007130515,0.065720296,0.117938744,0.123829168,0.12181309,0.112575797,0.103129745,0.111941998,Wood_EP_im
Ireland,REF,MFM,AF100,0,0,0.000369792,0.003673938,0.033861833,0.060766951,0.063801943,0.062763176,0.058003738,0.053136739,0.057677178,Wood_EP_im
Italy,REF,MFM,AF100,0,0,0.016879222,0.167697568,1.70192714,3.054203349,3.508373511,3.462600334,3.200025495,2.931516552,3.182009427,Wood_EP_im
Malta,REF,MFM,AF100,0,0,0,2.32E-05,0.000984813,0.003609815,0.004525958,0.00445227,0.00418723,0.006201371,0.006850719,Wood_EP_im
Netherlands,REF,MFM,AF100,0,0,0.008726571,0.09512132,1.431987614,2.761645011,2.899574753,2.852366414,2.636066646,2.414878574,2.621225653,Wood_EP_im
Poland,REF,MFM,AF100,0,0,0.000745278,0.007404442,0.508464985,6.798422531,8.094030385,9.037907262,9.303897891,9.329792467,10.85534868,Wood_EP_im
Slovenia,REF,MFM,AF100,0,0,0.00032499,0.003228828,0.029759357,0.05340483,0.056072122,0.055159205,0.050976389,0.046699043,0.050689393,Wood_EP_im
Sweden,REF,MFM,AF100,0,0,0.005203335,0.051695901,0.476469054,0.85505034,1.235302171,2.470228502,3.82367913,4.820467522,5.937952709,Wood_EP_im
UK,REF,MFM,AF100,0,0,0.010246851,0.101803973,0.938303458,1.683837984,1.970051516,1.937976861,1.791016799,1.640735488,1.780933417,Wood_EP_im
EU28,REF,MFM,AF100,0,0,0.059532767,0.723745889,8.735495788,22.00957586,28.07733028,31.67166111,32.84683484,32.52656114,37.13045885,Wood_EP_im
Belgium,RCP,MFM,noAF,0,0,0.000495308,0.018908362,0.777563278,1.326355209,1.616117208,1.872701667,1.966651034,1.994322847,2.021663913,Wood_EP_im
Bulgaria,RCP,MFM,noAF,0,0,0,0,0,0,0,0,0,0.616931922,1.283210966,Wood_EP_im
Cyprus,RCP,MFM,noAF,0,0,0,0,0,0,0,0.061552368,0.133959686,0.193980315,0.266085094,Wood_EP_im
CzechRep,RCP,MFM,noAF,0,0,0,0,0,0,0.817239495,2.280773851,3.53199268,4.356015971,5.304660982,Wood_EP_im
Denmark,RCP,MFM,noAF,0,0,0.000764252,0.030365866,1.24872701,2.13005889,2.595401898,3.73962232,3.927231034,4.092366611,4.725830114,Wood_EP_im
France,RCP,MFM,noAF,0,0,0,0.018058904,2.72421223,8.37224887,12.58889455,15.11577817,16.35124157,18.99095305,24.48789344,Wood_EP_im
Germany,RCP,MFM,noAF,0,0,0,0,0,0,0,0,0.092030615,0.695329413,3.7623603,Wood_EP_im
Greece,RCP,MFM,noAF,0,0,5.54E-05,0.002114188,0.086941174,0.148302886,0.180701855,0.209391165,0.219895864,0.222989914,0.226046983,Wood_EP_im
Hungary,RCP,MFM,noAF,0,0,0,0,0.093572942,1.189226298,3.137305962,5.486838064,7.341023757,9.051252593,10.84360586,Wood_EP_im
Ireland,RCP,MFM,noAF,0,0,2.85E-05,0.001089318,0.092653227,0.176114647,0.214589508,0.248659025,0.261133707,0.264807996,0.268438367,Wood_EP_im
Italy,RCP,MFM,noAF,0,0,0.001302241,0.076475581,4.384376762,7.80270491,9.50732171,11.01676112,11.56944805,11.73223626,12.04006351,Wood_EP_im
Lithuania,RCP,MFM,noAF,0,0,0,0,0,0,0,0.211607755,0.459636371,0.620418,0.832641566,Wood_EP_im
Malta,RCP,MFM,noAF,0,0,0,6.88E-06,0.001302805,0.005160616,0.010557102,0.016305021,0.0212566,0.026205437,0.031581606,Wood_EP_im
Netherlands,RCP,MFM,noAF,0,0,0.000673383,0.025706366,1.057115675,1.803211289,2.197149583,2.545982226,2.673708614,2.711329098,2.748499925,Wood_EP_im
Poland,RCP,MFM,noAF,0,0,5.75E-05,0.004127781,1.264702987,13.28050762,29.88264135,50.30844492,69.17838345,86.60201286,104.4480314,Wood_EP_im
Romania,RCP,MFM,noAF,0,0,0,0,0,0,0,0.728655042,4.612129851,9.202370908,14.09785882,Wood_EP_im
Slovakia,RCP,MFM,noAF,0,0,0,0,0,0,0,0,0,0,0.180878718,Wood_EP_im
Slovenia,RCP,MFM,noAF,0,0,2.51E-05,0.000957343,0.03936856,0.067154271,0.081825119,0.094816165,0.099572886,0.100973929,0.102358226,Wood_EP_im
Spain,RCP,MFM,noAF,0,0,0,0,0,0,0,0,0.006144162,0.035056151,0.264769432,Wood_EP_im
Sweden,RCP,MFM,noAF,0,0,0.000401514,0.015327766,0.630319413,1.07518894,2.183006824,7.408306439,12.85170488,17.73031236,23.39603107,Wood_EP_im
UK,RCP,MFM,noAF,0,0,0.000790627,0.030182142,2.448221997,6.094356247,9.842776874,13.25329536,13.91818434,14.1140205,15.46917021,Wood_EP_im
EU28,RCP,MFM,noAF,0,0,0.00459383,0.223320497,14.84907806,43.47059069,74.85552903,114.5994907,149.2153291,183.3538861,226.8016805,Wood_EP_im
Belgium,RCP,MFM,AF0,0,0,0,0,0.758204148,1.308090346,1.473214499,1.835098192,1.959554686,1.996132249,2.017855771,Wood_EP_im
Bulgaria,RCP,MFM,AF0,0,0,0,0,0,0,0,0,0,0.361490273,0.755825476,Wood_EP_im
Cyprus,RCP,MFM,AF0,0,0,0,0,0,0,0,0.033635871,0.104064954,0.141243472,0.201101495,Wood_EP_im
CzechRep,RCP,MFM,AF0,0,0,0,0,0,0,0.419825323,1.591525627,2.672261258,3.143969069,3.619850234,Wood_EP_im
Denmark,RCP,MFM,AF0,0,0,0,0,1.170623897,2.019616777,2.274559037,3.300815269,3.564486765,3.631022414,4.191541085,Wood_EP_im
France,RCP,MFM,AF0,0,0,0,0,4.00415929,9.908952886,11.60008115,14.44955095,16.05625154,18.26544796,23.42584749,Wood_EP_im
Germany,RCP,MFM,AF0,0,0,0,0,0,0,0,0,0,1.30253365,4.432925212,Wood_EP_im
