Country,Mitigation_scenario,Forest_use,Management_scenario,2000,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,Category
CzechRep,REF,MFM,AF0,0.068323271,0.580404372,1.243816559,1.243816559,1.243816559,1.243816559,1.425700336,1.740195522,1.785000654,1.875064173,2.018215919,Wood_forest_im
Denmark,REF,MFM,AF0,1.797252731,3.917100169,5.377399349,5.320554011,3.901402103,3.330021191,3.515504344,3.26290997,3.307694129,3.602258233,4.114916151,Wood_forest_im
Estonia,REF,MFM,AF0,0.191581572,3.100535101,4.534262235,4.399898918,3.090662244,2.548960846,2.523994944,2.149510919,2.002706755,1.93566549,1.989659181,Wood_forest_im
Finland,REF,MFM,AF0,7.17809,10.19014748,10.26421612,10.52365236,10.52365236,10.52365236,10.52365236,10.52365236,10.81311925,11.44535104,12.12722202,Wood_forest_im
France,REF,MFM,AF0,9.691371494,12.26042272,15.19337829,17.56626966,20.0975448,20.53797604,20.35775922,19.08364202,18.74672119,20.12169372,22.07170024,Wood_forest_im
Germany,REF,MFM,AF0,11.39146882,12.62271279,12.83715573,12.84388349,12.84388349,12.84388349,13.45464577,15.73166546,17.27176771,17.80746227,18.96064225,Wood_forest_im
Greece,REF,MFM,AF0,2.622045621,2.684321865,3.08311282,3.085281002,2.990407102,2.933347306,2.909607533,2.886096018,2.882627973,2.879212873,2.90157393,Wood_forest_im
Hungary,REF,MFM,AF0,1.355876175,1.394441165,1.661618256,1.683150192,1.848773778,2.413113199,2.764792309,2.778218,2.727644147,2.647791046,2.747597616,Wood_forest_im
Ireland,REF,MFM,AF0,1.263722299,1.332511349,1.625156058,1.675672514,1.722077379,1.703499683,1.726447937,1.789659682,1.855292841,1.938803491,2.058343633,Wood_forest_im
Italy,REF,MFM,AF0,22.52589839,25.70018861,30.44895024,32.76332021,29.71031642,28.41513447,27.41540267,26.92602813,27.16459955,27.30533044,27.7484717,Wood_forest_im
Latvia,REF,MFM,AF0,0.194476167,1.386714872,6.216788422,8.413894516,5.360890727,4.065708774,3.065976972,2.355478896,2.366529118,2.206612055,2.511189091,Wood_forest_im
Lithuania,REF,MFM,AF0,0.052109214,0.16664068,0.692331389,0.692331389,0.692331389,0.798103035,1.165650431,1.31433162,1.316435359,1.218098737,1.254416554,Wood_forest_im
Luxembourg,REF,MFM,AF0,0.447024042,0.493289489,0.560366306,0.560367866,0.560367866,0.668563221,1.037622421,1.188448705,1.192834945,1.095358013,1.133147627,Wood_forest_im
Malta,REF,MFM,AF0,0.062373507,0.063214267,0.077549404,0.083682206,0.089497722,0.092638616,0.093358502,0.095106435,0.095664203,0.095696834,0.095966528,Wood_forest_im
Netherlands,REF,MFM,AF0,2.998066413,5.271250959,6.644175214,6.534712074,5.493302288,4.852282937,4.783009428,4.803450901,5.007855975,5.280078977,5.617260385,Wood_forest_im
Poland,REF,MFM,AF0,0.992893063,1.714976365,2.567279934,4.03076067,10.52712012,16.53000832,19.18696393,17.40518462,16.35050629,14.82069979,15.86204313,Wood_forest_im
Portugal,REF,MFM,AF0,0.961531151,2.011155518,2.015587697,3.365336687,8.660338525,14.35700982,17.16686381,15.52757434,14.60895702,13.19932375,14.37431682,Wood_forest_im
Romania,REF,MFM,AF0,0.002033333,0.297263781,0.860695802,0.860695802,0.860695802,0.860695802,0.860695802,0.860695802,1.275515803,1.877179202,2.474049415,Wood_forest_im
Slovakia,REF,MFM,AF0,0.318702898,1.029547618,1.312673787,1.312673787,1.312673787,1.312673787,1.312673787,1.375930693,1.492405865,1.518672537,1.572662518,Wood_forest_im
Slovenia,REF,MFM,AF0,0.836287111,0.896287344,1.129303078,1.125978788,1.079411439,1.057220088,1.047346866,1.036917863,1.031650291,1.034681877,1.040122857,Wood_forest_im
Spain,REF,MFM,AF0,6.113318358,7.156303355,7.174892471,7.199341176,7.199341176,7.199341176,7.199341176,7.827130571,8.166379263,8.76924091,9.489211834,Wood_forest_im
Sweden,REF,MFM,AF0,5.142051667,6.457710064,8.472284518,8.707604287,8.097079089,7.67855137,8.480642508,9.039230964,9.156454709,9.578278615,10.24012447,Wood_forest_im
UK,REF,MFM,AF0,12.91325555,14.41390311,19.8620639,19.81273059,19.98899917,19.52497015,20.05068016,20.25413809,21.33826064,23.27129163,25.94585114,Wood_forest_im
EU28,REF,MFM,AF0,102.9879277,120.7279581,134.0397028,136.2606716,136.243527,136.3834019,137.5851987,140.6600653,144.8998969,151.4899448,158.7161875,Wood_forest_im
Austria,REF,MFM,AF25,6.152973849,6.152973849,6.195622512,6.648060985,6.656394952,6.657022559,6.658481484,6.681241291,6.760373872,6.831475299,6.848608796,Wood_forest_im
Belgium,REF,MFM,AF25,6.777334413,9.244337761,9.396567808,9.368103638,8.54515815,8.132034452,8.092602545,8.114191784,8.304732765,8.622984627,9.096933463,Wood_forest_im
Bulgaria,REF,MFM,AF25,0.08230758,0.323452211,0.529303712,0.529303712,0.529303712,0.529303712,0.529303712,0.569389082,0.731271856,0.815159965,0.935128337,Wood_forest_im
Croatia,REF,MFM,AF25,0.628890634,0.731376193,0.74883923,0.824322311,0.824322311,0.824322311,0.824322311,0.865975649,1.037591665,1.117794728,1.2377631,Wood_forest_im
Cyprus,REF,MFM,AF25,0.226668388,0.237650033,0.237661851,0.238229151,0.238229151,0.251761358,0.263368862,0.287555445,0.30392595,0.310905379,0.325159322,Wood_forest_im
CzechRep,REF,MFM,AF25,0.068323271,0.580404372,1.243816559,1.243816559,1.243816559,1.252180018,1.46140773,1.903364521,2.001114508,2.123274094,2.369305156,Wood_forest_im
Denmark,REF,MFM,AF25,1.797252731,3.917100169,5.381320296,5.269269699,3.973254703,3.503961286,3.545504646,3.372880687,3.491077052,3.720836834,4.424722068,Wood_forest_im
Estonia,REF,MFM,AF25,0.191581572,3.100535101,4.534262235,4.399898918,3.090662244,2.548960846,2.436212755,2.053504832,1.918551874,1.823201364,1.899067799,Wood_forest_im
Finland,REF,MFM,AF25,7.17809,10.19014748,10.26421612,10.52365236,10.52365236,10.52365236,10.52365236,10.62372357,11.02020916,11.71868276,12.7024527,Wood_forest_im
France,REF,MFM,AF25,9.691371494,12.26042272,17.94735841,20.34974455,22.88812958,23.32856081,23.14042494,22.12211372,21.85432996,23.04276914,25.39352283,Wood_forest_im
Germany,REF,MFM,AF25,11.39146882,12.62271279,12.83715573,12.84388349,12.84388349,12.84388349,13.45464577,15.71953746,17.45848794,17.90776552,19.20742979,Wood_forest_im
Greece,REF,MFM,AF25,2.622045621,2.684321865,3.08311282,3.080875927,2.986002027,2.928942231,2.905202458,2.882724081,2.880248886,2.875566867,2.885684394,Wood_forest_im
Hungary,REF,MFM,AF25,1.355876175,1.394441165,1.661618256,1.683150192,1.846764841,2.412693327,2.764974037,2.778666609,2.732471227,2.654244678,2.75414492,Wood_forest_im
Ireland,REF,MFM,AF25,1.263722299,1.332511349,1.625156058,1.677020348,1.71719189,1.698614194,1.723366156,1.782212649,1.854443054,1.942374993,2.070905014,Wood_forest_im
Italy,REF,MFM,AF25,22.52589839,25.70018861,30.44895024,32.69412018,29.64111639,28.34593444,27.34620264,26.78296243,27.03606918,27.1009629,27.55284176,Wood_forest_im
Latvia,REF,MFM,AF25,0.194476167,1.386714872,6.216788422,8.413894516,5.360890727,4.065708774,3.065976972,2.355478896,2.366529118,2.206612055,2.511189091,Wood_forest_im
Lithuania,REF,MFM,AF25,0.052109214,0.16664068,0.692331389,0.692331389,0.692331389,0.798103035,1.165650431,1.31433162,1.353067267,1.254730645,1.291048463,Wood_forest_im
Luxembourg,REF,MFM,AF25,0.447024042,0.493289489,0.560366306,0.560366306,0.560366306,0.668561661,1.037620861,1.188447145,1.192670907,1.097899772,1.136382405,Wood_forest_im
Malta,REF,MFM,AF25,0.062373507,0.063214267,0.077549404,0.083682206,0.088450341,0.092268631,0.092930329,0.094980075,0.095537843,0.095570474,0.095840168,Wood_forest_im
Netherlands,REF,MFM,AF25,2.998066413,5.271250959,6.63469534,6.525232201,5.483822414,4.832554271,4.673838846,4.740205071,4.931549197,5.176210309,5.702543695,Wood_forest_im
Poland,REF,MFM,AF25,0.992893063,1.714976365,2.567279934,4.213694198,11.59798555,17.71492077,20.37187639,18.59009708,17.5614113,16.0316048,17.07294814,Wood_forest_im
Portugal,REF,MFM,AF25,0.961531151,2.011155518,2.015587697,3.348537588,8.654751701,14.39613417,17.20598816,15.56669869,14.64808137,13.24107173,14.41245667,Wood_forest_im
Romania,REF,MFM,AF25,0.002033333,0.297263781,0.860695802,0.860695802,0.860695802,0.860695802,0.860695802,0.860695802,1.275515803,1.877179202,2.474049415,Wood_forest_im
Slovakia,REF,MFM,AF25,0.318702898,1.029547618,1.312673787,1.312673787,1.312673787,1.312673787,1.312673787,1.381279135,1.559036067,1.585302739,1.689778054,Wood_forest_im
Slovenia,REF,MFM,AF25,0.836287111,0.896287344,1.129431738,1.125022807,1.082062162,1.056224438,1.045474633,1.034620728,1.031771659,1.036409362,1.049914992,Wood_forest_im
Spain,REF,MFM,AF25,6.113318358,7.156303355,7.174892471,7.184294989,7.184294989,7.184294989,7.184294989,7.717183785,8.073807551,8.623052134,9.424334108,Wood_forest_im
Sweden,REF,MFM,AF25,5.142051667,6.457710064,8.472284518,8.682846807,8.072321608,7.65379389,8.622547208,9.328779944,9.622601574,10.38024941,11.57466012,Wood_forest_im
UK,REF,MFM,AF25,12.91325555,22.84072811,37.0617471,42.80628238,45.00184205,51.19396352,55.12829601,54.4399572,56.04191383,55.78141897,63.55387635,Wood_forest_im
EU28,REF,MFM,AF25,102.9879277,120.7279581,136.784203,139.008546,139.8976401,140.2354413,141.5098396,145.4039354,150.404448,156.9759964,166.3814576,Wood_forest_im
Austria,REF,MFM,AF50,6.152973849,6.152973849,6.195622512,6.651975574,7.051768918,7.128081953,7.302584385,7.763587573,8.101964886,8.305205689,8.406178267,Wood_forest_im
Belgium,REF,MFM,AF50,6.777334413,9.244337761,9.396567808,9.372133159,8.548332851,8.154630537,8.130715129,8.240441986,8.630875274,9.132777288,9.684359811,Wood_forest_im
Bulgaria,REF,MFM,AF50,0.08230758,0.323452211,0.529303712,0.529303712,0.529303712,0.529303712,0.529303712,0.569389082,0.731271856,0.833748891,0.953717263,Wood_forest_im
Croatia,REF,MFM,AF50,0.628890634,0.731376193,0.74883923,0.827668716,0.827668716,0.827668716,0.829109912,0.871947262,1.039737306,1.120639881,1.240608253,Wood_forest_im
Cyprus,REF,MFM,AF50,0.226668388,0.237650033,0.237667126,0.238234426,0.238234426,0.24774473,0.262959382,0.293456056,0.308390967,0.317631898,0.33544733,Wood_forest_im
CzechRep,REF,MFM,AF50,0.068323271,0.580404372,1.243816559,1.243816559,1.243816559,1.468230653,1.51646415,1.660546468,1.809161384,1.95170371,2.172619407,Wood_forest_im
Denmark,REF,MFM,AF50,1.797252731,3.917100169,5.381320296,5.292647645,4.021676643,3.581922846,3.690767965,3.667467355,3.869685738,4.273306971,4.963451879,Wood_forest_im
Estonia,REF,MFM,AF50,0.191581572,3.100535101,4.534262235,4.450530916,3.141339829,2.679952917,2.54918163,2.261808144,2.164459185,2.091837867,2.211400661,Wood_forest_im
Finland,REF,MFM,AF50,7.17809,10.19014748,10.26421612,10.52639976,10.52639976,10.52639976,10.60255675,10.89062777,11.58261814,12.34231209,13.73519492,Wood_forest_im
France,REF,MFM,AF50,9.691371494,12.26042272,13.70080363,18.10035254,19.18569962,17.62831809,20.78946629,22.69080421,23.74957484,25.80789578,28.70681371,Wood_forest_im
Germany,REF,MFM,AF50,11.39146882,12.62271279,12.83715573,12.84388349,12.84388349,12.84388349,13.45464577,15.75212952,17.31870856,18.05637762,19.23562358,Wood_forest_im
Greece,REF,MFM,AF50,2.622045621,2.684321865,3.083200745,3.084337719,2.989463819,2.932404023,2.90866425,2.886385258,2.882742653,2.884347172,2.907178251,Wood_forest_im
Hungary,REF,MFM,AF50,1.355876175,1.394441165,1.661631647,1.681978089,1.844166438,2.435502532,2.788026884,2.802119238,2.751247154,2.682409448,2.789034228,Wood_forest_im
Ireland,REF,MFM,AF50,1.263722299,1.332511349,1.625156058,1.677020348,1.682674496,1.6640968,1.691708708,1.783165436,1.850112275,1.947840886,2.091549427,Wood_forest_im
Italy,REF,MFM,AF50,22.52589839,25.70018861,30.44895024,32.74570975,29.69270596,28.39752401,27.39779221,26.86766338,27.1321832,27.16314063,27.58998165,Wood_forest_im
Latvia,REF,MFM,AF50,0.194476167,1.386714872,6.216788422,8.413894516,5.360890727,4.105527837,3.10758687,2.397088794,2.408139016,2.248221953,2.552798989,Wood_forest_im
Lithuania,REF,MFM,AF50,0.052109214,0.16664068,0.692331389,0.692331389,0.692331389,0.798103035,1.165650431,1.31433162,1.316435359,1.218098737,1.254416554,Wood_forest_im
Luxembourg,REF,MFM,AF50,0.447024042,0.493289489,0.560366306,0.560366306,0.560366306,0.684597854,1.057526009,1.222665451,1.241459726,1.157639168,1.202098076,Wood_forest_im
