Country,Mitigation_scenario,Forest_use,Management_scenario,2000,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,Category
Belgium,REF,MFM,noAF,0,2.144775,2.234172502,2.189255811,1.685322083,1.222688032,1.165308589,1.22583344,1.272784406,1.344769113,1.371436496,Wood_Byproducts
Cyprus,REF,MFM,noAF,0,0,0,0,0,0.032312104,0.046473445,0.067268299,0.077829573,0.083963774,0.085628814,Wood_Byproducts
CzechRep,REF,MFM,noAF,0,0,0,0,0,0,0,0,0.011665829,0.015474285,0.015781147,Wood_Byproducts
Denmark,REF,MFM,noAF,0,2.06295,3.447290369,4.312602627,3.979485919,3.099749656,3.77637342,3.972514118,4.124666415,4.357944653,4.444364677,Wood_Byproducts
France,REF,MFM,noAF,0,0,0,2.090903481,3.174967608,2.350422295,4.667660228,8.127981968,10.13882599,11.2798906,12.0027423,Wood_Byproducts
Greece,REF,MFM,noAF,0,0.033625,0.249808067,0.244785826,0.188439814,0.136711616,0.130295886,0.137063312,0.142313009,0.150361788,0.153343531,Wood_Byproducts
Ireland,REF,MFM,noAF,0,0.017325,0.128711517,0.126123849,0.097092038,0.070439517,0.067133865,0.070620725,0.073325588,0.077472654,0.079008972,Wood_Byproducts
Italy,REF,MFM,noAF,0,1.141875,5.873978278,5.755885487,5.228440674,3.793192946,4.049684032,4.264549698,4.482757788,4.736288555,4.83021131,Wood_Byproducts
Malta,REF,MFM,noAF,0,0,0,0.000796719,0.002193325,0.003903097,0.004420753,0.004650362,0.004976834,0.008707153,0.009044908,Wood_Byproducts
Netherlands,REF,MFM,noAF,0,1.8941,3.037410379,3.088926512,3.83210916,2.935949627,2.798168647,2.943502461,3.056242315,3.229093826,3.293128224,Wood_Byproducts
Poland,REF,MFM,noAF,0,0.26015,0.259404722,0.254189547,1.457921715,7.880559844,7.633019372,8.116167938,8.497928368,8.978544631,9.156593253,Wood_Byproducts
Slovenia,REF,MFM,noAF,0,0.03575,0.113117681,0.110843518,0.085329009,0.061905531,0.05900037,0.062064785,0.064441944,0.068086579,0.069436767,Wood_Byproducts
Sweden,REF,MFM,noAF,0,0.836275,1.811096717,1.77468571,1.366179778,0.991152778,0.944639037,1.204310281,2.069925689,4.121725883,5.464237174,Wood_Byproducts
UK,REF,MFM,noAF,0,1.274025,3.566258691,3.494561211,2.690165832,1.951694338,2.174650117,2.287599062,2.375216989,2.509551837,2.55931739,Wood_Byproducts
EU28,REF,MFM,noAF,0,9.70085,20.72124892,23.4435603,23.78764696,24.53068138,27.51682776,32.48412645,36.39290074,40.96187533,43.53427496,Wood_Byproducts
Belgium,REF,MFM,AF0,0,2.144775,2.239198471,2.166795725,1.704100532,1.237087128,1.107762889,1.16043515,1.170771274,1.119451189,1.093772903,Wood_Byproducts
Cyprus,REF,MFM,AF0,0,0,0,0,0.013241819,0.03437671,0.041048709,0.067340261,0.068492368,0.067010589,0.066344607,Wood_Byproducts
Denmark,REF,MFM,AF0,0,2.06295,3.457194538,4.021330844,3.234494959,2.528648688,3.201645873,3.353878745,3.383752113,3.235427287,3.161212146,Wood_Byproducts
France,REF,MFM,AF0,0,0,0,3.662858493,4.367450924,3.170539072,5.348264054,8.119150426,8.90184317,8.681644896,8.596466977,Wood_Byproducts
Greece,REF,MFM,AF0,0,0.033625,0.250525773,0.242425216,0.190658,0.138407655,0.123938613,0.129831686,0.130988111,0.125246323,0.122373387,Wood_Byproducts
Ireland,REF,MFM,AF0,0,0.017325,0.129081309,0.124907565,0.09823494,0.071313386,0.063858334,0.06689469,0.067490529,0.06453212,0.063051864,Wood_Byproducts
Italy,REF,MFM,AF0,0,1.141875,5.891939107,5.701427824,5.38984231,3.912741306,3.956876782,4.168353179,4.253462591,4.074145268,3.980691379,Wood_Byproducts
Malta,REF,MFM,AF0,0,0,0,0.000789036,0.002677743,0.00400379,0.004354694,0.004561752,0.00490485,0.00756262,0.007537633,Wood_Byproducts
Netherlands,REF,MFM,AF0,0,1.8941,3.04613695,2.947642474,3.668871966,2.77850487,2.48804188,2.606344083,2.629559078,2.514293869,2.456620289,Wood_Byproducts
Poland,REF,MFM,AF0,0,0.26015,0.26015,0.251738251,1.475083382,7.550627148,6.761289773,7.082777719,7.145864803,6.832629932,6.675901146,Wood_Byproducts
Slovenia,REF,MFM,AF0,0,0.03575,0.113442671,0.10977459,0.086333444,0.062673528,0.056121681,0.058790172,0.059313823,0.056713835,0.055412917,Wood_Byproducts
Sweden,REF,MFM,AF0,0,0.836275,1.816300052,1.757571398,1.382261521,1.003448977,0.89854911,0.941273608,1.638805878,1.750774651,1.71061489,Wood_Byproducts
UK,REF,MFM,AF0,0,1.274025,3.57681282,3.461159351,2.722067163,1.976077223,1.918948379,2.010191143,2.028096138,1.939195711,1.894713895,Wood_Byproducts
