Mitigation_scenario,Forest_use,Management_scenario,Ecoregion,2000,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,Category
REF,MFM,noAF,PA1215,1596.686271,1596.686271,1680.207292,1719.270072,1719.537837,1719.67239,1719.67239,1719.673033,1719.747141,1720.446486,1720.814867,Clear_cut_EU
REF,MFM,noAF,PA1216,1844.685641,1844.685641,1924.40826,1924.40826,1924.40826,1924.40826,1933.465857,1983.901436,2085.580495,2110.608546,2115.744525,Clear_cut_EU
REF,MFM,noAF,PA1217,229.6839374,229.6839374,229.6839374,229.6839374,229.6839374,229.6839374,266.738479,266.738479,266.738479,266.738479,266.738479,Clear_cut_EU
REF,MFM,noAF,PA1218,93.69981648,93.69981648,144.4078202,144.4078202,155.8985179,158.8372136,158.8372136,190.317406,190.317406,191.286629,191.7959836,Clear_cut_EU
REF,MFM,noAF,PA1219,30.19103474,30.19103474,32.05357992,36.2481242,36.2481242,36.5053006,36.58331583,38.04100996,38.21482018,38.21482018,40.08286941,Clear_cut_EU
REF,MFM,noAF,PA1221,1463.073984,1463.073984,1702.146715,1718.373307,1718.373307,1722.222354,1723.389974,1745.206642,1748.343582,1750.360575,1779.087883,Clear_cut_EU
REF,MFM,noAF,PA1222,358.6165887,363.6971144,535.2992608,535.3518607,564.8305647,572.404242,593.0942236,669.2596711,669.6767113,675.4877467,678.5413114,Clear_cut_EU
REF,MFM,noAF,Lake,3.343570223,3.343570223,3.343570223,3.343570223,3.343570223,3.343570223,3.256938718,2.993373793,2.649456173,2.649456173,2.649456173,Selection_EU
REF,MFM,noAF,PA0401,4.709741063,4.709741063,10.34941109,12.58638613,14.48836728,23.56620872,71.72273044,80.96018036,97.40282197,189.8463413,203.3414837,Selection_EU
REF,MFM,noAF,PA0402,799.5774179,797.8331374,747.9626985,742.7663973,737.4511902,723.5185437,722.9867665,721.8701906,727.5873405,726.8592119,726.5672111,Selection_EU
REF,MFM,noAF,PA0404,90.62598174,357.0087085,535.2695409,743.3524043,812.5802348,1201.844529,1297.723418,1278.424561,1253.07212,1245.901402,1212.771464,Selection_EU
