"Scenario","Ecoregion","fr_Annual_EU","fr_Permanent_EU","fr_Pasture_EU","fr_Urban_EU","fr_Annual_RoW","fr_Permanent_RoW","fr_Pasture_RoW","fr_Urban_RoW","fr_For_ClearCut_EU","fr_For_ClearCut_im","fr_For_ClearCut_ex","fr_For_Retention_EU","fr_For_PlantationFuel_im","fr_For_PlantationTimber_im","fr_For_TimberPlant_EU","fr_For_TimberPlant_ex","fr_For_SelectionSystem_EU","fr_For_SelectionSystem_im","fr_For_SelectionSystem_ex","fr_For_Selective_im","fr_For_ReducedImpactLogging_im","fr_EP_EU","fr_EP_conv_EU","fr_EP_RoW","fr_EP_conv_im","fr_Afforested_EU","fr_Afforested_RoW","fr_Regrowth","fr_ForOther_Extensive_EU","fr_ForOther_Extensive_RoW","fr_ForOther_Intensive_EU","fr_ForOther_Intensive_RoW"
"REF_SFM_AF50","IM0501",0,0,0,0,1,1,1,1,0,1,0,0,0.113283993913767,1,0,0,0,1,0,1,1,0,0,0.886716006086233,0,0,0.818953470224295,0.181046529775705,0,1,0,1
"REF_SFM_AF50","IM0502",0,0,0,0,1,1,1,1,0,1,0,0,0.992559317812171,1,0,0,0,1,0,1,1,0,0,0.00744068218782903,0,0,0.997608058425874,0.00239194157412609,0,1,0,1
"REF_SFM_AF50","IM0701",0,0,0,0,1,1,1,1,0,1,0,0,0.440831505676364,1,0,0,0,1,0,1,1,0,0,0.559168494323636,0,0,0.997765718034949,0.00223428196505119,0,1,0,1
"REF_SFM_AF50","IM0901",0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0.999999843673751,1.56326248803274e-07,0,1,0,1
"REF_SFM_AF50","IM1001",0,0,0,0,1,1,1,0,0,0,0,0,0.194278588841661,1,0,0,0,0,0,1,1,0,0,0,0.805721411158339,0,0.0369615642582299,0.96303843574177,0,1,0,1
"REF_SFM_AF50","IM1301",0,0,0,0,1,1,1,1,0,0,0,0,0.0403344816049968,1,0,0,0,0,0,1,1,0,0,0.959665518395003,0,0,0.999962220648951,3.77793510490986e-05,0,1,0,1
"REF_SFM_AF50","IM1302",0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0.941025732162993,0.0589742678370073,0,1,0,1
"REF_SFM_AF50","IM1303",0,0,0,0,1,1,1,1,0,0,0,0,0.828555951139319,1,0,0,0,0,0,1,1,0,0,0.171444048860681,0,0,0.999918299025414,8.17009745860005e-05,0,1,0,1
"REF_SFM_AF50","IM1304",0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0.99999477464984,5.22535016030913e-06,0,1,0,1
"REF_SFM_AF50","IM1401",0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1
"REF_SFM_AF50","IM1402",0,0,0,0,1,1,1,1,0,1,0,0,0.581586629434068,1,0,0,0,1,0,1,1,0,0,0.0396718012672916,0.378741569298641,0,0.258906467523879,0.741093532476121,0,1,0,1
"REF_SFM_AF50","IM1403",0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0.99944752627259,0.000552473727410016,0,1,0,1
