"Pathway","Group","Scenario","EU28_forests_ratio","Import_forests_ratio","Import_energy_ratio","Imports_tot_ratio"
"RCP2.6","MFM","noAFM",3.93193911089192e-07,3.49015126342034e-06,1.99453335618904e-06,2.84435533351783e-06
"RCP2.6","MFM","AFMfree",2.79379853170202e-07,3.40408959463431e-06,2.02581740337177e-06,2.75091691586321e-06
"RCP2.6","MFM","AFM25",2.78489484191605e-07,3.26415167653133e-06,2.00952891236835e-06,2.64714725830921e-06
"RCP2.6","MFM","AFM50",2.77827970666053e-07,3.13779775499472e-06,1.97235990316385e-06,2.56066454993964e-06
"RCP2.6","MFM","AFM75",2.78160230457826e-07,3.37021172393471e-06,1.9639225988331e-06,2.68544150603481e-06
"RCP2.6","MFM","AFM100",2.78172601054405e-07,3.29115876310016e-06,1.92748894632306e-06,2.61047788933771e-06
"RCP2.6","SFM","noAFM",3.93213523417004e-07,3.50394116614692e-06,1.99657273818534e-06,2.85718978242047e-06
"RCP2.6","SFM","AFMfree",2.80543392033109e-07,3.35583157255182e-06,1.97343736825115e-06,2.71389249155649e-06
"RCP2.6","SFM","AFM25",3.03944050564794e-07,3.31638201127158e-06,1.98340402190401e-06,2.67530778123417e-06
"RCP2.6","SFM","AFM50",3.40974168742989e-07,3.71373028146697e-06,1.93615076584149e-06,2.87064947384778e-06
"RCP2.6","SFM","AFM75",4.08468608747681e-07,3.54317838526649e-06,1.91637529720873e-06,2.78125135122886e-06
"RCP2.6","SFM","AFM100",5.64922313431007e-07,3.51947688743674e-06,1.8944481807516e-06,2.79978593742536e-06
"REF","MFM","noAFM",4.00711820572738e-07,2.79596008201192e-06,1.76493791002184e-06,2.70238447293714e-06
"REF","MFM","AFMfree",2.9096461726767e-07,2.513193511693e-06,1.63818398169964e-06,2.39208714855946e-06
"REF","MFM","AFM25",3.08708953378657e-07,2.47684383034688e-06,1.66949261918562e-06,2.37691865742066e-06
"REF","MFM","AFM50",3.11692850792332e-07,2.42779573013859e-06,1.60039101782844e-06,2.32004163980183e-06
"REF","MFM","AFM75",3.02357402105807e-07,2.56587761591481e-06,1.74055964964206e-06,2.48062354741689e-06
"REF","MFM","AFM100",2.94613138968135e-07,2.75388475037994e-06,1.69983543051758e-06,2.63549663047649e-06
"REF","SFM","noAFM",4.01229274996558e-07,2.88537706490743e-06,1.5381095531375e-06,2.73742664925578e-06
"REF","SFM","AFMfree",3.05136203209964e-07,2.5365725862568e-06,1.67957038408096e-06,2.43044692414112e-06
"REF","SFM","AFM25",3.46899771280399e-07,2.49695386074366e-06,1.64374612584019e-06,2.39468338149238e-06
"REF","SFM","AFM50",3.61734465442883e-07,3.1377191080539e-06,1.66127375074094e-06,2.98484154817892e-06
"REF","SFM","AFM75",3.91276123898836e-07,3.27348622058257e-06,1.64869083020808e-06,3.07942974351799e-06
"REF","SFM","AFM100",5.39094544619008e-07,3.57908182726408e-06,1.62191365502837e-06,3.29860897847263e-06
