"Scenario","Category","Values"
"REF_MFM_noAF","Wood_EP_im",27.640074517
"REF_MFM_noAF","Wood_forest_ex",113
"REF_MFM_noAF","Wood_Byproducts",43.613179987
"REF_SFM_AF0","Wood_forest_EU",549
"REF_SFM_AF0","Wood_EP_EU",89
"REF_SFM_AF0","Wood_forest_im",200.615667717
"REF_SFM_AF0","Wood_EP_im",28.354156021
"REF_SFM_AF0","Wood_forest_ex",116
"REF_SFM_AF0","Wood_Byproducts",32.298168511
"REF_SFM_AF100","Wood_forest_EU",178
"REF_SFM_AF100","Wood_EP_EU",143
"REF_SFM_AF100","Wood_forest_im",520.801964309
"REF_SFM_AF100","Wood_EP_im",87.11827876
"REF_SFM_AF100","Wood_forest_ex",109
"REF_SFM_AF100","Wood_Byproducts",54.904861841
"REF_SFM_AF25","Wood_forest_EU",505
"REF_SFM_AF25","Wood_EP_EU",95
"REF_SFM_AF25","Wood_forest_im",246.213100853
"REF_SFM_AF25","Wood_EP_im",33.531871854
"REF_SFM_AF25","Wood_forest_ex",112
"REF_SFM_AF25","Wood_Byproducts",36.484022239
"REF_SFM_AF50","Wood_forest_EU",425
"REF_SFM_AF50","Wood_EP_EU",113
"REF_SFM_AF50","Wood_forest_im",322.215577562
"REF_SFM_AF50","Wood_EP_im",37.217233105
"REF_SFM_AF50","Wood_forest_ex",110
"REF_SFM_AF50","Wood_Byproducts",41.05852464
"REF_SFM_AF75","Wood_forest_EU",312
"REF_SFM_AF75","Wood_EP_EU",126
"REF_SFM_AF75","Wood_forest_im",421.412122667
"REF_SFM_AF75","Wood_EP_im",57.157704428
"REF_SFM_AF75","Wood_forest_ex",109
"REF_SFM_AF75","Wood_Byproducts",56.445424506
"REF_SFM_noAF","Wood_forest_EU",491
"REF_SFM_noAF","Wood_EP_EU",97
"REF_SFM_noAF","Wood_forest_im",272.011240656
"REF_SFM_noAF","Wood_EP_im",33.555909649
"REF_SFM_noAF","Wood_forest_ex",113
"REF_SFM_noAF","Wood_Byproducts",37.986182769
