Eco_code,VS_plants
AA0101,0.01196872
AA0102,0.017951363
AA0103,0
AA0104,0.024695895
AA0105,0.209932304
AA0106,0.05603117
AA0107,0.026245202
AA0108,0
AA0109,0
AA0110,0
AA0111,0.164042651
AA0112,0.073950957
AA0113,0.298426907
AA0114,0
AA0115,0.291801416
AA0116,0.06507595
AA0117,0.113564484
AA0118,0.038423334
AA0119,0.105115112
AA0120,0.123993913
AA0121,0.434292803
AA0122,0.286175848
AA0123,0.131723419
AA0124,0.142213534
AA0125,0
AA0126,0.171023447
AA0127,0.035758839
AA0128,0.148047122
AA0201,0.071088364
AA0202,0.716192329
AA0203,0.054154364
AA0204,0.094491488
AA0401,0.005361397
AA0402,0.170865105
AA0403,0.051936565
AA0404,0.039768948
AA0405,0.23852222
AA0406,0.114703534
AA0407,0.007650838
AA0408,0.041513264
AA0409,0.366027732
AA0410,0.140228843
AA0411,0.091605313
AA0412,0.100273074
AA0413,0.140990938
AA0414,0.025484816
AA0701,0.057959069
AA0702,0.221721978
AA0703,0.02952329
AA0704,0.266768344
AA0705,0.090333948
AA0706,0.178937756
AA0707,0.559838085
AA0708,0.120119177
AA0709,0.150205417
AA0801,0.27487645
AA0802,0.148867586
AA0803,0.238298414
AA1001,0.036602093
AA1002,0.07904487
AA1003,0.179783795
AA1101,0.004433102
AA1201,0.045948393
AA1202,0.310178653
AA1203,0.014183868
AA1204,0.039720367
AA1205,0.054470515
AA1206,0.005562582
AA1207,0.092499263
AA1208,0.009169954
AA1209,0.591365375
AA1210,0.19862212
AA1301,0.044288579
AA1302,0.064304269
AA1303,0.131001754
AA1304,0.540496606
AA1305,0.362560352
AA1306,0.310773285
AA1307,0.070596393
AA1308,0.242122301
AA1309,0.155472787
AA1310,0.172745331
AA1401,1
AT0101,0.069307492
AT0102,0.05224315
AT0103,0.015211111
AT0104,0.191358601
AT0105,0.011624703
AT0106,0.016564918
AT0107,0.034398211
AT0108,0.033797455
AT0109,0.014926546
AT0110,0.080828287
AT0111,0.089384072
AT0112,0.173787843
AT0113,0.003204141
AT0114,0.008729674
AT0115,0.02202642
AT0116,0.030013514
AT0117,0.194964686
AT0118,0.645048921
AT0119,0.046950362
AT0120,0.042484655
AT0121,0.001984661
AT0122,0.01679397
AT0123,0.038082844
AT0124,0.238937799
AT0125,0.042298587
AT0126,0.174451044
AT0127,0.026489409
AT0128,0.066350215
AT0129,0.107704851
AT0130,0.10454939
AT0201,0.461982799
AT0202,0.937971189
AT0203,0.027754548
AT0701,0.243947067
AT0702,0.148971557
AT0703,0.087126218
AT0704,0.269475413
AT0705,0.08002059
AT0706,0.175461611
AT0707,0.18775431
AT0708,0.008918314
AT0709,0.163298742
AT0710,0.002389932
AT0711,0.248884009
AT0712,0.196310475
AT0713,0.379848247
AT0714,0.013671689
AT0715,0.334474455
AT0716,0.075187027
AT0717,0.166092851
AT0718,0.177403214
AT0719,0.176737635
AT0721,0.090771882
AT0722,0.157453106
AT0723,0.210423748
AT0724,0.031749864
AT0725,0.210333464
AT0726,0.138494842
AT0801,0.029059642
AT0802,0
AT0803,0.038623449
AT0901,0.017172087
AT0902,0.071423043
AT0903,0.011760403
AT0904,0.003091832
AT0905,0.029783646
AT0906,0.026973848
AT0907,0.103540507
AT0908,0.271176641
AT1001,0.011410297
AT1002,0.033104751
AT1003,0.056272053
AT1004,0.155631788
AT1005,0.023782168
AT1006,0.011689224
AT1007,0.399809309
AT1008,0.118987281
AT1009,0.086585259
AT1010,0.003777034
AT1011,0.015016914
AT1012,0.042152317
AT1013,0.020699379
AT1014,0.006309354
AT1015,0.051095261
AT1201,0.117701596
AT1202,0.318998656
AT1203,0.174390672
AT1302,0.307329011
AT1303,0.009712286
AT1304,0.024111693
AT1305,0.114237761
AT1306,0.143673109
AT1307,0.018769194
AT1308,0
AT1309,0.619124275
AT1310,0.302289312
AT1311,0.420036233
AT1312,0.634595316
AT1313,0.068524886
AT1314,1
AT1315,0.258866408
AT1316,0.488893329
AT1318,0.048412808
AT1319,0.027291645
AT1320,0.525787703
AT1321,0.035831704
AT1322,0.127069324
AT1401,0.279704321
AT1402,0.119587332
AT1403,0.116076972
AT1404,0.297804297
AT1405,0.020000781
IM0101,0.016593731
IM0102,0.262442528
IM0103,0.188287625
IM0104,0.180997352
IM0105,0.071413867
IM0106,0.031317295
IM0107,0.072681328
IM0108,0.020145098
IM0109,0.023828474
IM0110,0
IM0111,0.162504578
IM0112,0.069275515
IM0113,0.118775398
IM0114,0.133587641
IM0115,0.061251931
IM0116,0.027218325
IM0117,0.149113359
IM0118,0.072875166
IM0119,0.061561789
IM0120,0.057229029
IM0121,0.041621425
IM0122,0.061041034
IM0123,0.221450873
IM0124,0.022635127
IM0125,0.004708219
IM0126,0.031283777
IM0127,0.023977662
IM0128,0.115775358
IM0129,0.281601898
IM0130,0.047105472
IM0131,0.080747796
IM0132,0.057859796
IM0133,0.005579275
IM0134,0.198869931
IM0135,0.10534125
IM0136,0.032731786
IM0137,0.135554216
IM0138,0.021189392
IM0139,0.039027667
IM0140,0.03475512
IM0141,0.015961422
IM0142,0.01153594
IM0143,0.055717864
IM0144,0.032506376
IM0145,0.019765071
IM0146,0.113519374
IM0147,0.026755799
IM0148,0
IM0149,0.068907453
IM0150,0.098573575
IM0151,0.067411324
IM0152,0.025091576
IM0153,0.176991035
IM0154,0.05792916
IM0155,0.013528355
IM0156,0.013292703
IM0157,0.075943311
IM0158,0.232103802
IM0159,0.133986585
IM0160,0.329822379
IM0161,0.309712969
IM0162,0.011780091
IM0163,0.047975615
IM0164,0.06871206
IM0165,0.088115535
IM0166,0.100894758
IM0167,0.089503447
IM0168,0.076651336
IM0169,0.011536688
IM0170,0.003999776
IM0171,0.015133587
IM0172,0.174373285
IM0201,0.10592909
