"Scenario","Ecoregion","A_org","A_new","Annual_EU","Permanent_EU","Pasture_EU","Urban_EU","Annual_RoW","Permanent_RoW","Pasture_RoW","Urban_RoW","For_ClearCut_EU","For_ClearCut_im","For_ClearCut_ex","For_Retention_EU","For_PlantationFuel_im","For_TimberPlant_EU","For_TimberPlant_ex","For_TimberPlant_im","For_SelectionSystem_EU","For_SelectionSystem_im","For_SelectionSystem_ex","For_Selective_im","EP_EU","EP_conv_EU","EP_RoW","EP_conv_im","Afforested_EU","Afforested_RoW","Regrowth","ForOther_Extensive_EU","ForOther_Extensive_RoW","ForOther_Intensive_EU","ForOther_Intensive_RoW"
"RCP_MFM_AF0","AA0101",0.117211958,0.082334019,0,0,0,0,0.000752281,0.00092,0.0073338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021958225457558,0,0.00123788267594905,0,0.00267574986649297
"RCP_MFM_AF0","AA0102",0.469798850574,0.15601897905,0,0,0,0,0.042381781,0.050678473,0.06757823995,0.004158150574,0,0,0,0,0.0018044965,0,0,0.0018044965,0,0,0,0,0,0,0,0,0,0,0.108293179917918,0,0.00683217775952526,0,0.0302488763225568
"RCP_MFM_AF0","AA0103",0.198012384425,0.08019014686,0,0,0,0,0.000841529,0.005955892,0.00687398314,0.023760860425,0,0,0,0,0.0001891045,0,0,0.0001891045,0,0,0,0,0,0,0,0,0,0,0.059602916665425,0,0.00376032656860764,0,0.0166485207659674
"RCP_MFM_AF0","AA0104",0.8358577814,0.2814622397,0,0,0,0,0.001936925,0.037777469,0.0439228163,0.0343683874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.325078615512857,0,0.0205090928965946,0,0.0908022355905481
"RCP_MFM_AF0","AA0105",14.9616584371,10.353413483,0,0,0,0,0.061932091,0.326185774,1.121401061,0.2057011631,0,0,0,0,0.0173823005,0,0,0.0173823005,0,0,0,0,0,0,0,0,0,0,2.29680377408507,0,0.135701840411205,0,0.425754649503723
"RCP_MFM_AF0","AA0106",2.340908338143,0.93516042679,0,0,0,0,0.002325347,0.033512208,0.05570204521,0.160894969143,0,0,0,0,0.002164943,0,0,0.002164943,0,0,0,0,0,0,0,0,0,0,0.855908703349173,0,0.0539989721572371,0,0.23907578049359
"RCP_MFM_AF0","AA0107",1.541295692,1.08662924681,0,0,0,0,0.008297744,0.018617705,0.18977178919,0,0,0,0,0,1.62e-07,0,0,1.62e-07,0,0,0,0,0,0,0,0,0,0,0.20197984880142,0,0.0113865009813909,0,0.024612533217189
"RCP_MFM_AF0","AA0108",0.102734798891,0.04966107258,0,0,0,0,0.000744814,0.004714809,0.00549827642,0.005855354891,0,0,0,0,0.0003979045,0,0,0.0003979045,0,0,0,0,0,0,0,0,0,0,0.0264185820644622,0,0.00166673883762413,0,0.00737934209791368
"RCP_MFM_AF0","AA0110",0.016466667,0.01169604811,0,0,0,0,4.01e-05,0.000206394,0.00165226689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002437432419662,0,0.000137408889071117,0,0.000297016691266888
"RCP_MFM_AF0","AA0111",2.74521758238,1.98584227079,0,0,0,0,0.005909562,0.022980194,0.18768064721,0.04497591438,0,0,0,0,1.27e-06,0,0,1.27e-06,0,0,0,0,0,0,0,0,0,0,0.42252031205755,0,0.023819346219191,0,0.0514867957232592
"RCP_MFM_AF0","AA0112",1.170083518,0.85568667877,0,0,0,0,0.002647238,0.010384679,0.08511806823,0,0,0,0,0,1e-07,0,0,1e-07,0,0,0,0,0,0,0,0,0,0,0.183535051211804,0,0.0103466858359592,0,0.0223649169522364
"RCP_MFM_AF0","AA0113",1.246386088538,0.63137513982,0,0,0,0,0,0.007446575,0.39484869018,0.006109935538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17535252378903,0,0.00988540043010033,0,0.0213678237808696
"RCP_MFM_AF0","AA0115",11.79081629129,7.59975451793,0,0,0,0,0.053538881,0.279763235,1.08972636007,0.02842817229,0,0,0,0,0.025019965,0,0,0.025019965,0,0,0,0,0,0,0,0,0,0,2.15962165896466,0,0.127679398522647,0,0.402264137512695
"RCP_MFM_AF0","AA0116",1.99803432938,1.20767443319,0,0,0,0,0.007436426,0.059700915,0.15327133181,0.00526133338,0,0,0,0,0.00615504,0,0,0.00615504,0,0,0,0,0,0,0,0,0,0,0.427821268918111,0,0.0260940026202615,0,0.0984645384616274
"RCP_MFM_AF0","AA0117",3.16567896252,0.29745568767,0,0,0,0,0.051198654,0.028164711,1.17763809533,0.06075991452,0,0.000733674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1081929334273,0,0.34593859609225,0,0.0955966964804502
"RCP_MFM_AF0","AA0118",1.679043837187,0.52629003939,0,0,0,0,0.007243351,0.070904345,0.08863213561,0.046079097187,0,0,0,0,0.004647922,0,0,0.004647922,0,0,0,0,0,0,0,0,0,0,0.693228262484011,0,0.0437355216718865,0,0.193635240844102
"RCP_MFM_AF0","AA0119",3.150220206064,0.552893056,0,0,0,0,0.000197286,0.07369,0.064107,0.003564129064,0,0,0,0,3.185e-06,0,0,3.185e-06,0,0,0,0,0,0,0,0,0,0,2.08427951640952,0,0.117500091716689,0,0.25398275687379
"RCP_MFM_AF0","AA0120",7.0190961824,5.20774947427,0,0,0,0,0.024897691,0.091372553,0.86318441973,0.0504918284,0,0,0,0,3.11e-07,0,0,3.11e-07,0,0,0,0,0,0,0,0,0,0,0.66319738062478,0,0.0373873813162634,0,0.0808148320589562
"RCP_MFM_AF0","AA0121",8.15864992494,5.14003271478,0,0,0,0,0.03884403,0.486872013,1.11722523022,0.02435488194,0,0,0,0,0.0145083765,0,0,0.0145083765,0,0,0,0,0,0,0,0,0,0,1.05253110988426,0,0.0626970653016866,0,0.207076126814053
"RCP_MFM_AF0","AA0122",10.15831703617,6.77065552745,0,0,0,0,0.045400462,0.485016219,1.06589388555,0.02562778517,0,0,0,0,0.0186295485,0,0,0.0186295485,0,0,0,0,0,0,0,0,0,0,1.35645324549743,0,0.0817965779868843,0,0.290214236515689
"RCP_MFM_AF0","AA0123",10.45924461077,2.58110624974,0,0,0,0,1.162671091,0.516275518,0.84803296426,0.83510938377,0,0,0,0,0.008345255,0,0,0.008345255,0,0,0,0,0,0,0,0,0,0,3.3516935485502,0,0.211457140112663,0,0.936208205337142
"RCP_MFM_AF0","AA0124",7.580511537716,1.95711621814,0,0,0,0,0.845593534,0.274019262,0.47091320586,0.336470755716,0,0,0,0,0.0012586265,0,0,0.0012586265,0,0,0,0,0,0,0,0,0,0,2.7516716145928,0,0.17360197217394,0,0.768607722233261
"RCP_MFM_AF0","AA0125",0.304591300308,0.19206190782,0,0,0,0,0.000367777,0.002686031,0.02162227518,0.037083914308,0,0,0,0,4.87e-07,0,0,4.87e-07,0,0,0,0,0,0,0,0,0,0,0.0430886886609466,0,0.00242910071789926,0,0.00525063162115411
"RCP_MFM_AF0","AA0126",0.71014960971,0.11453093829,0,0,0,0,0.002029162,0.102933947,0.11692546671,0.03173772071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.290259233604935,0,0.0163632019130273,0,0.0353699394820374
"RCP_MFM_AF0","AA0127",1.799041641459,1.08806324544,0,0,0,0,0.00445462,0.035528319,0.04258559056,0.005685634459,0,0,0,0,0.0012847895,0,0,0.0012847895,0,0,0,0,0,0,0,0,0,0,0.461969893607577,0,0.0291455143811297,0,0.129039245011293
