Mitigation_scenario,Forest_use,Management_scenario,Region,2000,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,Category
REF,MFM,AF0,CongoBasin,5.267845,5.4457578,5.4457578,5.453163196,5.453163196,5.453163196,5.471050697,5.518599633,6.607418617,6.625065539,6.674800901,Wood_forest_im
REF,MFM,AF0,Former_USSR,24.49108388,27.03862361,29.645244,30.35967716,30.35967716,30.44498051,30.59964214,33.7372166,35.71750484,34.19249522,33.26439607,Wood_forest_im
REF,MFM,AF0,IndiaReg,0.01434,0.096599182,0.096673245,0.096673245,0.096673245,0.096673245,0.286029187,0.286029187,1.974084471,1.974084471,1.974084471,Wood_forest_im
REF,MFM,AF0,IndonesiaReg,3.806978884,3.839425276,3.847350709,3.844593019,3.887242327,4.515081912,4.976747717,4.861221962,4.927412929,4.965706738,4.998933251,Wood_forest_im
REF,MFM,AF0,JapanReg,0.511811244,2.189771866,2.189771866,2.189771866,2.189771866,2.192926628,2.263962471,2.347325246,2.450789913,2.819189712,3.238159667,Wood_forest_im
REF,MFM,AF0,MalaysiaReg,1.619251667,1.711051828,1.728569951,2.122462342,2.148188884,1.953339875,2.308924027,2.239960025,2.245836742,2.184647008,2.129550688,Wood_forest_im
REF,MFM,AF0,MexicoReg,0,0.433184029,1.164329834,1.170846719,1.170846719,1.170846719,1.619941593,1.772156033,1.772156033,1.833467249,1.834355802,Wood_forest_im
REF,MFM,AF0,MidEastNorthAfr,0,0.123429808,0.817269808,0.817269808,0.816244808,0.816244808,0.829202754,0.863260501,0.863260501,0.863260501,0.863260501,Wood_forest_im
REF,MFM,AF0,Pacific_Islands,0.00075,0.05674293,0.084165027,0.084165027,0.087957077,0.088680908,0.135003882,0.17370317,0.173802086,0.173802086,0.17395823,Wood_forest_im
REF,MFM,AF0,RCAM,0,0.039338546,0.866695121,0.866792772,1.479310001,1.488354242,1.488422259,1.488613953,1.488738974,1.491018712,1.491700051,Wood_forest_im
REF,MFM,AF0,RCEU,0.085855,0.411786462,0.495105112,0.495105112,0.495105112,0.495105112,0.495105112,0.489675839,0.490218766,0.506871183,0.519539351,Wood_forest_im
REF,MFM,AF0,ROWE,5.645542737,5.718051562,6.353137742,6.353137742,6.353137742,6.353137742,6.353137742,6.353137742,6.353137742,6.353137742,6.353137742,Wood_forest_im
REF,MFM,AF0,RSAM,2.290276667,3.15214473,3.155906245,3.176498302,3.195949138,3.266964096,3.510418193,3.76700542,3.948009618,4.043095508,4.101044479,Wood_forest_im
REF,MFM,AF0,RSAS,0,2.100084975,2.32904552,2.89655872,2.925869136,2.925869136,2.925869136,3.936358672,3.936358672,3.936893861,3.937105701,Wood_forest_im
REF,MFM,AF0,RSEA_OPA,0.048226667,0.052491402,0.063161505,0.063161505,0.063470617,0.072054938,0.072054938,0.072054938,0.072054938,0.072054938,0.072054938,Wood_forest_im
REF,MFM,AF0,RSEA_PAC,0.02687,0.769702724,1.3316585,3.037792793,3.589035936,3.691860143,4.25610383,3.955596811,3.691828332,5.052503759,5.621033373,Wood_forest_im
REF,MFM,AF0,SouthAfrReg,1.592960556,1.74930139,1.749622428,1.617160267,1.615571896,1.614330693,1.613825599,1.711313364,1.795369303,1.874705874,1.848143805,Wood_forest_im
