"Group","PDFx100","lower95","upper95","Year"
"RCP2.6",14.0590330103614,0,0,"2020"
"REF",14.0649469599199,0,0,"2020"
"RCP2.6",13.9336312209379,0,0,"2030"
"REF",14.6786410240694,0,0,"2030"
"RCP2.6",13.9898964051095,0,0,"2040"
"REF",15.1425645532479,0,0,"2040"
"RCP2.6",14.0120643796389,0,0,"2050"
"REF",15.4980877193569,0,0,"2050"
"RCP2.6",13.9991978612201,0,0,"2060"
"REF",15.8219376887284,0,0,"2060"
"RCP2.6",14.0451623448814,0,0,"2070"
"REF",16.0571079518192,0,0,"2070"
"RCP2.6",14.1742833952676,0,0,"2080"
"REF",16.1867069016139,0,0,"2080"
"RCP2.6",14.2559244770798,0,0,"2090"
"REF",16.2587271054637,0,0,"2090"
"RCP2.6",14.1487664695649,0,0,"2100"
"REF",16.2889979764892,0,0,"2100"
