"Eco_code","Annual","Permanent","Pasture","Urban","PlantationNonTimber","ClearCut","Retention","PlantationFuel","SlashAndBurn","SelectionSystem","SelectiveLogging","Agroforestry","Plantation","ReducedImpactLogging","Afforested","ForExtensive","ForIntensive"
"AA0119",1.02946462003035e-05,7.52852617724306e-05,5.41694159588479e-05,4.58972757470283e-06,0,0,0,2.66118967175615e-05,0,0,0,0,4.03345576236995e-06,0,5.10975700068292e-05,2.71056348914551e-05,0.000225002934816093
"AA0120",7.36807749327404e-06,5.12683095588807e-05,2.26704913974658e-05,3.47676088852125e-06,0,0,0,1.58563955915401e-05,0,0,0,0,3.89328793556239e-06,0,5.06883026353074e-05,1.59266542543059e-05,0.00018624797903846
"AA0121",9.09620879153246e-05,4.41325317272686e-05,1.47460120743292e-05,8.27537476248014e-05,0,0,0,0.000102227564099789,0,0,0,0,1.34749093886209e-06,0,3.38708708660682e-05,9.45825341492532e-06,0.000125158885681999
"AA0122",7.85983895579671e-05,4.15904326224395e-05,1.50474026174248e-05,5.92792160146476e-05,0,0,0,0.000130984422831937,0,0,0,0,3.53292292700653e-07,0,4.43623950550408e-05,1.47469449418768e-05,0.000182727757798808
"AA0123",1.16096295117881e-06,1.45130259544481e-05,2.47910061449558e-05,0.000262945165530687,0,0,0,3.00196784562469e-06,0,0,0,0,6.18558361132659e-07,0,3.75239328103522e-05,5.62766014561532e-05,0.000548085636085925
"AA0124",0,0.000235265516267727,0.000121033909584324,0.000104884940363397,0,0,0,5.39281155394798e-07,0,0,0,0,0,0,8.52947283360644e-05,2.36570218202384e-05,0.000299162922999889
"AA0125",1.32871251069151e-07,1.978150216063e-06,8.68196935606168e-08,5.1340529846882e-07,0,0,0,3.82820459750218e-07,0,0,0,0,1.04959554331785e-07,0,7.81872004378569e-06,1.16336628509306e-06,2.4680443053095e-05
"AA0126",4.43042086065626e-06,1.04363821313044e-05,2.69466830204517e-06,6.06801130243352e-06,0,0,0,3.21108412394699e-06,0,0,0,0,7.82690344232047e-07,0,1.61986970558944e-05,9.18289286279857e-06,7.21538763707593e-05
"AA0127",0.000173704465635517,3.44078756360974e-05,3.23296950418362e-05,4.2632032859377e-05,0,0,0,0.000142020549702272,0,0,0,0,9.05249862514145e-09,0,1.10774279294837e-05,1.35323654829595e-06,1.26821708606347e-05
"AA0128",0,5.12981381922556e-06,2.20245085208438e-05,1.76612338373546e-05,0,0,0,0.00021679513050106,0,0,0,0,0,0,3.24360910665154e-05,4.99566191627254e-06,5.0293382198071e-05
"AA0201",0.000466116104103687,4.68513341670916e-05,5.01998479471202e-05,0,0,0,0,9.18562150019615e-05,0,0,0,0,0,0,1.10492967877934e-05,9.34102568556462e-07,7.63807495541605e-06
"AA0202",5.31430650763631e-05,2.32369682459769e-05,1.59435500812743e-05,1.96823933167905e-05,0,0,0,8.09798603292647e-05,0,0,0,0,1.31277290488302e-08,0,1.23352056373769e-05,5.3092950601294e-07,7.83496105705096e-06
"AA0203",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AA0204",3.96690456691564e-05,5.19746269150365e-06,8.83564880523113e-05,4.07201449197084e-05,0,2.14918229138154e-07,0,3.6239844645297e-05,0,0,0,0,0,0,1.73981562514945e-05,2.96368581843248e-05,0.000108425232078902
"AA0401",3.54663066187124e-08,8.72061622260824e-06,5.59875755714457e-06,0,0,6.16691689263535e-08,0,4.4941232551839e-07,0,0,0,0,0,0,2.36456083831092e-07,8.73083489238297e-07,2.24941133199566e-06
"AA0402",0,0.000128101083890543,0.000134726487234174,0,0,7.28526561507167e-07,0,0.000168366003705739,0,0,0,0,0,0,1.89178116211284e-05,2.81995164927285e-05,0.000150368047701151
"AA0403",2.65367848786529e-07,1.53315260926221e-05,1.45309480622132e-05,3.86518231579371e-06,0,8.90524121438283e-08,0,3.05894598647718e-05,0,0,0,0,0,0,1.47117164839496e-06,4.03581566742204e-06,1.23448441631202e-05
"AA0404",1.67192765586391e-07,1.31037576262601e-05,1.52615657854306e-05,5.90295009394375e-06,0,3.85373829151321e-08,0,2.7114339468029e-05,0,0,0,0,0,0,1.5908340068494e-06,1.67945987038124e-06,6.15327059626467e-06
"AA0405",1.44200913134751e-06,2.54747512157421e-05,5.70243415160361e-05,0,0,2.85784455389035e-07,0,2.36985031942929e-05,0,0,0,0,0,0,6.24350963346882e-06,1.15020236768136e-05,5.19812272482651e-05
"AA0406",7.68144629064423e-08,1.72898535984734e-05,1.67641473831452e-05,3.07838197644089e-06,0,1.73085272817843e-07,0,2.95648393322834e-05,0,0,0,0,0,0,3.20623955927974e-06,7.46825097782679e-06,2.74631568835708e-05
"AA0407",3.06504136324085e-06,3.98093826482926e-07,4.01144698657175e-06,6.25993459900997e-07,0,4.17389145665755e-09,0,1.33448118808465e-06,0,0,0,0,0,0,3.74529773242543e-07,9.97628175663199e-07,2.77497873746049e-06
"AA0408",6.60016866123139e-07,5.69872058838777e-06,1.79151633419217e-05,8.01997890266385e-07,0,2.65654390514023e-08,0,9.76698656274046e-07,0,0,0,0,0,0,3.82036664531727e-07,8.59159080533099e-07,3.32962374227551e-06
"AA0409",0,5.70601161148061e-06,7.34636975694664e-05,3.55576802578649e-05,0,1.81943651023728e-07,0,5.91483267481278e-05,0,0,0,0,0,0,2.57914150537312e-05,3.26425897830296e-05,0.000203188681796428
"AA0410",1.14030903034514e-09,5.33927941647401e-07,5.79158793071478e-06,5.37347552473545e-07,0,1.98887468540017e-08,0,4.84086619529074e-06,0,0,0,0,0,0,1.92745458491886e-06,2.26910575564078e-06,1.47981017862331e-05
"AA0411",0,4.31606971198456e-07,4.27677815156134e-06,9.00959266144369e-07,0,7.9075227270677e-09,0,3.00299450200032e-06,0,0,0,0,0,0,3.71648666586431e-06,4.31756878930508e-06,2.40293005993772e-05
"AA0412",2.70544703719706e-08,2.08880293172496e-05,2.74899788102974e-05,0,0,4.98501420198629e-08,0,9.4360424075831e-06,0,0,0,0,0,0,1.55363373775113e-06,2.0311028519376e-06,1.07184335549798e-05
"AA0413",1.8388510826544e-08,1.06853104329888e-06,3.95789724635497e-05,2.40023298930893e-07,0,9.63426951695648e-08,0,1.13106967414672e-05,0,0,0,0,0,0,2.15618076069988e-06,3.0187597251192e-06,1.5474947250359e-05
"AA0414",7.18191930338783e-07,8.16512317964135e-07,6.86365654727507e-06,5.15773085286097e-08,0,7.61702754705652e-09,0,3.13253071730513e-07,0,0,0,0,0,0,1.88820520551755e-07,3.37014152746177e-07,1.41815283941948e-06
"AA0701",3.17196161506279e-07,2.49768873867641e-08,3.32501878878242e-05,0,0,2.30969992905358e-07,0,6.46204746763753e-05,0,0,0,0,0,0,8.65472240083953e-06,1.07477839960851e-05,5.04068231260818e-05
"AA0702",1.59620751168297e-06,8.84272681077805e-08,0.00023485071872266,0,0,5.30068842096137e-08,0,1.00458121892225e-06,0,0,0,0,0,0,2.38268901149678e-06,3.11321470463544e-06,1.48893625357358e-05
"AA0703",2.96080671163771e-06,1.0018760799809e-06,8.5999774832602e-05,0,0,6.32644539394094e-08,0,6.27722028037698e-06,0,0,0,0,0,0,2.96727164808731e-06,4.40459844426203e-06,1.77806084513714e-05
"AA0704",6.55078049370553e-08,5.80932159393859e-07,0.000183260837618726,1.18315787040684e-07,0,2.90467879699741e-08,0,6.85141299546623e-06,0,0,0,0,0,0,2.1274948219337e-06,2.67343410524498e-06,1.41691017799186e-05
"AA0705",4.50952840378307e-06,3.20776692046493e-07,0.00015079835868022,5.25072462858207e-08,0,6.20292006808672e-09,0,0,0,0,0,0,0,0,2.3159852056944e-07,2.88261048638648e-07,1.23750299475773e-06
"AA0706",4.41700517815657e-06,2.8983282503694e-05,4.04242335263008e-05,1.73930516484762e-05,0,0,0,4.21348261511846e-05,0,0,0,0,1.05131425898024e-06,0,2.85053163801423e-05,9.21459586522228e-06,9.01707314403873e-05
"AA0707",3.50455829425168e-08,3.34174757320094e-08,0.00019288219220535,0,0,3.31788706893281e-08,0,0,0,0,0,0,0,0,1.39826512434597e-06,1.56920133841362e-06,9.26883681969111e-06
"AA0708",3.51277819173243e-07,4.67393854213628e-05,0.000110037897607944,6.70633985485816e-06,0,5.10928371411708e-08,0,4.39041854074375e-05,0,0,0,0,0,0,1.52017982333166e-06,1.90633444858927e-06,1.13524165079779e-05
"AA0709",3.98709397660201e-06,4.0562251718603e-06,9.36682631544695e-05,0,0,3.09510498936793e-09,0,0,0,0,0,0,0,0,1.83156784997385e-07,1.46853525407438e-07,7.50587785170866e-07
"AA0801",3.30985803847334e-05,3.54413551656016e-06,4.77597513137632e-05,3.62893557191561e-07,0,2.41943335204715e-08,0,2.16646416781881e-06,0,0,0,0,0,0,1.27035746729164e-06,1.57960918068299e-06,8.29613067201881e-06
"AA0802",7.42663639867771e-07,2.45522027561307e-06,1.62181648114404e-05,0,0,1.8572910011764e-09,0,8.42356222443623e-06,0,0,0,0,0,0,4.91921789281859e-06,7.93793947978066e-06,3.08727895748062e-05
"AA0803",1.40191918267782e-06,8.71778388865867e-06,2.38772385372601e-06,1.78462734233149e-06,0,0,0,3.61467190868316e-06,0,0,0,0,6.20394766443282e-07,0,1.58001417612244e-05,9.40730790675519e-06,6.91920324111147e-05
"AA1001",2.08795148534942e-08,1.10999625708472e-05,2.26927148069769e-05,0,0,1.18509332265437e-08,0,8.4100511968715e-06,0,0,0,0,0,0,7.07669624488603e-07,4.58694883322532e-07,3.7767909701686e-06
"AA1002",1.33690081181207e-05,1.53725249258474e-05,0.000154747296684061,2.96257148073572e-07,0,1.04183223517974e-10,0,2.58974140213563e-10,0,0,0,0,0,0,8.86659136866183e-07,1.02526764021959e-06,5.64840140539911e-06
"AA1003",2.13909009706198e-05,1.13337508030781e-05,4.60871805408314e-05,6.34527282282354e-08,0,8.84495357867805e-09,0,1.69826530141644e-07,0,0,0,0,0,0,1.736685533552e-06,3.32764482939043e-06,1.34614679917459e-05
"AA1101",1.25916252846186e-05,3.57938664289036e-06,1.06094861519368e-05,2.63084465012263e-07,0,5.5505338866699e-09,0,4.58091465550888e-07,0,0,0,0,0,0,6.82196826150463e-08,5.5156403810134e-08,1.41665023220072e-07
"AA1201",6.12916642087406e-09,1.82463594197296e-08,1.19840683914158e-05,3.37602527772413e-07,0,7.53447640525452e-08,0,4.37594100636912e-06,0,0,0,0,0,0,2.415153314517e-06,3.85545966730833e-06,1.66657517726328e-05
"AA1202",3.31584281122764e-06,4.4314494151834e-07,0.000197652534819773,6.67146064164202e-05,0,1.40929073038496e-07,0,1.24080552143627e-05,0,0,0,0,0,0,1.42554953871401e-05,3.2921725731351e-06,2.84672266606734e-05
"AA1203",1.65797449254355e-05,1.11303766325242e-06,1.84491976388148e-05,3.43785279474885e-06,0,3.22978799389859e-09,0,1.25365283078138e-06,0,0,0,0,0,0,5.57217620669677e-08,1.29595251901093e-07,4.04551150271038e-07
"AA1204",9.62096647789544e-06,5.56967287173757e-06,3.90592774382539e-05,3.04430259002716e-07,0,1.52975882821005e-09,0,3.57157224305776e-07,0,0,0,0,0,0,1.88714026911792e-07,1.68729366287574e-07,1.17262219390706e-06
"AA1205",1.1937316146481e-05,2.1823763634581e-06,2.77008463518917e-05,3.07143140383939e-08,0,1.29932700674126e-08,0,1.71253321287094e-06,0,0,0,0,0,0,5.63140880048586e-07,5.18889971108125e-07,3.75183496860617e-06
"AA1206",9.40911304750821e-06,3.88048645691426e-06,2.1717825600784e-05,2.01693111869135e-08,0,2.58389183165971e-09,0,5.48080127942091e-08,0,0,0,0,0,0,1.62274624266601e-07,1.38939726972531e-07,6.8431243610215e-07
"AA1207",1.2381107071847e-05,2.29454376224315e-06,6.62149639226797e-05,2.42633044113081e-06,0,1.40829322022578e-07,0,5.86169783418849e-06,0,0,0,0,0,0,3.6098366344864e-06,8.09884965321006e-06,2.47719602525476e-05
"AA1208",1.41002184656698e-07,3.06204996251051e-06,1.7439494436676e-05,0,0,0,0,0,0,0,0,0,0,0,3.54042825589247e-10,7.94594761924128e-10,2.43634285567595e-09
"AA1209",3.04852832738972e-08,3.99913941988336e-05,0.000282938733066007,2.07783170950549e-07,0,9.78107352790016e-10,0,0,0,0,0,0,0,0,7.74113268565193e-08,5.65007939641703e-08,5.01639110152732e-07
"AA1210",0,5.29215838601971e-05,0.000140266796068583,0,0,0,0,0,0,0,0,0,0,0,7.80340677074259e-09,7.36009856456421e-09,4.96519369809539e-08
"AA1301",5.08089514000357e-10,1.36749173825267e-06,2.99940950413863e-05,4.98123767923183e-09,0,1.10700405073974e-10,0,0,0,0,0,0,0,0,7.24072370426265e-09,9.04895829571426e-09,4.10513284827315e-08
"AA1302",2.31065655853069e-07,1.99990488214342e-05,6.58032042978219e-05,0,0,4.89358211869985e-11,0,0,0,0,0,0,0,0,9.77920697459473e-09,1.04309628088024e-08,5.17468350347368e-08
"AA1303",2.36638535217319e-08,6.70622922639447e-06,2.5157989009874e-05,0,0,5.49527900227473e-13,0,0,0,0,0,0,0,0,5.71410311622047e-09,7.10484174403797e-09,3.54668213856964e-08
"AA1304",1.70913313071901e-11,2.74410334373428e-05,0.000156343982420519,3.15507754757486e-07,0,4.85762786696877e-11,0,0,0,0,0,0,0,0,4.93557176105376e-09,6.75692900421566e-09,3.22796876371679e-08
"AA1305",1.21707583218984e-06,9.22582997719339e-07,0.000117956432011574,0,0,2.01208291718601e-11,0,0,0,0,0,0,0,0,4.08256827810925e-08,5.28655845013384e-09,2.63965012329026e-08
"AA1306",3.45347392033422e-06,3.02614087550411e-06,3.33428805168047e-05,6.63042625863896e-08,0,1.22293416316977e-10,0,4.84137334335779e-11,0,0,0,0,0,0,5.26048261405549e-09,1.14585565193438e-10,5.68725246835504e-10
"AA1307",8.49435764890245e-08,1.28958472894143e-05,4.58466288071793e-05,0,0,0,0,0,0,0,0,0,0,0,2.64220505598551e-09,3.1890316649276e-09,1.5789899683787e-08
"AA1308",1.10597764122578e-06,1.65258108374209e-05,8.12166939974332e-06,4.86510584356446e-06,0,0,0,5.56134927386178e-06,0,0,0,0,8.3688357757439e-07,0,1.39359480625055e-05,6.08971314065323e-06,4.89696993844261e-05
"AA1309",2.31655833826905e-05,9.67811626287204e-06,1.32695494457552e-05,1.30107427314721e-05,0,0,0,2.23105481785008e-05,0,0,0,0,2.75547577296818e-07,0,1.20105692627297e-05,6.61594467793162e-06,3.51172525870581e-05
"AA1310",7.11088665869486e-06,7.72944337123805e-06,3.19192649048891e-06,2.22871069344749e-06,0,0,0,8.55085405768079e-06,0,0,0,0,3.67500079858753e-09,0,1.07261182800959e-05,7.96010080918118e-06,1.64149283834596e-05
"AA1401",1.69111551958764e-05,4.75929686781135e-06,1.07926378117978e-05,1.89381379332754e-05,0,0,0,3.77049981212127e-06,0,0,0,0,2.41029828753979e-07,0,1.38384306819354e-05,4.64302962773472e-06,2.67839588517264e-05
"AT0101",4.69183299364231e-05,1.5202092312198e-05,3.09154754022542e-06,1.08903612371871e-06,0,0,0,3.41037650320455e-05,0,0,0,0,1.47581762282142e-06,0,6.56228958374115e-05,4.90989721985848e-05,0.000110465402896512
"AT0102",0,0.000116818878194312,0,0.000136478739004721,0,0,0,0,0,0,0,0,0,0,4.67530449425117e-05,6.38364695315094e-06,5.22472542199775e-05
"AT0103",0.000163774430316197,7.2743951858869e-05,1.06735611204473e-05,2.05540249448723e-05,0,0,0,7.88283458388716e-05,0,0,0,0,1.39363672538018e-06,0,3.32379569639824e-07,1.29671119613858e-05,0.000180144323452585
"AT0104",9.17654988469109e-05,5.12318989916681e-06,2.56823814652462e-05,4.37908456678741e-05,0,0,0,4.07835224133599e-05,0,0,0,0,8.88282102102547e-07,0,3.70230593353187e-05,2.00966113071387e-05,0.000148639747304757
"AT0105",7.21934897938861e-05,1.77654079569744e-05,2.9012329545547e-05,2.63025217335386e-05,0,0,0,2.8566475721027e-05,0,0,0,0,4.06237217861666e-07,0,1.85005231740003e-05,2.29186536830519e-06,3.00308031156505e-05
"AT0106",2.44904000084267e-05,3.82470488913152e-06,3.94785600952352e-06,1.14670515651325e-06,0,0,0,4.74819694321734e-06,0,0,0,0,2.76865487484298e-07,0,6.16487733787991e-07,5.72791924425773e-07,1.76194803076921e-05
"AT0107",1.17785606489509e-05,5.55727667466307e-06,7.62864154680345e-07,8.45465399831771e-06,0,0,0,9.7786668802414e-06,0,0,0,0,8.92025204179791e-07,0,3.18002977744581e-05,1.55426359958984e-05,4.74586520779383e-05
"AT0108",8.13724512104885e-05,0.000131567492845663,4.51825776124543e-05,4.82392053728735e-06,0,0,0,8.79417151859356e-05,0,0,0,0,6.61302310244128e-07,0,1.13698724691887e-05,4.46419782195368e-06,6.27201331431101e-05
"AT0109",9.77630433451129e-05,2.25721526785525e-05,7.96459055343875e-05,5.26199087547799e-05,0,0,0,4.83604631724406e-05,0,0,0,0,1.56714279625869e-08,0,5.21557397893413e-05,1.1845656064329e-07,1.88698050044705e-06
"AT0110",2.09040583595257e-05,6.40113264702326e-06,3.09365594974934e-05,9.15696010452079e-07,0,0,0,3.26194428938426e-05,0,0,0,0,3.43821299478342e-07,0,7.57108953476238e-06,2.47016221427631e-06,4.81662663568644e-05
"AT0111",0,7.58615684156721e-05,0.00019431482253475,5.56983424259044e-05,0,0,0,2.34552665779025e-05,0,0,0,0,1.95065589608369e-06,0,1.15520813065295e-05,1.02809465297893e-05,0.000114862141770607
"AT0112",5.17580436375416e-05,6.59919284737721e-06,3.43938286639071e-05,5.52376101937421e-05,0,0,0,6.09394233147319e-05,0,0,0,0,4.88774490816615e-06,0,3.63519173819064e-05,2.49241530496467e-05,0.00026981357509598
"AT0113",2.39456574209277e-06,1.71145068002456e-06,4.00458619719878e-06,9.90127779886253e-08,0,0,0,1.10928646485596e-05,0,0,0,0,1.11638592700321e-08,0,3.53567984729959e-06,4.72313196088304e-07,2.20900086609333e-06
"AT0114",2.67193673697739e-06,2.03316286913999e-06,9.80000061522372e-06,3.08278777472108e-07,0,0,0,2.87671407081817e-05,0,0,0,0,1.58670944804697e-08,0,6.99604470929628e-06,1.79687488355386e-07,1.91874184073052e-06
"AT0115",2.65191572850691e-06,1.68836227109407e-08,1.85810490436483e-06,1.64295689235941e-07,0,0,0,3.68735714947731e-07,0,0,0,0,7.16191444775669e-08,0,2.39203774147545e-06,4.73433772216424e-07,5.14221541382315e-06
"AT0116",0,3.99265428961155e-05,0,4.3863465761429e-05,0,0,0,0,0,0,0,0,0,0,2.68940710708496e-06,1.32729385923326e-07,1.07025391242432e-06
"AT0117",0.000101175637960512,1.28568474265875e-05,4.08835410600018e-05,0.000300777188377274,0,0,0,5.60483509984577e-05,0,0,0,0,1.997712147258e-06,0,0.000141094116940841,4.623606075398e-05,0.000168792472473211
"AT0118",0.000594521031481798,0.000280657966323286,1.47797938693475e-20,0.000227589701103483,0,0,0,0.000279210587279874,0,0,0,0,8.18261557150189e-06,0,1.08808926387889e-07,3.09609752905561e-05,0.000724174994242439
"AT0119",3.47387266496303e-05,2.06282348454448e-05,1.51513835430375e-05,1.00264731998652e-05,0,0,0,2.89921214284708e-05,0,0,0,0,4.36213862048095e-07,0,4.23877730417446e-08,1.63716081547329e-06,3.44190734431277e-05
"AT0120",7.00360363816804e-06,7.26215110820316e-06,1.96546507619679e-06,1.98721824973386e-06,0,0,0,6.23342057341244e-06,0,0,0,0,4.21968799859817e-07,0,1.6946110163508e-05,2.23896463377706e-05,3.23896655150328e-05
"AT0121",1.9378869271729e-05,5.41214810063849e-06,2.48196345800358e-05,3.93991181636556e-06,0,0,0,8.64167918600024e-06,0,0,0,0,5.83093189119403e-07,0,4.48257989528266e-06,2.09816096134517e-06,4.54749153368099e-05
"AT0122",5.23644414827133e-07,1.2114505364614e-06,7.23875409603612e-07,5.70747647353436e-07,0,0,0,1.53098701779116e-06,0,0,0,0,3.13824002620465e-08,0,3.04603941550267e-06,1.4744499697205e-06,4.47074933052791e-06
"AT0123",0,0,0,0.000587114020951766,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT0124",0.000142001108363842,1.17055354302074e-05,0.000120477708570837,2.25328765581024e-05,0,0,0,2.35291450656617e-05,0,0,0,0,1.1917191430277e-06,0,0.000128465484262681,1.73539149073928e-05,0.000217480300967586
"AT0125",1.37602993283608e-05,1.00703993289579e-05,1.66575616109461e-06,5.00741227654015e-06,0,0,0,1.39099266354297e-05,0,0,0,0,1.62507986373559e-06,0,4.22973693906834e-05,2.72396582396226e-05,6.11098311138371e-05
"AT0126",0.000131273020636274,9.3020096428673e-05,8.6453109967069e-05,9.20922318602183e-06,0,0,0,0.00010887969921751,0,0,0,0,2.4475957657424e-06,0,8.63216857010957e-05,1.36922406574698e-05,0.000239710479289751
"AT0127",0,6.16073316098761e-05,0.000120219352606518,1.02186720087441e-05,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT0128",1.01332996022002e-05,4.09236809391077e-06,2.77267661725429e-05,0,0,0,0,0.000147910556761737,0,0,0,0,5.47817540323999e-08,0,9.39754002498965e-06,4.4914184492817e-07,3.70874383394631e-06
"AT0129",2.80595929692113e-06,3.20200072409053e-05,1.68763341542331e-05,0,0,0,0,7.2726564506322e-07,0,0,0,0,7.42945431904028e-08,0,3.15941489621214e-05,2.36186601351387e-06,2.44074881404156e-05
"AT0130",2.12495958433709e-05,1.45793696606453e-05,5.96458721008233e-05,9.79145932353118e-07,0,0,0,1.77397717382773e-05,0,0,0,0,9.86227689904117e-08,0,0.000115866333601765,1.08820961585274e-05,8.29666231430804e-05
"AT0201",1.59910231930683e-05,5.83715776302124e-07,2.96003117032445e-05,6.77654550258254e-08,0,0,0,4.01323461257499e-09,0,0,0,0,0,0,3.5044128543771e-06,2.96023959874774e-08,3.05148141257887e-07
"AT0202",0.000180591734030503,3.93010795118797e-05,6.91273294638993e-05,1.23860168591791e-05,0,0,0,7.18145596663859e-05,0,0,0,0,2.06158046071085e-06,0,0.000165900633008724,1.995551145985e-05,0.000305431264644478
"AT0203",1.46658769021329e-05,5.11624192928841e-06,2.23220420897282e-05,1.96608869030794e-07,0,0,0,2.75875149594433e-06,0,0,0,0,1.2278471162892e-07,0,4.24192491048764e-06,1.65063279370743e-06,1.37974693546724e-05
"AT0701",0.000138170417470874,1.73328770875159e-05,6.25975962484003e-05,3.95962747327582e-06,0,0,0,0.000111439966623929,0,0,0,0,1.8953975419746e-06,0,5.27669006156262e-05,1.29800353439442e-05,0.000174487524192852
"AT0702",4.05378828594099e-05,8.42200108632397e-06,4.01450282861407e-05,1.69331610633618e-06,0,0,0,2.42934845441261e-05,0,0,0,0,4.18455111854614e-07,0,4.14600191344689e-06,2.99743349928836e-06,3.9564892029039e-05
"AT0703",3.5243852274785e-07,2.94646964108421e-08,2.10759190781382e-08,0,0,0,0,3.61153384544232e-08,0,0,0,0,1.31698251454644e-09,0,9.50505739203534e-08,4.28482029565396e-09,2.06809193949793e-07
"AT0704",2.48152244636968e-05,2.39542208708462e-05,0.000835371088753897,3.54410208367217e-06,0,0,0,3.30692058987563e-07,0,0,0,0,2.56505272616891e-07,0,1.39554215164017e-05,1.3562200667589e-06,8.9960370244324e-06
"AT0705",0.000496284066126672,0.000139583521247597,6.47055754075995e-05,0,0,0,0,1.99001539316722e-07,0,0,0,0,4.17041514240406e-12,0,1.32893500167657e-05,0,0
"AT0706",0.000125877482538711,5.34521993560921e-05,0.000220991537950888,1.52951939599246e-05,0,0,0,2.0316141259012e-05,0,0,0,0,6.85494050702742e-07,0,3.88251246843049e-05,1.97815652464868e-06,3.53104742187094e-05
