"Eco_code","Annual","Permanent","Pasture","Urban","PlantationNonTimber","ClearCut","Retention","PlantationFuel","SlashAndBurn","SelectionSystem","SelectiveLogging","Agroforestry","Plantation","ReducedImpactLogging","Afforested","ForExtensive","ForIntensive"
"AA0101",2.77437445547764e-06,6.7295394915984e-07,1.08651774772965e-05,0,0,0,0,4.97204219648592e-07,0,0,0,0,0,0,7.05208745675003e-10,1.43490644623169e-08,1.07225741611942e-07
"AA0102",7.79667248512831e-05,3.23519857003724e-05,8.93594718198651e-06,3.23836271908308e-06,0,0,0,3.03969566824577e-05,0,0,0,0,1.48872650007512e-06,0,1.07468651866643e-05,4.18590313927563e-06,2.85678960003371e-05
"AA0103",7.71530559469572e-07,5.98733298547048e-06,4.03488724174775e-07,2.95973474988249e-05,0,0,0,9.05631144767998e-07,0,0,0,0,2.37887930560275e-07,0,1.10714187899882e-05,7.53036288383681e-06,5.03968446556171e-05
"AA0104",9.35767220228227e-08,1.17953339073196e-05,4.59050765090987e-23,1.21972057264461e-05,0,0,0,7.22879770508023e-07,0,0,0,0,0,0,1.56636240920598e-05,1.13123393282627e-05,7.14140878165397e-05
"AA0105",1.63171504212477e-05,5.88013526766639e-05,2.79772268778204e-05,4.67664994863383e-05,0,0,0,3.06202419039574e-05,0,0,0,0,5.60027650333458e-06,0,0.000124051540801164,6.35824677288252e-05,0.000672660799784892
"AA0106",1.28888648450314e-07,6.66642292227986e-06,2.43543131879619e-06,3.67550370232931e-05,0,0,0,1.2882100834212e-06,0,0,0,0,5.80190358322954e-07,0,1.97322362513216e-05,1.60929238501247e-05,0.000107441140416615
"AA0107",1.87804231362774e-06,3.20954987165435e-06,8.94862978851431e-06,0,0,0,0,3.78398180841676e-06,0,0,0,0,6.87543670911336e-09,0,1.08187748344391e-05,9.87003221308101e-06,8.72997904146224e-05
"AA0108",1.52025819804749e-07,1.03935540237147e-06,2.59259991095758e-07,2.00957560609181e-06,0,0,0,3.3599523629967e-07,0,0,0,0,1.25570918428241e-07,0,1.64929223910855e-06,3.36956294359618e-07,4.96615593608983e-06
"AA0109",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AA0110",2.26097135998268e-07,7.13369693086085e-07,2.13382185672372e-06,1.62023624453536e-06,0,0,0,1.82653236374313e-07,0,0,0,0,7.47742472385353e-09,0,2.3140416322716e-06,5.20826150302217e-06,3.1444497309295e-05
"AA0111",1.50094883513215e-06,6.43445456382655e-06,3.23427555536699e-05,0,0,0,0,1.61810991703368e-06,0,0,0,0,1.54244583075955e-08,0,2.33492761441556e-05,2.85096452288903e-05,0.000245902934957326
"AA0112",0,2.08646878066624e-06,7.68383508614875e-06,1.99385695788799e-06,0,0,0,0.000113873614240618,0,0,0,0,0,0,1.35061829097285e-05,3.33346957530341e-06,2.79786010590402e-05
"AA0113",5.30955856587483e-06,2.10019095060165e-05,1.48469893473002e-05,2.45617535454997e-06,0,0,0,1.38041637881601e-05,0,0,0,0,3.47413279693286e-06,0,3.94493239364511e-05,1.91612665538943e-05,0.000222223601700725
"AA0114",5.09046969978451e-13,6.52096539645503e-12,2.10522016199546e-12,5.96816500489704e-13,0,0,0,3.07457427122038e-12,0,0,0,0,7.68856996077623e-13,0,8.24892591551493e-12,9.4563360116079e-12,4.95727820752445e-11
"AA0115",1.48650326403158e-05,1.19408670684095e-05,0.000278181601347775,2.98962191683071e-05,0,4.44634954967017e-07,0,8.07196765028937e-05,0,0,0,0,0,0,2.35552109930599e-05,2.81178862032573e-05,0.00016100182119112
"AA0116",2.62425820072994e-06,1.7547044432718e-05,8.31043852376673e-06,1.56193912430522e-05,0,0,0,3.99889137880568e-06,0,0,0,0,1.85534459522909e-06,0,2.23613311588799e-05,6.24234930552822e-06,8.18693330241435e-05
"AA0117",1.86003300850977e-07,1.37091752756708e-05,2.53615172057356e-06,8.70313599751254e-07,0,0,0,1.78296907175924e-05,0,0,0,0,1.73983538693392e-07,0,1.66587142559119e-06,1.27974499540182e-05,0.000246131746976143
"AA0118",4.77834078636768e-06,6.81566165480657e-06,1.153639867467e-05,4.92999277539256e-06,0,0,0,7.95761157209512e-06,0,0,0,0,5.05700378783858e-09,0,2.36083257670103e-05,1.98168684859337e-05,0.00016684330163519
