,2016 (original),2016 (aggregation reproduced),2016 animals (aggregation reproduced),2016 plants (aggregation reproduced),2015 animals (original),2015 animals (aggregation reproduced)
IM0118 (Ch),1.72E-15,1.72E-15,1.70E-15,1.74E-15,2.28E-15,2.09E-15
IM0120 (In),2.10E-15,2.10E-15,1.37E-15,2.83E-15,1.73E-15,1.57E-15
