"","Scenario","Region","forest_EU_noex_min","forest_EU_noex_max","forest_EU_noex_mean","forest_ex_min","forest_ex_max","forest_ex_mean","forest_EU_ex_min","forest_EU_ex_max","forest_EU_ex_mean","forest_im_min","forest_im_max","forest_im_mean","EP_EU_min","EP_EU_max","EP_EU_mean","EP_im_min","EP_im_max","EP_im_mean","tot_noexport_min","tot_noexport_max","tot_noexport_mean"
"33","RCP6.5","BrazilReg",NA,NA,NA,NA,NA,NA,NA,NA,NA,5.08095310591968e-06,5.52308057591929e-06,5.27489183580045e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","RCP6.5","CanadaReg",NA,NA,NA,NA,NA,NA,NA,NA,NA,4.45513468293584e-07,4.54651897272757e-07,4.51934423817757e-07,NA,NA,NA,1.12384774151153e-07,1.75159273550642e-07,1.48364714895198e-07,7.23726556539041e-09,1.32656056781964e-08,1.16979644446973e-08
"35","RCP6.5","ChinaReg",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.42471737620149e-06,2.66259839325567e-06,2.49079754539751e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","RCP6.5","CongoBasin",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.41403184718125e-06,2.9661134676294e-06,2.63205587807128e-06,NA,NA,NA,NA,NA,NA,2.8516904519264e-07,4.3189684347788e-07,3.78557410305318e-07
"37","RCP6.5","EasternAf",NA,NA,NA,NA,NA,NA,NA,NA,NA,4.77153899001103e-06,4.96445108790752e-06,4.84521174493338e-06,NA,NA,NA,NA,NA,NA,4.49776984350486e-07,2.25171669663035e-06,1.28579166391896e-06
"38","RCP6.5","EU",2.37059590877751e-07,4.67000875133735e-07,2.99947896696314e-07,5.8954352327342e-07,8.23301336551747e-07,6.4176886091666e-07,3.01219174682559e-07,6.02320562571237e-07,3.71557392820089e-07,NA,NA,NA,4.65951803516531e-07,5.72122007009009e-07,5.36906302284e-07,NA,NA,NA,NA,NA,NA
"39","RCP6.5","Former_USSR",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.80513223994652e-07,4.17846001706926e-07,3.98548575769427e-07,NA,NA,NA,5.74713126322851e-07,8.41714259190764e-07,6.44505165645276e-07,NA,NA,NA
"40","RCP6.5","IndiaReg",NA,NA,NA,NA,NA,NA,NA,NA,NA,9.62198382157548e-06,1.47504990088916e-05,1.21887833380099e-05,NA,NA,NA,NA,NA,NA,8.27901068510472e-07,1.06673595166059e-05,5.31528349690691e-06
"41","RCP6.5","IndonesiaReg",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5065316059039e-05,1.62437985238594e-05,1.57126194370927e-05,NA,NA,NA,1.22030513812434e-05,6.49970522655632e-05,3.51017237867544e-05,2.21317485905596e-06,1.51198023606951e-05,8.69152339671554e-06
"42","RCP6.5","JapanReg",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.47307271761583e-06,1.49346761878784e-06,1.47991931500128e-06,NA,NA,NA,NA,NA,NA,3.86468589889194e-08,4.90704795993349e-07,2.05818955319775e-07
