"Scenario","Year","Region","forest_EU_noex","forest_ex","forest_EU_ex","forest_im","EP_EU","EP_im","tot_noexport"
"RCP_MFM_AF75","2060","ANZ",NA,NA,NA,3.07455860039278e-06,NA,NA,NA
"RCP_MFM_AF75","2070","ANZ",NA,NA,NA,3.06426742237491e-06,NA,NA,NA
"RCP_MFM_AF75","2080","ANZ",NA,NA,NA,3.08430190389107e-06,NA,NA,NA
"RCP_MFM_AF75","2090","ANZ",NA,NA,NA,3.14528868732272e-06,NA,NA,NA
"RCP_MFM_AF75","2100","ANZ",NA,NA,NA,3.19388470198819e-06,NA,NA,NA
"RCP_MFM_noAF","2000","ANZ",NA,NA,NA,3.08107376410652e-06,NA,NA,1.41800545656539e-05
"RCP_MFM_noAF","2010","ANZ",NA,NA,NA,3.09604700918528e-06,NA,NA,8.10936112383497e-06
"RCP_MFM_noAF","2020","ANZ",NA,NA,NA,3.10770298808203e-06,NA,NA,4.4176781502051e-06
"RCP_MFM_noAF","2030","ANZ",NA,NA,NA,3.10246484907582e-06,NA,NA,4.41023200354173e-06
"RCP_MFM_noAF","2040","ANZ",NA,NA,NA,3.10854578748696e-06,NA,NA,NA
"RCP_MFM_noAF","2050","ANZ",NA,NA,NA,3.11051091978256e-06,NA,2.06891460255274e-06,7.36268396574047e-06
"RCP_MFM_noAF","2060","ANZ",NA,NA,NA,3.10243636548435e-06,NA,2.06451166590742e-06,7.34494689777677e-06
"RCP_MFM_noAF","2070","ANZ",NA,NA,NA,3.0918748563925e-06,NA,2.06362526846377e-06,7.32867341000737e-06
"RCP_MFM_noAF","2080","ANZ",NA,NA,NA,3.11221190220234e-06,NA,2.14663467977561e-06,7.47558300441791e-06
"RCP_MFM_noAF","2090","ANZ",NA,NA,NA,3.174137864584e-06,NA,2.23559906792095e-06,7.6900774419997e-06
"RCP_MFM_noAF","2100","ANZ",NA,NA,NA,3.22412341452392e-06,NA,2.24539094267273e-06,7.77505255833121e-06
"RCP_SFM_AF0","2000","ANZ",NA,NA,NA,3.05525176499216e-06,NA,NA,1.40612137379199e-05
"RCP_SFM_AF0","2010","ANZ",NA,NA,NA,3.06982688107885e-06,NA,NA,8.04068371457815e-06
"RCP_SFM_AF0","2020","ANZ",NA,NA,NA,3.08105683120101e-06,NA,NA,4.37979996638521e-06
"RCP_SFM_AF0","2030","ANZ",NA,NA,NA,3.07580637140988e-06,NA,NA,4.37233630541543e-06
"RCP_SFM_AF0","2040","ANZ",NA,NA,NA,3.08197008407392e-06,NA,2.06796383168618e-06,7.32076090343968e-06
"RCP_SFM_AF0","2050","ANZ",NA,NA,NA,3.08410317760106e-06,NA,2.06953545535846e-06,7.32602725234348e-06
"RCP_SFM_AF0","2060","ANZ",NA,NA,NA,3.07594361805374e-06,NA,2.06468078567432e-06,7.307527197371e-06
"RCP_SFM_AF0","2070","ANZ",NA,NA,NA,3.06553690386901e-06,NA,2.06299519987934e-06,7.29033768807396e-06
"RCP_SFM_AF0","2080","ANZ",NA,NA,NA,3.08555835731843e-06,NA,2.14591051408165e-06,7.43666489857372e-06
"RCP_SFM_AF0","2090","ANZ",NA,NA,NA,3.1467361753362e-06,NA,2.23472663677283e-06,7.64988506699852e-06
"RCP_SFM_AF0","2100","ANZ",NA,NA,NA,3.19538131483274e-06,NA,2.24992997649427e-06,7.74064728998017e-06
"RCP_SFM_AF100","2000","ANZ",NA,NA,NA,3.09710054132279e-06,NA,NA,1.42538147521466e-05
"RCP_SFM_AF100","2010","ANZ",NA,NA,NA,3.11248736439535e-06,NA,NA,8.15242273659703e-06
"RCP_SFM_AF100","2020","ANZ",NA,NA,NA,3.12429869762785e-06,NA,NA,4.44126936974213e-06
"RCP_SFM_AF100","2030","ANZ",NA,NA,NA,3.11865775021305e-06,NA,NA,NA
"RCP_SFM_AF100","2040","ANZ",NA,NA,NA,3.12452953872601e-06,NA,2.06619437441536e-06,7.37874491313083e-06
"RCP_SFM_AF100","2050","ANZ",NA,NA,NA,3.12658855317811e-06,NA,2.06733231639177e-06,7.04792737390433e-06
"RCP_SFM_AF100","2060","ANZ",NA,NA,NA,3.11851070630544e-06,NA,2.06303826670877e-06,7.00717063102264e-06
"RCP_SFM_AF100","2070","ANZ",NA,NA,NA,3.10787549373278e-06,NA,2.06333954484964e-06,6.89509743715222e-06
"RCP_SFM_AF100","2080","ANZ",NA,NA,NA,3.12763069603608e-06,NA,2.14739697985793e-06,6.98399817243696e-06
"RCP_SFM_AF100","2090","ANZ",NA,NA,NA,3.18929361727811e-06,NA,2.23781955418693e-06,7.18535537630078e-06
"RCP_SFM_AF100","2100","ANZ",NA,NA,NA,3.23931896438204e-06,NA,2.2524407394373e-06,2.7884867895631e-06
"RCP_SFM_AF25","2000","ANZ",NA,NA,NA,3.05418886859623e-06,NA,NA,1.40563219599081e-05
"RCP_SFM_AF25","2010","ANZ",NA,NA,NA,3.06875643063379e-06,NA,NA,8.03787992342172e-06
"RCP_SFM_AF25","2020","ANZ",NA,NA,NA,3.07995496243001e-06,NA,NA,4.37823363214647e-06
"RCP_SFM_AF25","2030","ANZ",NA,NA,NA,3.07470133132178e-06,NA,NA,4.37076546306949e-06
"RCP_SFM_AF25","2040","ANZ",NA,NA,NA,3.08087434629049e-06,NA,NA,4.37954055948403e-06
"RCP_SFM_AF25","2050","ANZ",NA,NA,NA,3.08292182840136e-06,NA,NA,NA
"RCP_SFM_AF25","2060","ANZ",NA,NA,NA,3.0748409689229e-06,NA,NA,NA
"RCP_SFM_AF25","2070","ANZ",NA,NA,NA,3.06454969796136e-06,NA,NA,NA
"RCP_SFM_AF25","2080","ANZ",NA,NA,NA,3.08458579092343e-06,NA,NA,NA
"RCP_SFM_AF25","2090","ANZ",NA,NA,NA,3.14558729488007e-06,NA,NA,NA
"RCP_SFM_AF25","2100","ANZ",NA,NA,NA,3.19419462199685e-06,NA,NA,NA
"RCP_SFM_AF50","2000","ANZ",NA,NA,NA,3.08341905662121e-06,NA,NA,1.41908483273022e-05
"RCP_SFM_AF50","2010","ANZ",NA,NA,NA,3.09848601909517e-06,NA,NA,8.11574953204882e-06
"RCP_SFM_AF50","2020","ANZ",NA,NA,NA,3.11029213388744e-06,NA,NA,4.42135868624607e-06
"RCP_SFM_AF50","2030","ANZ",NA,NA,NA,3.10495224676236e-06,NA,NA,4.4137679020664e-06
"RCP_SFM_AF50","2040","ANZ",NA,NA,NA,3.11103345692165e-06,NA,NA,4.42241249562973e-06
"RCP_SFM_AF50","2050","ANZ",NA,NA,NA,3.11296226773376e-06,NA,NA,NA
"RCP_SFM_AF50","2060","ANZ",NA,NA,NA,3.104975557179e-06,NA,NA,NA
"RCP_SFM_AF50","2070","ANZ",NA,NA,NA,3.09435156205129e-06,NA,2.05932105991214e-06,7.32607556856948e-06
"RCP_SFM_AF50","2080","ANZ",NA,NA,NA,3.11449259434633e-06,NA,2.14138932801643e-06,7.47136866602873e-06
"RCP_SFM_AF50","2090","ANZ",NA,NA,NA,3.17629459581747e-06,NA,2.230833603953e-06,7.68636906264524e-06
"RCP_SFM_AF50","2100","ANZ",NA,NA,NA,3.22561434273469e-06,NA,2.24450935548813e-06,7.77591875196287e-06
"RCP_SFM_AF75","2000","ANZ",NA,NA,NA,3.09045615789993e-06,NA,NA,1.42232352442527e-05
"RCP_SFM_AF75","2010","ANZ",NA,NA,NA,3.10575224441012e-06,NA,NA,8.1347816865708e-06
"RCP_SFM_AF75","2020","ANZ",NA,NA,NA,3.11757225450636e-06,NA,NA,NA
"RCP_SFM_AF75","2030","ANZ",NA,NA,NA,3.11197483298315e-06,NA,NA,NA
"RCP_SFM_AF75","2040","ANZ",NA,NA,NA,3.11787087856823e-06,NA,2.06668125216756e-06,7.36997156883587e-06
"RCP_SFM_AF75","2050","ANZ",NA,NA,NA,3.11980022108446e-06,NA,2.06842333930699e-06,7.37519059865694e-06
"RCP_SFM_AF75","2060","ANZ",NA,NA,NA,3.11196843076744e-06,NA,2.06367925056602e-06,5.69000330239826e-06
"RCP_SFM_AF75","2070","ANZ",NA,NA,NA,3.10105644904628e-06,NA,2.06408125564873e-06,5.58316617252876e-06
"RCP_SFM_AF75","2080","ANZ",NA,NA,NA,3.12080703415671e-06,NA,2.14721985610968e-06,5.61487920287113e-06
"RCP_SFM_AF75","2090","ANZ",NA,NA,NA,3.1822625545499e-06,NA,2.23680502197995e-06,5.77586456337775e-06
"RCP_SFM_AF75","2100","ANZ",NA,NA,NA,3.23150780847262e-06,NA,2.25297451728553e-06,5.84558629325425e-06
"RCP_SFM_noAF","2000","ANZ",NA,NA,NA,3.08122726392181e-06,NA,NA,1.41807610192877e-05
"RCP_SFM_noAF","2010","ANZ",NA,NA,NA,3.09624492749333e-06,NA,NA,8.10987952392007e-06
"RCP_SFM_noAF","2020","ANZ",NA,NA,NA,3.10788283840864e-06,NA,NA,NA
"RCP_SFM_noAF","2030","ANZ",NA,NA,NA,3.10265093041778e-06,NA,NA,NA
"RCP_SFM_noAF","2040","ANZ",NA,NA,NA,3.10874037996144e-06,NA,NA,NA
"RCP_SFM_noAF","2050","ANZ",NA,NA,NA,3.11076670653969e-06,NA,NA,NA
"RCP_SFM_noAF","2060","ANZ",NA,NA,NA,3.10267974859168e-06,NA,NA,NA
"RCP_SFM_noAF","2070","ANZ",NA,NA,NA,3.09210300500263e-06,NA,NA,NA
"RCP_SFM_noAF","2080","ANZ",NA,NA,NA,3.11242962003019e-06,NA,NA,NA
"RCP_SFM_noAF","2090","ANZ",NA,NA,NA,3.17436845722921e-06,NA,NA,NA
"RCP_SFM_noAF","2100","ANZ",NA,NA,NA,3.22436754080745e-06,NA,NA,NA
"REF_MFM_AF0","2000","ANZ",NA,NA,NA,3.12124378217517e-06,NA,NA,1.43649294150497e-05
"REF_MFM_AF0","2010","ANZ",NA,NA,NA,3.13211148749187e-06,NA,NA,8.20382347452386e-06
"REF_MFM_AF0","2020","ANZ",NA,NA,NA,3.14313649740267e-06,NA,NA,4.46804777706815e-06
"REF_MFM_AF0","2030","ANZ",NA,NA,NA,3.16592775730882e-06,NA,NA,NA
"REF_MFM_AF0","2040","ANZ",NA,NA,NA,3.17273427706984e-06,NA,NA,NA
"REF_MFM_AF0","2050","ANZ",NA,NA,NA,3.18525166885673e-06,NA,2.63596606863772e-06,8.27500778071035e-06
"REF_MFM_AF0","2060","ANZ",NA,NA,NA,3.19283525494808e-06,NA,2.63817015954216e-06,8.2889212103307e-06
"REF_MFM_AF0","2070","ANZ",NA,NA,NA,3.19849185022419e-06,NA,2.64005095569603e-06,8.29963580228413e-06
"REF_MFM_AF0","2080","ANZ",NA,NA,NA,3.2048129947422e-06,NA,2.64198722845946e-06,8.31137392913899e-06
"REF_MFM_AF0","2090","ANZ",NA,NA,NA,3.21420282791898e-06,NA,2.64435721252571e-06,8.32809080584314e-06
"REF_MFM_AF0","2100","ANZ",NA,NA,NA,3.22334414008702e-06,NA,2.64611332587553e-06,8.34358177096703e-06
"REF_MFM_AF100","2000","ANZ",NA,NA,NA,3.12124378217517e-06,NA,NA,1.43649294150497e-05
"REF_MFM_AF100","2010","ANZ",NA,NA,NA,3.13211148749187e-06,NA,NA,8.20382347452386e-06
"REF_MFM_AF100","2020","ANZ",NA,NA,NA,3.14313649740267e-06,NA,NA,4.46804777706815e-06
"REF_MFM_AF100","2030","ANZ",NA,NA,NA,3.16593340546389e-06,NA,NA,4.50045415664192e-06
"REF_MFM_AF100","2040","ANZ",NA,NA,NA,3.17273974684963e-06,NA,NA,4.51012954252593e-06
"REF_MFM_AF100","2050","ANZ",NA,NA,NA,3.18525232445647e-06,NA,NA,NA
"REF_MFM_AF100","2060","ANZ",NA,NA,NA,3.19284152872383e-06,NA,NA,NA
"REF_MFM_AF100","2070","ANZ",NA,NA,NA,3.19851679828367e-06,NA,NA,NA
"REF_MFM_AF100","2080","ANZ",NA,NA,NA,3.20483057550805e-06,NA,NA,NA
"REF_MFM_AF100","2090","ANZ",NA,NA,NA,3.21422257995778e-06,NA,NA,NA
"REF_MFM_AF100","2100","ANZ",NA,NA,NA,3.2233840750747e-06,NA,NA,NA
"REF_MFM_AF25","2000","ANZ",NA,NA,NA,3.12124378217517e-06,NA,NA,1.43649294150497e-05
"REF_MFM_AF25","2010","ANZ",NA,NA,NA,3.13211148749187e-06,NA,NA,8.20382347452386e-06
"REF_MFM_AF25","2020","ANZ",NA,NA,NA,3.14313550385386e-06,NA,NA,NA
"REF_MFM_AF25","2030","ANZ",NA,NA,NA,3.16593213616104e-06,NA,NA,NA
"REF_MFM_AF25","2040","ANZ",NA,NA,NA,3.17273929186428e-06,NA,NA,NA
"REF_MFM_AF25","2050","ANZ",NA,NA,NA,3.18525185947023e-06,NA,NA,NA
"REF_MFM_AF25","2060","ANZ",NA,NA,NA,3.19283558775542e-06,NA,NA,NA
"REF_MFM_AF25","2070","ANZ",NA,NA,NA,3.19849736613678e-06,NA,NA,NA
"REF_MFM_AF25","2080","ANZ",NA,NA,NA,3.20479422188349e-06,NA,2.64317510004419e-06,8.3130358324538e-06
"REF_MFM_AF25","2090","ANZ",NA,NA,NA,3.21418164312195e-06,NA,2.64558196130474e-06,8.3298017023883e-06
"REF_MFM_AF25","2100","ANZ",NA,NA,NA,3.22334464562278e-06,NA,2.64688742559048e-06,8.34468289186057e-06
"REF_MFM_AF50","2000","ANZ",NA,NA,NA,3.12124378144784e-06,NA,NA,1.43649294117024e-05
"REF_MFM_AF50","2010","ANZ",NA,NA,NA,3.13211145709886e-06,NA,NA,8.20382339491656e-06
