"Scenario","Year","Annual_EU_median","Permanent_EU_median","Pasture_EU_median","Urban_EU_median","Annual_RoW_median","Permanent_RoW_median","Pasture_RoW_median","Urban_RoW_median","For_ClearCut_EU_median","For_ClearCut_im_median","For_ClearCut_ex_median","For_Retention_EU_median","For_Plantation_im_median","For_TimberPlant_EU_median","For_TimberPlant_ex_median","For_SelectionSystem_EU_median","For_SelectionSystem_im_median","For_SelectionSystem_ex_median","For_Selective_im_median","EP_EU_median","EP_conv_EU_median","EP_RoW_median","EP_conv_im_median","Afforested_EU_median","Afforested_RoW_median","Regrowth_median","ForOther_Extensive_EU_median","ForOther_Extensive_RoW_median","ForOther_Intensive_EU_median","ForOther_Intensive_RoW_median"
"RCP_MFM_AF0",2000,0.00060564308635255,1.441371921581e-05,9.7375880653536e-06,1.29015153596658e-05,2.93464756418283e-05,2.83293848293591e-05,2.04900307200884e-05,6.11265416186242e-05,2.32313449309542e-06,1.83111962004487e-06,2.95850002195741e-06,0,4.11421564860548e-05,0,0,2.90387267865114e-07,0,0,0,0,0,0,0,0,0,4.52400025536972e-06,Inf,1.60019573391727e-06,Inf,2.23702640541e-05
"RCP_MFM_AF0",2010,0.000594315931375652,1.43605046486666e-05,9.53221961698888e-06,1.2812991388399e-05,3.02036035956974e-05,2.84519014308608e-05,2.1086675291442e-05,6.12796982464497e-05,2.24133382233806e-06,2.13828881731313e-06,2.95249425201178e-06,0,4.10342124802016e-05,0,0,2.97736181356088e-07,0,0,0,0,0,0,0,2.40101657490662e-06,5.27448101030883e-06,4.25179176713247e-06,Inf,1.57974041060414e-06,Inf,2.20945780081276e-05
"RCP_MFM_AF0",2020,0.0006127700955198,1.44761349069013e-05,9.58087751365375e-06,1.29240396534243e-05,3.07529835063846e-05,2.8666626324683e-05,2.13960157869641e-05,6.15562072895248e-05,2.34936492272506e-06,2.38200459346272e-06,2.97749341423654e-06,0,4.14541417379822e-05,0,0,3.02011058207174e-07,0,0,0,3.12374176175869e-06,1.46113322657484e-05,5.02121512283543e-05,0,2.50127452940085e-06,5.47105952790308e-06,4.09674658653178e-06,Inf,1.65175092636568e-06,Inf,2.24283664730159e-05
"RCP_MFM_AF0",2030,0.000600240316214849,1.44454531968175e-05,9.56021671251224e-06,1.28933256588867e-05,3.02803308489295e-05,2.87200913325464e-05,2.07994304780476e-05,6.15436479362859e-05,2.33653096666814e-06,2.38957964285919e-06,2.97080414095194e-06,2.93961681591308e-07,4.11447655013765e-05,0,0,3.11967724475816e-07,0,0,0,5.34241963809258e-06,1.44191831356027e-05,5.66966435877681e-05,0,2.3306461046337e-06,5.57804926382328e-06,4.07966469604968e-06,Inf,1.7080244919219e-06,Inf,2.27638209950843e-05
"RCP_MFM_AF0",2040,0.000598294772022246,1.4433521212874e-05,9.56549549305779e-06,1.30115348822942e-05,3.03168024650915e-05,2.88027086299804e-05,2.06128762120014e-05,6.16035328482122e-05,2.29353407268387e-06,2.39592525154339e-06,2.96260398381581e-06,2.89114197420654e-07,4.15957587804821e-05,0,0,3.24781429416911e-07,0,0,0,5.47891804536167e-06,1.36856130703051e-05,5.16072128942389e-05,4.21605613284465e-05,2.30255854397922e-06,5.76044888972871e-06,4.07543927527833e-06,Inf,1.7492104361891e-06,Inf,2.28539984541269e-05
"RCP_MFM_AF0",2050,0.00054749976784426,1.44128300103313e-05,9.61901599404273e-06,1.30367523090466e-05,2.98084360726805e-05,2.88335184412844e-05,2.01860217206103e-05,6.15568032628121e-05,2.32875744351546e-06,2.41013902981883e-06,2.95891406808362e-06,2.86338422901192e-07,4.08924611592842e-05,0,0,3.38257397595915e-07,0,0,0,5.52182702850157e-06,1.2854912082104e-05,5.40660725685037e-05,4.54262858443628e-05,2.20880875731258e-06,6.16638021590416e-06,4.06831568909603e-06,Inf,1.80791068873941e-06,Inf,2.29428668590014e-05
"RCP_MFM_AF0",2060,0.000465768789446374,1.43128183335027e-05,9.58958259184687e-06,1.30327083316151e-05,2.9451148024687e-05,2.88593284950863e-05,1.96403991746467e-05,6.15301355335747e-05,2.44993428384599e-06,2.45329757074451e-06,2.94439947951224e-06,2.98973308101323e-07,4.34995802960246e-05,0,0,3.59961522000409e-07,0,0,0,5.40625112300475e-06,1.25628893353287e-05,5.40562119501031e-05,5.57774200006413e-05,2.10999461797494e-06,6.2526725783576e-06,4.05869314409836e-06,Inf,1.88097445688396e-06,Inf,2.31772568640905e-05
"RCP_MFM_AF0",2070,0.000358233346723574,1.4114029132043e-05,9.48566739878342e-06,1.29468979624395e-05,2.85914441913771e-05,2.8888334654919e-05,1.91796601738683e-05,6.15031158487843e-05,2.75396502511186e-06,2.57907624240218e-06,2.90957335905168e-06,2.98172575047109e-07,4.35855608415546e-05,0,0,3.6928030169649e-07,0,0,0,6.66865448795607e-06,1.1872703636818e-05,5.0517987524108e-05,5.27561386307461e-05,1.96207027626557e-06,6.16736711381267e-06,3.97995646564485e-06,Inf,2.02224157695412e-06,Inf,2.41931640314601e-05
"RCP_MFM_AF0",2080,0.000226122909719789,1.39081781022038e-05,9.5886076282739e-06,1.28386697098561e-05,2.75233929597188e-05,2.89505801697098e-05,1.85197008029006e-05,6.14962334234698e-05,2.88742792266949e-06,2.86672842954416e-06,2.8829029838878e-06,3.05075461933761e-07,4.06037702028615e-05,0,0,3.72355707013711e-07,0,0,0,6.75552147670461e-06,1.16372968736821e-05,4.85844439932939e-05,4.92307923903447e-05,1.88561199925946e-06,6.43023358191075e-06,3.81111542641448e-06,Inf,2.24317620543683e-06,Inf,2.55732980454571e-05
"RCP_MFM_AF0",2090,0.000168174979888249,1.38195309100884e-05,9.50813838072581e-06,1.27311721204974e-05,2.61434278175532e-05,2.89576501687271e-05,1.76223166763289e-05,6.14495122419923e-05,2.95981053342752e-06,3.12651695508185e-06,2.86943780092087e-06,3.07670275158343e-07,4.27150320982184e-05,0,0,3.80950780339323e-07,0,0,0,8.91243265756454e-06,1.13730848190972e-05,4.64298909343587e-05,5.33267007028586e-05,1.71458586714194e-06,6.78786746527984e-06,3.59128739011957e-06,Inf,2.49465720643042e-06,Inf,2.72899780370945e-05
