"Group","Scenario","PDFx100","lower95","upper95"
"RCP2.6_MFM","noAFM",14.1689504981363,9.29937555002715,18.9290415434848
"RCP2.6_SFM","noAFM",14.1694429114583,9.29971178828082,18.9297439106844
"REF_MFM","noAFM",16.3170986047692,10.9116851841974,22.145597712183
"REF_SFM","noAFM",16.317484216035,10.9119909251919,22.1460649820633
"RCP2.6_MFM","AFMfree",14.1464932446071,9.27732143411022,18.8958927184828
"RCP2.6_SFM","AFMfree",14.1460266130268,9.27714393555092,18.8954440111763
"REF_MFM","AFMfree",16.2950606524846,10.8931552068626,22.1132647852989
"REF_SFM","AFMfree",16.2970277099369,10.8958471926256,22.116456965015
"RCP2.6_MFM","AFM25",14.1448456595047,9.2764461681408,18.8929531716086
"RCP2.6_SFM","AFM25",14.1530847607041,9.28476305813493,18.9044011094965
"REF_MFM","AFM25",16.2970565258037,10.8946093983635,22.1168638674131
"REF_SFM","AFM25",16.3038649349309,10.9024219580786,22.1273098527012
"RCP2.6_MFM","AFM50",14.1464886112358,9.278042356441,18.8944691682141
"RCP2.6_SFM","AFM50",14.1756179829075,9.30595653169322,18.9340206287689
"REF_MFM","AFM50",16.2982521377752,10.8957815002027,22.1187312272003
"REF_SFM","AFM50",16.325677824389,10.9206355693811,22.1568475302607
"RCP2.6_MFM","AFM75",14.1551730999652,9.28517630353526,18.9053930963744
"RCP2.6_SFM","AFM75",14.18426627152,9.31762061821853,18.9447829424552
"REF_MFM","AFM75",16.3051485910569,10.9010444493596,22.1275863916084
"REF_SFM","AFM75",16.3389676761419,10.9345893067789,22.1746494754924
"RCP2.6_MFM","AFM100",14.1599265936276,9.29105967181257,18.9107077202381
"RCP2.6_SFM","AFM100",14.2021981555762,9.33435681961593,18.968445069527
"REF_MFM","AFM100",16.3121448671015,10.9076190962843,22.1367094139615
"REF_SFM","AFM100",16.3631550492654,10.9551839005375,22.2075158139836
