"Scenario","Globiom_Reg","Year","Annual_EU_median","Permanent_EU_median","Pasture_EU_median","Urban_EU_median","Annual_RoW_median","Permanent_RoW_median","Pasture_RoW_median","Urban_RoW_median","For_ClearCut_EU_median","For_ClearCut_im_median","For_ClearCut_ex_median","For_Retention_EU_median","For_Plantation_im_median","For_TimberPlant_EU_median","For_TimberPlant_ex_median","For_SelectionSystem_EU_median","For_SelectionSystem_im_median","For_SelectionSystem_ex_median","For_Selective_im_median","EP_EU_median","EP_conv_EU_median","EP_RoW_median","EP_conv_im_median","Afforested_EU_median","Afforested_RoW_median","Regrowth_median","ForOther_Extensive_EU_median","ForOther_Extensive_RoW_median","ForOther_Intensive_EU_median","ForOther_Intensive_RoW_median"
"RCP_MFM_AF0","ANZ","2000",0,0,0,0,0.000636825856810938,0.00046582952144236,0.00482710244381111,0.00016140628526263,0,6.63781121647249e-07,0,0,9.4094513808427e-11,0,0,0,0,0,0,0,0,0,0,0,0,0.000412058496914456,0,6.92089436665883e-05,0,0.000157454583224417
"RCP_MFM_AF0","ANZ","2010",0,0,0,0,0.00067118697341242,0.000466579291901926,0.00489783467010788,0.000162411961586788,0,1.17196442959074e-06,0,0,9.62871766757583e-11,0,0,0,0,0,0,0,0,0,0,0,1.85649075148185e-07,0.000366882645039288,0,7.52014781294383e-05,0,0.00020944632719817
"RCP_MFM_AF0","ANZ","2020",0,0,0,0,0.000715525733032251,0.000468499693654215,0.00497146424878797,0.000163504733815943,0,2.16741103933132e-06,0,0,9.66487477950889e-11,0,0,0,0,0,0,0,0,0,0,0,3.04954926437311e-07,0.000327648052442394,0,7.97478225761816e-05,0,0.000234130934455389
"RCP_MFM_AF0","ANZ","2030",0,0,0,0,0.00071086853300855,0.000467412728599457,0.00482622159266311,0.000162674554539577,0,2.16371369242165e-06,0,0,1.00702572696182e-10,0,0,0,0,0,0,0,0,7.30724816033978e-11,0,0,6.79673109619033e-07,0.00032844706027682,0,8.32830333586588e-05,0,0.000255343384482536
"RCP_MFM_AF0","ANZ","2040",0,0,0,0,0.000713338807259881,0.000468580661965235,0.00481921017197694,0.000162813618874092,0,2.16805527935759e-06,0,0,1.04082433897886e-10,0,0,0,0,0,0,0,0,7.67943249411674e-11,0,0,1.14963457160312e-06,0.000329406336572749,0,8.40456198961115e-05,0,0.000271626239239238
"RCP_MFM_AF0","ANZ","2050",0,0,0,0,0.000710256191310756,0.000469276012235589,0.0047971095594437,0.000162800913363193,0,2.16949818768283e-06,0,0,1.0443115683815e-10,0,0,0,0,0,0,0,0,1.68947107678029e-10,3.77292877065823e-12,0,1.79442708093956e-06,0.000322379019000429,0,8.66143687963305e-05,0,0.000290913468947434
"RCP_MFM_AF0","ANZ","2060",0,0,0,0,0.000725227939262751,0.000467878793964836,0.0046727426827078,0.000162188285354438,0,2.1637470100859e-06,0,0,1.65752009000791e-10,0,0,0,0,0,0,0,0,1.72991223083432e-10,2.28066116844221e-11,0,2.57781143548136e-06,0.00031301123751509,0,8.87819057394267e-05,0,0.000307873551347148
"RCP_MFM_AF0","ANZ","2070",0,0,0,0,0.000751448624232418,0.00046664359309215,0.00446066801796604,0.000161410983396647,0,2.15643607503448e-06,0,0,1.5789093767882e-10,0,0,0,0,0,0,0,0,1.08073800801571e-06,6.2796737877516e-11,0,2.87818253598089e-06,0.000302536735432634,0,9.07876765405761e-05,0,0.000328563452669995
"RCP_MFM_AF0","ANZ","2080",0,0,0,0,0.000732759680575525,0.000469299422241685,0.00419042424581858,0.000162303301758445,0,2.15835882326665e-06,0,0,1.45014879227594e-10,0,0,0,0,0,0,0,0,0.000139609441603157,8.51511057025759e-09,0,3.22789215106508e-06,0.000271201817946206,0,0.000100263768198848,0,0.000400379124417872
"RCP_MFM_AF0","ANZ","2090",0,0,0,0,0.000727714765599372,0.000475584953642055,0.00385873839789275,0.000164510271673048,0,2.20106271469552e-06,0,0,2.34948438929568e-10,0,0,0,0,0,0,0,0,0.000392111725683852,8.87029038027556e-09,0,3.58525321489232e-06,0.000203745597006977,0,0.000121200535411777,0,0.000571182157615953
