"Group","Scenario","Values","lower95","upper95"
"RCP2.6_MFM","noAFM",310.900473616557,0,0
"RCP2.6_SFM","noAFM",314.260691433773,0,0
"REF_MFM","noAFM",268.606776176345,0,0
"REF_SFM","noAFM",263.931194715277,0,0
"RCP2.6_MFM","AFMfree",264.9330093246,0,0
"RCP2.6_SFM","AFMfree",252.956090056593,0,0
"REF_MFM","AFMfree",230.52055535151,0,0
"REF_SFM","AFMfree",233.599753481694,0,0
"RCP2.6_MFM","AFM25",283.274393298853,0,0
"RCP2.6_SFM","AFM25",271.532536283982,0,0
"REF_MFM","AFM25",241.005475081744,0,0
"REF_SFM","AFM25",227.724564924682,0,0
"RCP2.6_MFM","AFM50",296.824754743215,0,0
"RCP2.6_SFM","AFM50",272.98202092115,0,0
"REF_MFM","AFM50",253.751689749336,0,0
"REF_SFM","AFM50",233.860293525232,0,0
"RCP2.6_MFM","AFM75",314.609158202203,0,0
"RCP2.6_SFM","AFM75",302.571900960061,0,0
"REF_MFM","AFM75",267.881705431866,0,0
"REF_SFM","AFM75",255.704109689643,0,0
"RCP2.6_MFM","AFM100",331.533531908279,0,0
"RCP2.6_SFM","AFM100",316.250927523562,0,0
"REF_MFM","AFM100",290.087099310648,0,0
"REF_SFM","AFM100",289.545535350469,0,0
