Globiom_Reg,Category,2000,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,,,,,,,,,,,
ANZ,Regrowth,68.01036172,58.82101322,51.82876881,51.80929897,50.54203574,48.40648296,46.18824907,44.24227793,42.11526667,40.00459631,38.56637679,,,,,,,,,,,
ANZ,Extensive,21.23042689,22.33371451,23.09453896,23.78544097,23.86773215,24.51743467,25.13373471,25.70073313,26.22768752,26.71640532,27.16283742,,,,,,,,,,,
ANZ,Intensive,5.866817691,7.572253568,8.333078022,8.923622632,9.567820513,10.21749312,10.83849108,11.43237726,12.00139648,12.66361328,13.1804859,,,,,,,,,,,
ArgentinaReg,Regrowth,6.70817915,4.549999675,0.213658615,0.212890152,0.211891151,0.210592449,0.210386519,0.208636429,0.20636131,0.20636131,0.20636131,,,,,,,,,,,
ArgentinaReg,Extensive,26.83303322,26.83303322,26.83303322,26.83303322,26.83303322,26.83303322,26.83303322,26.83303322,26.83303322,26.83303322,26.83303322,,,,,,,,,,,
ArgentinaReg,Intensive,17.04642998,18.24526404,18.93235982,18.93235982,18.93235982,18.93235982,18.93235982,18.93235982,18.93235982,18.93235982,18.93235982,,,,,,,,,,,
BrazilReg,Regrowth,8.502650843,,,,,,,,,,,,,,,,,,,,,
BrazilReg,Extensive,24.59381914,24.59381914,24.59381914,24.59381914,24.59381914,24.59381914,25.30911654,25.30911654,25.30911654,25.30911654,25.30911654,,,,,,,,,,,
BrazilReg,Intensive,24.84939588,15.06784792,9.97827992,12.7737777,12.70020475,13.3501603,14.2597564,14.81956428,16.16116665,17.44446947,18.4353623,,,,,,,,,,,
CanadaReg,Regrowth,180.3115571,180.3115571,179.1371251,178.0970209,175.8154995,173.4578367,170.9484353,168.5352035,165.4190837,163.1990444,161.7768196000,0.833066957,0.845174065,0.844317043,0.84073887,0.835278825,0.829248655,0.820782769,0.814116352,0.801925469,0.793996395,0.789380276
CanadaReg,Extensive,0,0,0,0,0,0,0.53959539,0.53959539,1.527464076,1.527464076,1.5274640760,0,0,0,0,0,0,0.002590785,0.002606538,0.007404903,0.007431422,0.007453169
CanadaReg,Intensive,36.13149782,33.03095382,33.03095382,33.73691133,34.67169857,35.71686094,36.78685249,37.94131512,39.33083087,40.81478282,41.6372691100,0.166933043,0.154825935,0.155682957,0.15926113,0.164721175,0.170751345,0.176626446,0.18327711,0.190669627,0.198572183,0.203166554
,,216.4430549,213.3425109,212.1680789,211.8339322,210.4871981,209.1746976,208.2748832,207.016114,206.2773786,205.5412913,204.9415528,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000
ChinaReg,Regrowth,102.9051734,97.41088637,92.92167461,77.62378208,67.75454928,61.33102775,58.40519509,55.77266613,52.89234315,50.2729314,48.39320273,,,,,,,,,,,
ChinaReg,Extensive,23.04577561,24.14866655,26.24456268,31.14799022,34.28886419,36.61102774,37.53712812,38.08757066,38.58725029,39.63377349,40.3791615,,,,,,,,,,,
ChinaReg,Intensive,58.41911414,59.86662228,61.9511859,66.96646343,70.21520519,72.61120286,73.03363695,73.48549952,74.20942008,74.9917821,76.01336107,,,,,,,,,,,
CongoBasin,Regrowth,147.8987527,137.6772716,130.4989461,128.5081039,126.361624,124.0696214,120.6740311,118.5427092,115.926074,112.2593777,107.7102254,,,,,,,,,,,
