"Group","PDFx100","lower95","upper95","Year"
"RCP2.6",14.816583537538,0,0,"2020"
"REF",14.8235963219771,0,0,"2020"
"RCP2.6",14.6946475142649,0,0,"2030"
"REF",15.4878195564697,0,0,"2030"
"RCP2.6",14.7639809243258,0,0,"2040"
"REF",15.9844204256886,0,0,"2040"
"RCP2.6",14.7980428011032,0,0,"2050"
"REF",16.3679027182027,0,0,"2050"
"RCP2.6",14.7900342044888,0,0,"2060"
"REF",16.7135975474222,0,0,"2060"
"RCP2.6",14.844056674403,0,0,"2070"
"REF",16.9727034985851,0,0,"2070"
"RCP2.6",14.9779591077802,0,0,"2080"
"REF",17.1153529457561,0,0,"2080"
"RCP2.6",15.0595044492084,0,0,"2090"
"REF",17.1965980114495,0,0,"2090"
"RCP2.6",14.9144972551935,0,0,"2100"
"REF",17.23332720678,0,0,"2100"
