"Scenario","Year","Annual_EU_median","Permanent_EU_median","Pasture_EU_median","Urban_EU_median","Annual_RoW_median","Permanent_RoW_median","Pasture_RoW_median","Urban_RoW_median","For_ClearCut_EU_median","For_ClearCut_im_median","For_ClearCut_ex_median","For_Retention_EU_median","For_Plantation_im_median","For_TimberPlant_EU_median","For_TimberPlant_ex_median","For_SelectionSystem_EU_median","For_Selective_im_median","EP_EU_median","EP_conv_EU_median","EP_RoW_median","EP_conv_im_median","Afforested_EU_median","Afforested_RoW_median","Regrowth_median","ForOther_Extensive_EU_median","ForOther_Extensive_RoW_median","ForOther_Intensive_EU_median","ForOther_Intensive_RoW_median"
"RCP_MFM_AF0",2100,8.73814544889904e-05,1.04311062645913e-05,7.20397888221873e-06,9.58566031521718e-06,1.88721273460884e-05,2.18575983144757e-05,1.24527868189042e-05,4.6359903614574e-05,2.28819287209024e-06,2.50803839091292e-06,2.16470158929104e-06,2.33164251146657e-07,3.1696414228616e-05,0,0,3.20247459463484e-07,0,7.65823812103705e-06,8.40618557948328e-06,3.2782255812228e-05,4.47881386832377e-05,1.17856790185539e-06,5.20744912288225e-06,2.58951781946992e-06,2.33592129685745e-07,2.09917741402577e-06,2.55470163938663e-06,2.19962716527098e-05
"RCP_MFM_AF100",2000,0.000458820105748441,1.09194771860286e-05,7.37695278161757e-06,9.773865641802e-06,2.22321636771711e-05,2.1461636933493e-05,1.55227452413887e-05,4.63079499007271e-05,1.75994342032422e-06,1.3846744021778e-06,2.24128219769507e-06,0,3.11526838846545e-05,0,0,2.19989764093884e-07,0,0,0,0,0,0,0,3.47944748058964e-06,2.37050760476317e-07,1.26367194894187e-06,2.73899212494807e-06,1.71493058068438e-05
"RCP_MFM_AF100",2010,0.000450238879913996,1.08791621690384e-05,7.22137059335756e-06,9.70680090572745e-06,2.28814930969946e-05,2.15544407053119e-05,1.59747454953454e-05,4.64239649652551e-05,1.70749715772705e-06,1.61711810847335e-06,2.23673183896977e-06,0,3.10492550379586e-05,0,0,2.26675479484762e-07,0,0,0,0,0,1.81894856932864e-06,3.99581685603714e-06,3.27200586149315e-06,2.37094894594267e-07,1.24651573205167e-06,2.7198736515611e-06,1.69510290580125e-05
"RCP_MFM_AF100",2020,0.000464119901640426,1.09660441525837e-05,7.25649035764719e-06,9.78522599286317e-06,2.32976846922167e-05,2.17171564659019e-05,1.62091056761727e-05,4.66333884639587e-05,1.79081482497403e-06,1.77950369106717e-06,2.25513978761167e-06,0,3.13624107394193e-05,0,0,2.29740326592301e-07,0,2.36759313261144e-06,1.11645098702868e-05,3.80395283282828e-05,6.64042788209575e-05,1.89512902964869e-06,4.14473286172971e-06,3.15404049042739e-06,2.36887785945064e-07,1.30377812070653e-06,2.69461625435941e-06,1.72332240253788e-05
"RCP_MFM_AF100",2030,0.000454371288853348,1.09371614905156e-05,7.23839568165924e-06,9.75670361209647e-06,2.29394937055444e-05,2.17575056889251e-05,1.57570768772228e-05,4.6623799402752e-05,1.80745334271453e-06,1.79703761367752e-06,2.24867760258878e-06,0,3.11963906514634e-05,0,0,2.23334204979948e-07,0,4.04513269352782e-06,1.09016750561571e-05,4.29519963439384e-05,6.67028708338396e-05,1.76503645480039e-06,4.22576331767543e-06,3.14008249262069e-06,2.38754636148938e-07,1.34746231154923e-06,2.71465221857452e-06,1.74945308527696e-05
"RCP_MFM_AF100",2040,0.000452436642976281,1.09289575306369e-05,7.24378440981385e-06,9.84518578881512e-06,2.29679700026859e-05,2.18205194208199e-05,1.56160299332367e-05,4.66694821815461e-05,1.82173426002132e-06,1.82037975572711e-06,2.24230121407579e-06,0,3.16530973282951e-05,0,0,2.19873975075174e-07,0,4.14657892093735e-06,9.98862412330496e-06,3.9095851366967e-05,3.05430241225475e-05,1.74348908304618e-06,4.36394290100298e-06,3.13484701372803e-06,2.34887819730088e-07,1.3796335218797e-06,2.66232972500041e-06,1.75692724761302e-05
"RCP_MFM_AF100",2050,0.000413845596294401,1.09226866846457e-05,7.29017741558157e-06,9.87276322445625e-06,2.25826447749083e-05,2.18464636821615e-05,1.52935702101326e-05,4.66366932793007e-05,1.93427524872878e-06,1.84132018900334e-06,2.2404489752369e-06,0,3.30706546038234e-05,0,0,2.13408794651739e-07,0,4.18248998458468e-06,9.43503850607367e-06,4.09612627569905e-05,3.28666258830814e-05,1.67228410233529e-06,4.67161091989592e-06,3.12535305283023e-06,2.3452288953929e-07,1.42454618887664e-06,2.65199801410014e-06,1.7628196011935e-05
"RCP_MFM_AF100",2060,0.00035124343518058,1.08524095459483e-05,7.27256585463525e-06,9.87271818705625e-06,2.23043079494609e-05,2.18688031781156e-05,1.48793827065078e-05,4.6619130391694e-05,2.17307585700073e-06,1.88330354801479e-06,2.22988360760698e-06,0,3.41982264825423e-05,0,0,2.01777729875681e-07,0,4.09092035637321e-06,9.12003820882032e-06,4.0957680838704e-05,4.30194274594031e-05,1.59834505297258e-06,4.73715905443585e-06,3.11876304520688e-06,2.33805948576447e-07,1.48066987089314e-06,2.62590122452423e-06,1.78109296911563e-05
"RCP_MFM_AF100",2070,0.000267495934959335,1.06866352726522e-05,7.18741595354981e-06,9.7936772119712e-06,2.1653818802128e-05,2.18938979807149e-05,1.45311637297747e-05,4.66013751616302e-05,2.48800465619914e-06,1.99492799756542e-06,2.19875072512844e-06,0,3.44060936772533e-05,0,0,1.86407122145276e-07,0,5.04947159189392e-06,8.51277963295927e-06,3.82827873816976e-05,3.77637237562069e-05,1.48288301255094e-06,4.67272210961787e-06,3.05809453488286e-06,2.31693348636942e-07,1.59136364482109e-06,2.55649299697983e-06,1.86015893042948e-05
"RCP_MFM_AF100",2080,0.000166137133579365,1.05126684909877e-05,7.25585057018722e-06,9.70012497259643e-06,2.08386179166101e-05,2.1942011937378e-05,1.40308045553085e-05,4.65970879097465e-05,2.6669971371852e-06,2.29761638141825e-06,2.17305533845325e-06,0,3.36295146115374e-05,0,0,1.77614578349774e-07,0,5.10845534034254e-06,8.3922345059432e-06,3.68206376427488e-05,3.42845272149057e-05,1.42171732895537e-06,4.87205784268357e-06,2.93046084252377e-06,2.31952306288921e-07,1.76582276189987e-06,2.55028569683597e-06,1.96545826290828e-05
"RCP_MFM_AF100",2090,0.000122548485456484,1.04524698894763e-05,7.20339729145651e-06,9.61651544484608e-06,1.97863426733481e-05,2.19451342145525e-05,1.33394414447386e-05,4.65587378933603e-05,2.82450280133942e-06,2.34659228589953e-06,2.16109990734943e-06,0,3.33510824611303e-05,0,0,1.73886188831499e-07,0,6.75101090966838e-06,8.32961371463112e-06,3.51873075259147e-05,3.77215298292413e-05,1.29202382710974e-06,5.14320768472198e-06,2.77191914276899e-06,2.32552777276005e-07,1.96728940582664e-06,2.55435941854963e-06,2.0992474223364e-05
"RCP_MFM_AF100",2100,8.27752834147944e-05,1.0501492144194e-05,7.25745904708768e-06,9.61108213971562e-06,1.88185960235745e-05,2.18627017342325e-05,1.24371756535903e-05,4.63631031826633e-05,2.99030018251208e-06,2.38412139307024e-06,2.16347775578203e-06,0,3.25862506290431e-05,0,0,1.70773532241772e-07,0,7.70483438992188e-06,8.24822274270631e-06,3.27940611322025e-05,4.26484153690701e-05,1.17573750042112e-06,5.20848753217448e-06,2.60569768320014e-06,2.31997009192772e-07,2.11931944639284e-06,2.54286141429854e-06,2.20525185314789e-05
"RCP_MFM_AF25",2000,0.000458820446701582,1.09194830089585e-05,7.37695919659431e-06,9.77387350851381e-06,2.22321786661704e-05,2.14616572094875e-05,1.55227508259292e-05,4.63079872122761e-05,1.75994932709975e-06,1.38812767324004e-06,2.24128686642468e-06,0,3.11809453354859e-05,0,0,2.1999025252741e-07,0,0,0,0,0,0,0,3.47938525973669e-06,2.37065017350204e-07,1.26365853204092e-06,2.73921056514557e-06,1.71496035844316e-05
"RCP_MFM_AF25",2010,0.000450239419042314,1.08791699421541e-05,7.22137930940357e-06,9.70681888935178e-06,2.28815149792263e-05,2.15544711855132e-05,1.59747546790026e-05,4.64240126173487e-05,1.7075039003253e-06,1.62078639017951e-06,2.23673776606347e-06,0,3.1094207890731e-05,0,0,2.26676076449098e-07,0,0,0,0,0,1.81895097274884e-06,3.99581882680725e-06,3.27192693184064e-06,2.37111960038637e-07,1.2464938035327e-06,2.72015243621641e-06,1.69514766340282e-05
"RCP_MFM_AF25",2020,0.000464220866602517,1.09667772520464e-05,7.25825075217407e-06,9.79095165197095e-06,2.32976377331267e-05,2.17171228769137e-05,1.62090937686143e-05,4.66334725634074e-05,1.79002460886421e-06,1.80515889795492e-06,2.25567845771528e-06,0,3.13747216884906e-05,0,0,2.30005625884045e-07,0,2.36646865444236e-06,1.10692086800866e-05,3.80394978365351e-05,7.28748289401329e-05,1.89490600102913e-06,4.14474022073927e-06,3.15239301332891e-06,2.37709416596359e-07,1.30291232348841e-06,2.71864366623213e-06,1.72291410218015e-05
"RCP_MFM_AF25",2030,0.000454682198371283,1.09430990196564e-05,7.24269823734997e-06,9.76741399549084e-06,2.29395446171948e-05,2.17576017725021e-05,1.57571239363887e-05,4.66239520814695e-05,1.79117171990384e-06,1.81182808694025e-06,2.25038797291974e-06,2.18334666694942e-07,3.11122593363282e-05,0,0,2.33436285321162e-07,0,4.04730584487819e-06,1.08640118350015e-05,4.29519443749072e-05,7.35826986730377e-05,1.7653845470225e-06,4.22579485067099e-06,3.13828139588853e-06,2.39726606289182e-07,1.34644365186024e-06,2.73843085381085e-06,1.74892733339057e-05
"RCP_MFM_AF25",2040,0.000453095355739539,1.09333431298459e-05,7.24672660125992e-06,9.85474427062049e-06,2.29666356857746e-05,2.18193647768828e-05,1.56156954560995e-05,4.66686654427424e-05,1.76693794747346e-06,1.81515268009905e-06,2.24376792497949e-06,2.10837497730868e-07,3.05261585205886e-05,0,0,2.38775975424559e-07,0,4.15016570875268e-06,1.02296257376051e-05,3.9093819904402e-05,3.26279685219673e-05,1.74403749372925e-06,4.36393182068902e-06,3.13439939715757e-06,2.35914371376542e-07,1.37877882484602e-06,2.68466884492736e-06,1.75669448092788e-05
"RCP_MFM_AF25",2050,0.000414550773773915,1.09201147015987e-05,7.28870099428405e-06,9.87437213948743e-06,2.2583623793456e-05,2.18438039662437e-05,1.52930432728248e-05,4.66347254751752e-05,1.81484495806734e-06,1.82249865010835e-06,2.24131566725463e-06,2.21576207300157e-07,3.17900057321713e-05,0,0,2.41566670088801e-07,0,4.18193405620151e-06,9.60782401694946e-06,4.09576777236396e-05,3.33712572900966e-05,1.67321653149491e-06,4.67155924213981e-06,3.12579468190257e-06,2.35729973197223e-07,1.42366375179339e-06,2.67531212713156e-06,1.76274686755177e-05
"RCP_MFM_AF25",2060,0.00035258127944269,1.08471175560367e-05,7.26840114873484e-06,9.87267797935631e-06,2.23104896068351e-05,2.18620768347043e-05,1.48788772047945e-05,4.66127843183456e-05,1.93220154364163e-06,1.864644634813e-06,2.23084848234634e-06,2.17771249321078e-07,3.14599253542211e-05,0,0,2.45007122666248e-07,0,4.09325427533132e-06,9.37247623853851e-06,4.09492084459813e-05,4.1052843722934e-05,1.59871001327483e-06,4.73682425016073e-06,3.121156687706e-06,2.35104794635761e-07,1.48015462343512e-06,2.64819844096132e-06,1.78224651342863e-05
"RCP_MFM_AF25",2070,0.000270695296254315,1.06917457691113e-05,7.18770471100606e-06,9.80597780892347e-06,2.1661287588055e-05,2.18855461779317e-05,1.45306991402125e-05,4.6594017600628e-05,2.18490217599881e-06,1.98347705884194e-06,2.20322771638901e-06,2.25318207114113e-07,3.2009662329756e-05,0,0,2.27038845027265e-07,0,5.04974750576847e-06,8.8563513028155e-06,3.82732824134346e-05,3.79607708745926e-05,1.48583023153787e-06,4.67243516412408e-06,3.05718005101316e-06,2.32964199371789e-07,1.588892909179e-06,2.57634101466436e-06,1.86003607061809e-05
"RCP_MFM_AF25",2080,0.000169911428994823,1.05297470952538e-05,7.26471433521099e-06,9.71949330664423e-06,2.08519644978092e-05,2.19331419851206e-05,1.40302789577725e-05,4.65894368918338e-05,2.29614756337525e-06,2.21327706683025e-06,2.18111146517433e-06,2.34700905445068e-07,3.1155935421488e-05,0,0,2.11453663786112e-07,0,5.11384650550666e-06,8.6091452059814e-06,3.68096364930482e-05,3.52636586590931e-05,1.42676277531605e-06,4.87157520235456e-06,2.92662146974106e-06,2.33092277489722e-07,1.76039995094046e-06,2.56638516824575e-06,1.96423432472487e-05
"RCP_MFM_AF25",2090,0.000125200600902654,1.04598484577302e-05,7.20731650791629e-06,9.63474273178395e-06,1.98020760140053e-05,2.19371546855332e-05,1.33489793196041e-05,4.65523698674257e-05,2.35997346155601e-06,2.42163648373242e-06,2.16958395856247e-06,2.3463644330327e-07,3.08420745397842e-05,0,0,2.03697533770569e-07,0,6.74808915874817e-06,8.34627933085206e-06,3.51758505910457e-05,3.83446402347613e-05,1.29650985855465e-06,5.14234705664477e-06,2.76153007827058e-06,2.33405541078259e-07,1.95481720022128e-06,2.56329151509798e-06,2.0961926659135e-05
"RCP_MFM_AF25",2100,8.55184722375669e-05,1.04190814615751e-05,7.20835447181831e-06,9.57273944145821e-06,1.88587013775239e-05,2.18570866101749e-05,1.24481791275714e-05,4.63597608557947e-05,2.4135089382953e-06,2.51463634287667e-06,2.15954357182606e-06,2.30547460606968e-07,3.02213578684343e-05,0,0,2.02494358191689e-07,0,7.64950642556059e-06,8.18075030463703e-06,3.27840038801788e-05,4.37208144728251e-05,1.17615646137536e-06,5.20750704985697e-06,2.59185826277685e-06,2.33129757011222e-07,2.10307421366514e-06,2.55356168357449e-06,2.20119805119764e-05
"RCP_MFM_AF50",2000,0.000458820372208988,1.09194817833147e-05,7.37695805752353e-06,9.77387213217499e-06,2.22321733119647e-05,2.14616489648971e-05,1.55227482804772e-05,4.63079792370095e-05,1.75994808210732e-06,1.38457301060231e-06,2.2412859155776e-06,0,3.11721697959336e-05,0,0,2.19990143176314e-07,0,0,0,0,0,0,0,3.47941927096925e-06,2.37062121618937e-07,1.26366939412923e-06,2.73916868178995e-06,1.71495486231793e-05
"RCP_MFM_AF50",2010,0.000450239178074886,1.08791673842734e-05,7.22137589390143e-06,9.70680818841606e-06,2.28815071878529e-05,2.15544596420638e-05,1.59747501860011e-05,4.64240072300387e-05,1.70750209113963e-06,1.61738192438311e-06,2.23673590907329e-06,0,3.10814356299461e-05,0,0,2.26675888599636e-07,0,0,0,0,0,1.81895084077734e-06,3.99581777851304e-06,3.27197282625862e-06,2.37107265302488e-07,1.24650858267359e-06,2.72006402839668e-06,1.69514159778417e-05
"RCP_MFM_AF50",2020,0.000464121108716968,1.09660580258147e-05,7.2565045460424e-06,9.78523867353845e-06,2.32977517045863e-05,2.1717217325278e-05,1.62091204475689e-05,4.66334862859586e-05,1.79081595232626e-06,1.78011506551651e-06,2.25514611073387e-06,0,3.14650793098802e-05,0,0,2.29740697760182e-07,0,2.36760137055425e-06,1.11645382870023e-05,3.803953126803e-05,0,1.89513370384915e-06,4.14473419780443e-06,3.15397069520154e-06,2.36908961298391e-07,1.3037642373637e-06,2.69501023401754e-06,1.72336432496714e-05
"RCP_MFM_AF50",2030,0.000454464987075654,1.09381889879738e-05,7.2391990713344e-06,9.75856502248042e-06,2.29395023326302e-05,2.17575546536917e-05,1.57570759248722e-05,4.66238499001873e-05,1.78974741365441e-06,1.78756973885726e-06,2.24913558309205e-06,2.17279414818741e-07,3.13527145879912e-05,0,0,2.29672684629807e-07,0,4.04553083329521e-06,1.0894819452261e-05,4.29516761887079e-05,3.19196377789815e-05,1.76529767923426e-06,4.22576656604294e-06,3.13998856879192e-06,2.39002055426778e-07,1.34729691702293e-06,2.71806426549537e-06,1.74941755809957e-05
"RCP_MFM_AF50",2040,0.000452579401103687,1.0927075662212e-05,7.24328555497832e-06,9.84504122668155e-06,2.29673149743651e-05,2.18188422981898e-05,1.56157073874266e-05,4.66682464491075e-05,1.76498619168276e-06,1.79026660630494e-06,2.24219049733323e-06,2.17064019759292e-07,3.03846501366117e-05,0,0,2.31969283638118e-07,0,4.1477963622906e-06,1.01243961071527e-05,3.90917730265835e-05,3.14628685401432e-05,1.74363839425187e-06,4.3639058866434e-06,3.13638896912051e-06,2.35235101928569e-07,1.38025645195672e-06,2.66646862729891e-06,1.75748148511201e-05
"RCP_MFM_AF50",2050,0.000414348694537051,1.09225958995707e-05,7.28772811414459e-06,9.87207200322443e-06,2.25828331698586e-05,2.18433572472221e-05,1.52930764891967e-05,4.66345088101825e-05,1.87172714074545e-06,1.83538019988245e-06,2.24111865988391e-06,2.19960543391088e-07,3.16414777202838e-05,0,0,2.28072254372357e-07,0,4.18217364369978e-06,9.6291062505443e-06,4.09559186357098e-05,3.27662953499313e-05,1.67339292070158e-06,4.67156275821808e-06,3.12711092705271e-06,2.34846154361281e-07,1.4248593305593e-06,2.65528978065143e-06,1.76348678613764e-05
"RCP_MFM_AF50",2060,0.000352052925588269,1.08448949154894e-05,7.26652214403447e-06,9.86724165880011e-06,2.23095330143918e-05,2.18632663346717e-05,1.48787549029746e-05,4.66146434514189e-05,2.00541588823526e-06,1.8597398448045e-06,2.22985810186222e-06,2.18065245137873e-07,3.32917301622331e-05,0,0,2.24736910558005e-07,0,4.09172521822004e-06,9.27020996934366e-06,4.09506448588282e-05,4.20444504522232e-05,1.59877259355968e-06,4.73697858712657e-06,3.11967401548336e-06,2.34140032833411e-07,1.48169853181591e-06,2.62753883335046e-06,1.78176647998123e-05
"RCP_MFM_AF50",2070,0.000269972846913133,1.06824568922095e-05,7.18341158098725e-06,9.79424857702888e-06,2.1657215906531e-05,2.18872934585392e-05,1.45302545459556e-05,4.6596421482332e-05,2.27816522199023e-06,1.95055039238547e-06,2.19985008180979e-06,2.22843954117571e-07,3.37065388229053e-05,0,0,2.05582192541093e-07,0,5.04489050571182e-06,8.79680649481655e-06,3.82770134416301e-05,3.98002073056798e-05,1.48444369918042e-06,4.67262615591948e-06,3.05714486582948e-06,2.32074106005632e-07,1.59174336872861e-06,2.55747379139644e-06,1.85969786458651e-05
"RCP_MFM_AF50",2080,0.000168979635472358,1.05222054242012e-05,7.26021970537677e-06,9.70831161123238e-06,2.08440202272638e-05,2.19343466382664e-05,1.40300211801765e-05,4.65910060977957e-05,2.43494343535476e-06,2.19939220587233e-06,2.17756666123303e-06,2.25499284527417e-07,3.21882252585719e-05,0,0,1.90907359845441e-07,0,5.10977846006618e-06,8.53759133339486e-06,3.68124401864439e-05,3.61789408892748e-05,1.42502475043358e-06,4.87165708674806e-06,2.92891898172705e-06,2.32270568868065e-07,1.76508877109724e-06,2.54945430099358e-06,1.96508052902241e-05
"RCP_MFM_AF50",2090,0.000124422383607034,1.04483786991683e-05,7.20102101735574e-06,9.61946074345408e-06,1.97961595870865e-05,2.19382040278769e-05,1.33447724715101e-05,4.65533414980138e-05,2.5121787241759e-06,2.32895685667706e-06,2.16477544008038e-06,2.23515885802187e-07,3.17120588362224e-05,0,0,1.86092287345246e-07,0,6.74119319433466e-06,8.34604583039807e-06,3.51782370486282e-05,3.85129142240278e-05,1.29421402926199e-06,5.14243641470418e-06,2.76565415312722e-06,2.32737638142536e-07,1.96172382008506e-06,2.54941059721175e-06,2.09770113745464e-05
"RCP_MFM_AF50",2100,8.4677627584838e-05,1.04101378736345e-05,7.20124009976844e-06,9.55680421166201e-06,1.88464146016983e-05,2.18578095894356e-05,1.24435588058889e-05,4.63603754986441e-05,2.59502743977844e-06,2.39471749090253e-06,2.15440258263555e-06,2.27928245727497e-07,3.074790664767e-05,0,0,1.82838625178946e-07,0,7.64255670210852e-06,8.19166822817996e-06,3.27864062304819e-05,4.33843883719702e-05,1.174089121976e-06,5.20768405222822e-06,2.59678647895097e-06,2.32474404448738e-07,2.11081014662537e-06,2.54060371092291e-06,2.20282247898046e-05
"RCP_MFM_AF75",2000,0.000458820320127852,1.09194808457447e-05,7.37695686021767e-06,9.77387059747455e-06,2.22321706461112e-05,2.14616441439165e-05,1.55227486471614e-05,4.63079698596508e-05,1.75994713645533e-06,1.38310205822594e-06,2.24128512562025e-06,0,3.1172223732788e-05,0,0,2.19990061639762e-07,0,0,0,0,0,0,0,3.4794339638979e-06,2.37059933503276e-07,1.26366989494709e-06,2.73913267757203e-06,1.7149491967906e-05
"RCP_MFM_AF75",2010,0.000450239119707021,1.08791663366379e-05,7.22137470586305e-06,9.7068064512092e-06,2.28815019826485e-05,2.15544518751339e-05,1.5974750826623e-05,4.64239927104734e-05,1.7075010878244e-06,1.61588226302486e-06,2.23673504362523e-06,0,3.10830123643538e-05,0,0,2.26675803161521e-07,0,0,0,0,0,1.81895030402244e-06,3.995817828929e-06,3.27199424197994e-06,2.37104904672844e-07,1.2465106209941e-06,2.72002566439354e-06,1.69513190320812e-05
"RCP_MFM_AF75",2020,0.000464121365940587,1.09660593020296e-05,7.25650596048663e-06,9.78523833661049e-06,2.32977400762242e-05,2.17171965075036e-05,1.62091189882462e-05,4.66334594155688e-05,1.79081535203029e-06,1.77868013785849e-06,2.25514570253101e-06,0,3.1447380866246e-05,0,0,2.29740568141481e-07,0,2.367600178932e-06,1.11645399720374e-05,3.80395348650901e-05,1.23974732287892e-05,1.89513368794525e-06,4.14473433455211e-06,3.15400777786316e-06,2.36908021554198e-07,1.30376805413231e-06,2.69501892170422e-06,1.72335757753874e-05
