"Scenario","Year","Annual_EU_median","Permanent_EU_median","Pasture_EU_median","Urban_EU_median","Annual_RoW_median","Permanent_RoW_median","Pasture_RoW_median","Urban_RoW_median","For_ClearCut_EU_median","For_ClearCut_im_median","For_ClearCut_ex_median","For_Retention_EU_median","For_Plantation_im_median","For_TimberPlant_EU_median","For_TimberPlant_ex_median","For_SelectionSystem_EU_median","For_Selective_im_median","EP_EU_median","EP_conv_EU_median","EP_RoW_median","EP_conv_im_median","Afforested_EU_median","Afforested_RoW_median","Regrowth_median","ForOther_Extensive_EU_median","ForOther_Extensive_RoW_median","ForOther_Intensive_EU_median","ForOther_Intensive_RoW_median"
"RCP_MFM_AF0",2000,0.000458820519964053,1.09194842544015e-05,7.37696065557091e-06,9.7738752724741e-06,2.22321785165366e-05,2.14616551737569e-05,1.55227505455215e-05,4.63079860747153e-05,1.75995037355714e-06,1.38721183336732e-06,2.24128789542228e-06,0,3.11683003682233e-05,0,0,2.19990354443268e-07,0,0,0,0,0,0,0,3.47939436173463e-06,2.37068268850025e-07,1.26366563125049e-06,2.73926091384031e-06,1.71496224797408e-05
"RCP_MFM_AF0",2010,0.000450239341951252,1.08791701883838e-05,7.22137849771885e-06,9.70681165787802e-06,2.28815178755283e-05,2.15544707809551e-05,1.59747540086682e-05,4.6424013823068e-05,1.70750445032966e-06,1.61991577069176e-06,2.23673806970589e-06,0,3.10865246062133e-05,0,0,2.26676116601768e-07,0,0,0,0,0,1.81895195068683e-06,3.99581894720366e-06,3.27193828009004e-06,2.37113986829179e-07,1.24650786787034e-06,2.72016412410396e-06,1.69514448238043e-05
"RCP_MFM_AF0",2020,0.000464219769333182,1.09667688688646e-05,7.25824054064679e-06,9.79093913138201e-06,2.32977147775641e-05,2.17171411550629e-05,1.62091028689122e-05,4.66334903708521e-05,1.79002910556152e-06,1.80454893444145e-06,2.25567682896708e-06,0,3.14046528318047e-05,0,0,2.30005789738201e-07,0,2.36647103163537e-06,1.10691911104155e-05,3.8039508506329e-05,0,1.8949049465158e-06,4.14474206659324e-06,3.15235285564316e-06,2.37704615656799e-07,1.30292357462511e-06,2.71846773072593e-06,1.7228728165307e-05
"RCP_MFM_AF0",2030,0.000454727512283977,1.09435251491042e-05,7.24258841856988e-06,9.76767095370201e-06,2.29396445825223e-05,2.17576449488988e-05,1.57571443015512e-05,4.66239757093075e-05,1.7801074384712e-06,1.81028760822666e-06,2.25060919769087e-06,2.24852897257278e-07,3.11702768949822e-05,0,0,2.37540724670175e-07,0,4.04728760461559e-06,1.09236235875778e-05,4.29520027180061e-05,0,1.76564098835886e-06,4.22579489683581e-06,3.13824897995728e-06,2.39668556968352e-07,1.34646569337123e-06,2.7349013399581e-06,1.74884510573109e-05
"RCP_MFM_AF0",2040,0.000453253615168368,1.09344857673288e-05,7.24658749474075e-06,9.85722339567742e-06,2.29672745947663e-05,2.18202338105912e-05,1.56158153121223e-05,4.66693430668274e-05,1.74743459006468e-06,1.81509488753287e-06,2.24439695743622e-06,2.211440059822e-07,3.15119384700622e-05,0,0,2.47292576670954e-07,0,4.15069548891035e-06,1.03678886896251e-05,3.90963734047265e-05,3.19398191882171e-05,1.74436253331759e-06,4.36397643161266e-06,3.133724863127e-06,2.35981906053822e-07,1.37845406491074e-06,2.68410625629245e-06,1.75630386795364e-05
"RCP_MFM_AF0",2050,0.000414772551397166,1.09188106138874e-05,7.28713332882025e-06,9.87632750685345e-06,2.25821485399095e-05,2.18435745767306e-05,1.52924406974321e-05,4.66339418657668e-05,1.77398211393298e-06,1.8258629013779e-06,2.24160156673002e-06,2.19219034026581e-07,3.0979137241882e-05,0,0,2.57475837432355e-07,0,4.18320229431937e-06,9.73856975916972e-06,4.09591458852301e-05,3.4413852912396e-05,1.67333996766105e-06,4.67150016356376e-06,3.12766733894957e-06,2.35863018734107e-07,1.42351750508818e-06,2.6754917695075e-06,1.76340748334046e-05
"RCP_MFM_AF0",2060,0.000352855143519981,1.08430441920475e-05,7.26483529685369e-06,9.87326388758722e-06,2.23114757762781e-05,2.18631276477927e-05,1.48790902838233e-05,4.66137390405869e-05,1.86597240307116e-06,1.85855876571554e-06,2.23060566629715e-06,2.29008073377749e-07,3.29542274969883e-05,0,0,2.73785882760495e-07,0,4.09564479015511e-06,9.51734040555208e-06,4.09516757197751e-05,4.22556212126071e-05,1.59848077119313e-06,4.73687316542242e-06,3.11973094846736e-06,2.35377749795365e-07,1.47989474251132e-06,2.65044087282932e-06,1.78164507580114e-05
"RCP_MFM_AF0",2070,0.00027138889903301,1.06924463121538e-05,7.18611166574502e-06,9.8082560321511e-06,2.16601849934675e-05,2.18851020113023e-05,1.45300455862638e-05,4.65932695824124e-05,2.09669061314626e-06,1.95384563818347e-06,2.20422224170582e-06,2.28541956524246e-07,3.3019364273905e-05,0,0,2.8069884210816e-07,0,5.0520109757243e-06,8.99447245213485e-06,3.82712026697788e-05,3.99667716899592e-05,1.48641687595877e-06,4.67224781349445e-06,3.05720832316058e-06,2.33421096779553e-07,1.58949736036054e-06,2.57927999172248e-06,1.86015248114027e-05
"RCP_MFM_AF0",2080,0.000171305234636204,1.05364985622756e-05,7.26409668808628e-06,9.72626493170918e-06,2.08510552725142e-05,2.19322577043256e-05,1.40300763658338e-05,4.65880556238407e-05,2.19759327948004e-06,2.17176396177588e-06,2.18401741203621e-06,2.33858161497651e-07,3.07604319718648e-05,0,0,2.82926018593623e-07,0,5.1178193005338e-06,8.81613399521372e-06,3.68063969646166e-05,3.72960548411702e-05,1.42849393883292e-06,4.87138907720511e-06,2.92771083459115e-06,2.33638569125548e-07,1.75988239624056e-06,2.56980533034324e-06,1.96495154555057e-05
"RCP_MFM_AF0",2090,0.000127405287794128,1.04693415985518e-05,7.20313513691349e-06,9.64482736401317e-06,1.980562713451e-05,2.19376137641872e-05,1.33502399063097e-05,4.65526607893881e-05,2.25190596138127e-06,2.36857345081959e-06,2.17381651584914e-06,2.35885261746206e-07,3.23598728016806e-05,0,0,2.89337341918106e-07,0,6.75184292239738e-06,8.61597334780089e-06,3.51741597987566e-05,4.03990156839838e-05,1.29892868722874e-06,5.14232383733321e-06,2.75952472463537e-06,2.33941885606399e-07,1.95255574491854e-06,2.56622904271975e-06,2.09510978468532e-05
