"Scenario","Year","forest_EU_noex","forest_ex","forest_EU_ex","forest_im","EP_EU","EP_im","tot_noexport"
"RCP_MFM_AF0","2000",3.2059271099651e-05,5.50227249122272e-05,3.51338757942219e-05,0.000140255006724052,NA,NA,2.57461443991998e-05
"RCP_MFM_AF0","2010",2.88831872444636e-05,5.46821384751803e-05,3.2726606422224e-05,0.000151380852402905,NA,NA,2.26431880299656e-05
"RCP_MFM_AF0","2020",2.62010933235097e-05,5.52919547776583e-05,3.07407500472463e-05,0.000157032720584054,5.33115468960619e-05,NA,2.02056444784133e-05
"RCP_MFM_AF0","2030",2.35290443488929e-05,5.51558995414794e-05,2.80406562567691e-05,0.000164942995434835,4.91862409906962e-05,NA,1.78808898892471e-05
"RCP_MFM_AF0","2040",2.09743198507774e-05,5.5148450357505e-05,2.6045614618487e-05,0.000189821500168109,4.74969408374871e-05,0.000119577558818886,1.54699749673662e-05
"RCP_MFM_AF0","2050",1.99916950847849e-05,5.49060386143067e-05,2.5004585717487e-05,0.000192367527805821,4.4492581240242e-05,0.000127777616341502,1.41132269100077e-05
"RCP_MFM_AF0","2060",2.01877346805829e-05,5.44484304155755e-05,2.48449214530701e-05,0.000210785617186111,4.36027555346321e-05,0.000145535488893157,1.38266194434273e-05
"RCP_MFM_AF0","2070",2.19589296600262e-05,5.39943422527252e-05,2.61029931562696e-05,0.000224131089962517,4.11983616323366e-05,0.000137395837259444,1.43995038052203e-05
"RCP_MFM_AF0","2080",2.22348448518338e-05,5.35907408875434e-05,2.61714475200725e-05,0.000238676139518395,4.06510988121468e-05,0.000133938807154256,1.38213401696028e-05
"RCP_MFM_AF0","2090",2.19097266004599e-05,5.33418978766995e-05,2.57633510106598e-05,0.000257655178473842,3.98901232077921e-05,0.00014060902195843,1.29124662005252e-05
"RCP_MFM_AF0","2100",2.12478593954073e-05,5.31192663934859e-05,2.50938319082919e-05,0.000257939068655546,3.91223096284256e-05,0.000153486640220743,1.18409804622594e-05
"RCP_MFM_AF100","2000",3.2059163614655e-05,5.50224538852657e-05,3.51337464123936e-05,0.000140138845090281,NA,NA,2.57458360080725e-05
"RCP_MFM_AF100","2010",2.88830844077611e-05,5.46818558219226e-05,3.27264767972078e-05,0.000151252973221648,NA,NA,2.2642891442536e-05
"RCP_MFM_AF100","2020",2.63836913396412e-05,5.52788538920219e-05,3.09217136635728e-05,0.000153756263074183,5.34034906524925e-05,0.000182887186414965,2.04394267632833e-05
"RCP_MFM_AF100","2030",2.3208885303531e-05,5.4956262660743e-05,2.7803900447338e-05,0.000160886681318477,5.00116103763954e-05,0.000183735186078805,1.76823650535348e-05
"RCP_MFM_AF100","2040",2.07682007339211e-05,5.47109648310196e-05,2.58969150892519e-05,0.000187256416383811,4.57718753320786e-05,0.000116755308274645,1.4940572146723e-05
"RCP_MFM_AF100","2050",2.04190555873507e-05,5.47157692185728e-05,2.54546841760618e-05,0.000210218204583593,4.34875182842733e-05,0.000123082155888636,1.37495231607193e-05
"RCP_MFM_AF100","2060",2.17536840421312e-05,5.44612310810015e-05,2.64809467000929e-05,0.000236368422523632,4.19678274113068e-05,0.000144633377209539,1.34251143888916e-05
"RCP_MFM_AF100","2070",2.38972419651844e-05,5.37024637635724e-05,2.82332571940455e-05,0.000254854921426569,3.9202621855022e-05,0.000132230764058313,1.32085187600765e-05
"RCP_MFM_AF100","2080",2.40125393455396e-05,5.30760786374356e-05,2.83312178748575e-05,0.000264626794301649,3.91419252822374e-05,0.000125300719932958,1.18097018546091e-05
"RCP_MFM_AF100","2090",2.28869606898675e-05,5.27857243777277e-05,2.74645645096641e-05,0.000254567337474626,3.88713534328819e-05,0.000131993150006804,9.99171404234467e-06
"RCP_MFM_AF100","2100",2.1131237001771e-05,5.28449884379086e-05,2.61673262856212e-05,0.000249397950670702,3.87925081584825e-05,0.000146033283740266,8.22009438130862e-06
"RCP_MFM_AF25","2000",3.20592682949718e-05,5.50225685004443e-05,3.51338524229012e-05,0.000140320990834978,NA,NA,2.57462688282886e-05
"RCP_MFM_AF25","2010",2.88831956660224e-05,5.46820007200385e-05,3.27265930669931e-05,0.000151440560527746,NA,NA,2.26432958218818e-05
"RCP_MFM_AF25","2020",2.62007576717778e-05,5.52938534271983e-05,3.07407630603626e-05,0.000156798261060116,5.33116315152843e-05,0.000193790967705376,2.04828021262016e-05
"RCP_MFM_AF25","2030",2.3418420320153e-05,5.51200169128347e-05,2.79472198333932e-05,0.000164666877301541,4.95015544321481e-05,0.000195697057070336,1.80355123576405e-05
"RCP_MFM_AF25","2040",2.08742839540578e-05,5.49547154439097e-05,2.59657077701729e-05,0.000185633652832484,4.7045510401955e-05,0.000120251310901846,1.53144351197538e-05
"RCP_MFM_AF25","2050",2.0016489257007e-05,5.49477204287032e-05,2.50320281673014e-05,0.000202160708588552,4.42922273117212e-05,0.000124585922957932,1.40408272476795e-05
"RCP_MFM_AF25","2060",2.03588299948308e-05,5.48246805789954e-05,2.50230708523286e-05,0.000204147901622804,4.30027731031207e-05,0.000145082830736331,1.37788865089363e-05
"RCP_MFM_AF25","2070",2.21803709084231e-05,5.37337572331947e-05,2.63484891483118e-05,0.000231043670625238,4.08343716725654e-05,0.000135774547158851,1.41189594934197e-05
"RCP_MFM_AF25","2080",2.22995182598224e-05,5.32154954300526e-05,2.63090989167124e-05,0.000248481517767837,3.99379088339568e-05,0.000130762949530313,1.32639678580478e-05
"RCP_MFM_AF25","2090",2.19678685071097e-05,5.29411689279653e-05,2.5935235077871e-05,0.000249549320479534,3.88729405100554e-05,0.000137440816336848,1.22103013807213e-05
"RCP_MFM_AF25","2100",2.11688967513272e-05,5.26969855337981e-05,2.51758110447516e-05,0.000247340310018132,3.81952781521148e-05,0.00015225292084553,1.10116923723693e-05
"RCP_MFM_AF50","2000",3.20592461563772e-05,5.5022545157583e-05,3.51338301230658e-05,0.000140200586465313,NA,NA,2.57460201163777e-05
"RCP_MFM_AF50","2010",2.88831655532149e-05,5.46819553246033e-05,3.27265606774441e-05,0.000151302137497633,NA,NA,2.26430377178945e-05
"RCP_MFM_AF50","2020",2.6383410313288e-05,5.52810314675415e-05,3.09218187637957e-05,0.000154055719500679,5.3403626578907e-05,NA,2.0177649253655e-05
"RCP_MFM_AF50","2030",2.33033579043717e-05,5.50530689749669e-05,2.78719936543556e-05,0.000160849163482881,4.96674651138729e-05,0.000103852982447174,1.77164225452329e-05
"RCP_MFM_AF50","2040",2.06067710119713e-05,5.47498782198762e-05,2.57421164050301e-05,0.000177059630825076,4.68036456032042e-05,0.000118742146510447,1.50209219585778e-05
"RCP_MFM_AF50","2050",2.01489557218695e-05,5.50800348413129e-05,2.5184066225573e-05,0.000194646451448335,4.40657281598837e-05,0.000123381460860672,1.39223350025799e-05
"RCP_MFM_AF50","2060",2.04751907530311e-05,5.4826714310267e-05,2.52016903088179e-05,0.000211791110955615,4.27991361336682e-05,0.000143777720014899,1.34959158550255e-05
"RCP_MFM_AF50","2070",2.21884958393827e-05,5.3628997950211e-05,2.64637987738275e-05,0.000235437597504915,4.07262614580418e-05,0.000136849472252629,1.35527941856838e-05
"RCP_MFM_AF50","2080",2.25327355167797e-05,5.30916508038385e-05,2.66633066022314e-05,0.000242730826402448,3.97098760296736e-05,0.000130539630142544,1.26529687215239e-05
"RCP_MFM_AF50","2090",2.20530436118694e-05,5.27825636307263e-05,2.61967617051043e-05,0.000239442864794967,3.89271643083883e-05,0.000136108392956848,1.14189185523097e-05
