"Scenario","Ecoregion","A_org","A_new","Annual","Permanent","Pasture","Urban","For_PlantationNonTimber","For_ClearCut","For_Retention_EU","For_PlantationFuel","For_SlashAndBurn","For_SelectionSystem","For_Selective_im","For_Agroforestry","For_TimberPlant","For_ReducedImpactLogging_im","Secondary","ForOther_Extensive","ForOther_Intensive"
"RCP_MFM_AF0","AA0126",0.71015306271,0.13302603597,0.00252697,0.10293693,0.13617543303,0.03173772071,0,0,0,0,0,0,0,0,0,0,0.235896819216488,0.0177818530197528,0.0500713007637595
"RCP_MFM_AF0","AA0127",1.798978580459,1.08806796087,0.004492224,0.035527519,0.04258759313,0.005685634459,0,0,0,0.001266334,0,0,0.000561494,0,0.001266334,0,0.462292739470935,0.030966644420799,0.126264103108266
"RCP_MFM_AF0","AA0128",5.956683498378,3.53474866382,0.018548719,0.194392294,0.23700068818,0.098013549258,0,0,0,0.0095085025,0,0,0.004216078,0,0.0095085025,0,1.38103992586737,0.0925088554658865,0.377197719786746
"RCP_MFM_AF0","AA0201",3.40989502414,0.84043060318,0.6544512,0.210723086,1.27594170282,0.20884099114,0,0,0,3.53e-05,0,0,1.57e-05,0,3.53e-05,0,0.163733583147798,0.0109676817656358,0.044719876086566
"RCP_MFM_AF0","AA0202",0.354061236991,0.17481020754,0,0.002549551,0.11703834246,0.007467698991,0,0,0,0,0,0,0,0,0,0,0.0405357651370543,0.00305557751946127,0.00860409434348446
"RCP_MFM_AF0","AA0203",0.966455532,0.19934767823,0.277358887,0.056798161,0.40265985577,0,0,0,0,0,0,0,0,0,0,0,0.0226033177926588,0.00151408154412425,0.00617355066321694
"RCP_MFM_AF0","AA0204",3.14480607221,1.15635258321,0.325909381,0.237762116,1.06613688579,0.18567415221,0,0,0,7.02925e-05,0,0,3.12e-05,0,7.02925e-05,0,0.120297382303644,0.0173566368292272,0.0351451498671284
"RCP_MFM_AF0","AA0401",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RCP_MFM_AF0","AA0402",23.9611403006,1.75739206384,1.228428786,0.175718935,5.76646034016,1.1307623756,0,0.006145077,0,0,0,0.008600559,0,0,0,0,9.2067213733953,3.49569440358793,1.18521638701678
"RCP_MFM_AF0","AA0403",0.929930185,0.48303507063,0.000635929,0.155020048,0.19436117337,0,0,0.000618795,0,0,0,0.000866056,0,0,0,0,0.0632406207788634,0.0240114140488269,0.0081410781723096
"RCP_MFM_AF0","AA0404",1.34660873,0.36193253997,0.002294823,0.155479265,0.32462217803,0,0,0.000974046,0,0,0,0.001363261,0,0,0,0,0.331447975942016,0.125831446085914,0.0426631949720693
"RCP_MFM_AF0","AA0405",8.11200659956,2.07229889655,0.042762226,0.966041675,2.89639728745,0.23260185156,0,0.003716522,0,0,0,0.005201589,0,0,0,0,1.25494393443299,0.476488894416948,0.161553723150064
"RCP_MFM_AF0","AA0406",2.57133937023,0.48663114978,0.030583656,0.322315467,1.07306191222,0.13654008723,0,0.00073765,0,0,0,0.001032405,0,0,0,0,0.345020575913257,0.131000651309802,0.0444158157769417
"RCP_MFM_AF0","AA0407",0.115401204,0.05579185444,0.000202076,0.007970503,0.03510491256,0,0,8.28e-05,0,0,0,0.000115859,0,0,0,0,0.0106954062651209,0.00406093225902569,0.00137686047585345
"RCP_MFM_AF0","AA0408",1.200113474206,0.37361966133,0.002900926,0.115667678,0.28684916167,0.019348129206,0,0.00090416,0,0,0,0.001265449,0,0,0,0,0.264903022006109,0.10056028713533,0.0340949998585616
"RCP_MFM_AF0","AA0409",28.0971735678,2.08661486433,3.172322954,0.425542376,11.25266516367,0.6408643498,0,0.002710951,0,0,0,0.003794206,0,0,0,0,6.9693032209634,2.6461704746306,0.897185007405998
"RCP_MFM_AF0","AA0410",1.112399338665,0.27193365987,0.005352649,0.09902514,0.61609192713,0.013238193665,0,0.00037358,0,0,0,0.000522857,0,0,0,0,0.0701811279803381,0.026645901853279,0.00903430216638289
"RCP_MFM_AF0","AA0411",1.98538404165,0.07546842653,0.089630811,0.010570812,0.16419027447,0.05609260265,0,0.000408823,0,0,0,0.000572183,0,0,0,0,1.05305334965685,0.399833181843909,0.135563577499242
"RCP_MFM_AF0","AA0412",1.760659522997,0.07029838132,0.109213177,0.012355047,0.18541880568,0.011795569997,0,0.000539647,0,0,0,0.000755283,0,0,0,0,0.908421195869291,0.344917887889751,0.116944528240958
"RCP_MFM_AF0","AA0413",3.243645738597,0.07020992048,0.088248107,0.012893499,0.14255839152,0.021469634597,0,0.000286665,0,0,0,0.000401212,0,0,0,0,1.92756137591857,0.731874599120824,0.248142333960605
"RCP_MFM_AF0","AA0414",0.435259049,0.10480781355,0.00065862,0.075862823,0.13623944745,0,0,0.000209489,0,0,0,0.000293197,0,0,0,0,0.0776897667621662,0.0294969434423846,0.0100009487954492
"RCP_MFM_AF0","AA0701",14.503729078924,5.04089233033,0.00038505,0.084571776,4.61234466967,0.015699139924,0,0.008433572,0,0,0,0.011803502,0,0,0,0,3.135816801547,1.19023324674012,0.40354899071288
"RCP_MFM_AF0","AA0702",34.58833968353,8.1799768274,0.597220154,1.168163933,16.9526838206,0.06941565653,0,0.009465331,0,0,0,0.013247536,0,0,0,0,5.03715827129982,1.91255554119976,0.648452612500421
"RCP_MFM_AF0","AA0703",11.39947748,2.46216342557,0.00550684,0.00082,2.61739773643,0,0,0.008869082,0,0,0,0.012413036,0,0,0,0,4.17144693747409,1.58385413469014,0.537006287835769
"RCP_MFM_AF0","AA0704",35.080947864,5.91727706529,0.105619439,0.00637148,25.04224835671,0,0,0.004112028,0,0,0,0.005755134,0,0,0,0,2.65264005897386,1.0058802560604,0.341044045965738
"RCP_MFM_AF0","AA0705",12.882434398,1.61315967138,0.117252976,0.050683791,7.78693695262,0,0,0.003261094,0,0,0,0.004564178,0,0,0,0,2.19207429550802,0.832307347673148,0.282194091818836
"RCP_MFM_AF0","AA0706",33.63888951958,6.14742651837,0.002271435,0.04589036,23.30681935363,0.00848602158,0,0.002507119,0,0,0,0.003508926,0,0,0,0,2.73292867771223,1.03734046700597,0.351710641281801
"RCP_MFM_AF0","AA0707",44.033733592422,4.57638369857,0.667068219,0.053878144,37.93733504343,0.007637419422,0,0.001055269,0,0,0,0.001476939,0,0,0,0,0.524939674759282,0.197124168329302,0.066835016911416
"RCP_MFM_AF0","AA0708",2.54244178528,1.49501159038,0.014777377,0.144809426,0.62695711462,0.07561045228,0,0,0,0.0022793705,0,0,0.001427377,0,0.0022793705,0,0.137527526541791,0.0100142000898775,0.0317479803683316
"RCP_MFM_AF0","AA0709",22.385187903,6.20199679319,0.00311725,0.001692514,14.43916900981,0,0,0.001939802,0,0,0,0.002714917,0,0,0,0,1.15041206943975,0.436238675085573,0.147906872474673
"RCP_MFM_AF0","AA0801",5.02413722747,0.79041633209,0.030411522,0.689011488,2.91234152891,0.08630283947,0,0.000887265,0,0,0,0.001241803,0,0,0,0,0.340450519613353,0.129251249047136,0.0438226803395112
"RCP_MFM_AF0","AA0802",24.075378214,6.1192975356,0.389012275,0.533894837,16.6502640974,0,0,0.000426461,0,0,0,0.000596868,0,0,0,0,0.260283228850998,0.0908128001107775,0.0307901110382245
"RCP_MFM_AF0","AA0803",31.99420670092,4.20550962896,2.432393533,0.523207966,20.08679331904,0.05108584992,0,0.003616847,0,0,0,0.005062086,0,0,0,0,3.10691264706022,1.17966051989243,0.399964304047344
"RCP_MFM_AF0","AA1001",1.291812533,0.09293696377,0.029904756,0.019700859,0.25445912823,0,0,1.33e-05,0,0,0,1.86e-05,0,0,0,0,0.59318825305747,0.225227284761675,0.0763633881808558
