"Scenario","Ecoregion","A_org","A_new","Annual","Permanent","Pasture","Urban","For_ClearCut","For_Retention_EU","For_PlantationFuel","For_TimberPlant","For_SelectionSystem_EU","For_Selective_im","Secondary","ForOther_Extensive","ForOther_Intensive"
"RCP_MFM_AF0","AA0101",0.117212816,0.09438260324,0.000978626,0.000920027,0.01987300476,0,0,0,0.000752001,0,0,0,0.000165742893488357,4.6593843067633e-05,9.42172634440104e-05
"RCP_MFM_AF0","AA0102",0.469788667574,0.1651038371,0.0667299,0.050676295,0.0801768999,0.004158150574,0,0,0.0018992005,0.0018992005,0,0,0.072664735602452,0.00558133209482764,0.0208991163027203
"RCP_MFM_AF0","AA0103",0.198005341425,0.08015355746,0.00086053,0.005955638,0.00683524354,0.023760860425,0,0,0.000256029,0.000199029,0,0,0.0581450259229928,0.00460313583172434,0.0172362922452829
"RCP_MFM_AF0","AA0104",0.8358181404,0.28146444217,0.002177917,0.037775857,0.04499746383,0.0343683874,0,0,0,0,0,0,0.3163991479517,0.0250048981346124,0.0936300269136873
"RCP_MFM_AF0","AA0105",14.9615908661,10.5966923222,0.072647664,0.326174618,1.3824670678,0.2057011631,0,0,0.082366981,0.019156106,0,0,1.41539476150926,0.252418013920423,0.608572168570318
"RCP_MFM_AF0","AA0106",2.340805713143,0.93218479164,0.002757774,0.033510778,0.05364683736,0.160894969143,0,0,0.002278564,0.002278564,0,0,0.840102651351103,0.0660033581403348,0.247147425508562
"RCP_MFM_AF0","AA0107",1.541310498,1.11191336862,0.010186965,0.018618245,0.22491330438,0,0,0,0.020784133,1.235e-05,0,0,0.0837392847828623,0.023540889214913,0.0476019580022247
"RCP_MFM_AF0","AA0108",0.102731610891,0.0495831065,0.000784799,0.004714608,0.0054167315,0.005855354891,0,0,0.000538691,0.000418787,0,0,0.0257483743586635,0.00203840763225367,0.00763275100908286
"RCP_MFM_AF0","AA0110",0.016467463,0.01170523509,3.58e-05,0.0002064,0.00166093791,0,0,0,0,0,0,0,0.00154580872976254,0.000434559623349358,0.000878721646888104
"RCP_MFM_AF0","AA0111",2.74528143838,2.10106581935,0.007403464,0.02298086,0.30769081165,0.04497591438,0,0,0.0007789865,9.71745e-05,0,0,0.140728726043039,0.0395618300027925,0.0799978519541682
"RCP_MFM_AF0","AA0112",1.170095558,0.93895191563,0.003109429,0.01038498,0.17176998237,0,0,0,7.65e-06,7.65e-06,0,0,0.024797014377722,0.00697096673132829,0.0140959698909497
