"CF","land_use","IM0118","IM0120","NA0409"
"2015","Annual crops",2.27575861939905e-15,1.73175361949799e-15,1.08505589685903e-15
"2015","Permanent crops",1.86316294210384e-15,1.29881480645665e-15,8.4916557855909e-16
"2015","Pasture",1.2037667771234e-15,6.2633858707251e-16,3.58965155236499e-16
"2015","Urban",3.10937697760249e-15,2.16840150478075e-15,1.43617629035117e-15
"2015","Extensive forestry",4.44139914492161e-16,2.90927728166715e-16,1.81355052042184e-16
"2015","Intensive forestry",1.41538647949988e-15,9.87203935861444e-16,5.48847774147072e-16
"2015_reproduced","Annual crops",2.09057581028161e-15,1.56611009093905e-15,9.77736436222823e-16
"2015_reproduced","Permanent crops",1.70992723997962e-15,1.16881550375073e-15,7.61699690715013e-16
"2015_reproduced","Pasture",1.11247999970268e-15,5.69083951754629e-16,3.25068971912627e-16
"2015_reproduced","Urban",2.85156866364489e-15,1.95604273905205e-15,1.29112531970357e-15
"2015_reproduced","Extensive forestry",4.0917207130174e-16,2.6436758108449e-16,1.6350594263881e-16
"2015_reproduced","Intensive forestry",1.30368147071075e-15,8.90352557311262e-16,4.9302583432539e-16
"GLAM1","Annual crops",1.71791138041873e-15,2.09715070917027e-15,8.71245493503177e-16
"GLAM1","Permanent crops",1.31729999498728e-15,1.49406222294587e-15,6.0818181596054e-16
"GLAM1","Pasture",1.11997005953223e-15,1.22893009178011e-15,2.54522619031448e-16
"GLAM1","Urban",2.03135512346118e-15,2.15410873154172e-15,9.213588410487e-16
"GLAM1","Extensive forestry",3.69567129829413e-16,4.07219243210165e-16,1.06045604184212e-16
"GLAM1","Intensive forestry",1.24524026461593e-15,1.43147148441438e-15,2.59554870094334e-16
"GLAM1_animals","Annual crops",1.69902971212981e-15,1.36773815131456e-15,7.82858599157382e-16
"GLAM1_animals","Permanent crops",1.37074887874308e-15,1.01762689516594e-15,6.14976731405818e-16
"GLAM1_animals","Pasture",9.10209770386195e-16,4.91242758591367e-16,2.47242429097137e-16
"GLAM1_animals","Urban",2.36366407842892e-15,1.74029708781947e-15,1.07734196986798e-15
"GLAM1_animals","Extensive forestry",3.25315576479011e-16,2.35997871759102e-16,1.34796018408787e-16
"GLAM1_animals","Intensive forestry",1.10728424913303e-15,8.17814530696034e-16,4.19892300032384e-16
"2018","CF_clear cut",1.53254780367828e-13,1.16498984707872e-13,8.806460106707e-14
"2018","CF_selective logging",NA,1.14285776666239e-13,NA
"2018","CF_RIL",NA,NA,NA
"2018","CF_min plantation",1.58298191192856e-13,1.22133801917243e-13,9.07463196787072e-14
"2018","CF_Lt plantation",1.60494959660121e-13,1.24011003922972e-13,9.19464046130535e-14
"2018","CF_Int plantation",1.63522421678335e-13,1.26598057523543e-13,9.3600293774112e-14
"2018","CF_min pasture",1.51570598529819e-13,1.15256322640764e-13,8.50159784956924e-14
"2018","CF_Lt pasture",1.55078447921455e-13,1.18470030802416e-13,8.73261881567599e-14
"2018","CF_Int pasture",1.58238573503519e-13,1.21365316439436e-13,8.94075304625789e-14
"2018","CF_min crop",1.32851493378996e-13,8.64028594483116e-14,7.76904213916408e-14
"2018","CF_Lt crop",1.42115183859813e-13,9.78294379557621e-14,8.25396325198203e-14
"2018","CF_Int crop",1.43721522581654e-13,9.98081625637439e-14,8.33804504503301e-14
"2018","CF_min urb",1.40351281544858e-13,1.03950183282592e-13,7.69514854597547e-14
"2018","CF_Lt urb",1.56640496002211e-13,1.19443756288779e-13,8.80549958851913e-14
"2018","CF_Int urb",1.62340761251248e-13,1.24863044372145e-13,9.1938275691622e-14
"2018_corrected","CF_clear cut",1.36819959447109e-15,8.00644012949863e-16,6.00293815121673e-16
"2018_corrected","CF_selective logging",NA,7.85860290841296e-16,NA
"2018_corrected","CF_RIL",NA,NA,NA
"2018_corrected","CF_min plantation",1.41294527449334e-15,8.63283907617009e-16,6.26744932997833e-16
"2018_corrected","CF_Lt plantation",1.43083455115358e-15,8.81845163517745e-16,6.3687343530199e-16
"2018_corrected","CF_Int plantation",1.45548854015117e-15,9.07425236286998e-16,6.50831964152056e-16
"2018_corrected","CF_min pasture",1.35879409365865e-15,7.95235902706469e-16,5.84257974421121e-16
"2018_corrected","CF_Lt pasture",1.387238539562e-15,8.27021312769502e-16,6.0262978709365e-16
"2018_corrected","CF_Int pasture",1.41286328338573e-15,8.55657145552281e-16,6.19181088431186e-16
"2018_corrected","CF_min crop",1.23769970213954e-15,6.04901448929176e-16,5.42451942641076e-16
"2018_corrected","CF_Lt crop",1.30511463039274e-15,6.94068446622662e-16,5.76877192187719e-16
"2018_corrected","CF_Int crop",1.31680970312726e-15,7.09519670861257e-16,5.82851494116807e-16
"2018_corrected","CF_min urb",1.27319072085865e-15,6.91563400449953e-16,5.19516298884252e-16
"2018_corrected","CF_Lt urb",1.40230775001049e-15,8.40296993890508e-16,6.08144701243057e-16
"2018_corrected","CF_Int urb",1.44749476812418e-15,8.92326423654956e-16,6.39147446481158e-16
"2018_animals","CF_clear cut",2.71713473776982e-15,1.5366755008768e-15,1.17907295739172e-15
"2018_animals","CF_selective logging",NA,1.48925685118235e-15,NA
"2018_animals","CF_RIL",NA,NA,NA
"2018_animals","CF_min plantation",2.78050675715912e-15,1.57435162392615e-15,1.20280493211408e-15
"2018_animals","CF_Lt plantation",2.80985492144683e-15,1.5899067591868e-15,1.21588043359464e-15
"2018_animals","CF_Int plantation",2.85030090107981e-15,1.6113439665628e-15,1.23390034998156e-15
"2018_animals","CF_min pasture",2.68582960895282e-15,1.48395426588338e-15,1.13304774797676e-15
"2018_animals","CF_Lt pasture",2.73361293103018e-15,1.51698521509792e-15,1.15962220981429e-15
"2018_animals","CF_Int pasture",2.77666002743251e-15,1.5467462495621e-15,1.18356432498515e-15
