Ecoregion,A_org,A_new,Annual,Permanent,Pasture,Urban,For_PlantationNonTimber,For_ClearCut,For_Retention_EU,For_PlantationFuel,For_SlashAndBurn,For_SelectionSystem,For_Selective_im,For_Agroforestry,For_TimberPlant,For_ReducedImpactLogging_im,Secondary,ForOther_Extensive,ForOther_Intensive
AA0114,1.997900457,0.478211347,0.004601482,0.059694759,0.03342627,0.005261333,0,0,0,0.029612544,0,0,0,0,0.014695617,0,0.504279097,0.359307439,0.50881057
AA0115,3.165856076,0.654060483,0.032957895,0.028164807,0.746965859,0.060759915,0,0.002362819,0,0.191719967,0,0,0,0,0,0,0.326217438,0.665964708,0.456682184
AA0116,1.678952444,0.304729527,0.010600041,0.070899119,0.033141223,0.046079097,0,0,0,0.018854279,0,0,0,0,0.011039379,0,0.452242359,0.303002253,0.428365166
AA0117,3.150044652,0.01334963,0.000928501,0.073692136,0.013894513,0.003564129,0,0,0,0.099005796,0,0,0,0,0.001186771,0,0.052765626,1.194818683,1.696838867
AA0118,7.018441399,0.074757183,0.0648763,0.091375202,0.172802036,0.050491828,0,0,0,0.125052338,0,0,0,0,0.000116006,0,1.665344396,1.97243884,2.801187271
AA0119,8.1580728,2.058464131,0.06554845,0.486843591,0.417727977,0.024354882,0,0,0,0.188500867,0,0,0,0,0.041742903,0,1.863222748,1.245784581,1.765882671
AA0120,10.15759104,2.809839218,0.068197174,0.484987592,0.226641881,0.025627785,0,0,0,0.165391525,0,0,0,0,0.052774483,0,2.557962723,1.558339237,2.207829426
AA0121,10.4578484,1.373074982,0.992860663,0.516237461,0.192470599,0.835109384,0,0,0,1.190744614,0,0,0,0,0.019820993,0,2.325221949,1.24798564,1.764322117
AA0122,7.579569093,1.314705464,0.485278908,0.273999062,0.111808234,0.336470756,0,0,0,0.865119998,0,0,0,0,0.00298939,0,1.714624534,1.025204429,1.449368318
AA0123,0.304591116,0.00474653,0.000215104,0.002686109,0.004940265,0.037083914,0,0,0,0.000639915,0,0,0,0,0.000181447,0,0.036361783,0.089967465,0.127768584
AA0124,0.710072708,0.050635799,0,0.10293693,0.050422329,0.031737721,0,0,0,0.000294713,0,0,0,0,0,0,0.177404197,0.122570611,0.174070408
AA0125,1.799893615,0.061314687,0.002551768,0.0355257,0.001294377,0.005685634,0,0,0,0.009701458,0,0,0,0,0.003051532,0,0.595604068,0.449578757,0.635585634
AA0126,5.95740878,0.919437492,0.079996251,0.194382338,0.06383944,0.098013549,0,0,0,0.062950543,0,0,0,0,0.022890998,0,1.79641928,1.126667949,1.59281094
AA0127,3.40930302,0.225286305,1.046344351,0.210706215,0.223576767,0.208840991,0,0,0,0.958794414,0,0,0,0,8.50E-05,0,0.372365776,0.067655788,0.095647417
AA0128,0.354015791,0.074645474,0,0.002549551,0.012785252,0.007467699,0,0,0,0.111543854,0,0,0,0,0,0,0.09376362,0.021180521,0.03007982
AA0201,0.96617507,0.038672935,0.575808895,0.056790741,0.074390039,0,0,0,0,0.125289363,0,0,0,0,0,0,0.075681694,0.008095916,0.011445488
AA0202,3.145016409,0.186717349,0.518683015,0.23774034,0.202263051,0.185674152,0,0,0,0.848729076,0,0,0,0,0.000169212,0,0.789561588,0.074093948,0.10138468
AA0203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA0204,23.96168834,1.794231247,1.376205922,0.175699566,3.721064023,1.130762376,0,0.012836754,0,1.384892048,0,0,0,0,0,0,3.327666134,6.548041462,4.490288812
AA0401,0.929936626,0.45508297,0.00063756,0.155020578,0.17095221,0,0,0.001293376,0,0.008395881,0,0,0,0,0,0,0.028044735,0.065555167,0.044954149
AA0402,1.346628019,0.035068605,0,0.155479797,0.202231692,0,0,0.002035129,0,0.223781956,0,0,0,0,0,0,0.14719982,0.344554431,0.23627659
AA0403,8.111782274,0.635094504,0.016591031,0.966044979,1.422688231,0.232601852,0,0.007765437,0,2.00788363,0,0,0,0,0,0,0.609952213,1.312867588,0.900292809
AA0404,2.571386697,0.183865953,0.004026464,0.322316569,0.535305349,0.136540087,0,0.001541044,0,0.693107532,0,0,0,0,0,0,0.252365029,0.2623876,0.17993107
AA0405,0.115401946,0.014398727,0.000436737,0.00797053,0.0236209,0,0,0.000173053,0,0.007698795,0,0,0,0,0,0,0.012348797,0.028921574,0.019832834
AA0406,1.200127391,0.022063608,0.000503101,0.115668073,0.159579108,0.019348129,0,0.00188913,0,0.205615175,0,0,0,0,0,0,0.138197575,0.318709762,0.218553729
AA0407,28.10075758,4.284273082,3.284535558,0.425543831,7.002490847,0.64086435,0,0.005664209,0,1.494045129,0,0,0,0,0,0,2.649903144,4.931609369,3.381828063
AA0408,1.11242254,0.317066357,0.011149134,0.099025479,0.440673164,0.013238194,0,0.00078079,0,0.017488837,0,0,0,0,0,0,0.043175887,0.100741611,0.069083088
AA0409,1.98514874,0.10919666,0,0.010570848,0.168773692,0.056092603,0,0.00085419,0,0.116829103,0,0,0,0,0,0,0.315700818,0.716081373,0.491049453
AA0410,1.76070015,0.114856679,2.49E-05,0.012355089,0.169518662,0.01179557,0,0.001127542,0,0.113314789,0,0,0,0,0,0,0.287124075,0.623215645,0.427367214
AA0411,3.24217753,0.091974601,0,0.012893543,0.14139714,0.021469635,0,0.000598955,0,0.10161721,0,0,0,0,0,0,0.606482059,1.344060906,0.921683481
AA0412,0.435291181,0.054775247,9.81E-05,0.075863082,0.112236582,0,0,0.000437858,0,0.038672256,0,0,0,0,0,0,0.031081563,0.072446591,0.049679911
AA0413,14.50400785,4.988320078,0.00144322,0.084572065,3.630657549,0.01569914,0,0.017621382,0,0.992210269,0,0,0,0,0,0,0.965555735,2.25889899,1.549029419
AA0414,34.59284767,10.67298261,0.995196415,1.168167899,13.44801922,0.069415657,0,0.019771883,0,0.462484743,0,0,0,0,0,0,1.737401149,3.570769564,2.44863853
AA0701,11.39930628,1.456006796,0.010692086,0.000820003,1.137554045,0,0,0.018533184,0,2.462508069,0,0,0,0,0,0,1.275968279,2.9881286,2.049095214
AA0702,35.08202578,12.09861704,0.115901356,0.006371502,18.77060853,0,0,0.008594304,0,0.079310157,0,0,0,0,0,0,0.821414942,1.887122514,1.294085439
AA0703,12.88274578,4.226433332,0.153665999,0.050683965,4.705368657,0,0,0.006814599,0,0.363706131,0,0,0,0,0,0,0.686914894,1.595233969,1.093924234
AA0704,33.63819192,12.39777708,0.005149414,0.045890517,16.47854119,0.008486022,0,0.005238338,0,0.574033768,0,0,0,0,0,0,0.834128106,1.95103462,1.337912867
AA0705,44.03012969,14.1874501,0.767612414,0.053878328,28.21237002,0.007637419,0,0.002204867,0,0,0,0,0,0,0,0,0.184517605,0.364502824,0.249956107
AA0706,2.542191119,0.231472764,0.022273047,0.144804647,0.223288161,0.075610452,0,0,0,0.231604654,0,0,0,0,0.007192613,0,0.67834738,0.383523454,0.544073947
AA0707,22.37550833,9.559383774,0.001758745,0.00169252,11.07152247,0,0,0.004053006,0,0,0,0,0,0,0,0,0.353754307,0.820612395,0.562731113
AA0708,5.024256807,0.938620842,0.005057508,0.689013845,1.961701873,0.086302839,0,0.001853608,0,0.688786471,0,0,0,0,0,0,0.133388017,0.308191159,0.211340646
AA0709,24.07800307,8.297668124,0.520576737,0.533896663,14.31542965,0,0,0.000891067,0,0,0,0,0,0,0,0,0.121561467,0.170832069,0.117147293
AA0801,31.99421425,7.250712909,4.730750025,0.523188568,14.19295474,0.05108585,0,0.007557092,0,0.324730686,0,0,0,0,0,0,1.217036541,2.192619365,1.503578476
AA0802,1.291865097,0.099489996,0.00601679,0.019700927,0.184635777,0,0,2.77E-05,0,0.072115814,0,0,0,0,0,0,0.19648889,0.423189193,0.29020001
AA0803,1.275519551,0.288758441,0.005911419,0.036397648,0.01446242,0.006873677,0,0,0,0.015961979,0,0,0,0,0.003691118,0,0.333316351,0.235918476,0.334228023
AA1001,3.596470626,0.457558794,0.001156957,0.599717965,1.182206773,0,0,0.002420551,0,0.540211135,0,0,0,0,0,0,0.165686674,0.384110084,0.263401694
AA1002,13.07442156,5.695737135,0.469080061,0.526424432,5.599298752,0.007637419,0,9.50E-06,0,1.05E-05,0,0,0,0,0,0,0.156872778,0.367404837,0.251946149
AA1003,11.08394359,3.331157793,1.088871187,0.589551369,3.409287986,0.003139828,0,0.000804308,0,0.009076921,0,0,0,0,0,0,0.5877798,1.22454701,0.839727386
AA1101,5.722460348,1.509688976,1.495643151,0.41492352,2.118133938,0.029361635,0,0.000756887,0,0.055820292,0,0,0,0,0,0,0.052772667,0.026907553,0.018451729
AA1201,1.039920547,0.099901064,7.13E-05,0.000213274,0.176283684,0.003648989,0,0.001725801,0,0.053725977,0,0,0,0,0,0,0.142790248,0.333122805,0.228437405
AA1202,1.57132328,0.392520191,0.008046611,0.001098014,0.594871671,0.15334241,0,0.001003985,0,0.031855675,0,0,0,0,0,0,0.178714515,0.124496984,0.085373224
AA1203,2.32752768,0.541733822,0.616878184,0.041231316,0.906883818,0.119398324,0,0.000183218,0,0.048732035,0,0,0,0,0,0,0.010607477,0.024843305,0.017036181
AA1204,18.95649214,5.534515386,2.000948781,1.159301419,9.19925117,0.055244,0,0.000904026,0,0.081103487,0,0,0,0,0,0,0.187174883,0.437817611,0.300231379
AA1205,2.64014758,0.762016116,0.339777721,0.063590741,1.01645333,0.000848602,0,0.000968668,0,0.050991124,0,0,0,0,0,0,0.084863257,0.190205493,0.130432528
AA1206,16.11026944,4.96250732,2.852414906,1.130519937,6.313966865,0.004582452,0,0.002078109,0,0.019438027,0,0,0,0,0,0,0.202216152,0.369299956,0.253245718
AA1207,4.727605539,1.088289158,0.231677043,0.042464331,1.578856862,0.041157205,0,0.00401756,0,0.115872561,0,0,0,0,0,0,0.335821375,0.764913552,0.524535892
AA1208,8.470206277,3.47740376,0.028478389,0.608865485,4.353738626,0,0,0,0,0,0,0,0,0,0,0,0.000347611,0.000814124,0.000558282
AA1209,27.48064793,11.97114735,0.001154438,1.557798983,13.86944236,0.00772228,0,0.00010635,0,0,0,0,0,0,0,0,0.015679766,0.034166729,0.023429674
AA1210,15.34122918,6.445601403,0,2.187642209,6.700264218,0,0,0,0,0,0,0,0,0,0,0,0.001560465,0.003654696,0.002506191
AA1301,79.74802274,31.2494923,0.000733405,1.942037924,46.32724775,0.006025075,0,0.000353901,0,0,0,0,0,0,0,0,0.047973282,0.103312821,0.070846284
AA1302,41.45008502,17.39769029,0.062588937,5.323292053,18.61289891,0,0,3.18E-05,0,0,0,0,0,0,0,0,0.011985223,0.024676211,0.016921596
AA1303,19.24377423,8.280611996,0.00739549,2.092287222,8.822141944,0,0,3.87E-07,0,0,0,0,0,0,0,0,0.008681981,0.019371379,0.013283833
AA1304,17.68734915,7.001032795,8.95E-07,1.433137109,9.232274606,0.014680817,0,5.56E-06,0,0,0,0,0,0,0,0,0.001256513,0.002942824,0.002018028
AA1305,29.97103169,9.421329248,0.188477855,0.142158529,20.17673296,0,0,7.12E-06,0,0,0,0,0,0,0,0,0.030262805,0.007155991,0.004907187
AA1306,24.78673249,9.540815127,1.185108088,1.038998082,12.99180035,0.020451312,0,9.33E-05,0,1.78E-05,0,0,0,0,0,0,0.008874399,0.000340521,0.000233511
AA1307,44.2400838,17.8727811,0.037104685,5.527052516,20.77747656,0,0,0,0,0,0,0,0,0,0,0,0.005187625,0.012149708,0.008331606
AA1308,1.442215654,0.436623937,0.005466956,0.080945151,0.046232652,0.021215054,0,0,0,0.029548321,0,0,0,0,0.005827736,0,0.332869808,0.200172932,0.283313108
AA1309,10.45982891,0.444321073,1.036777978,0.429123566,0.700412662,0.51892022,0,0,0,1.066616134,0,0,0,0,0.017709445,0,2.624750644,1.800641504,1.820555682
AA1310,18.74302405,1.663891085,0.762425452,0.829782306,0.408274016,0.2201274,0,0,0,0.96898852,0,0,0,0,0.000535599,0,5.797123396,6.027893255,2.063983021
AA1401,4.157413648,0.153418924,0.285527569,0.083505116,0.239889933,0.305496777,0,0,0,0.068216568,0,0,0,0,0.005564568,0,1.518221421,0.909674254,0.587898518
AT0101,36.50694241,4.888204591,1.425577159,0.460244355,0.105145,0.023845721,0,0,0,1.216811671,0,0,0,0,0.078504668,0,11.31202573,12.69279163,4.303791887
AT0102,0.108983992,0,0,0.020210022,0,0.018160086,0,0,0,0,0,0,0,0,0,0,0.048648747,0.010551716,0.011413421
AT0103,2.073977708,1.87E-15,0.483428985,0.210336393,0.033316391,0.041242065,0,0,0,0.279445886,0,0,0,0,0.007315521,0,0.005257577,0.331766457,0.681868435
AT0104,5.421479846,0.135339031,0.530567,0.031522764,0.171272763,0.209095572,0,0,0,0.262613492,0,0,0,0,0.007470714,0,1.373184389,1.541850784,1.158563338
AT0105,6.936347244,0.112045329,1.439361431,0.354214568,0.80181284,0.450692606,0,0,0,0.630002649,0,0,0,0,0.01545704,0,2.190991139,0.236486992,0.70528265
AT0106,2.50268736,0.030031988,0.814720463,0.131412418,0.139036099,0.028428172,0,0,0,0.182005678,0,0,0,0,0.013780238,0,0.119204433,0.255977361,0.788090511
AT0107,6.689265559,0.180295754,0.169613568,0.079397188,0.010800765,0.081380947,0,0,0,0.169421791,0,0,0,0,0.020579843,0,2.401085036,2.671018521,0.905672147
AT0108,18.80371468,0.005026833,2.731908404,4.46430452,1.743547915,0.121350109,0,0,0,3.415845623,0,0,0,0,0.037742225,0,2.247181841,1.321261962,2.715545252
AT0109,25.00927429,1.249463168,3.642925872,0.837958459,3.778560212,1.505250508,0,0,0,2.078941762,0,0,0,0,0.001129378,0,11.79823698,0.029420316,0.087387638
AT0110,3.247929824,0.021281153,0.274043942,0.089170279,0.471391001,0.009928645,0,0,0,0.4762512,0,0,0,0,0.006615665,0,0.638038843,0.412798411,0.848410685
AT0111,0.264809705,0.041461591,0,0.025053016,0.066548174,0.012983613,0,0,0,0.008997422,0,0,0,0,0.001012672,0,0.021092953,0.038022668,0.049637597
AT0112,1.824753002,1.40E-05,0.086526931,0.011683183,0.069517267,0.077562237,0,0,0,0.113133845,0,0,0,0,0.012413589,0,0.397528113,0.458202486,0.598171352
AT0113,10.92784548,0.014563082,0.544708524,0.388204705,1.266288486,0.019263269,0,0,0,2.797171723,0,0,0,0,0.004920754,0,4.756883112,0.545641042,0.590200785
AT0114,19.75303528,0.924377805,0.560739205,0.421174849,1.945796187,0.042005807,0,0,0,7.344015619,0,0,0,0,0.00525548,0,7.475101789,0.496990905,0.537577638
AT0115,3.146151746,0.003868685,0.251280102,0.001686215,0.203607641,0.012644172,0,0,0,0.039161696,0,0,0,0,0.010159555,0,1.433319385,0.539512805,0.65091149
AT0116,0.130520912,0.012913635,0,0.049130052,0,0.044212172,0,0,0,0,0,0,0,0,0,0,0.021134224,0.001504002,0.001626827
AT0117,0.129516959,0.00048425,0.006442082,0.00082512,0.002538919,0.014086796,0,0,0,0.004147107,0,0,0,0,0.00018088,0,0.045234759,0.041504098,0.014072948
AT0118,1.447408527,7.89E-18,0.306075957,0.151874861,8.21E-18,0.09843785,0,0,0,0.158280814,0,0,0,0,0.00563948,0,0.000320629,0.237877439,0.488901496
AT0119,6.992571587,4.84E-17,1.306692352,0.839586559,0.680691338,0.328069594,0,0,0,1.195189229,0,0,0,0,0.023306586,0,0.010740759,0.853704676,1.754590494
AT0120,52.39938754,3.981697619,1.200252898,1.258334648,0.500015196,0.308721465,0,0,0,1.160811514,0,0,0,0,0.137909373,0,18.19096791,19.16300561,6.497671315
AT0121,11.54106362,1.083208128,1.226240983,0.330011095,1.498594104,0.156482238,0,0,0,0.677677615,0,0,0,0,0.06370184,0,1.402672927,1.356261652,3.746213034
AT0122,42.01090412,4.883140752,0.425886247,1.0055945,0.624585987,0.339186283,0,0,0,1.44712715,0,0,0,0,0.03963719,0,14.15549909,14.25630781,4.833939114
AT0123,0.004497591,0,0,0,0,0.004497591,0,0,0,0,0,0,0,0,0,0,0,0,0
AT0124,15.22901648,0.339123956,1.325311669,0.113138714,1.268743536,0.163101335,0,0,0,0.25014603,0,0,0,0,0.017256191,0,7.263288762,1.801485714,2.687420573
AT0125,7.304653656,0.192647144,0.172882841,0.125078886,0.022137044,0.046588258,0,0,0,0.203562604,0,0,0,0,0.033185782,0,2.707185513,2.838817287,0.962568296
AT0126,20.75618222,0.020202611,1.87747332,1.375191732,1.380898232,0.101238237,0,0,0,1.778856208,0,0,0,0,0.054231975,0,7.412776217,2.211039207,4.544274484
AT0127,0.308251458,0.124679598,0,0.047014482,0.129768561,0.006788817,0,0,0,0,0,0,0,0,0,0,0,0,0
AT0128,14.51478634,2.220110127,0.437342987,0.186962835,1.497469853,0,0,0,0,7.060083155,0,0,0,0,0.003674415,0,2.704214574,0.194521407,0.210406987
AT0129,3.992369128,0.046736986,0.034831317,0.419335651,0.238106712,0,0,0,0,0.010136518,0,0,0,0,0.00136169,0,2.458677711,0.376228915,0.406953627
AT0130,70.46436145,2.70784209,1.447949118,1.000165167,4.384158509,0.048030882,0,0,0,1.415968821,0,0,0,0,0.011036595,0,44.59549556,7.464250754,7.389463956
AT0201,11.12256968,2.848549691,1.620866676,0.062198357,4.093817123,0.006873677,0,0,0,0.000431754,0,0,0,0,0,0,2.411779343,0.037495493,0.040557561
AT0202,119.7412673,13.21738821,9.297374445,2.043115075,3.731714799,0.50330594,0,0,0,4.231940369,0,0,0,0,0.142825046,0,45.97481718,19.45709799,21.14168823
AT0203,94.0546161,1.141650261,12.37520976,4.282653797,25.57382732,0.13747355,0,0,0,2.547235824,0,0,0,0,0.179564948,0,23.32029881,10.05540943,14.44129239
AT0701,50.87596907,1.652757146,7.491220448,0.931629866,3.81055146,0.187456217,0,0,0,6.537387587,0,0,0,0,0.141599187,0,13.67816311,5.240569082,11.20463497
AT0702,66.76468162,0.400852347,12.47638918,2.607259794,14.76906662,0.486503617,0,0,0,7.872326042,0,0,0,0,0.170758467,0,6.514044621,7.092637744,14.3748432
AT0703,0.795073598,0.011617121,0.179819989,0.016184826,0.013881103,0,0,0,0,0.019764553,0,0,0,0,0.000814707,0,0.333682045,0.07218107,0.147128184
AT0704,33.10263008,12.07490216,0.483999981,0.462237612,18.31662851,0.060081033,0,0,0,0.006986784,0,0,0,0,0.006984226,0,1.295744626,0.188058821,0.207006326
AT0705,0.735118103,0.001422236,0.471200609,0.130363076,0.07168519,0,0,0,0,0.000203474,0,0,0,0,5.90E-09,0,0.060243512,0,0
AT0706,32.59681883,4.852145212,4.934625351,2.076471619,9.82764301,0.525454456,0,0,0,0.859540041,0,0,0,0,0.037412828,0,7.304557245,0.548063188,1.630905879
AT0707,73.73468252,6.185481975,1.652343242,1.639180308,8.061623488,0.458245165,0,0,0,1.092972805,0,0,0,0,0.245972078,0,22.05254392,19.88531336,12.46100617
AT0708,187.0565046,19.33614987,55.591432,10.70877547,90.91478154,0.380428347,0,0,0,0.04902131,0,0,0,0,0.000123266,0,10.03721079,0.012733059,0.025848977
AT0709,1.750183402,0.053564418,0.865560969,0.254849337,0.283264957,0,0,0,0,0.070294691,0,0,0,0,0.001593817,0,0.177140968,0.010766592,0.033147653
AT0710,93.77245871,34.9427731,1.933294901,4.369047418,41.021961,0.417172821,0,0,0,0.378654245,0,0,0,0,0.012003057,0,9.501961706,0.338801578,0.856788887
AT0711,22.72608178,0.649868331,9.431156139,2.258616419,2.08686677,0.429901853,0,0,0,0.831314858,0,0,0,0,0.04174688,0,4.516969697,0.607941239,1.871699591
AT0712,22.90436331,3.692593019,2.759462016,1.24641925,6.470599745,0.147996216,0,0,0,0.095450999,0,0,0,0,0.034055457,0,4.845738476,1.605191432,2.006856705
AT0713,57.45177817,12.29081436,1.241794262,0.765543135,1.175153258,0.720463232,0,0,0,7.613137859,0,0,0,0,0.047873613,0,15.54006947,13.22038192,4.836547055
AT0714,42.77191753,2.07480048,7.944634501,0.460663465,3.511518519,0.231159228,0,0,0,0.55207886,0,0,0,0,0.009209519,0,22.14842022,2.805174178,3.034258561
AT0715,15.90475172,0.1554921,3.405494021,1.69968363,1.676280417,0.249658755,0,0,0,2.818548052,0,0,0,0,0.05035731,0,3.564129783,0.586394269,1.698713384
AT0716,163.8624091,4.5575211,65.15748624,10.42523224,36.31894821,0.479629942,0,0,0,4.249031847,0,0,0,0,0.133154098,0,25.22135106,5.668941847,11.65111253
AT0717,42.99523001,2.523364364,1.236868417,0.372577584,1.510649813,0.34215639,0,0,0,6.754685507,0,0,0,0,0.016912639,0,16.66898815,9.19280821,4.376218934
AT0718,3.483768877,0.179950641,0.029061197,0.513628177,0.362423602,0,0,0,0,0.011023845,0,0,0,0,0.000839709,0,1.833871812,0.26563828,0.287331615
AT0719,48.51057165,4.078412813,6.349519106,0.907664654,6.822957663,0.135861206,0,0,0,0.715482405,0,0,0,0,0.045634687,0,20.45546205,4.218299472,4.781277594
AT0721,26.68680578,6.350104591,1.182540129,1.42136006,7.739896083,0,0,0,0,0.005248864,0,0,0,0,0.00227419,0,8.318571519,0.800710196,0.866100147
AT0722,0.561434933,0.01574783,7.19E-05,0.016956582,0.43675982,0.074931571,0,0,0,0,0,0,0,0,0,0,0.01696723,0,0
AT0723,0.207618825,0.022765305,0.094919901,0.03196652,0.038640815,0,0,0,0,0.005368495,0,0,0,0,0.000205888,0,0.004488764,0.002271072,0.006992066
AT0724,0.648643761,0.208260145,0.020430824,0.005540948,0.413070404,0,0,0,0,0,0,0,0,0,0,0,0.000924172,0.000200449,0.000216819
AT0725,3.539189538,0.270552087,0.869214611,0.073111106,2.167649174,0,0,0,0,0,0,0,0,0,0,0,0.15866256,0,0
AT0726,0.672332309,0.074535738,0.280562423,0.023476213,0.248507177,0.005685634,0,0,0,0.025118426,0,0,0,0,1.48E-06,0,0.014445219,0,0
AT0801,15.62972364,0.029802213,0.41006543,1.723358963,12.6371645,0.006873677,0,0,0,0.00684072,0,0,0,0,0.004463869,0,0.346583674,0.151898456,0.312672132
AT0802,1.46687345,0.002091493,0.088877865,0.000615827,0.013034461,0.006279656,0,0,0,0.0268955,0,0,0,0,4.16E-06,0,0.931855822,0.190817772,0.206400894
AT0803,14.78043164,1.478646144,1.124461795,0.613747243,2.068857054,0.040393463,0,0,0,0.410827944,0,0,0,0,0.022547832,0,6.013191376,1.140789441,1.866969347
AT0901,2.860345291,0.64611769,0.0993917,0.050298589,1.427949348,0,0,0,0,4.98E-05,0,0,0,0,1.45E-05,0,0.455953254,0.086743263,0.093827147
AT0902,2.770535673,0.128905298,0.098680806,0.004375138,0.706834902,0.00381871,0,0,0,0.050050136,0,0,0,0,0,0,1.574754404,0.097573954,0.105542325
AT0903,7.520793684,1.115285842,0.159720955,0.057294495,1.668560974,0.029701076,0,0,0,0.297588169,0,0,0,0,0.000554532,0,3.109238956,0.520183947,0.562664738
AT0904,1.22521017,0.039995381,0.039752822,0.039868774,0.404543943,0,0,0,0,0.124165716,0,0,0,0,0.003906192,0,0.396708715,0.079846985,0.096421643
AT0905,20.51184964,0.814461468,1.272032417,0.373158445,3.748326763,0.13764327,0,0,0,0.906955782,0,0,0,0,0.094675778,0,5.080840098,3.52116248,4.562593138
AT0906,0.325815619,0.011580899,0.09479311,0.022618554,0.035930008,0.002206366,0,0,0,0.017148382,0,0,0,0,0.000787616,0,0.090755967,0.01225736,0.037737358
AT0907,0.870504686,0.001208676,0.067478701,0.000569718,0.002143213,0.021554495,0,0,0,0.015277175,0,0,0,0,0.000218885,0,0.579060013,0.087907427,0.095086382
AT0908,26.84198301,0.497615803,5.175406325,0.519302211,2.085678269,3.160873318,0,0,0,2.681176803,0,0,0,0,0.000626757,0,12.65689521,0.015960011,0.0484483
AT1001,2.87067851,0.036468881,0.67388001,0.056396247,0.117948114,0.386198842,0,0,0,0.317617231,0,0,0,0,0,0,1.282169185,0,0
AT1002,18.55005013,1.763701784,3.235276727,2.037976449,5.856628537,0.327305852,0,0,0,0.167752696,0,0,0,0,0.010944372,0,4.157501485,0.431166543,0.561795685
AT1003,1.347439739,1.14E-17,0.687770823,0.046755988,0.271207935,0.020621032,0,0,0,0.259242229,0,0,0,0,0.000985392,0,0.040163823,0.006772737,0.013919779
AT1004,0.126682932,2.72E-18,0.004175666,0.000775628,0.005485949,0,0,0,0,0.048503844,0,0,0,0,2.86E-05,0,0.060985587,0.003231888,0.00349582
AT1005,2.117014999,0.003535135,0.058342304,0.014217665,0.149709945,0.03937514,0,0,0,0.103200393,0,0,0,0,0.014086923,0,0.515328653,0.528836558,0.690382283
AT1006,0.270680259,4.55E-05,0.01933327,0.015472232,0.013154377,0.006873677,0,0,0,0.017062321,0,0,0,0,0.000403154,0,0.051176693,0.05008011,0.097078926
AT1007,1.140212137,0.03611653,0.412924547,0.003527718,0.06537365,0.104802367,0,0,0,0.127657856,0,0,0,0,0.000135249,0,0.28814791,0.048771686,0.052754623
AT1008,3.48148977,0.140114236,0.82745067,0.065655631,0.176065355,0.020790753,0,0,0,0.271955281,0,0,0,0,0.012771488,0,0.895519987,0.304766601,0.766399768
AT1009,1.441175336,0.315968853,1.81E-05,0.065208926,0.524864972,0.020621032,0,0,0,0.019633409,0,0,0,0,0.005360941,0,0.025437983,0.201286671,0.262774481
AT1010,3.07305528,0.785331554,0.000395269,0.437145379,1.017248091,0.053631656,0,0,0,0.078760929,0,0,0,0,0.008001151,0,0.005634248,0.29794613,0.388960874
