Ecoregion,A_org,A_new,Annual,Permanent,Pasture,Urban,For_PlantationNonTimber,For_ClearCut,For_Retention_EU,For_PlantationFuel,For_SlashAndBurn,For_SelectionSystem,For_Selective_im,For_Agroforestry,For_TimberPlant,For_ReducedImpactLogging_im,Secondary,ForOther_Extensive,ForOther_Intensive
AA0101,0.117212809,0.093017507,0.003764537,0.000920027,0.01845219,0,0,0,0,0.00075199,0,0,0,0,0,0,5.49E-06,0.000124398,0.000176666
AA0102,0.469712154,0.028727232,0.122823025,0.050674633,0.017798037,0.004158151,0,0,0,0.053911057,0,0,0,0,0.004285898,0,0.095254017,0.038148376,0.053931728
AA0103,0.197998241,0.00046735,0.000777675,0.005951383,0.000506636,0.02376086,0,0,0,0.001037501,0,0,0,0,0.000449146,0,0.06141169,0.042935932,0.060700069
AA0104,0.835827246,1.99E-19,0.000296502,0.037774684,2.07E-19,0.034368387,0,0,0,0.0025025,0,0,0,0,0,0,0.304687286,0.189000745,0.267197141
AA0105,14.96289019,2.310946383,0.088531299,0.32616757,0.169494511,0.205701163,0,0,0,0.186138912,0,0,0,0,0.045520743,0,3.738217833,3.264018318,4.628153461
AA0106,2.34081629,0.437391148,0.000638748,0.033509738,0.016637457,0.160894969,0,0,0,0.006982834,0,0,0,0,0.005142003,0,0.59549377,0.4491484,0.634977223
AA0107,1.541153879,0.025306519,0.010577151,0.018618245,0.061956751,0,0,0,0,0.023379508,0,0,0,0,6.04E-05,0,0.360912379,0.429864598,0.610478367
AA0108,0.102719847,0.000983375,0.00072905,0.004705897,0.001037306,0.005855355,0,0,0,0.002064852,0,0,0,0,0.000945071,0,0.033076671,0.022091178,0.031231092
AA0109,0.016467605,0.001533748,9.38E-05,0.0002064,0.001596349,0,0,0,0,6.87E-05,0,0,0,0,0,0,0.000232404,0.005262537,0.007473667
AA0110,2.745063036,0.093222611,0.007309422,0.02298086,0.097087416,0.044975914,0,0,0,0.00653902,0,0,0,0,0.000474184,0,0.444385813,0.837995907,1.19009189
AA0111,1.170000785,0.061852544,0.002330941,0.01038498,0.064377137,0,0,0,0,0.002720508,0,0,0,0,3.72E-05,0,0.223259904,0.332637566,0.472400004
AA0112,1.246251925,0.284588745,0,0.007446791,0.033903873,0.006109936,0,0,0,0.427429667,0,0,0,0,0,0,0.283868562,0.08383908,0.119065271
AA0113,11.79127331,1.786948816,0.066354047,0.279709974,0.227495536,0.028428172,0,0,0,0.184227445,0,0,0,0,0.060399208,0,3.111086993,2.50077816,3.545844965
