"Pathway","Group","Scenario","Category","PDF"
"RCP2.6","SFM","AFM50","Import - Selective logging",0
"RCP2.6","SFM","AFM50","Import - Reduced Impact Logging",0
"REF","MFM","AFM50","EU28 - Lignocel. energy crops",8.09432518013e-05
"REF","MFM","AFM50","Import - Energy plantations",5.41642385048304e-05
"REF","MFM","AFM50","Import - Clear cut",0.000160167383376324
"REF","MFM","AFM50","Import - Timber and pulp plantations",0.000388597914098864
"REF","MFM","AFM50","Import - Selection",0
"REF","MFM","AFM50","Import - Selective logging",0
"REF","MFM","AFM50","Import - Reduced Impact Logging",0
"REF","SFM","AFM50","EU28 - Lignocel. energy crops",8.66613924034e-05
"REF","SFM","AFM50","Import - Energy plantations",6.18280091673739e-05
"REF","SFM","AFM50","Import - Clear cut",0.000238811000731609
"REF","SFM","AFM50","Import - Timber and pulp plantations",0.000772210986861474
"REF","SFM","AFM50","Import - Selection",0
"REF","SFM","AFM50","Import - Selective logging",0
"REF","SFM","AFM50","Import - Reduced Impact Logging",0
"RCP2.6","MFM","AFM75","EU28 - Lignocel. energy crops",0.000358776149435155
"RCP2.6","MFM","AFM75","Import - Energy plantations",0.000558252725575381
"RCP2.6","MFM","AFM75","Import - Clear cut",0.000200729812603676
"RCP2.6","MFM","AFM75","Import - Timber and pulp plantations",0.000808677675216419
"RCP2.6","MFM","AFM75","Import - Selection",0
"RCP2.6","MFM","AFM75","Import - Selective logging",0
"RCP2.6","MFM","AFM75","Import - Reduced Impact Logging",0
"RCP2.6","SFM","AFM75","EU28 - Lignocel. energy crops",0.000369978031093775
"RCP2.6","SFM","AFM75","Import - Energy plantations",0.000764966613567747
"RCP2.6","SFM","AFM75","Import - Clear cut",0.000311838252551247
"RCP2.6","SFM","AFM75","Import - Timber and pulp plantations",0.00129360672107834
"RCP2.6","SFM","AFM75","Import - Selection",0
"RCP2.6","SFM","AFM75","Import - Selective logging",0
"RCP2.6","SFM","AFM75","Import - Reduced Impact Logging",0
"REF","MFM","AFM75","EU28 - Lignocel. energy crops",8.29780848723e-05
"REF","MFM","AFM75","Import - Energy plantations",5.24352926416549e-05
"REF","MFM","AFM75","Import - Clear cut",0.000174535488188577
"REF","MFM","AFM75","Import - Timber and pulp plantations",0.000496468153137996
"REF","MFM","AFM75","Import - Selection",0
"REF","MFM","AFM75","Import - Selective logging",0
"REF","MFM","AFM75","Import - Reduced Impact Logging",0
"REF","SFM","AFM75","EU28 - Lignocel. energy crops",9.35305014174e-05
"REF","SFM","AFM75","Import - Energy plantations",9.42353877795559e-05
"REF","SFM","AFM75","Import - Clear cut",0.000335494972960567
"REF","SFM","AFM75","Import - Timber and pulp plantations",0.001043991809085
"REF","SFM","AFM75","Import - Selection",0
"REF","SFM","AFM75","Import - Selective logging",0
"REF","SFM","AFM75","Import - Reduced Impact Logging",0
"RCP2.6","MFM","AFM100","EU28 - Lignocel. energy crops",0.000362999454245691
"RCP2.6","MFM","AFM100","Import - Energy plantations",0.000633440815216596
"RCP2.6","MFM","AFM100","Import - Clear cut",0.000232987067006432
"RCP2.6","MFM","AFM100","Import - Timber and pulp plantations",0.000852271206155938
"RCP2.6","MFM","AFM100","Import - Selection",0
"RCP2.6","MFM","AFM100","Import - Selective logging",0
"RCP2.6","MFM","AFM100","Import - Reduced Impact Logging",0
"RCP2.6","SFM","AFM100","EU28 - Lignocel. energy crops",0.00037914321115013
"RCP2.6","SFM","AFM100","Import - Energy plantations",0.000840598168724411
"RCP2.6","SFM","AFM100","Import - Clear cut",0.000365427209813689
"RCP2.6","SFM","AFM100","Import - Timber and pulp plantations",0.00159905643686156
"RCP2.6","SFM","AFM100","Import - Selection",0
"RCP2.6","SFM","AFM100","Import - Selective logging",0
"RCP2.6","SFM","AFM100","Import - Reduced Impact Logging",0
"REF","MFM","AFM100","EU28 - Lignocel. energy crops",8.58156356472e-05
"REF","MFM","AFM100","Import - Energy plantations",6.32199228911625e-05
"REF","MFM","AFM100","Import - Clear cut",0.000209688647056248
"REF","MFM","AFM100","Import - Timber and pulp plantations",0.000599786228073467
"REF","MFM","AFM100","Import - Selection",0
"REF","MFM","AFM100","Import - Selective logging",0
"REF","MFM","AFM100","Import - Reduced Impact Logging",0
"REF","SFM","AFM100","EU28 - Lignocel. energy crops",9.90831596516e-05
"REF","SFM","AFM100","Import - Energy plantations",0.000141298329038243
"REF","SFM","AFM100","Import - Clear cut",0.000417383557739886
"REF","SFM","AFM100","Import - Timber and pulp plantations",0.00144660932728515
"REF","SFM","AFM100","Import - Selection",0
"REF","SFM","AFM100","Import - Selective logging",0
"REF","SFM","AFM100","Import - Reduced Impact Logging",0
"RCP2.6","MFM","noAFM","EU28 - Clear cut",0.000291601910628497
"RCP2.6","MFM","noAFM","EU28 - Retention",0
"RCP2.6","MFM","noAFM","EU28 - Selection",1.67358423258854e-06
"RCP2.6","SFM","noAFM","EU28 - Clear cut",0.000291634171768
"RCP2.6","SFM","noAFM","EU28 - Retention",0
"RCP2.6","SFM","noAFM","EU28 - Selection",1.67118608692e-06
"REF","MFM","noAFM","EU28 - Clear cut",0.000187758829788
"REF","MFM","noAFM","EU28 - Retention",0
"REF","MFM","noAFM","EU28 - Selection",9.1493755916e-06
"REF","SFM","noAFM","EU28 - Clear cut",0.000187839830395
"REF","SFM","noAFM","EU28 - Retention",0
"REF","SFM","noAFM","EU28 - Selection",9.1386687343e-06
"RCP2.6","MFM","AFMfree","EU28 - Clear cut",0.000223887352011094
"RCP2.6","MFM","AFMfree","EU28 - Retention",8.01336329252262e-06
"RCP2.6","MFM","AFMfree","EU28 - Selection",2.26084124001334e-06
"RCP2.6","SFM","AFMfree","EU28 - Clear cut",0.00022478327599615
"RCP2.6","SFM","AFMfree","EU28 - Retention",7.99120003652643e-06
"RCP2.6","SFM","AFMfree","EU28 - Selection",1.96059616545754e-06
"REF","MFM","AFMfree","EU28 - Clear cut",0.000146685652771
"REF","MFM","AFMfree","EU28 - Retention",5.3596300515e-06
"REF","MFM","AFMfree","EU28 - Selection",8.1674037433e-06
"REF","SFM","AFMfree","EU28 - Clear cut",0.000155805961669
"REF","SFM","AFMfree","EU28 - Retention",5.4096336919e-06
"REF","SFM","AFMfree","EU28 - Selection",6.26511550003e-06
