"Group","Scenario","Year","Category","PDFx100"
"RCP2.6","noAFM","2080","Afforestation",0.287238476581085
"RCP2.6","noAFM","2080","Regrowth",0.375858467375204
"RCP2.6","noAFM","2080","Forest",2.05849812740447
"RCP2.6","noAFM","2080","Energy_crops_and_plantations",1.87269311708619
"RCP2.6","noAFM","2080","Annual_crops",2.51056917395996
"RCP2.6","noAFM","2080","Pasture",5.18698067498731
"RCP2.6","noAFM","2080","Permanent_crops",1.80796898475535
"RCP2.6","noAFM","2080","Urban",0.878152085630599
"REF","noAFM","2080","Afforestation",0.263797271435708
"REF","noAFM","2080","Regrowth",0.351545208100789
"REF","noAFM","2080","Forest",1.66077393359875
"REF","noAFM","2080","Energy_crops_and_plantations",0.211383633167707
"REF","noAFM","2080","Annual_crops",3.74050513141268
"REF","noAFM","2080","Pasture",8.12607929069148
"REF","noAFM","2080","Permanent_crops",1.85981864206934
"REF","noAFM","2080","Urban",0.901449835279653
"RCP2.6","noAFM","2090","Afforestation",0.389916833031811
"RCP2.6","noAFM","2090","Regrowth",0.32434435113482
"RCP2.6","noAFM","2090","Forest",2.44622962596199
"RCP2.6","noAFM","2090","Energy_crops_and_plantations",2.32666126277565
"RCP2.6","noAFM","2090","Annual_crops",2.23954854330724
"RCP2.6","noAFM","2090","Pasture",4.64927847917701
"RCP2.6","noAFM","2090","Permanent_crops",1.80666902172755
"RCP2.6","noAFM","2090","Urban",0.876856332092336
"REF","noAFM","2090","Afforestation",0.285801831850005
"REF","noAFM","2090","Regrowth",0.333683155307288
"REF","noAFM","2090","Forest",1.7270586813354
"REF","noAFM","2090","Energy_crops_and_plantations",0.228744159242986
"REF","noAFM","2090","Annual_crops",3.76740984709222
"REF","noAFM","2090","Pasture",8.09116668535704
"REF","noAFM","2090","Permanent_crops",1.86171340311003
"REF","noAFM","2090","Urban",0.90102024815458
"RCP2.6","noAFM","2100","Afforestation",0.570665818383241
"RCP2.6","noAFM","2100","Regrowth",0.271335251444415
"RCP2.6","noAFM","2100","Forest",2.8786718190753
"RCP2.6","noAFM","2100","Energy_crops_and_plantations",2.57222108009965
"RCP2.6","noAFM","2100","Annual_crops",1.95024304954983
"RCP2.6","noAFM","2100","Pasture",4.00031668951039
"RCP2.6","noAFM","2100","Permanent_crops",1.79875571265131
"RCP2.6","noAFM","2100","Urban",0.872287834479336
"REF","noAFM","2100","Afforestation",0.311445582936006
"REF","noAFM","2100","Regrowth",0.318808929912391
"REF","noAFM","2100","Forest",1.78959705517512
"REF","noAFM","2100","Energy_crops_and_plantations",0.244040066643916
"REF","noAFM","2100","Annual_crops",3.77662188805579
"REF","noAFM","2100","Pasture",8.0302374611487
"REF","noAFM","2100","Permanent_crops",1.86259203942699
"REF","noAFM","2100","Urban",0.89998418348112
