Globiom_Reg,Category,2000,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
ANZ,Regrowth,68.0103617200,58.8210132200,51.8287688100,51.8092989700,50.5420357400,48.4064829600,46.1882490700,44.2422779300,42.1152666700,40.0045963100,38.5663767900
ANZ,Extensive,21.2304268900,22.3337145100,23.0945389600,23.7854409700,23.8677321500,24.5174346700,25.1337347100,25.7007331300,26.2276875200,26.7164053200,27.1628374200
ANZ,Intensive,5.8668176910,7.5722535680,8.3330780220,8.9236226320,9.5678205130,10.2174931200,10.8384910800,11.4323772600,12.0013964800,12.6636132800,13.1804859000
ArgentinaReg,Regrowth,6.7081791500,4.5499996750,0.2136586150,0.2128901520,0.2118911510,0.2105924490,0.2103865190,0.2086364290,0.2063613100,0.2063613100,0.2063613100
ArgentinaReg,Extensive,26.8330332200,26.8330332200,26.8330332200,26.8330332200,26.8330332200,26.8330332200,26.8330332200,26.8330332200,26.8330332200,26.8330332200,26.8330332200
ArgentinaReg,Intensive,17.0464299800,18.2452640400,18.9323598200,18.9323598200,18.9323598200,18.9323598200,18.9323598200,18.9323598200,18.9323598200,18.9323598200,18.9323598200
BrazilReg,Regrowth,8.5026508430,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
BrazilReg,Extensive,24.5938191400,24.5938191400,24.5938191400,24.5938191400,24.5938191400,24.5938191400,25.3091165400,25.3091165400,25.3091165400,25.3091165400,25.3091165400
BrazilReg,Intensive,24.8493958800,15.0678479200,9.9782799200,12.7737777000,12.7002047500,13.3501603000,14.2597564000,14.8195642800,16.1611666500,17.4444694700,18.4353623000
CanadaReg,Regrowth,180.3115571000,180.3115571000,179.1371251000,178.0970209000,175.8154995000,173.4578367000,170.9484353000,168.5352035000,165.4190837000,163.1990444000,161.7768196000
CanadaReg,Extensive,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5395953900,0.5395953900,1.5274640760,1.5274640760,1.5274640760
CanadaReg,Intensive,36.1314978200,33.0309538200,33.0309538200,33.7369113300,34.6716985700,35.7168609400,36.7868524900,37.9413151200,39.3308308700,40.8147828200,41.6372691100
ChinaReg,Regrowth,102.9051734000,97.4108863700,92.9216746100,77.6237820800,67.7545492800,61.3310277500,58.4051950900,55.7726661300,52.8923431500,50.2729314000,48.3932027300
ChinaReg,Extensive,23.0457756100,24.1486665500,26.2445626800,31.1479902200,34.2888641900,36.6110277400,37.5371281200,38.0875706600,38.5872502900,39.6337734900,40.3791615000
ChinaReg,Intensive,58.4191141400,59.8666222800,61.9511859000,66.9664634300,70.2152051900,72.6112028600,73.0336369500,73.4854995200,74.2094200800,74.9917821000,76.0133610700
CongoBasin,Regrowth,147.8987527000,137.6772716000,130.4989461000,128.5081039000,126.3616240000,124.0696214000,120.6740311000,118.5427092000,115.9260740000,112.2593777000,107.7102254000
CongoBasin,Extensive,82.5402939200,82.5659263600,82.5659263600,82.5659263600,82.5659263600,82.9169740800,82.9169740800,82.9169740800,83.1236903300,83.6619664900,84.8100509600
CongoBasin,Intensive,0.1726330550,0.9769757800,1.7540552770,2.8933749440,3.8207187590,4.4460427570,3.6512633060,3.0854710690,3.9296795490,5.1520724350,6.4546461420
EU,Regrowth,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
EU,Extensive,48.4749699600,42.9859010300,37.4102120000,34.8876889400,32.9951857400,31.4667489100,30.6567734400,30.0342300100,29.7282944800,29.5695996500,29.5351262300
