Ecoregion,Globiom_Reg,Share
AT0704,CongoBasin,0.347939307
AT0701,CongoBasin,0.043746465
AT1402,EasternAf,0.479366813
AT0125,EasternAf,0.748795508
AT0716,EasternAf,1
AT0109,EasternAf,1
AT0128,EasternAf,0.136073592
AT0714,EasternAf,1
AT0907,EasternAf,0.207884879
AT0708,EasternAf,0.451752733
AT0706,EasternAf,0.406331746
AT0901,EasternAf,1
AT1015,EasternAf,0.607611657
AA0701,ANZ,1
AA0703,ANZ,1
AA1307,ANZ,1
AA0117,ANZ,1
AA0704,ANZ,1
AA1309,ANZ,1
AA0706,ANZ,1
AA1302,ANZ,1
AA0702,ANZ,1
AA1206,ANZ,1
AA1310,ANZ,1
AA0413,ANZ,1
AA1401,ANZ,0.000152455
AA0709,ANZ,1
AA0705,ANZ,1
AA0707,ANZ,1
AA1304,ANZ,1
AA1207,ANZ,1
AA1210,ANZ,1
AA0109,ANZ,1
AA0412,ANZ,1
AA1306,ANZ,1
AA1202,ANZ,1
AA1308,ANZ,1
AA1301,ANZ,1
AA1303,ANZ,1
AA0402,ANZ,1
AA0802,ANZ,1
AA1209,ANZ,1
AA1305,ANZ,1
AA0803,ANZ,1
AA1201,ANZ,1
AA1205,ANZ,1
AA1203,ANZ,1
AA0409,ANZ,1
AA1204,ANZ,1
AA1208,ANZ,1
AA1001,ANZ,1
AA0411,ANZ,1
OC0201,Pacific_Island,1
AA0204,IndonesiaReg,0.555902853
AA1401,IndonesiaReg,0.790925553
AA0102,IndonesiaReg,1
AA0115,IndonesiaReg,0.440901686
AA0124,IndonesiaReg,1
IM0104,IndonesiaReg,0.687335083
IM0161,IndonesiaReg,0.992443074
IM0153,IndonesiaReg,0.999968912
AA0121,IndonesiaReg,0.508150084
AA0128,IndonesiaReg,1
IM0158,IndonesiaReg,1
IM0168,IndonesiaReg,1
AA0123,IndonesiaReg,1
AA0201,IndonesiaReg,1
IM0113,IndonesiaReg,1
IM0102,IndonesiaReg,0.682221959
IM0167,IndonesiaReg,1
IM0160,IndonesiaReg,1
AA0127,IndonesiaReg,1
AA1002,IndonesiaReg,0.626967484
IM1405,IndonesiaReg,0.777572478
AA0104,IndonesiaReg,1
AA0118,IndonesiaReg,1
IM0127,IndonesiaReg,1
IM0159,IndonesiaReg,1
IM0157,IndonesiaReg,1
AA0122,IndonesiaReg,0.616130901
AA0116,IndonesiaReg,0.715050192
AA0105,IndonesiaReg,0.435083634
IM0112,IndonesiaReg,1
AA0708,IndonesiaReg,0.313941798
AA0203,IndonesiaReg,1
AA0405,ANZ,1
AA1003,ANZ,1
AA0410,ANZ,1
AA0403,ANZ,1
AA0407,ANZ,1
AA0801,ANZ,1
AA0414,ANZ,1
AA0406,ANZ,1
AA0404,ANZ,1
AA0408,ANZ,1
AA0110,Pacific_Island,1
AA0120,Pacific_Island,1
AA1401,Pacific_Island,0.208921992
AA0115,Pacific_Island,0.559098314
AA0121,Pacific_Island,0.491849916
AA0125,Pacific_Island,1
AA1002,Pacific_Island,0.373032516
AA0112,Pacific_Island,1
AA0111,Pacific_Island,1
AA0122,Pacific_Island,0.383869099
AA0105,Pacific_Island,0.564916366
AA0116,Pacific_Island,0.284949808
AA0107,Pacific_Island,1
AA0708,Pacific_Island,0.686058202
PA1327,MidEastNorthAfr,0.672054837
NT0124,BrazilReg,0.187515603
NT1401,BrazilReg,0.429467007
NT0169,BrazilReg,0.100523222
NT0182,BrazilReg,0.369592452
NT0107,BrazilReg,0.068484569
NT0707,BrazilReg,0.741610028
NT0125,BrazilReg,0.143599196
NT0158,BrazilReg,0.837910747
NT0138,BrazilReg,1
NT0126,BrazilReg,1
NT0143,BrazilReg,0.241724835
NT0229,RSAM,1
NT0159,RSAM,1
NT0110,RSAM,0.534521384
NT0109,RSAM,1
NT0107,RSAM,0.931515431
NT0136,RSAM,1
NT0209,RSAM,0.000126358
NT1007,RSAM,1
NT0137,RSAM,1
NT0115,RSAM,0.814792544
NT0122,RSAM,0.271894815
NT0207,RSAM,1
NT0221,RSAM,1
NT1311,RSAM,1
NT0178,RSAM,1
NT0132,RSAM,0.129147827
NT0225,RSAM,1
NT1307,RSAM,1
NT0214,RSAM,1
NT0905,RSAM,1
PA0433,EU,0.981695969
NT0173,RSAM,0.001065711
AT0903,WesternAf,1
PA1327,WesternAf,0.327945163
PA1329,WesternAf,0.974358949
PA1321,WesternAf,0.159770748
PA1209,EU,1
PA1104,Former_USSR,1
PA1102,Former_USSR,1
PA1113,Former_USSR,1
PA1208,EU,1
PA1212,EU,0.024841019
PA1215,EU,1
PA1219,EU,1
PA1214,EU,9.22E-05
PA1203,EU,1
PA0503,EU,1
PA0421,EU,1
NT0904,USAReg,1
NT0164,USAReg,1
NA1102,USAReg,1
NA1111,USAReg,0.491716193
NA0524,USAReg,0.741371733
NA1103,USAReg,0.51046372
NA1106,USAReg,1
NA1107,USAReg,1
NA0520,USAReg,1
NA0411,USAReg,1
NA0508,USAReg,1
NA0516,USAReg,1
NA1117,USAReg,0.770246047
NA1104,USAReg,0.957355858
NA0603,USAReg,1
NA0515,USAReg,1
NA0529,USAReg,1
NA1101,USAReg,0.843064078
OC0703,USAReg,1
NA0601,USAReg,1
NA0519,USAReg,1
NA0504,USAReg,1
NA0513,USAReg,1
NA0402,USAReg,1
NA0410,USAReg,0.503389597
NA0414,USAReg,0.901596161
NA1202,USAReg,1
NA0517,USAReg,1
NA0403,USAReg,1
NA1201,USAReg,0.674596351
NA0405,USAReg,1
NA0302,USAReg,0.032873508
NA0303,USAReg,0.061141322
NA1303,USAReg,0.404189189
NA0806,USAReg,1
NA0701,USAReg,0.954142549
NA1108,USAReg,0.833036327
NA0607,USAReg,0.907667666
Rock and Ice,USAReg,0.020923629
NA1116,USAReg,0.05136933
NA0510,USAReg,0.559502977
NA0505,USAReg,1
NA0416,USAReg,0.729482784
NA0805,USAReg,1
NA0415,USAReg,1
NA1309,USAReg,1
NA0604,USAReg,1
NA0613,USAReg,8.69E-05
NA0810,USAReg,0.497737195
NA0506,USAReg,0.105941831
NA0802,USAReg,0.014489354
NA0518,USAReg,0.416324652
NA1310,USAReg,0.524648013
NA1203,USAReg,1
NA0503,USAReg,1
NA0507,USAReg,0.345662774
NA0811,USAReg,0.791030693
NA0522,USAReg,0.268262605
NA0808,USAReg,0.817746803
NA0812,USAReg,0.554689634
NA0605,USAReg,1.98E-06
Lake,USAReg,0.003078907
NA0813,USAReg,0.999493124
NA0407,USAReg,0.228959832
NA0512,USAReg,1
NA0528,USAReg,1
NA0417,USAReg,1
NA1313,USAReg,1
OC0202,USAReg,1
OC0702,USAReg,1
OC0106,USAReg,1
NA0406,USAReg,0.083910697
NA1305,USAReg,1
NA0815,USAReg,1
NA0809,USAReg,1
NA0401,USAReg,1
NA0511,USAReg,1
NA0804,USAReg,1
NA0530,USAReg,1
NA0803,USAReg,1
NA0527,USAReg,1
NA1304,USAReg,1
NA0801,USAReg,1
NA0404,USAReg,1
NA0413,USAReg,1
NA0807,USAReg,1
NA1308,USAReg,1
NA0409,USAReg,1
NA0412,USAReg,1
NA0523,USAReg,1
NA0814,USAReg,1
NA0526,USAReg,0.001519526
NA1312,USAReg,0.409978778
OC0701,USAReg,1
PA1329,MidEastNorthAfr,0.025641051
PA0433,SouthernAf,0.018304031
AT0722,CongoBasin,5.33E-06
AT0713,CongoBasin,0.01174801
AT0707,CongoBasin,0.011887029
AT0110,CongoBasin,1
AT0721,CongoBasin,0.02661976
AT1013,CongoBasin,0.275318308
AT0713,EasternAf,0.003975789
PA1204,EU,1
IM0146,IndonesiaReg,0.041422337
AA0106,IndonesiaReg,1
AA0108,IndonesiaReg,1
IM0304,IndonesiaReg,1
IM0103,IndonesiaReg,0.704565197
AA0103,IndonesiaReg,1
AA0101,Pacific_Island,1
PA0608,Former_USSR,0.68429203
PA1103,Former_USSR,1
PA1111,Former_USSR,1
PA1114,Former_USSR,1
PA1110,Former_USSR,4.86E-07
PA1101,Former_USSR,1
PA1107,Former_USSR,1
PA1108,Former_USSR,1
PA0601,Former_USSR,0.99992178
PA1112,Former_USSR,1
PA0603,Former_USSR,1
PA1105,Former_USSR,1
PA1016,Former_USSR,0.730623247
PA1316,Former_USSR,0.139021549
PA1106,Former_USSR,0.934767217
PA1109,Former_USSR,1
PA0605,Former_USSR,1
PA0611,Former_USSR,1
PA0610,Former_USSR,1
PA0606,Former_USSR,1
PA0426,Former_USSR,0.189685093
PA0907,Former_USSR,0.550599598
PA0609,Former_USSR,0.810447195
PA0438,Former_USSR,1
PA0607,Former_USSR,1
PA0817,Former_USSR,1
PA0519,Former_USSR,0.892247921
PA0813,Former_USSR,0.003004901
PA0815,Former_USSR,0.992023685
PA0444,Former_USSR,1
PA0604,Former_USSR,1
PA0505,Former_USSR,0.391723217
PA0804,Former_USSR,0.534369009
PA0816,Former_USSR,0.113126125
PA0901,Former_USSR,0.565591898
PA0443,Former_USSR,1
PA0416,Former_USSR,0.748135377
AT0125,WesternAf,0.251204492
AT0711,WesternAf,0.077327754
