"Group","Scenario","PDF","lower95","upper95"
"RCP2.6_MFM","noAFM",0.00178004736147893,0,0
"RCP2.6_SFM","noAFM",0.00178212872059709,0,0
"REF_MFM","noAFM",0.00120364944666272,0,0
"REF_SFM","noAFM",0.00114295654314337,0,0
"RCP2.6_MFM","AFMfree",0.00144440329179173,0,0
"RCP2.6_SFM","AFMfree",0.00138370084096098,0,0
"REF_MFM","AFMfree",0.000868289941482066,0,0
"REF_SFM","AFMfree",0.000901882503449423,0,0
"RCP2.6_MFM","AFM25",0.00145058568633353,0,0
"RCP2.6_SFM","AFM25",0.00162905766952997,0,0
"REF_MFM","AFM25",0.000875492761022695,0,0
"REF_SFM","AFM25",0.000979790865499686,0,0
"RCP2.6_MFM","AFM50",0.00149371220902986,0,0
"RCP2.6_SFM","AFM50",0.0019557909480411,0,0
"REF_MFM","AFM50",0.000918803292157911,0,0
"REF_SFM","AFM50",0.00113511337729972,0,0
"RCP2.6_MFM","AFM75",0.00159438047273548,0,0
"RCP2.6_SFM","AFM75",0.00274063457410909,0,0
"REF_MFM","AFM75",0.0009472451908128,0,0
"REF_SFM","AFM75",0.00163700988011193,0,0
"RCP2.6_MFM","AFM100",0.00170490246137844,0,0
"RCP2.6_SFM","AFM100",0.00311425788605059,0,0
"REF_MFM","AFM100",0.00106598980364699,0,0
"REF_SFM","AFM100",0.00212302103693673,0,0
