"Group","PDFx100","lower95","upper95","Year"
"RCP2.6",14.0580494882664,0,0,"2020"
"REF",14.0633622005042,0,0,"2020"
"RCP2.6",13.9292566205636,0,0,"2030"
"REF",14.6757187892472,0,0,"2030"
"RCP2.6",13.9745246106193,0,0,"2040"
"REF",15.1348187354419,0,0,"2040"
"RCP2.6",13.9903273935129,0,0,"2050"
"REF",15.4843257971127,0,0,"2050"
"RCP2.6",13.965872236738,0,0,"2060"
"REF",15.801733529635,0,0,"2060"
"RCP2.6",13.9982242363274,0,0,"2070"
"REF",16.0304836646494,0,0,"2070"
"RCP2.6",14.114564480075,0,0,"2080"
"REF",16.156842074442,0,0,"2080"
"RCP2.6",14.1884417397378,0,0,"2090"
"REF",16.2262864910691,0,0,"2090"
"RCP2.6",14.0813090652217,0,0,"2100"
"REF",16.2559888023629,0,0,"2100"
