"Scenario","Year","Annual_EU_median","Permanent_EU_median","Pasture_EU_median","Urban_EU_median","Annual_RoW_median","Permanent_RoW_median","Pasture_RoW_median","Urban_RoW_median","For_ClearCut_EU_median","For_ClearCut_im_median","For_ClearCut_ex_median","For_Retention_EU_median","For_Plantation_im_median","For_TimberPlant_EU_median","For_TimberPlant_ex_median","For_SelectionSystem_EU_median","For_SelectionSystem_im_median","For_SelectionSystem_ex_median","For_Selective_im_median","EP_EU_median","EP_conv_EU_median","EP_RoW_median","EP_conv_im_median","Afforested_EU_median","Afforested_RoW_median","Regrowth_median","ForOther_Extensive_EU_median","ForOther_Extensive_RoW_median","ForOther_Intensive_EU_median","ForOther_Intensive_RoW_median"
"RCP_MFM_AF0",2000,0.000616018195612749,1.47659358537853e-05,9.882375821928e-06,1.32155432978252e-05,2.93470975914912e-05,2.83284434271048e-05,2.04898844396582e-05,6.11306356417747e-05,2.47337289834952e-06,1.99930035826509e-06,2.8877646998163e-06,0,4.35451770747304e-05,0,0,2.78883661365146e-07,2.12281710253826e-07,2.4640783455686e-07,2.69770653245334e-05,0,0,0,0,0,0,4.5826390108319e-06,0,1.67073684618897e-06,0,2.24866413164045e-05
"RCP_MFM_AF0",2010,0.000602838292683473,1.47531485011402e-05,9.71202728785794e-06,1.31423747785721e-05,3.02029436261249e-05,2.84501322679417e-05,2.10864417891359e-05,6.12836205018503e-05,2.25733414541086e-06,2.38533965761371e-06,2.87883278786837e-06,0,4.33465518567732e-05,0,0,2.64950512808217e-07,2.16311635008149e-07,2.45873729580391e-07,2.67193950184207e-05,0,0,0,0,2.40016380180345e-06,5.27460210921385e-06,4.31985390263765e-06,0,1.64813708996476e-06,0,2.23617413434888e-05
"RCP_MFM_AF0",2020,0.000614994674593944,1.47224144193295e-05,9.71255109311091e-06,1.31590042718977e-05,3.07516574594177e-05,2.86641309009696e-05,2.13960176139312e-05,6.15607359207009e-05,2.36102610678312e-06,2.4726203852751e-06,2.88687011708475e-06,0,4.39121273133325e-05,0,0,2.58933387066453e-07,2.14835537787439e-07,2.47801011828348e-07,2.70243574583127e-05,3.09627944071105e-06,1.5655295170362e-05,5.02040146849373e-05,9.41741067254238e-05,2.49814802817132e-06,5.47112834219089e-06,4.16478236887117e-06,0,1.72597691207833e-06,0,2.27707113407718e-05
"RCP_MFM_AF0",2030,0.000597523903632774,1.46332612993619e-05,9.66700410114461e-06,1.31167326438945e-05,3.02787957406755e-05,2.87184338340723e-05,2.07998904131627e-05,6.15490460285266e-05,2.22588835725312e-06,2.39131223664757e-06,2.86374892137882e-06,2.67593855230482e-07,4.35715534609331e-05,0,0,2.58313162092821e-07,2.1700361549661e-07,2.45428306649027e-07,2.65700197396242e-05,5.45597990070258e-06,1.48456338466724e-05,5.66845584003276e-05,9.49672225865518e-05,2.32492317614352e-06,5.5780345801524e-06,4.13829693426439e-06,0,1.77640615487451e-06,0,2.3124297294153e-05
"RCP_MFM_AF0",2040,0.000592318268267604,1.45872463158637e-05,9.65708000626745e-06,1.32249725815959e-05,3.03015459895332e-05,2.87964154074284e-05,2.06129865695551e-05,6.1602019491982e-05,2.15653315288521e-06,2.38435306793966e-06,2.85267248026019e-06,2.77426542029352e-07,4.17995907400535e-05,0,0,2.63787646219415e-07,2.16977575703461e-07,2.45946266663095e-07,2.52887386553756e-05,5.57499508592017e-06,1.44641646078038e-05,5.15835205690094e-05,4.91013823097708e-05,2.29085885634015e-06,5.76005898653515e-06,4.1259365389618e-06,0,1.81605555110766e-06,0,2.31931443216052e-05
"RCP_MFM_AF0",2050,0.000536426313288251,1.45144019647485e-05,9.67704353306299e-06,1.32026676397681e-05,2.97987760669781e-05,2.8828786162628e-05,2.0185826305498e-05,6.15615879861482e-05,2.23405236653522e-06,2.38997558876763e-06,2.83676449101977e-06,2.73905109417486e-07,4.63473165103703e-05,0,0,2.57867573551299e-07,2.17399426962393e-07,2.45668369484544e-07,2.82977418114644e-05,5.60059312014249e-06,1.38905541429047e-05,5.40454567627351e-05,5.07368143903677e-05,2.1985857786371e-06,6.16654553861425e-06,4.10314893471843e-06,0,1.87651795820522e-06,0,2.32565582241178e-05
"RCP_MFM_AF0",2060,0.000449528734243625,1.42773679397056e-05,9.54901650990412e-06,1.29725250446334e-05,2.94296491967516e-05,2.88519436368969e-05,1.96396481032415e-05,6.15319435635422e-05,2.3054072445116e-06,2.39880474611582e-06,2.79443676275772e-06,2.84085094008661e-07,4.42529799781685e-05,0,0,2.57964265655695e-07,2.18436385065811e-07,2.43602283941885e-07,2.69879992536482e-05,5.23543682530366e-06,1.30936144272437e-05,5.40355387962947e-05,6.55996919034828e-05,2.05066472447626e-06,6.25257902768362e-06,4.09951545993095e-06,0,1.95407846466644e-06,0,2.3530208483874e-05
"RCP_MFM_AF0",2070,0.000343340399371237,1.37865219583321e-05,9.29326051716283e-06,1.27201436989655e-05,2.85517139136389e-05,2.88791895073488e-05,1.91764236362834e-05,6.15012989355203e-05,2.41639455700395e-06,2.44978825161212e-06,2.73092087186679e-06,2.91557200504139e-07,4.35601844510082e-05,0,0,2.58523837178364e-07,2.19462964236e-07,2.4300110836479e-07,2.64271291773659e-05,6.32567716007771e-06,1.21645518253635e-05,5.04960402314986e-05,6.90319195558199e-05,1.89066601569421e-06,6.16694890077866e-06,4.02619318560966e-06,0,2.10115026775368e-06,0,2.46065347939518e-05
"RCP_MFM_AF0",2080,0.000214364189064992,1.31404344743266e-05,9.17996688693004e-06,1.23954623900084e-05,2.748358762496e-05,2.89392876159148e-05,1.85149950474052e-05,6.14905553223974e-05,2.52428222985833e-06,2.63446052686303e-06,2.65369390091728e-06,2.92365243534873e-07,4.38897348332382e-05,0,0,2.68654133492392e-07,2.19156335335351e-07,2.41429813947452e-07,2.65578096907836e-05,6.26998655517067e-06,1.16325079970958e-05,4.85617700216058e-05,6.10941916891977e-05,1.78471646967299e-06,6.42917060331443e-06,3.8565141492903e-06,0,2.32834261254861e-06,0,2.59915681042799e-05
"RCP_MFM_AF0",2090,0.000159393067484849,1.27614705234542e-05,8.94608226161421e-06,1.21180223505001e-05,2.61181837364006e-05,2.89430395283258e-05,1.76186491145682e-05,6.14404975772223e-05,2.54860034926791e-06,2.63988471212498e-06,2.58773408144808e-06,2.92954954257667e-07,4.26488115688586e-05,0,0,2.79107918054289e-07,2.19817120198903e-07,2.38935609611424e-07,2.57903246941348e-05,8.23156895980801e-06,1.12151066735697e-05,4.64054507922302e-05,6.13935851958486e-05,1.59018981484398e-06,6.785875369896e-06,3.64059291445316e-06,0,2.58444295973651e-06,0,2.77111279590471e-05
