"Group","PDF","lower95","upper95","Scenario","Year"
"REF_SFM",0.0002580789911316,0,0,"AFM100","2050"
"RCP2.6_MFM",0.000397296614613059,0,0,"noAFM","2060"
"RCP2.6_SFM",0.000396607660474499,0,0,"noAFM","2060"
"REF_MFM",0.000327437522454479,0,0,"noAFM","2060"
"REF_SFM",0.000328362472554634,0,0,"noAFM","2060"
"RCP2.6_MFM",0.000332995209777964,0,0,"AFMfree","2060"
"RCP2.6_SFM",0.000331888243980715,0,0,"AFMfree","2060"
"REF_MFM",0.000267992604828362,0,0,"AFMfree","2060"
"REF_SFM",0.00026008182972069,0,0,"AFMfree","2060"
"RCP2.6_MFM",0.000319605189154826,0,0,"AFM25","2060"
"RCP2.6_SFM",0.000329970508428323,0,0,"AFM25","2060"
"REF_MFM",0.000259159772905713,0,0,"AFM25","2060"
"REF_SFM",0.000267162290271206,0,0,"AFM25","2060"
"RCP2.6_MFM",0.000321467691289032,0,0,"AFM50","2060"
"RCP2.6_SFM",0.000331163180775718,0,0,"AFM50","2060"
"REF_MFM",0.000251481245270823,0,0,"AFM50","2060"
"REF_SFM",0.000260683737782703,0,0,"AFM50","2060"
"RCP2.6_MFM",0.000317763788749231,0,0,"AFM75","2060"
"RCP2.6_SFM",0.00032624042467871,0,0,"AFM75","2060"
"REF_MFM",0.000242496396079435,0,0,"AFM75","2060"
"REF_SFM",0.000253699864308674,0,0,"AFM75","2060"
"RCP2.6_MFM",0.000324728571211189,0,0,"AFM100","2060"
"RCP2.6_SFM",0.000341883658253292,0,0,"AFM100","2060"
"REF_MFM",0.000236593146734071,0,0,"AFM100","2060"
"REF_SFM",0.000264630090493343,0,0,"AFM100","2060"
"RCP2.6_MFM",0.00045755659341954,0,0,"noAFM","2070"
"RCP2.6_SFM",0.00045574937425588,0,0,"noAFM","2070"
"REF_MFM",0.00033762261828011,0,0,"noAFM","2070"
"REF_SFM",0.000338356513275672,0,0,"noAFM","2070"
"RCP2.6_MFM",0.000384896440326915,0,0,"AFMfree","2070"
"RCP2.6_SFM",0.000382527694703715,0,0,"AFMfree","2070"
"REF_MFM",0.000273609062539239,0,0,"AFMfree","2070"
"REF_SFM",0.000265504808948072,0,0,"AFMfree","2070"
"RCP2.6_MFM",0.000378142130801395,0,0,"AFM25","2070"
"RCP2.6_SFM",0.000385135836800584,0,0,"AFM25","2070"
"REF_MFM",0.000260998251707324,0,0,"AFM25","2070"
"REF_SFM",0.000269143269331611,0,0,"AFM25","2070"
"RCP2.6_MFM",0.000374996316026674,0,0,"AFM50","2070"
"RCP2.6_SFM",0.000388105355044125,0,0,"AFM50","2070"
"REF_MFM",0.000251158797631613,0,0,"AFM50","2070"
"REF_SFM",0.000257904586213276,0,0,"AFM50","2070"
"RCP2.6_MFM",0.000365137143876911,0,0,"AFM75","2070"
"RCP2.6_SFM",0.000393145264497064,0,0,"AFM75","2070"
"REF_MFM",0.000235784483045581,0,0,"AFM75","2070"
"REF_SFM",0.000258819729511998,0,0,"AFM75","2070"
"RCP2.6_MFM",0.000364440429585632,0,0,"AFM100","2070"
"RCP2.6_SFM",0.000394272781210248,0,0,"AFM100","2070"
"REF_MFM",0.000230451382427705,0,0,"AFM100","2070"
"REF_SFM",0.000262732017577126,0,0,"AFM100","2070"
"RCP2.6_MFM",0.000505096099545835,0,0,"noAFM","2080"
"RCP2.6_SFM",0.000507702580985,0,0,"noAFM","2080"
"REF_MFM",0.000345435578885716,0,0,"noAFM","2080"
"REF_SFM",0.000346105375007516,0,0,"noAFM","2080"
"RCP2.6_MFM",0.000438695653032501,0,0,"AFMfree","2080"
"RCP2.6_SFM",0.000437828098210211,0,0,"AFMfree","2080"
"REF_MFM",0.000277214701597123,0,0,"AFMfree","2080"
"REF_SFM",0.00026894456247994,0,0,"AFMfree","2080"
"RCP2.6_MFM",0.000429826640325615,0,0,"AFM25","2080"
"RCP2.6_SFM",0.000439976764563319,0,0,"AFM25","2080"
"REF_MFM",0.00025874443641967,0,0,"AFM25","2080"
"REF_SFM",0.000267838904071012,0,0,"AFM25","2080"
"RCP2.6_MFM",0.000418031809414791,0,0,"AFM50","2080"
"RCP2.6_SFM",0.000433351862693544,0,0,"AFM50","2080"
"REF_MFM",0.000244143767145712,0,0,"AFM50","2080"
"REF_SFM",0.000257134410086721,0,0,"AFM50","2080"
"RCP2.6_MFM",0.000400519942935825,0,0,"AFM75","2080"
"RCP2.6_SFM",0.000439100323795955,0,0,"AFM75","2080"
"REF_MFM",0.000228914705363126,0,0,"AFM75","2080"
"REF_SFM",0.000263437566440929,0,0,"AFM75","2080"
"RCP2.6_MFM",0.000387382876231784,0,0,"AFM100","2080"
"RCP2.6_SFM",0.000452084449614689,0,0,"AFM100","2080"
"REF_MFM",0.000223633332476978,0,0,"AFM100","2080"
"REF_SFM",0.00026166548056182,0,0,"AFM100","2080"
"RCP2.6_MFM",0.00057637993623877,0,0,"noAFM","2090"
"RCP2.6_SFM",0.000578507897518999,0,0,"noAFM","2090"
"REF_MFM",0.00035310514109586,0,0,"noAFM","2090"
"REF_SFM",0.000353758831273917,0,0,"noAFM","2090"
"RCP2.6_MFM",0.000516638355853982,0,0,"AFMfree","2090"
"RCP2.6_SFM",0.000515931906090893,0,0,"AFMfree","2090"
"REF_MFM",0.000279188985690328,0,0,"AFMfree","2090"
"REF_SFM",0.000272087838146127,0,0,"AFMfree","2090"
"RCP2.6_MFM",0.000495346492684013,0,0,"AFM25","2090"
"RCP2.6_SFM",0.000507361838545195,0,0,"AFM25","2090"
"REF_MFM",0.000258779151777662,0,0,"AFM25","2090"
