"Pathway","Group","Scenario","Category","Values"
"RCP2.6","MFM","AFM75","EU28 Clear cut",383.51621672
"RCP2.6","MFM","AFM75","EU28 Selection",300.63745248
"RCP2.6","MFM","AFM75","EU28 Retention",68.04754201
"RCP2.6","MFM","AFM75","EU28 Lignocel. energy crops",263.1026847
"RCP2.6","MFM","AFM75","Import - Clear cut",170.8712316
"RCP2.6","MFM","AFM75","Import - Timber and pulp plantations",59.10259214
"RCP2.6","MFM","AFM75","Import - Selection",6.923858809
"RCP2.6","MFM","AFM75","Import - Selective logging",9.362509178
"RCP2.6","MFM","AFM75","Import - Energy plantations",244.8506489
"RCP2.6","MFM","AFM100","EU28 Clear cut",310.16877094
"RCP2.6","MFM","AFM100","EU28 Selection",378.48154845
"RCP2.6","MFM","AFM100","EU28 Retention",0
"RCP2.6","MFM","AFM100","EU28 Lignocel. energy crops",275.2903137
"RCP2.6","MFM","AFM100","Import - Clear cut",194.4605964
"RCP2.6","MFM","AFM100","Import - Timber and pulp plantations",67.64451233
"RCP2.6","MFM","AFM100","Import - Selection",7.802880875
"RCP2.6","MFM","AFM100","Import - Selective logging",10.23564872
"RCP2.6","MFM","AFM100","Import - Energy plantations",276.2930454
"REF","SFM","noAFM","EU28 Clear cut",407.3370542
"REF","SFM","noAFM","EU28 Selection",114.786923459
"REF","SFM","noAFM","EU28 Retention",0
"REF","SFM","noAFM","EU28 Lignocel. energy crops",65.20098971
"REF","SFM","noAFM","Import - Clear cut",168.6378735
"REF","SFM","noAFM","Import - Timber and pulp plantations",52.6151644
"REF","SFM","noAFM","Import - Selection",5.898872143
"REF","SFM","noAFM","Import - Selective logging",7.978518557
"REF","SFM","noAFM","Import - Energy plantations",19.40557529
"REF","SFM","AFMfree","EU28 Clear cut",399.82924627
"REF","SFM","AFMfree","EU28 Selection",24.14933446
"REF","SFM","AFMfree","EU28 Retention",128.8283218
"REF","SFM","AFMfree","EU28 Lignocel. energy crops",59.65512337
"REF","SFM","AFMfree","Import - Clear cut",143.4012974
"REF","SFM","AFMfree","Import - Timber and pulp plantations",41.39705511
"REF","SFM","AFMfree","Import - Selection",4.515152254
"REF","SFM","AFMfree","Import - Selective logging",8.33517455
"REF","SFM","AFMfree","Import - Energy plantations",16.08326258
"REF","SFM","AFM25","EU28 Clear cut",390.98911792
"REF","SFM","AFM25","EU28 Selection",13.48727142
"REF","SFM","AFM25","EU28 Retention",119.1861166
