"Ecoregion","A_org","Area","Share"
"AA0101",0.117209776,0.003169706,0.0263309489901277
"AA0102",0.469779625,0.012340476,0.0255962694241616
"AA0103",0.197805441,0.02190031,0.0996801854312862
"AA0104",0.835786237,0.002908719,0.00346814891301194
"AA0105",14.96133455,2.060413779,0.121045954808865
"AA0106",2.340715617,0.009811753,0.00417427728144259
"AA0107",1.541317703,0.013111647,0.00843502279469955
"AA0108",0.102668618,0.046081563,0.309791643211513
"AA0110",0.01646733,0.000122958,0.00741144457528405
"AA0111",2.745163532,0.066773001,0.0237462688849386
"AA0112",1.170059052,0.02182096,0.0183080174013355
"AA0113",1.246365809,0,0
"AA0115",11.79090782,1.211643939,0.0931850887008648
"AA0116",1.997948548,0.253852654,0.112733155029198
"AA0117",3.16579726,0,0
"AA0118",1.678926353,0.00607614,0.0036060124689679
"AA0119",3.150493373,0.009299137,0.00294295811214515
"AA0120",7.018949769,0.299260667,0.0408926020394093
"AA0121",8.158464953,1.192126442,0.127492090247624
"AA0122",10.15748817,1.799585522,0.150503841354096
"AA0123",10.45959629,0.074428599,0.00706554235292542
"AA0124",7.58253478,0.039926108,0.00523795511536904
"AA0125",0.304586701,0.001519875,0.00496518245331652
"AA0126",0.710147707,0,0
"AA0127",1.801009366,0.191636841,0.0961720351193281
"AA0128",5.958159549,0.790859093,0.117181346644738
"AA0201",3.409827714,0.001542718,0.000452228226383361
"AA0202",0.354054137,0,0
"AA0203",0.966497684,0.001117416,0.00115481455384481
"AA0204",3.144794912,0.002633635,0.0008367576771553
"AA0401",0,0,NA
"AA0402",23.96273313,0.000629954,2.62882132942605e-05
"AA0403",0.929943798,0,0
"AA0404",1.346658297,0,0
"AA0405",8.111869205,0,0
"AA0406",2.571412902,0,0
"AA0407",0.115403648,0,0
"AA0408",1.200153249,0,0
"AA0409",28.09846488,0.000401158,1.42766615370701e-05
"AA0410",1.112425673,0,0
"AA0411",1.985012076,0,0
"AA0412",1.760770217,0,0
"AA0413",3.241074876,0,0
"AA0414",0.435272489,0,0
"AA0701",14.50045798,0.000278581,1.92115068657442e-05
"AA0702",34.58986075,0.000760614,2.19890239032134e-05
"AA0703",11.39930373,0,0
"AA0704",35.08104039,0.254952627,0.00721509727708355
"AA0705",12.88262033,0.001236129,9.59440214142175e-05
"AA0706",33.63870508,0.004934767,0.000146677559932328
"AA0707",44.02861643,0.606796024,0.0135944979700893
"AA0708",2.542321837,0.052672694,0.0202978053983421
"AA0709",22.38001034,0.013486482,0.000602249934755634
"AA0801",5.02425939,0,0
"AA0802",24.07815201,0.396702279,0.0162085655062835
"AA0803",31.99439807,0.172933751,0.00537606761923296
"AA1001",1.29189745,0,0
"AA1002",1.275358586,0.258763589,0.168672087019406
"AA1003",3.596466671,0,0
"AA1201",13.0746564,0.011502512,0.000878983059685467
"AA1202",11.08414948,0.02557113,0.00230168974519333
"AA1203",5.722465083,0.012511193,0.00218155967834731
"AA1204",1.039962422,0.000903245,0.000867782489745624
"AA1205",1.571345897,0.004329968,0.00274800680532097
"AA1206",2.327523039,0.00371817,0.00159493148355718
"AA1207",18.95743661,0.174882817,0.00914070129694788
"AA1208",2.639820981,0.001507252,0.000570641687454374
"AA1209",16.11059415,0.011886853,0.000737284354547426
"AA1210",4.727703465,0.002484324,0.000525206209735958
"AA1301",8.470236007,0.039630786,0.00465703952412032
"AA1302",27.48077803,0.020729827,0.000753770560792128
"AA1303",15.3411675,0.001196663,7.79973012820215e-05
"AA1304",79.75141844,0.063677071,0.000797807364538255
"AA1305",41.45039462,0.021989085,0.000530210299856696
"AA1306",19.24413615,0.016703269,0.000867213969061127
"AA1307",17.68760896,0.014129868,0.000798219210965302
"AA1308",29.97086772,2.693739301,0.0824666067241587
"AA1309",24.78665481,0.437039445,0.0173265438671168
"AA1310",44.24045236,0.016094854,0.000363671705390261
"AA1401",1.442203693,0.402069548,0.218009749890418
"AT0101",10.45933875,0.026600034,0.00253673367239066
"AT0102",18.74294117,0.054253642,0.00288626268667306
"AT0103",4.157449748,0.010885498,0.0026114737317364
"AT0104",36.50758195,4.013848966,0.0990549661072092
"AT0105",0.109013787,0,0
"AT0106",2.073780778,0.094906931,0.0437623778684864
"AT0107",5.421387291,0.058056283,0.0105952880463041
"AT0108",6.93716261,0.006880605,0.000990864369210294
"AT0109",2.502631673,0,0
"AT0110",6.687639386,1.854542194,0.217104047324641
"AT0111",18.80476026,0.011979475,0.000636639246155785
"AT0112",25.00942831,0.016248016,0.000649253821888498
"AT0114",3.248056951,0.008929496,0.00274164358535324
"AT0115",0.264816252,0,0
"AT0116",1.825093521,0,0
"AT0117",10.92741725,0,0
"AT0118",19.75315111,0.026715481,0.00135064010048257
"AT0119",3.146264513,0,0
"AT0120",0.130520303,0,0
"AT0121",0.129513351,0.002051392,0.0155922624346251
"AT0122",1.447266662,0.108590532,0.0697946652294105
"AT0123",6.99264345,0.102235002,0.0144096904114236
"AT0124",52.39805813,0.694305311,0.0130773102947576
"AT0125",11.54225277,0.008068169,0.000698523360745552
"AT0126",42.01052526,1.617377995,0.0370721000628111
"AT0127",0.004497591,0,0
"AT0128",15.22951091,0.396261293,0.0253594694618626
"AT0129",7.304645575,4.342340646,0.372829551233656
"AT0130",20.76042371,0.217929073,0.0103882833535243
"AT0201",0.308219479,0,0
"AT0202",14.5148261,0.130533006,0.00891292627618277
"AT0203",3.992098985,0.115173519,0.0280413629453207
"AT0701",70.46188055,0.32321383,0.00456612840359965
"AT0702",11.12255733,0,0
"AT0704",119.7389114,1.132588413,0.00937018581511957
"AT0705",94.05402354,0.516334744,0.00545979473239827
"AT0706",50.87714609,0.547600458,0.0106485786466418
"AT0707",66.76226175,0.686828019,0.010182910123061
"AT0708",0.795060838,0.00402933,0.00504239716787505
"AT0709",33.10341875,0.04651604,0.00140320155362815
"AT0710",0.735100216,0.006386092,0.00861255552678392
"AT0711",32.59851104,0.004281515,0.000131323566617099
"AT0712",73.73887233,0.485276377,0.00653798508239723
"AT0713",187.0620669,1.061895118,0.00564465635642097
"AT0714",1.750137341,0.000232119,0.000132611431645979
"AT0715",93.76965353,0.019557171,0.000208522609944424
"AT0716",22.72553871,0.009800762,0.00043108052167289
"AT0717",22.90560365,6.72e-06,2.93377905737947e-07
"AT0718",57.45265942,0.146759125,0.0025479271962675
"AT0719",42.77280788,0.124032679,0.00289141758189409
"AT0721",15.90563285,0.13166107,0.0082096811754386
"AT0722",163.8577059,0.106837391,0.00065158837914358
"AT0723",42.99605027,0.008705466,0.000202430309183515
"AT0724",3.483600384,0.117258742,0.0325641014815974
"AT0725",48.51113113,0.648322555,0.0131881562222857
"AT0726",26.6864846,0.283098435,0.010496952608893
"AT0801",0.561435905,0.00556296,0.00981123657099384
"AT0901",0.207623336,1.25e-06,6.02048160134561e-06
"AT0902",0.648644514,0,0
"AT0903",3.539267508,0.019183521,0.00539097513037603
