Ecoregion,EU,RoW
IM0208,0,2.03E-05
IM0209,0,0.000299729
IM0210,0,0.074415054
IM0211,0,0.002695314
IM0212,0,0.005957484
IM0301,0,0
IM0302,0,0
IM0303,0,0
IM0304,0,0.001912449
IM0401,0,0
IM0402,0,0
IM0403,0,0
IM0501,0,0
IM0502,0,0
IM0701,0,0
IM0901,0,0.486617756
IM1001,0,0.0115189
IM1301,0,0.006164265
IM1302,0,0
IM1303,0,1.493315514
IM1304,0,0.538613696
IM1401,0,0.001502628
IM1402,0,0.02604296
IM1403,0,0.014091156
IM1404,0,0.092578894
IM1405,0,0.355577495
IM1406,0,0.202950587
Lake,5.45E-05,0.031829086
NA0201,0,5.35E-08
NA0302,0,0.000282799
NA0303,0,0.00041562
NA0401,0,0.002782331
NA0402,0,0.000141132
NA0403,0,0
NA0404,0,2.41E-05
NA0405,0,0.000310193
NA0406,0,0.045556428
NA0407,0,0.013859118
NA0408,0,0.05041866
NA0409,0,0.007295374
NA0410,0,0.126001372
NA0411,0,0.01499286
NA0412,0,0
NA0413,0,0.000181577
NA0414,0,0.000796979
NA0415,0,0.000848678
NA0416,0,0.028320325
NA0417,0,0
NA0501,0,0.043104523
NA0502,0,0.050131298
NA0503,0,0.000313392
NA0504,0,2.18E-05
NA0505,0,0.001800576
NA0506,0,0.499234178
NA0507,0,0.042442702
NA0508,0,0.000150521
NA0509,0,0.105517338
NA0510,0,0.072461833
NA0511,0,0.001708815
NA0512,0,0.005029437
NA0513,0,0.021674448
NA0514,0,0.13691297
NA0515,0,3.34E-05
NA0516,0,0.000805473
NA0517,0,0.000789853
NA0518,0,0.220057098
NA0519,0,0.000446795
NA0520,0,0.542063502
NA0521,0,0.095620863
NA0522,0,0.021412375
NA0523,0,0.000201925
NA0524,0,0.012236068
NA0525,0,0.087392585
NA0526,0,8.46E-05
NA0527,0,0.002761547
NA0528,0,0.004178104
NA0529,0,0.371012216
NA0530,0,0.001426763
NA0601,0,0.084061565
NA0602,0,0.169022443
NA0603,0,0.131388296
NA0604,0,0.043831299
NA0605,0,0.292457405
NA0606,0,0.001603373
NA0607,0,0.236443122
NA0608,0,0.084610385
NA0609,0,0.003666209
NA0610,0,0.017659175
NA0611,0,0.03822822
NA0612,0,0.000263124
NA0613,0,0.293761469
NA0614,0,0.000828827
NA0615,0,0.012628324
NA0616,0,0.531227032
NA0617,0,0.018047786
NA0701,0,0.046270295
NA0801,0,0.001012027
NA0802,0,0.335836243
NA0803,0,0.000501254
NA0804,0,0.00022698
NA0805,0,0.000129704
NA0806,0,1.24E-06
NA0807,0,5.90E-06
NA0808,0,0.000714365
NA0809,0,0
NA0810,0,0.052552916
NA0811,0,0.009553615
NA0812,0,0.152709056
NA0813,0,0.004069149
NA0814,0,0.000114519
NA0815,0,0.002044309
NA1101,0,0.231629153
NA1102,0,0
NA1103,0,0.000196464
NA1104,0,4.91E-05
NA1105,0,0
NA1106,0,0.124574275
NA1107,0,0.03537755
NA1108,0,0.000944893
NA1109,0,0
NA1110,0,0
NA1111,0,0.034482105
NA1112,0,0
NA1113,0,0.003999958
NA1114,0,0
NA1115,0,0.002140212
NA1116,0,0.000554444
NA1117,0,0.610647172
NA1118,0,0
NA1201,0,0.000205049
NA1202,0,0.001001555
NA1203,0,0.000251385
NA1301,0,0.001275101
NA1302,0,0.000396129
NA1303,0,0.005913474
NA1304,0,0.001728834
NA1305,0,0.008250888
NA1306,0,3.44E-05
NA1307,0,0.000147134
NA1308,0,0.002908064
NA1309,0,0.003885335
NA1310,0,0.000564346
NA1311,0,0
NA1312,0,0.037964378
NA1313,0,0.007264075
NT0101,0,0.254869303
NT0102,0,0.011449581
NT0103,0,0.078597514
NT0104,0,0.06157962
NT0105,0,0.104968111
NT0106,0,0.001617127
NT0107,0,0.570641767
NT0108,0,0.044393208
NT0109,0,0.02968403
NT0111,0,0.014598844
NT0112,0,0.001958073
NT0113,0,9.72E-05
NT0114,0,3.63E-05
NT0115,0,0.218527749
NT0117,0,0.050292352
NT0118,0,0.196576034
NT0119,0,1.66E-06
NT0120,0,0.054723111
NT0121,0,0.08691751
