"Group","Scenario","Year","Category","PDFx100"
"RCP2.6","noAFM","2080","Permanent_crops",1.17600004436044
"RCP2.6","noAFM","2080","Urban",0.535327677526153
"REF","noAFM","2080","Afforestation",0
"REF","noAFM","2080","Regrowth",0
"REF","noAFM","2080","Forest",1.6048073245639
"REF","noAFM","2080","Energy_crops_and_plantations",0.171207759356433
"REF","noAFM","2080","Annual_crops",2.23096653959688
"REF","noAFM","2080","Pasture",6.05407073454584
"REF","noAFM","2080","Permanent_crops",1.17599718222375
"REF","noAFM","2080","Urban",0.535327677526153
"RCP2.6","noAFM","2090","Afforestation",0
"RCP2.6","noAFM","2090","Regrowth",0
"RCP2.6","noAFM","2090","Forest",2.46551482068817
"RCP2.6","noAFM","2090","Energy_crops_and_plantations",2.02218803635211
"RCP2.6","noAFM","2090","Annual_crops",1.30914929552009
"RCP2.6","noAFM","2090","Pasture",3.18267284605566
"RCP2.6","noAFM","2090","Permanent_crops",1.17600010129905
"RCP2.6","noAFM","2090","Urban",0.535327677526153
"REF","noAFM","2090","Afforestation",0
"REF","noAFM","2090","Regrowth",0
"REF","noAFM","2090","Forest",1.66786170894247
"REF","noAFM","2090","Energy_crops_and_plantations",0.184204483368425
"REF","noAFM","2090","Annual_crops",2.22482906279964
"REF","noAFM","2090","Pasture",6.02364538256473
"REF","noAFM","2090","Permanent_crops",1.17599920737509
"REF","noAFM","2090","Urban",0.535327677526153
"RCP2.6","noAFM","2100","Afforestation",0
"RCP2.6","noAFM","2100","Regrowth",0
"RCP2.6","noAFM","2100","Forest",2.83425016333244
"RCP2.6","noAFM","2100","Energy_crops_and_plantations",2.21970088825896
"RCP2.6","noAFM","2100","Annual_crops",1.14316646239958
"RCP2.6","noAFM","2100","Pasture",2.68989483754239
"RCP2.6","noAFM","2100","Permanent_crops",1.17598695923389
"RCP2.6","noAFM","2100","Urban",0.535327677526153
"REF","noAFM","2100","Afforestation",0
"REF","noAFM","2100","Regrowth",0
"REF","noAFM","2100","Forest",1.7283168491382
"REF","noAFM","2100","Energy_crops_and_plantations",0.19538784050757
"REF","noAFM","2100","Annual_crops",2.22498411107662
"REF","noAFM","2100","Pasture",5.97306712694595
"REF","noAFM","2100","Permanent_crops",1.17599068191466
"REF","noAFM","2100","Urban",0.535327677526153
