Ecoregion,Annual_EU,Permanent_EU,Pasture_EU,Urban_EU,Annual_RoW,Permanent_RoW,Pasture_RoW,Urban_RoW,For_ClearCut_EU,For_ClearCut_im,For_ClearCut_ex,For_Retention_EU,For_PlantationFuel_im,For_TimberPlant_EU,For_TimberPlant_ex,For_TimberPlant_im,For_SelectionSystem_EU,For_SelectionSystem_im,For_SelectionSystem_ex,For_Selective_im,EP_EU,EP_conv_EU,EP_RoW,EP_conv_im,Afforested_EU,Afforested_RoW,Regrowth,ForOther_Extensive_EU,ForOther_Extensive_RoW,ForOther_Intensive_EU,ForOther_Intensive_RoW
AA0124,5.52E-13,2.83E-13,2.39E-13,7.38E-13,5.52E-13,2.83E-13,2.39E-13,7.38E-13,3.36E-13,3.36E-13,3.36E-13,1.92E-13,3.36E-13,3.36E-13,3.36E-13,3.36E-13,1.92E-13,1.92E-13,1.92E-13,1.92E-13,2.83E-13,2.83E-13,3.36E-13,3.36E-13,0.00E+00,0.00E+00,0.00E+00,1.92E-13,1.92E-13,3.36E-13,3.36E-13
AA0125,5.01E-13,1.88E-13,2.59E-13,8.96E-13,5.01E-13,1.88E-13,2.59E-13,8.96E-13,2.41E-13,2.41E-13,2.41E-13,1.92E-13,2.41E-13,2.41E-13,2.41E-13,2.41E-13,1.92E-13,1.92E-13,1.92E-13,1.92E-13,1.88E-13,1.88E-13,2.41E-13,2.41E-13,0.00E+00,0.00E+00,0.00E+00,1.92E-13,1.92E-13,2.41E-13,2.41E-13
AA0126,1.07E-12,8.55E-13,6.89E-13,1.33E-12,1.07E-12,8.55E-13,6.89E-13,1.33E-12,7.94E-13,7.94E-13,7.94E-13,2.67E-13,7.94E-13,7.94E-13,7.94E-13,7.94E-13,2.67E-13,2.67E-13,2.67E-13,2.67E-13,8.55E-13,8.55E-13,7.94E-13,7.94E-13,0.00E+00,0.00E+00,0.00E+00,2.67E-13,2.67E-13,7.94E-13,7.94E-13
AA0127,7.35E-13,4.82E-13,4.61E-13,1.01E-12,7.35E-13,4.82E-13,4.61E-13,1.01E-12,5.03E-13,5.03E-13,5.03E-13,2.29E-13,5.03E-13,5.03E-13,5.03E-13,5.03E-13,2.29E-13,2.29E-13,2.29E-13,2.29E-13,4.82E-13,4.82E-13,5.03E-13,5.03E-13,0.00E+00,0.00E+00,0.00E+00,2.29E-13,2.29E-13,5.03E-13,5.03E-13
AA0128,5.33E-13,3.89E-13,3.09E-13,6.79E-13,5.33E-13,3.89E-13,3.09E-13,6.79E-13,3.87E-13,3.87E-13,3.87E-13,1.70E-13,3.87E-13,3.87E-13,3.87E-13,3.87E-13,1.70E-13,1.70E-13,1.70E-13,1.70E-13,3.89E-13,3.89E-13,3.87E-13,3.87E-13,0.00E+00,0.00E+00,0.00E+00,1.70E-13,1.70E-13,3.87E-13,3.87E-13
AA0201,3.52E-13,2.91E-13,1.36E-13,4.95E-13,3.52E-13,2.91E-13,1.36E-13,4.95E-13,1.37E-13,1.37E-13,1.37E-13,7.04E-14,1.37E-13,1.37E-13,1.37E-13,1.37E-13,7.04E-14,7.04E-14,7.04E-14,7.04E-14,2.91E-13,2.91E-13,1.37E-13,1.37E-13,0.00E+00,0.00E+00,0.00E+00,7.04E-14,7.04E-14,1.37E-13,1.37E-13
AA0202,3.09E-12,2.43E-12,1.81E-12,3.60E-12,3.09E-12,2.43E-12,1.81E-12,3.60E-12,8.79E-13,8.79E-13,8.79E-13,4.79E-13,8.79E-13,8.79E-13,8.79E-13,8.79E-13,4.79E-13,4.79E-13,4.79E-13,4.79E-13,2.43E-12,2.43E-12,8.79E-13,8.79E-13,0.00E+00,0.00E+00,0.00E+00,4.79E-13,4.79E-13,8.79E-13,8.79E-13
AA0203,4.00E-13,3.83E-13,1.81E-13,NA,4.00E-13,3.83E-13,1.81E-13,NA,1.81E-13,1.81E-13,1.81E-13,5.47E-14,1.81E-13,1.81E-13,1.81E-13,1.81E-13,5.47E-14,5.47E-14,5.47E-14,5.47E-14,3.83E-13,3.83E-13,1.81E-13,1.81E-13,0.00E+00,0.00E+00,0.00E+00,5.47E-14,5.47E-14,1.81E-13,1.81E-13
AA0204,3.86E-13,3.26E-13,1.76E-13,5.75E-13,3.86E-13,3.26E-13,1.76E-13,5.75E-13,1.55E-13,1.55E-13,1.55E-13,6.60E-14,1.55E-13,1.55E-13,1.55E-13,1.55E-13,6.60E-14,6.60E-14,6.60E-14,6.60E-14,3.26E-13,3.26E-13,1.55E-13,1.55E-13,0.00E+00,0.00E+00,0.00E+00,6.60E-14,6.60E-14,1.55E-13,1.55E-13
AA0401,NA,NA,6.81E-13,NA,NA,NA,6.81E-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00E+00,0.00E+00,0.00E+00,NA,NA,NA,NA
AA0402,1.10E-13,8.06E-14,7.26E-14,1.76E-13,1.10E-13,8.06E-14,7.26E-14,1.76E-13,3.16E-14,3.16E-14,3.16E-14,1.36E-14,3.16E-14,3.16E-14,3.16E-14,3.16E-14,1.36E-14,1.36E-14,1.36E-14,1.36E-14,8.06E-14,8.06E-14,3.16E-14,3.16E-14,0.00E+00,0.00E+00,0.00E+00,1.36E-14,1.36E-14,3.16E-14,3.16E-14
AA0403,9.83E-14,9.93E-14,1.15E-13,NA,9.83E-14,9.93E-14,1.15E-13,NA,3.56E-14,3.56E-14,3.56E-14,6.52E-15,3.56E-14,3.56E-14,3.56E-14,3.56E-14,6.52E-15,6.52E-15,6.52E-15,6.52E-15,9.93E-14,9.93E-14,3.56E-14,3.56E-14,0.00E+00,0.00E+00,0.00E+00,6.52E-15,6.52E-15,3.56E-14,3.56E-14
AA0404,6.83E-14,6.54E-14,7.26E-14,1.31E-13,6.83E-14,6.54E-14,7.26E-14,1.31E-13,2.30E-14,2.30E-14,2.30E-14,4.90E-15,2.30E-14,2.30E-14,2.30E-14,2.30E-14,4.90E-15,4.90E-15,4.90E-15,4.90E-15,6.54E-14,6.54E-14,2.30E-14,2.30E-14,0.00E+00,0.00E+00,0.00E+00,4.90E-15,4.90E-15,2.30E-14,2.30E-14
AA0405,1.30E-13,7.80E-14,6.99E-14,1.38E-13,1.30E-13,7.80E-14,6.99E-14,1.38E-13,1.50E-14,1.50E-14,1.50E-14,3.34E-15,1.50E-14,1.50E-14,1.50E-14,1.50E-14,3.34E-15,3.34E-15,3.34E-15,3.34E-15,7.80E-14,7.80E-14,1.50E-14,1.50E-14,0.00E+00,0.00E+00,0.00E+00,3.34E-15,3.34E-15,1.50E-14,1.50E-14
AA0406,1.64E-13,1.14E-13,8.76E-14,1.94E-13,1.64E-13,1.14E-13,8.76E-14,1.94E-13,3.20E-14,3.20E-14,3.20E-14,6.94E-15,3.20E-14,3.20E-14,3.20E-14,3.20E-14,6.94E-15,6.94E-15,6.94E-15,6.94E-15,1.14E-13,1.14E-13,3.20E-14,3.20E-14,0.00E+00,0.00E+00,0.00E+00,6.94E-15,6.94E-15,3.20E-14,3.20E-14
AA0407,2.98E-13,3.28E-13,2.65E-13,NA,2.98E-13,3.28E-13,2.65E-13,NA,1.54E-13,1.54E-13,1.54E-13,4.62E-14,1.54E-13,1.54E-13,1.54E-13,1.54E-13,4.62E-14,4.62E-14,4.62E-14,4.62E-14,3.28E-13,3.28E-13,1.54E-13,1.54E-13,0.00E+00,0.00E+00,0.00E+00,4.62E-14,4.62E-14,1.54E-13,1.54E-13
AA0408,1.19E-13,9.18E-14,8.56E-14,1.60E-13,1.19E-13,9.18E-14,8.56E-14,1.60E-13,2.61E-14,2.61E-14,2.61E-14,7.26E-15,2.61E-14,2.61E-14,2.61E-14,2.61E-14,7.26E-15,7.26E-15,7.26E-15,7.26E-15,9.18E-14,9.18E-14,2.61E-14,2.61E-14,0.00E+00,0.00E+00,0.00E+00,7.26E-15,7.26E-15,2.61E-14,2.61E-14
AA0409,1.64E-13,9.56E-14,5.55E-14,1.57E-13,1.64E-13,9.56E-14,5.55E-14,1.57E-13,2.57E-14,2.57E-14,2.57E-14,1.30E-14,2.57E-14,2.57E-14,2.57E-14,2.57E-14,1.30E-14,1.30E-14,1.30E-14,1.30E-14,9.56E-14,9.56E-14,2.57E-14,2.57E-14,0.00E+00,0.00E+00,0.00E+00,1.30E-14,1.30E-14,2.57E-14,2.57E-14
AA0410,1.66E-13,9.55E-14,6.39E-14,1.47E-13,1.66E-13,9.55E-14,6.39E-14,1.47E-13,1.40E-14,1.40E-14,1.40E-14,2.86E-15,1.40E-14,1.40E-14,1.40E-14,1.40E-14,2.86E-15,2.86E-15,2.86E-15,2.86E-15,9.55E-14,9.55E-14,1.40E-14,1.40E-14,0.00E+00,0.00E+00,0.00E+00,2.86E-15,2.86E-15,1.40E-14,1.40E-14
