Ecoregion,Annual_EU,Permanent_EU,Pasture_EU,Urban_EU,Annual_RoW,Permanent_RoW,Pasture_RoW,Urban_RoW,For_ClearCut_EU,For_ClearCut_im,For_ClearCut_ex,For_Retention_EU,For_PlantationFuel_im,For_TimberPlant_EU,For_TimberPlant_ex,For_TimberPlant_im,For_SelectionSystem_EU,For_SelectionSystem_im,For_SelectionSystem_ex,For_Selective_im,EP_EU,EP_conv_EU,EP_RoW,EP_conv_im,Afforested_EU,Afforested_RoW,Regrowth,ForOther_Extensive_EU,ForOther_Extensive_RoW,ForOther_Intensive_EU,ForOther_Intensive_RoW
AT1316,1.23E-13,9.29E-14,1.06E-13,1.51E-13,1.23E-13,9.29E-14,1.06E-13,1.51E-13,3.18E-14,3.18E-14,3.18E-14,1.88E-15,3.18E-14,3.18E-14,3.18E-14,3.18E-14,1.88E-15,1.88E-15,1.88E-15,1.88E-15,9.29E-14,9.29E-14,3.18E-14,3.18E-14,0.00E+00,0.00E+00,0.00E+00,1.88E-15,1.88E-15,3.18E-14,3.18E-14
AT1318,1.73E-12,1.52E-12,9.52E-13,NA,1.73E-12,1.52E-12,9.52E-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.52E-12,1.52E-12,NA,NA,0.00E+00,0.00E+00,0.00E+00,NA,NA,NA,NA
AT1319,4.94E-14,4.36E-14,4.86E-14,NA,4.94E-14,4.36E-14,4.86E-14,NA,1.97E-14,1.97E-14,1.97E-14,2.86E-15,1.97E-14,1.97E-14,1.97E-14,1.97E-14,2.86E-15,2.86E-15,2.86E-15,2.86E-15,4.36E-14,4.36E-14,1.97E-14,1.97E-14,0.00E+00,0.00E+00,0.00E+00,2.86E-15,2.86E-15,1.97E-14,1.97E-14
AT1320,4.56E-14,3.69E-14,3.90E-14,6.09E-14,4.56E-14,3.69E-14,3.90E-14,6.09E-14,NA,NA,NA,2.62E-15,NA,NA,NA,NA,2.62E-15,2.62E-15,2.62E-15,2.62E-15,3.69E-14,3.69E-14,NA,NA,0.00E+00,0.00E+00,0.00E+00,2.62E-15,2.62E-15,NA,NA
AT1321,4.94E-14,4.16E-14,4.21E-14,7.32E-14,4.94E-14,4.16E-14,4.21E-14,7.32E-14,NA,NA,NA,2.66E-15,NA,NA,NA,NA,2.66E-15,2.66E-15,2.66E-15,2.66E-15,4.16E-14,4.16E-14,NA,NA,0.00E+00,0.00E+00,0.00E+00,2.66E-15,2.66E-15,NA,NA
AT1322,2.82E-13,2.00E-13,2.39E-13,3.36E-13,2.82E-13,2.00E-13,2.39E-13,3.36E-13,6.75E-14,6.75E-14,6.75E-14,3.37E-15,6.75E-14,6.75E-14,6.75E-14,6.75E-14,3.37E-15,3.37E-15,3.37E-15,3.37E-15,2.00E-13,2.00E-13,6.75E-14,6.75E-14,0.00E+00,0.00E+00,0.00E+00,3.37E-15,3.37E-15,6.75E-14,6.75E-14
AT1401,1.04E-13,7.60E-14,5.60E-14,1.43E-13,1.04E-13,7.60E-14,5.60E-14,1.43E-13,3.84E-14,3.84E-14,3.84E-14,2.31E-14,3.84E-14,3.84E-14,3.84E-14,3.84E-14,2.31E-14,2.31E-14,2.31E-14,2.31E-14,7.60E-14,7.60E-14,3.84E-14,3.84E-14,0.00E+00,0.00E+00,0.00E+00,2.31E-14,2.31E-14,3.84E-14,3.84E-14
AT1402,1.13E-13,8.73E-14,8.06E-14,1.87E-13,1.13E-13,8.73E-14,8.06E-14,1.87E-13,4.58E-14,4.58E-14,4.58E-14,2.55E-14,4.58E-14,4.58E-14,4.58E-14,4.58E-14,2.55E-14,2.55E-14,2.55E-14,2.55E-14,8.73E-14,8.73E-14,4.58E-14,4.58E-14,0.00E+00,0.00E+00,0.00E+00,2.55E-14,2.55E-14,4.58E-14,4.58E-14
AT1403,8.63E-14,6.86E-14,5.25E-14,1.07E-13,8.63E-14,6.86E-14,5.25E-14,1.07E-13,3.22E-14,3.22E-14,3.22E-14,1.34E-14,3.22E-14,3.22E-14,3.22E-14,3.22E-14,1.34E-14,1.34E-14,1.34E-14,1.34E-14,6.86E-14,6.86E-14,3.22E-14,3.22E-14,0.00E+00,0.00E+00,0.00E+00,1.34E-14,1.34E-14,3.22E-14,3.22E-14
AT1404,5.81E-13,4.04E-13,4.58E-13,7.99E-13,5.81E-13,4.04E-13,4.58E-13,7.99E-13,1.71E-13,1.71E-13,1.71E-13,6.42E-14,1.71E-13,1.71E-13,1.71E-13,1.71E-13,6.42E-14,6.42E-14,6.42E-14,6.42E-14,4.04E-13,4.04E-13,1.71E-13,1.71E-13,0.00E+00,0.00E+00,0.00E+00,6.42E-14,6.42E-14,1.71E-13,1.71E-13
AT1405,4.07E-13,3.22E-13,2.07E-13,4.63E-13,4.07E-13,3.22E-13,2.07E-13,4.63E-13,1.80E-13,1.80E-13,1.80E-13,7.17E-14,1.80E-13,1.80E-13,1.80E-13,1.80E-13,7.17E-14,7.17E-14,7.17E-14,7.17E-14,3.22E-13,3.22E-13,1.80E-13,1.80E-13,0.00E+00,0.00E+00,0.00E+00,7.17E-14,7.17E-14,1.80E-13,1.80E-13
IM0101,1.12E-12,6.30E-13,5.08E-13,1.44E-12,1.12E-12,6.30E-13,5.08E-13,1.44E-12,7.28E-13,7.28E-13,7.28E-13,3.32E-13,7.28E-13,7.28E-13,7.28E-13,7.28E-13,3.32E-13,3.32E-13,3.32E-13,3.32E-13,6.30E-13,6.30E-13,7.28E-13,7.28E-13,0.00E+00,0.00E+00,0.00E+00,3.32E-13,3.32E-13,7.28E-13,7.28E-13
IM0102,3.66E-13,2.68E-13,2.34E-13,4.12E-13,3.66E-13,2.68E-13,2.34E-13,4.12E-13,2.51E-13,2.51E-13,2.51E-13,9.91E-14,2.51E-13,2.51E-13,2.51E-13,2.51E-13,9.91E-14,9.91E-14,9.91E-14,9.91E-14,2.68E-13,2.68E-13,2.51E-13,2.51E-13,0.00E+00,0.00E+00,0.00E+00,9.91E-14,9.91E-14,2.51E-13,2.51E-13
IM0103,4.01E-13,2.81E-13,2.33E-13,5.02E-13,4.01E-13,2.81E-13,2.33E-13,5.02E-13,2.88E-13,2.88E-13,2.88E-13,1.30E-13,2.88E-13,2.88E-13,2.88E-13,2.88E-13,1.30E-13,1.30E-13,1.30E-13,1.30E-13,2.81E-13,2.81E-13,2.88E-13,2.88E-13,0.00E+00,0.00E+00,0.00E+00,1.30E-13,1.30E-13,2.88E-13,2.88E-13
IM0104,3.32E-13,2.43E-13,2.24E-13,3.74E-13,3.32E-13,2.43E-13,2.24E-13,3.74E-13,2.34E-13,2.34E-13,2.34E-13,8.99E-14,2.34E-13,2.34E-13,2.34E-13,2.34E-13,8.99E-14,8.99E-14,8.99E-14,8.99E-14,2.43E-13,2.43E-13,2.34E-13,2.34E-13,0.00E+00,0.00E+00,0.00E+00,8.99E-14,8.99E-14,2.34E-13,2.34E-13
IM0105,3.77E-13,2.66E-13,2.08E-13,3.99E-13,3.77E-13,2.66E-13,2.08E-13,3.99E-13,2.52E-13,2.52E-13,2.52E-13,7.35E-14,2.52E-13,2.52E-13,2.52E-13,2.52E-13,7.35E-14,7.35E-14,7.35E-14,7.35E-14,2.66E-13,2.66E-13,2.52E-13,2.52E-13,0.00E+00,0.00E+00,0.00E+00,7.35E-14,7.35E-14,2.52E-13,2.52E-13
IM0106,2.12E-13,1.52E-13,1.24E-13,2.35E-13,2.12E-13,1.52E-13,1.24E-13,2.35E-13,1.36E-13,1.36E-13,1.36E-13,4.74E-14,1.36E-13,1.36E-13,1.36E-13,1.36E-13,4.74E-14,4.74E-14,4.74E-14,4.74E-14,1.52E-13,1.52E-13,1.36E-13,1.36E-13,0.00E+00,0.00E+00,0.00E+00,4.74E-14,4.74E-14,1.36E-13,1.36E-13
IM0107,2.42E-13,1.79E-13,1.43E-13,2.51E-13,2.42E-13,1.79E-13,1.43E-13,2.51E-13,1.52E-13,1.52E-13,1.52E-13,4.88E-14,1.52E-13,1.52E-13,1.52E-13,1.52E-13,4.88E-14,4.88E-14,4.88E-14,4.88E-14,1.79E-13,1.79E-13,1.52E-13,1.52E-13,0.00E+00,0.00E+00,0.00E+00,4.88E-14,4.88E-14,1.52E-13,1.52E-13
IM0108,2.45E-13,1.78E-13,1.47E-13,2.62E-13,2.45E-13,1.78E-13,1.47E-13,2.62E-13,1.55E-13,1.55E-13,1.55E-13,4.95E-14,1.55E-13,1.55E-13,1.55E-13,1.55E-13,4.95E-14,4.95E-14,4.95E-14,4.95E-14,1.78E-13,1.78E-13,1.55E-13,1.55E-13,0.00E+00,0.00E+00,0.00E+00,4.95E-14,4.95E-14,1.55E-13,1.55E-13
IM0109,1.67E-13,1.08E-13,1.14E-13,2.01E-13,1.67E-13,1.08E-13,1.14E-13,2.01E-13,1.14E-13,1.14E-13,1.14E-13,4.42E-14,1.14E-13,1.14E-13,1.14E-13,1.14E-13,4.42E-14,4.42E-14,4.42E-14,4.42E-14,1.08E-13,1.08E-13,1.14E-13,1.14E-13,0.00E+00,0.00E+00,0.00E+00,4.42E-14,4.42E-14,1.14E-13,1.14E-13
IM0110,NA,NA,2.79E-13,NA,NA,NA,2.79E-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00E+00,0.00E+00,0.00E+00,NA,NA,NA,NA
IM0111,7.21E-14,5.35E-14,4.32E-14,7.95E-14,7.21E-14,5.35E-14,4.32E-14,7.95E-14,5.10E-14,5.10E-14,5.10E-14,1.57E-14,5.10E-14,5.10E-14,5.10E-14,5.10E-14,1.57E-14,1.57E-14,1.57E-14,1.57E-14,5.35E-14,5.35E-14,5.10E-14,5.10E-14,0.00E+00,0.00E+00,0.00E+00,1.57E-14,1.57E-14,5.10E-14,5.10E-14
IM0112,5.03E-13,4.08E-13,3.01E-13,5.79E-13,5.03E-13,4.08E-13,3.01E-13,5.79E-13,3.44E-13,3.44E-13,3.44E-13,1.05E-13,3.44E-13,3.44E-13,3.44E-13,3.44E-13,1.05E-13,1.05E-13,1.05E-13,1.05E-13,4.08E-13,4.08E-13,3.44E-13,3.44E-13,0.00E+00,0.00E+00,0.00E+00,1.05E-13,1.05E-13,3.44E-13,3.44E-13
IM0113,4.80E-13,3.84E-13,3.04E-13,5.08E-13,4.80E-13,3.84E-13,3.04E-13,5.08E-13,3.29E-13,3.29E-13,3.29E-13,9.73E-14,3.29E-13,3.29E-13,3.29E-13,3.29E-13,9.73E-14,9.73E-14,9.73E-14,9.73E-14,3.84E-13,3.84E-13,3.29E-13,3.29E-13,0.00E+00,0.00E+00,0.00E+00,9.73E-14,9.73E-14,3.29E-13,3.29E-13
IM0114,1.42E-12,1.20E-12,NA,1.57E-12,1.42E-12,1.20E-12,NA,1.57E-12,8.95E-13,8.95E-13,8.95E-13,2.50E-13,8.95E-13,8.95E-13,8.95E-13,8.95E-13,2.50E-13,2.50E-13,2.50E-13,2.50E-13,1.20E-12,1.20E-12,8.95E-13,8.95E-13,0.00E+00,0.00E+00,0.00E+00,2.50E-13,2.50E-13,8.95E-13,8.95E-13
IM0115,2.83E-13,1.93E-13,1.65E-13,3.18E-13,2.83E-13,1.93E-13,1.65E-13,3.18E-13,1.88E-13,1.88E-13,1.88E-13,6.99E-14,1.88E-13,1.88E-13,1.88E-13,1.88E-13,6.99E-14,6.99E-14,6.99E-14,6.99E-14,1.93E-13,1.93E-13,1.88E-13,1.88E-13,0.00E+00,0.00E+00,0.00E+00,6.99E-14,6.99E-14,1.88E-13,1.88E-13
IM0116,2.20E-13,1.62E-13,1.32E-13,2.22E-13,2.20E-13,1.62E-13,1.32E-13,2.22E-13,1.41E-13,1.41E-13,1.41E-13,4.24E-14,1.41E-13,1.41E-13,1.41E-13,1.41E-13,4.24E-14,4.24E-14,4.24E-14,4.24E-14,1.62E-13,1.62E-13,1.41E-13,1.41E-13,0.00E+00,0.00E+00,0.00E+00,4.24E-14,4.24E-14,1.41E-13,1.41E-13
IM0117,1.71E-13,1.23E-13,1.08E-13,1.86E-13,1.71E-13,1.23E-13,1.08E-13,1.86E-13,1.15E-13,1.15E-13,1.15E-13,4.01E-14,1.15E-13,1.15E-13,1.15E-13,1.15E-13,4.01E-14,4.01E-14,4.01E-14,4.01E-14,1.23E-13,1.23E-13,1.15E-13,1.15E-13,0.00E+00,0.00E+00,0.00E+00,4.01E-14,4.01E-14,1.15E-13,1.15E-13
IM0118,6.87E-14,5.27E-14,4.48E-14,8.13E-14,6.87E-14,5.27E-14,4.48E-14,8.13E-14,4.98E-14,4.98E-14,4.98E-14,1.48E-14,4.98E-14,4.98E-14,4.98E-14,4.98E-14,1.48E-14,1.48E-14,1.48E-14,1.48E-14,5.27E-14,5.27E-14,4.98E-14,4.98E-14,0.00E+00,0.00E+00,0.00E+00,1.48E-14,1.48E-14,4.98E-14,4.98E-14
IM0119,1.77E-13,1.25E-13,1.14E-13,2.14E-13,1.77E-13,1.25E-13,1.14E-13,2.14E-13,1.25E-13,1.25E-13,1.25E-13,4.47E-14,1.25E-13,1.25E-13,1.25E-13,1.25E-13,4.47E-14,4.47E-14,4.47E-14,4.47E-14,1.25E-13,1.25E-13,1.25E-13,1.25E-13,0.00E+00,0.00E+00,0.00E+00,4.47E-14,4.47E-14,1.25E-13,1.25E-13
IM0120,8.39E-14,5.98E-14,4.92E-14,8.62E-14,8.39E-14,5.98E-14,4.92E-14,8.62E-14,5.73E-14,5.73E-14,5.73E-14,1.63E-14,5.73E-14,5.73E-14,5.73E-14,5.73E-14,1.63E-14,1.63E-14,1.63E-14,1.63E-14,5.98E-14,5.98E-14,5.73E-14,5.73E-14,0.00E+00,0.00E+00,0.00E+00,1.63E-14,1.63E-14,5.73E-14,5.73E-14
IM0121,1.77E-13,1.16E-13,1.12E-13,2.09E-13,1.77E-13,1.16E-13,1.12E-13,2.09E-13,1.17E-13,1.17E-13,1.17E-13,4.71E-14,1.17E-13,1.17E-13,1.17E-13,1.17E-13,4.71E-14,4.71E-14,4.71E-14,4.71E-14,1.16E-13,1.16E-13,1.17E-13,1.17E-13,0.00E+00,0.00E+00,0.00E+00,4.71E-14,4.71E-14,1.17E-13,1.17E-13
IM0122,8.58E-13,6.35E-13,4.85E-13,1.03E-12,8.58E-13,6.35E-13,4.85E-13,1.03E-12,5.64E-13,5.64E-13,5.64E-13,2.28E-13,5.64E-13,5.64E-13,5.64E-13,5.64E-13,2.28E-13,2.28E-13,2.28E-13,2.28E-13,6.35E-13,6.35E-13,5.64E-13,5.64E-13,0.00E+00,0.00E+00,0.00E+00,2.28E-13,2.28E-13,5.64E-13,5.64E-13
IM0123,9.34E-13,7.69E-13,5.41E-13,1.03E-12,9.34E-13,7.69E-13,5.41E-13,1.03E-12,6.28E-13,6.28E-13,6.28E-13,1.93E-13,6.28E-13,6.28E-13,6.28E-13,6.28E-13,1.93E-13,1.93E-13,1.93E-13,1.93E-13,7.69E-13,7.69E-13,6.28E-13,6.28E-13,0.00E+00,0.00E+00,0.00E+00,1.93E-13,1.93E-13,6.28E-13,6.28E-13
IM0124,3.34E-13,2.46E-13,1.60E-13,3.72E-13,3.34E-13,2.46E-13,1.60E-13,3.72E-13,1.88E-13,1.88E-13,1.88E-13,6.43E-14,1.88E-13,1.88E-13,1.88E-13,1.88E-13,6.43E-14,6.43E-14,6.43E-14,6.43E-14,2.46E-13,2.46E-13,1.88E-13,1.88E-13,0.00E+00,0.00E+00,0.00E+00,6.43E-14,6.43E-14,1.88E-13,1.88E-13
IM0125,3.44E-13,2.53E-13,2.57E-13,3.39E-13,3.44E-13,2.53E-13,2.57E-13,3.39E-13,2.61E-13,2.61E-13,2.61E-13,8.26E-14,2.61E-13,2.61E-13,2.61E-13,2.61E-13,8.26E-14,8.26E-14,8.26E-14,8.26E-14,2.53E-13,2.53E-13,2.61E-13,2.61E-13,0.00E+00,0.00E+00,0.00E+00,8.26E-14,8.26E-14,2.61E-13,2.61E-13
IM0126,2.75E-13,2.05E-13,1.74E-13,3.39E-13,2.75E-13,2.05E-13,1.74E-13,3.39E-13,1.87E-13,1.87E-13,1.87E-13,6.14E-14,1.87E-13,1.87E-13,1.87E-13,1.87E-13,6.14E-14,6.14E-14,6.14E-14,6.14E-14,2.05E-13,2.05E-13,1.87E-13,1.87E-13,0.00E+00,0.00E+00,0.00E+00,6.14E-14,6.14E-14,1.87E-13,1.87E-13
IM0127,1.42E-12,3.98E-13,NA,NA,1.42E-12,3.98E-13,NA,NA,7.36E-13,7.36E-13,7.36E-13,6.34E-13,7.36E-13,7.36E-13,7.36E-13,7.36E-13,6.34E-13,6.34E-13,6.34E-13,6.34E-13,3.98E-13,3.98E-13,7.36E-13,7.36E-13,0.00E+00,0.00E+00,0.00E+00,6.34E-13,6.34E-13,7.36E-13,7.36E-13
IM0128,1.20E-12,1.01E-12,6.23E-13,1.43E-12,1.20E-12,1.01E-12,6.23E-13,1.43E-12,7.90E-13,7.90E-13,7.90E-13,2.51E-13,7.90E-13,7.90E-13,7.90E-13,7.90E-13,2.51E-13,2.51E-13,2.51E-13,2.51E-13,1.01E-12,1.01E-12,7.90E-13,7.90E-13,0.00E+00,0.00E+00,0.00E+00,2.51E-13,2.51E-13,7.90E-13,7.90E-13
IM0129,8.46E-13,6.91E-13,5.12E-13,9.38E-13,8.46E-13,6.91E-13,5.12E-13,9.38E-13,5.84E-13,5.84E-13,5.84E-13,1.82E-13,5.84E-13,5.84E-13,5.84E-13,5.84E-13,1.82E-13,1.82E-13,1.82E-13,1.82E-13,6.91E-13,6.91E-13,5.84E-13,5.84E-13,0.00E+00,0.00E+00,0.00E+00,1.82E-13,1.82E-13,5.84E-13,5.84E-13
IM0130,1.61E-12,1.28E-12,NA,1.88E-12,1.61E-12,1.28E-12,NA,1.88E-12,9.74E-13,9.74E-13,9.74E-13,2.81E-13,9.74E-13,9.74E-13,9.74E-13,9.74E-13,2.81E-13,2.81E-13,2.81E-13,2.81E-13,1.28E-12,1.28E-12,9.74E-13,9.74E-13,0.00E+00,0.00E+00,0.00E+00,2.81E-13,2.81E-13,9.74E-13,9.74E-13
IM0131,1.90E-13,1.31E-13,1.23E-13,2.28E-13,1.90E-13,1.31E-13,1.23E-13,2.28E-13,1.31E-13,1.31E-13,1.31E-13,4.66E-14,1.31E-13,1.31E-13,1.31E-13,1.31E-13,4.66E-14,4.66E-14,4.66E-14,4.66E-14,1.31E-13,1.31E-13,1.31E-13,1.31E-13,0.00E+00,0.00E+00,0.00E+00,4.66E-14,4.66E-14,1.31E-13,1.31E-13
IM0132,1.82E-13,1.34E-13,1.14E-13,2.01E-13,1.82E-13,1.34E-13,1.14E-13,2.01E-13,1.20E-13,1.20E-13,1.20E-13,4.02E-14,1.20E-13,1.20E-13,1.20E-13,1.20E-13,4.02E-14,4.02E-14,4.02E-14,4.02E-14,1.34E-13,1.34E-13,1.20E-13,1.20E-13,0.00E+00,0.00E+00,0.00E+00,4.02E-14,4.02E-14,1.20E-13,1.20E-13
IM0133,2.17E-12,1.31E-12,8.57E-13,NA,2.17E-12,1.31E-12,8.57E-13,NA,1.42E-12,1.42E-12,1.42E-12,5.96E-13,1.42E-12,1.42E-12,1.42E-12,1.42E-12,5.96E-13,5.96E-13,5.96E-13,5.96E-13,1.31E-12,1.31E-12,1.42E-12,1.42E-12,0.00E+00,0.00E+00,0.00E+00,5.96E-13,5.96E-13,1.42E-12,1.42E-12
IM0134,7.26E-13,5.38E-13,4.76E-13,7.46E-13,7.26E-13,5.38E-13,4.76E-13,7.46E-13,5.25E-13,5.25E-13,5.25E-13,1.59E-13,5.25E-13,5.25E-13,5.25E-13,5.25E-13,1.59E-13,1.59E-13,1.59E-13,1.59E-13,5.38E-13,5.38E-13,5.25E-13,5.25E-13,0.00E+00,0.00E+00,0.00E+00,1.59E-13,1.59E-13,5.25E-13,5.25E-13
IM0135,9.46E-13,6.77E-13,5.38E-13,1.04E-12,9.46E-13,6.77E-13,5.38E-13,1.04E-12,6.39E-13,6.39E-13,6.39E-13,2.23E-13,6.39E-13,6.39E-13,6.39E-13,6.39E-13,2.23E-13,2.23E-13,2.23E-13,2.23E-13,6.77E-13,6.77E-13,6.39E-13,6.39E-13,0.00E+00,0.00E+00,0.00E+00,2.23E-13,2.23E-13,6.39E-13,6.39E-13
IM0136,3.36E-13,1.86E-13,1.82E-13,4.45E-13,3.36E-13,1.86E-13,1.82E-13,4.45E-13,1.92E-13,1.92E-13,1.92E-13,1.06E-13,1.92E-13,1.92E-13,1.92E-13,1.92E-13,1.06E-13,1.06E-13,1.06E-13,1.06E-13,1.86E-13,1.86E-13,1.92E-13,1.92E-13,0.00E+00,0.00E+00,0.00E+00,1.06E-13,1.06E-13,1.92E-13,1.92E-13
IM0137,2.03E-13,1.42E-13,1.35E-13,2.46E-13,2.03E-13,1.42E-13,1.35E-13,2.46E-13,1.41E-13,1.41E-13,1.41E-13,4.97E-14,1.41E-13,1.41E-13,1.41E-13,1.41E-13,4.97E-14,4.97E-14,4.97E-14,4.97E-14,1.42E-13,1.42E-13,1.41E-13,1.41E-13,0.00E+00,0.00E+00,0.00E+00,4.97E-14,4.97E-14,1.41E-13,1.41E-13
IM0138,1.95E-13,1.42E-13,1.22E-13,2.04E-13,1.95E-13,1.42E-13,1.22E-13,2.04E-13,1.27E-13,1.27E-13,1.27E-13,4.23E-14,1.27E-13,1.27E-13,1.27E-13,1.27E-13,4.23E-14,4.23E-14,4.23E-14,4.23E-14,1.42E-13,1.42E-13,1.27E-13,1.27E-13,0.00E+00,0.00E+00,0.00E+00,4.23E-14,4.23E-14,1.27E-13,1.27E-13
IM0139,1.66E-13,1.14E-13,1.07E-13,1.85E-13,1.66E-13,1.14E-13,1.07E-13,1.85E-13,1.18E-13,1.18E-13,1.18E-13,4.09E-14,1.18E-13,1.18E-13,1.18E-13,1.18E-13,4.09E-14,4.09E-14,4.09E-14,4.09E-14,1.14E-13,1.14E-13,1.18E-13,1.18E-13,0.00E+00,0.00E+00,0.00E+00,4.09E-14,4.09E-14,1.18E-13,1.18E-13
IM0140,2.15E-13,1.27E-13,1.22E-13,2.90E-13,2.15E-13,1.27E-13,1.22E-13,2.90E-13,1.42E-13,1.42E-13,1.42E-13,7.10E-14,1.42E-13,1.42E-13,1.42E-13,1.42E-13,7.10E-14,7.10E-14,7.10E-14,7.10E-14,1.27E-13,1.27E-13,1.42E-13,1.42E-13,0.00E+00,0.00E+00,0.00E+00,7.10E-14,7.10E-14,1.42E-13,1.42E-13
IM0141,3.01E-13,2.29E-13,1.67E-13,3.49E-13,3.01E-13,2.29E-13,1.67E-13,3.49E-13,1.91E-13,1.91E-13,1.91E-13,6.01E-14,1.91E-13,1.91E-13,1.91E-13,1.91E-13,6.01E-14,6.01E-14,6.01E-14,6.01E-14,2.29E-13,2.29E-13,1.91E-13,1.91E-13,0.00E+00,0.00E+00,0.00E+00,6.01E-14,6.01E-14,1.91E-13,1.91E-13
IM0142,1.04E-13,7.72E-14,5.62E-14,1.09E-13,1.04E-13,7.72E-14,5.62E-14,1.09E-13,6.24E-14,6.24E-14,6.24E-14,1.93E-14,6.24E-14,6.24E-14,6.24E-14,6.24E-14,1.93E-14,1.93E-14,1.93E-14,1.93E-14,7.72E-14,7.72E-14,6.24E-14,6.24E-14,0.00E+00,0.00E+00,0.00E+00,1.93E-14,1.93E-14,6.24E-14,6.24E-14
IM0143,1.19E-12,9.39E-13,6.09E-13,1.45E-12,1.19E-12,9.39E-13,6.09E-13,1.45E-12,7.46E-13,7.46E-13,7.46E-13,2.62E-13,7.46E-13,7.46E-13,7.46E-13,7.46E-13,2.62E-13,2.62E-13,2.62E-13,2.62E-13,9.39E-13,9.39E-13,7.46E-13,7.46E-13,0.00E+00,0.00E+00,0.00E+00,2.62E-13,2.62E-13,7.46E-13,7.46E-13
IM0144,7.10E-13,5.81E-13,3.67E-13,8.95E-13,7.10E-13,5.81E-13,3.67E-13,8.95E-13,4.62E-13,4.62E-13,4.62E-13,1.83E-13,4.62E-13,4.62E-13,4.62E-13,4.62E-13,1.83E-13,1.83E-13,1.83E-13,1.83E-13,5.81E-13,5.81E-13,4.62E-13,4.62E-13,0.00E+00,0.00E+00,0.00E+00,1.83E-13,1.83E-13,4.62E-13,4.62E-13
IM0145,4.32E-13,3.43E-13,2.78E-13,5.01E-13,4.32E-13,3.43E-13,2.78E-13,5.01E-13,2.97E-13,2.97E-13,2.97E-13,1.05E-13,2.97E-13,2.97E-13,2.97E-13,2.97E-13,1.05E-13,1.05E-13,1.05E-13,1.05E-13,3.43E-13,3.43E-13,2.97E-13,2.97E-13,0.00E+00,0.00E+00,0.00E+00,1.05E-13,1.05E-13,2.97E-13,2.97E-13
IM0146,5.89E-13,4.79E-13,3.48E-13,6.63E-13,5.89E-13,4.79E-13,3.48E-13,6.63E-13,4.00E-13,4.00E-13,4.00E-13,1.29E-13,4.00E-13,4.00E-13,4.00E-13,4.00E-13,1.29E-13,1.29E-13,1.29E-13,1.29E-13,4.79E-13,4.79E-13,4.00E-13,4.00E-13,0.00E+00,0.00E+00,0.00E+00,1.29E-13,1.29E-13,4.00E-13,4.00E-13
IM0147,2.21E-13,1.72E-13,1.29E-13,2.34E-13,2.21E-13,1.72E-13,1.29E-13,2.34E-13,1.45E-13,1.45E-13,1.45E-13,4.33E-14,1.45E-13,1.45E-13,1.45E-13,1.45E-13,4.33E-14,4.33E-14,4.33E-14,4.33E-14,1.72E-13,1.72E-13,1.45E-13,1.45E-13,0.00E+00,0.00E+00,0.00E+00,4.33E-14,4.33E-14,1.45E-13,1.45E-13
IM0148,NA,NA,3.05E-16,NA,NA,NA,3.05E-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00E+00,0.00E+00,0.00E+00,NA,NA,NA,NA
IM0149,2.05E-13,1.48E-13,1.29E-13,2.18E-13,2.05E-13,1.48E-13,1.29E-13,2.18E-13,1.39E-13,1.39E-13,1.39E-13,4.30E-14,1.39E-13,1.39E-13,1.39E-13,1.39E-13,4.30E-14,4.30E-14,4.30E-14,4.30E-14,1.48E-13,1.48E-13,1.39E-13,1.39E-13,0.00E+00,0.00E+00,0.00E+00,4.30E-14,4.30E-14,1.39E-13,1.39E-13
IM0150,1.27E-12,9.33E-13,6.97E-13,1.40E-12,1.27E-12,9.33E-13,6.97E-13,1.40E-12,7.89E-13,7.89E-13,7.89E-13,2.81E-13,7.89E-13,7.89E-13,7.89E-13,7.89E-13,2.81E-13,2.81E-13,2.81E-13,2.81E-13,9.33E-13,9.33E-13,7.89E-13,7.89E-13,0.00E+00,0.00E+00,0.00E+00,2.81E-13,2.81E-13,7.89E-13,7.89E-13
IM0151,1.88E-12,1.49E-12,NA,2.30E-12,1.88E-12,1.49E-12,NA,2.30E-12,1.19E-12,1.19E-12,1.19E-12,4.81E-13,1.19E-12,1.19E-12,1.19E-12,1.19E-12,4.81E-13,4.81E-13,4.81E-13,4.81E-13,1.49E-12,1.49E-12,1.19E-12,1.19E-12,0.00E+00,0.00E+00,0.00E+00,4.81E-13,4.81E-13,1.19E-12,1.19E-12
IM0152,4.85E-13,3.88E-13,2.63E-13,6.60E-13,4.85E-13,3.88E-13,2.63E-13,6.60E-13,3.21E-13,3.21E-13,3.21E-13,1.25E-13,3.21E-13,3.21E-13,3.21E-13,3.21E-13,1.25E-13,1.25E-13,1.25E-13,1.25E-13,3.88E-13,3.88E-13,3.21E-13,3.21E-13,0.00E+00,0.00E+00,0.00E+00,1.25E-13,1.25E-13,3.21E-13,3.21E-13
