Mitigation_scenario,Forest_use,Management_scenario,Category,2000,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
RCP2.6,SFM,noAFM,Clear_cut_im,85.98195394,105.1896235,127.3676719,132.2333945,134.9329503,140.1632465,146.9187652,149.8390792,162.9118278,182.4462072,202.3649686
RCP2.6,SFM,AFMfree,Clear_cut_im,85.98195394,105.1851165,127.3585589,131.6110393,132.0715551,132.7292171,131.69228,126.8555925,127.9121679,137.6857108,149.6415162
RCP2.6,SFM,AFM25,Clear_cut_im,85.98195394,105.1896235,127.3754667,132.5098795,133.0558182,139.0060112,142.5048855,144.7968663,154.9275935,173.5861714,189.0118686
RCP2.6,SFM,AFM50,Clear_cut_im,85.98195394,105.1881061,127.3548815,133.8274569,137.1260791,145.4189921,157.4283459,168.4795561,186.9568082,210.5266711,232.1261411
RCP2.6,SFM,AFM75,Clear_cut_im,85.98195394,105.179928,125.4412131,131.6097378,145.1837178,164.123115,189.1414205,212.8383425,238.0356158,270.4856349,302.3762572
RCP2.6,SFM,AFM100,Clear_cut_im,85.98195394,105.1704612,125.9932189,133.193907,151.9307381,176.3786298,211.5878819,247.117733,288.7831811,331.2605454,371.6220547
REF,MFM,noAFM,Clear_cut_im,85.98195394,105.1866339,127.3646813,130.8832249,132.8291003,137.1206884,146.2456696,161.197157,176.5042424,194.1912269,211.559598
REF,MFM,AFMfree,Clear_cut_im,85.98195394,105.1881061,124.6707348,128.1869841,128.0671462,127.7539264,128.5998889,134.7773356,137.9022981,142.5077703,148.4697201
REF,MFM,AFM25,Clear_cut_im,85.98195394,105.1857433,127.3637916,130.3239742,130.3875022,130.2600495,131.410126,134.4789813,139.4923215,148.0402552,157.6444907
REF,MFM,AFM50,Clear_cut_im,85.98195394,105.1778306,123.1147809,127.3127886,127.6444148,129.5194711,133.2959002,139.1730516,148.3458054,159.6708006,174.4570987
REF,MFM,AFM75,Clear_cut_im,85.98195394,105.1896235,123.1815233,127.7971191,128.7463109,131.4868302,137.3336936,148.3278344,164.2167644,180.849399,199.9843832
REF,MFM,AFM100,Clear_cut_im,85.98195394,105.1824146,124.6324239,129.8663872,132.2049834,135.9776383,143.9003052,159.9256755,181.4404015,203.2558837,221.966919
REF,SFM,noAFM,Clear_cut_im,85.98195394,105.1704612,127.3439035,130.8674842,132.9093353,137.7218405,147.5311817,160.9265745,172.2517847,187.0782988,206.4689563
REF,SFM,AFMfree,Clear_cut_im,85.98195394,105.1866339,126.3796175,129.5155724,129.3810861,128.9389077,130.8193084,136.8337391,140.1138309,145.0210719,152.5986887
REF,SFM,AFM25,Clear_cut_im,85.98195394,105.1806589,125.4745584,129.4971224,130.00382,135.2755356,139.8934873,150.8819462,162.9073325,174.2267077,189.5092664
