Mitigation_scenario,Forest_use,Management_scenario,Category,2000,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
REF,MFM,noAFM,Clear_cut_ex,64.17009995,79.87826824,98.11532724,98.7555755,110.1822219,112.278453,112.3966962,112.4921128,112.5578966,112.6064475,112.6445886
REF,MFM,AFMfree,Clear_cut_ex,64.17009995,79.87826824,98.11532724,99.0741303,111.4372414,114.0266706,114.8490138,115.4310642,115.9427993,116.3208891,116.5802651
REF,MFM,AFM25,Clear_cut_ex,64.17009995,79.87826824,98.11173744,99.0208254,111.1721945,113.4666586,113.8720429,114.1539772,114.4069894,114.537126,114.5714673
REF,MFM,AFM50,Clear_cut_ex,64.17009995,79.87826824,98.11160091,99.03268535,110.5421865,112.2441944,112.4638437,112.6305652,112.7253738,112.773627,112.7950591
REF,MFM,AFM75,Clear_cut_ex,64.17009995,79.87826824,98.1290855,98.88971465,109.8264454,111.0923433,111.2447205,111.3655364,111.468163,111.5009306,111.5418029
REF,MFM,AFM100,Clear_cut_ex,64.17009995,79.87826824,98.11200477,98.80761257,109.4849375,110.6115562,110.7219228,110.8156797,110.9235214,110.977497,111.0208327
REF,SFM,noAFM,Clear_cut_ex,64.17009995,79.87826824,98.11532724,98.70215099,110.1060952,112.2433909,112.382492,112.5138384,112.5803302,112.6270459,112.66232
REF,SFM,AFMfree,Clear_cut_ex,64.17009995,79.87826824,98.11173744,99.02997043,111.2395519,113.5486928,114.2609979,114.7427552,115.2249939,115.5537504,115.7272126
REF,SFM,AFM25,Clear_cut_ex,64.17009995,79.87826824,98.11532724,98.82868094,109.9370459,111.3105473,111.4498229,111.5473175,111.6010791,111.6358929,111.6378425
REF,SFM,AFM50,Clear_cut_ex,64.17009995,79.87826824,98.11532724,98.63972438,109.2709219,110.0773699,110.132949,110.2018485,110.2322203,110.2424918,110.243993
REF,SFM,AFM75,Clear_cut_ex,64.17009995,79.87826824,98.11139137,98.54291091,108.7503177,109.2892791,109.3330047,109.3762376,109.3834883,109.3871072,109.3879336
REF,SFM,AFM100,Clear_cut_ex,64.17009995,79.87826824,98.11179522,98.5022721,108.5249199,109.0009721,109.0476005,109.0904394,109.090453,109.0929371,109.0936704
RCP2.6,MFM,noAFM,Clear_cut_ex,64.17009995,79.87826824,98.12948936,98.75303219,110.2516332,112.3519691,112.405746,112.4367828,112.440377,112.4464538,112.4482472
RCP2.6,MFM,AFMfree,Clear_cut_ex,64.17009995,79.87826824,98.11139137,99.09126444,111.394799,114.0446283,114.6485845,115.053281,115.2496985,115.2528605,115.2551037
RCP2.6,MFM,AFM25,Clear_cut_ex,64.17009995,79.87826824,98.11492338,99.03676982,111.0348564,113.1447546,113.4210876,113.5538863,113.5989791,113.6138415,113.6156039
RCP2.6,MFM,AFM50,Clear_cut_ex,64.17009995,79.87826824,98.11532724,98.97156108,110.6988112,112.4233974,112.4714628,112.5108405,112.5233212,112.5292436,112.5315057
RCP2.6,MFM,AFM75,Clear_cut_ex,64.17009995,79.87826824,98.11532724,98.86406993,109.9968329,111.2938996,111.2958468,111.3072029,111.3081433,111.3129556,111.3146377
RCP2.6,MFM,AFM100,Clear_cut_ex,64.17009995,79.87826824,98.11173744,98.81764945,109.6181416,110.7158398,110.7229291,110.7262322,110.7287379,110.732205,110.7346864
RCP2.6,SFM,noAFM,Clear_cut_ex,64.17009995,79.87826824,98.12948936,98.73879985,110.2510036,112.3373487,112.3913627,112.4227077,112.4244848,112.4305716,112.4324428
RCP2.6,SFM,AFMfree,Clear_cut_ex,64.17009995,79.87826824,98.11532724,99.0323451,111.3548069,113.6184861,114.2550096,114.6274414,114.7867866,114.7901992,114.7922703
RCP2.6,SFM,AFM25,Clear_cut_ex,64.17009995,79.87826824,98.11532724,98.87836617,110.1382817,111.6502507,111.6573357,111.665485,111.6687622,111.6748983,111.6768154
RCP2.6,SFM,AFM50,Clear_cut_ex,64.17009995,79.87826824,98.11173744,98.61140252,109.1929233,110.1413097,110.1494705,110.1529078,110.1533095,110.1637917,110.1790823
RCP2.6,SFM,AFM75,Clear_cut_ex,64.17009995,79.87826824,98.11532724,98.52426057,108.6248324,109.1187979,109.1236819,109.1254005,109.1271203,109.1306575,109.1325
RCP2.6,SFM,AFM100,Clear_cut_ex,64.17009995,79.87826824,98.11173744,98.48352377,108.3395729,108.803965,108.8095054,108.8103273,108.8273204,108.8309821,108.8407201
