Mitigation_scenario,Forest_use,Management_scenario,Region,2000,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,Category
REF,MFM,AF25,MexicoReg,0,0.002325,0.002325,0.005894601,0.005894601,0.005894601,0,0,0,0,0.008910502,Wood_Byproducts
REF,MFM,AF25,MidEastNorthAfr,0,0.01025,0.01025,0.01025,0.01025,0.01025,0.020218213,0.051259484,0.057119586,0.057119586,0.063649629,Wood_Byproducts
REF,MFM,AF25,RCEU,0,0.1632,0.1632,0.1632,0.1632,0.14688,0.142892541,0.144923287,0.146750958,0.148395863,0.145257734,Wood_Byproducts
REF,MFM,AF25,RSAM,0,0.00245,0.006211515,0.019710513,0.040768247,0.12936668,0.742562715,1.198536184,1.276963064,1.302781865,1.317220415,Wood_Byproducts
REF,MFM,AF25,RSEA_PAC,0,0.069075,0.514648855,1.732653231,1.936985551,2.153946288,2.655049084,2.406690374,2.164619208,2.356545344,2.136440984,Wood_Byproducts
REF,MFM,AF25,SouthAfrReg,0,0.14575,0.14575,0.014923215,0.073621639,0.285728128,0.360616053,0.324554447,0.292099003,0.262889102,0.322666252,Wood_Byproducts
REF,MFM,AF25,UkraineReg,0,0.493975,0.493975,1.579044446,1.425207391,1.204852719,1.285855676,1.246223593,1.191093198,1.231366173,1.108229556,Wood_Byproducts
REF,MFM,AF25,USAReg,0,3.32115,13.28385878,13.28385878,13.28385878,13.28385878,13.28385878,13.28385878,13.28385878,13.28385878,13.28385878,Wood_Byproducts
REF,MFM,AF25,ROWE,0,0.00755,0.056251884,0.056251884,0.056251884,0.056251884,0.056251884,0.056251884,0.056251884,0.056251884,0.056251884,Wood_Byproducts
REF,MFM,AF50,ANZ,0,0.0628,0.205305185,0.205305185,0.205305185,0.205305185,0.205305185,0.205305185,0.205305185,0.205305185,0.184774666,Wood_Byproducts
REF,MFM,AF50,ArgentinaReg,0,0.0046,0,0.020515602,0.08348168,0.220992341,0.399886487,0.491697087,0.435659157,0.437248658,0.402381021,Wood_Byproducts
REF,MFM,AF50,CanadaReg,0,3.262925,3.75,3.75,3.75,3.375,3.151168295,3.071422964,2.941854159,2.841443338,3.773214921,Wood_Byproducts
REF,MFM,AF50,Former_USSR,0,2.034825,2.034825,2.034825,2.034825,2.034825,3.666098681,4.131664702,6.724660808,8.786787261,10.53227958,Wood_Byproducts
REF,MFM,AF50,IndonesiaReg,0,0.0282,0.0282,0.183342425,0.14910839,0.113816388,0.593390278,0.671656376,0.742095863,0.805491402,0.862547387,Wood_Byproducts
REF,MFM,AF50,MalaysiaReg,0,0.091775,0.109293123,0.537430272,0.569615114,0.333513903,0.396169909,0.414951755,0.430738585,0.425818459,0.384812515,Wood_Byproducts
REF,MFM,AF50,MexicoReg,0,0.002325,0.002325,0.009413328,0.009413328,0.009413328,0.020444743,0.009101861,0.006452202,0.005806982,0.014792956,Wood_Byproducts
REF,MFM,AF50,MidEastNorthAfr,0,0.01025,0.01025,0.01025,0.01025,0.01025,0.020218213,0.051259484,0.057119586,0.058997136,0.07025858,Wood_Byproducts
REF,MFM,AF50,RCEU,0,0.1632,0.1632,0.1632,0.1632,0.1632,0.1632,0.1632,0.1632,0.159723333,0.160071,Wood_Byproducts
REF,MFM,AF50,RSAM,0,0.00245,0.006211515,0.026803572,0.046254408,0.138508135,0.600438609,1.301076168,1.409251769,1.378101992,1.408660273,Wood_Byproducts
REF,MFM,AF50,RSEA_PAC,0,0.069075,0.514648855,1.420999983,2.635718815,2.560959236,3.081551497,2.797891443,2.516644657,2.41494799,2.570866341,Wood_Byproducts
REF,MFM,AF50,SouthAfrReg,0,0.14575,0.14575,0.013102683,0.09751195,0.231197891,0.209236243,0.323098356,0.425574258,0.517802569,0.60080805,Wood_Byproducts
REF,MFM,AF50,UkraineReg,0,0.493975,0.493975,2.227475981,1.770616306,1.433278277,1.425175259,1.307866531,1.241556726,1.248332327,1.163926571,Wood_Byproducts
REF,MFM,AF50,USAReg,0,3.32115,13.28385878,13.28385878,13.28385878,13.28385878,13.28385878,13.28385878,13.28385878,13.28385878,13.28385878,Wood_Byproducts
REF,MFM,AF50,ROWE,0,0.00755,0.056251884,0.127117865,0.127117865,0.127117865,0.127117865,0.127117865,0.127117865,0.127117865,0.127117865,Wood_Byproducts
REF,MFM,AF75,ANZ,0,0.0628,0.205305185,0.205305185,0.205305185,0.205305185,0.205305185,0.205305185,0.205305185,0.205305185,0.205305185,Wood_Byproducts
REF,MFM,AF75,ArgentinaReg,0,0.0046,0,0,0,0.163236076,0.236430124,0.533508044,0.740497493,0.726255995,0.802895256,Wood_Byproducts
REF,MFM,AF75,CanadaReg,0,3.262925,3.75,3.75,3.75,3.75,3.488668295,3.418083017,5.033497781,6.059361404,7.292805142,Wood_Byproducts
REF,MFM,AF75,Former_USSR,0,2.034825,2.034825,2.034825,2.034825,2.034825,4.01370988,6.644142781,10.56630367,13.53014272,15.87240112,Wood_Byproducts
REF,MFM,AF75,IndonesiaReg,0,0.0282,0.0282,0.023102847,0.073343736,0.769569073,1.285517465,1.378431426,1.389075382,1.250167844,1.273638158,Wood_Byproducts
REF,MFM,AF75,MalaysiaReg,0,0.091775,0.109293123,0.129055396,0.143428772,0.339985763,0.406846933,0.368484481,0.411192763,0.406037927,0.365434134,Wood_Byproducts
REF,MFM,AF75,MexicoReg,0,0.002325,0.002325,0.009413328,0.009413328,0.009413328,0,0,0,0.019904658,0.037818849,Wood_Byproducts
REF,MFM,AF75,MidEastNorthAfr,0,0.01025,0.01025,0.01025,0.01025,0.01025,0.020218213,0.064156871,0.110714276,0.152341662,0.242271774,Wood_Byproducts
REF,MFM,AF75,RCEU,0,0.1632,0.1632,0.1632,0.1632,0.1632,0.1632,0.1632,0.1632,0.14688,0.132192,Wood_Byproducts
REF,MFM,AF75,RSAM,0,0.00245,0.006211515,0.028597814,0.051524041,0.145776347,0.286991126,1.13076621,1.567456135,1.995248603,2.059497337,Wood_Byproducts
REF,MFM,AF75,RSEA_PAC,0,0.069075,0.514648855,2.36944322,2.446803703,2.476023711,3.002937726,2.758589948,2.481433416,2.554813194,2.694078204,Wood_Byproducts
REF,MFM,AF75,SouthAfrReg,0,0.14575,0.14575,0.34615276,0.389846634,0.559938956,0.715080936,0.771953977,0.823139714,0.869206877,0.910667324,Wood_Byproducts
REF,MFM,AF75,UkraineReg,0,0.493975,0.493975,2.274260797,2.031196411,1.682942449,1.716596648,1.575411691,1.54754267,1.461183642,1.453639588,Wood_Byproducts
REF,MFM,AF75,USAReg,0,3.32115,13.28385878,13.28385878,13.28385878,13.28385878,13.28385878,13.28385878,13.28385878,13.28385878,13.28385878,Wood_Byproducts
REF,MFM,AF75,ROWE,0,0.00755,0.056251884,0.25898366,0.25898366,0.25898366,0.25898366,0.25898366,0.25898366,0.25898366,0.25898366,Wood_Byproducts
REF,MFM,AF100,ANZ,0,0.0628,0.205305185,0.205305185,0.205305185,0.205305185,0.205305185,0.205305185,0.205305185,0.205305185,0.205305185,Wood_Byproducts
