Mitigation_scenario,Forest_use,Management_scenario,Region,2000,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,Category
REF,MFM,AF50,MalaysiaReg,0,0,0,0,1.749473096,4.813904577,7.480317587,7.461535741,7.44574891,7.450669037,7.491674981,Wood_EP_im
REF,MFM,AF50,MexicoReg,0,0,0,0,0,0,0,0.055773839,0.089214525,0.089859745,0.08087377,Wood_EP_im
REF,MFM,AF50,RCEU,0,0,0,0,0,0,0,0,0,0.003476667,0.003129,Wood_EP_im
REF,MFM,AF50,RSAM,0,0,0,0,0,0,0.294703902,0.311682067,0.250380803,0.305582813,0.275024532,Wood_EP_im
REF,MFM,AF50,RSEA_PAC,0,0,0,0.948443237,5.314022434,13.23893507,15.17832806,15.87844606,16.15969285,16.26138951,16.10547116,Wood_EP_im
REF,MFM,AF50,SouthAfrReg,0,0,0,0.70359806,0.619188793,1.005598767,1.138621132,1.024759018,0.922283117,0.830054805,0.747049324,Wood_EP_im
REF,MFM,AF50,UkraineReg,0,0,0,0,0.624604538,2.098752053,2.555817375,2.673126103,2.739435907,2.732660306,2.817066063,Wood_EP_im
REF,MFM,AF75,ArgentinaReg,0,0,0.0046,0.024183747,0.086483884,0.186914949,0.563232876,0.717865035,0.749739187,0.763980685,0.687341424,Wood_EP_im
REF,MFM,AF75,CanadaReg,0,0,0,0,0,0,0.261331705,1.17290661,1.175936553,1.105234342,1.123248573,Wood_EP_im
REF,MFM,AF75,IndonesiaReg,0,0,0,0.160239579,0.130958818,0.112025562,0.116498856,0.106439564,0.095795607,0.234703146,0.211232831,Wood_EP_im
REF,MFM,AF75,MalaysiaReg,0,0,0,0.408374876,2.291706379,4.883386547,7.585863752,7.624226204,7.581517923,7.586672759,7.627276551,Wood_EP_im
REF,MFM,AF75,MexicoReg,0,0,0,0,0,0,0.022635809,0.091646573,0.199046576,0.179141918,0.161227726,Wood_EP_im
REF,MFM,AF75,RCEU,0,0,0,0,0,0,0,0,0,0.01632,0.031008,Wood_EP_im
REF,MFM,AF75,RSAM,0,0,0,0,0,0,0.632540061,0.716923832,0.664993105,0.583061571,0.518812837,Wood_EP_im
REF,MFM,AF75,RSEA_PAC,0,0,0,0,5.530331413,13.50769427,15.44044108,16.48373273,16.76088927,16.68750949,16.54824448,Wood_EP_im
REF,MFM,AF75,SouthAfrReg,0,0,0,0.370547983,0.326854109,0.626460214,0.568730411,0.51185737,0.460671633,0.41460447,0.373144023,Wood_EP_im
REF,MFM,AF75,UkraineReg,0,0,0,0,0.461695647,1.993115389,2.397944713,2.722230814,2.750099835,2.836458864,2.844002917,Wood_EP_im
REF,MFM,AF100,ArgentinaReg,0,0,0,0,0,0.13193069,0.439440636,0.711749404,0.883271797,0.814008366,0.86274965,Wood_EP_im
REF,MFM,AF100,CanadaReg,0,0,0,0,0,0,0.375,0.357297139,0.366505646,0.35158994,0.325424499,Wood_EP_im
REF,MFM,AF100,Former_USSR,0,0,0,0,0,0,0,0,0,0,3.962296246,Wood_EP_im
REF,MFM,AF100,IndonesiaReg,0,0,0,0,0,0.774329244,0.819276019,0.775934763,0.902462958,0.812216662,0.730079307,Wood_EP_im
REF,MFM,AF100,MalaysiaReg,0,0,0.059612731,0.066887498,1.834680822,4.753611028,7.642641773,8.858942103,8.872864043,8.761236195,8.87701378,Wood_EP_im
REF,MFM,AF100,MexicoReg,0,0,0,0,0,0,0.04948903,0.053308844,0.187843835,0.169059451,0.184631657,Wood_EP_im
REF,MFM,AF100,RCEU,0,0,0,0,0,0,0.007136882,0.022743194,0.020468875,0.019158397,0.017242557,Wood_EP_im
REF,MFM,AF100,RSAM,0,0,0,0,0,0,0.005286822,0.844322414,0.832392243,0.789744989,1.083197835,Wood_EP_im
REF,MFM,AF100,RSEA_PAC,0,0,0,0,5.51426194,13.65864374,15.7448801,16.79549662,17.53637307,17.5012308,17.80633154,Wood_EP_im
REF,MFM,AF100,SouthAfrReg,0,0,0,0.657781772,0.658067786,0.703161048,0.642782702,0.578504432,0.520653989,0.587995125,0.529195613,Wood_EP_im
REF,MFM,AF100,UkraineReg,0,0,0,0,0.738675094,2.051192047,2.417849359,2.738733306,2.784412292,2.775896588,2.813630458,Wood_EP_im
RCP,MFM,noAF,ANZ,0,0,0,0,0,0.020530518,0.018477467,0.012330715,0.011097644,0.011097644,0.023815545,Wood_EP_im
RCP,MFM,noAF,ArgentinaReg,0,0,0.0046,0.004604329,0.004843091,0.740414528,2.511433531,9.977297371,20.19664715,29.94149917,29.96612904,Wood_EP_im
RCP,MFM,noAF,CanadaReg,0,0,0,0,0,0,2.0625,4.418539245,4.670913654,4.543796634,4.31309106,Wood_EP_im
RCP,MFM,noAF,Former_USSR,0,0,0,0,0,0,0,0.251260479,3.899236184,3.241670103,3.423825761,Wood_EP_im
RCP,MFM,noAF,IndonesiaReg,0,0,0,0,0.178419189,1.541958409,18.47015128,40.93879405,45.79893457,51.1148476,51.17158295,Wood_EP_im
RCP,MFM,noAF,MalaysiaReg,0,0,0,0.128136812,2.981584344,11.21525225,21.98292102,22.08317146,32.93035779,42.86756643,48.47321098,Wood_EP_im
RCP,MFM,noAF,MexicoReg,0,0,0,0,0,0,0.015868796,0.006305228,0.019782961,0.00686754,0.005220375,Wood_EP_im
RCP,MFM,noAF,RCEU,0,0,0,0,0,0.007723323,0.013799849,0.057642792,0.057642792,0.057642792,0.057642792,Wood_EP_im
RCP,MFM,noAF,RSAM,0,0,0,0,0,0.196022819,0.088210269,0.048885141,1.195347511,11.11516112,44.33360266,Wood_EP_im
RCP,MFM,noAF,RSEA_PAC,0,0,0,0,9.825570862,24.00406468,23.26054266,22.3653611,21.27032809,21.27032809,25.22711497,Wood_EP_im
RCP,MFM,noAF,SouthAfrReg,0,0,0,0.09084134,0.297369448,0.282284542,0.523820813,0.634240165,0.721824126,1.115282326,1.144238495,Wood_EP_im
