Mitigation_scenario,Forest_use,Management_scenario,Ecoregion,2000,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,Category
REF,MFM,AF25,PA0412,0,0,0,64.18548682,198.1435942,336.0785403,544.6196632,860.9074741,1261.429696,1774.627835,1959.723699,Timber_plant_EU
REF,MFM,AF25,PA0418,0,0,0,0,0,0,0,0,0,0,0,Timber_plant_EU
REF,MFM,AF25,PA0419,0,0,0,0,0,0,0,0,0,0,0,Timber_plant_EU
REF,MFM,AF25,PA0421,0,0,0,1.476725949,2.953451896,4.430177845,5.906903791,7.38362974,8.860355689,10.33708164,11.81380758,Timber_plant_EU
REF,MFM,AF25,PA0422,0,0,0,0,0,0,0,0,0,0,0,Timber_plant_EU
REF,MFM,AF25,PA0429,0,0,0,0.66007947,0.910882979,1.161686488,1.412489998,1.663293507,1.914097017,2.164900526,2.415704036,Timber_plant_EU
REF,MFM,AF25,PA0431,0,0,0,0,0,0,0,0,0,0,0,Timber_plant_EU
REF,MFM,AF25,PA0432,0,0,0,0,0,0,0,0,0,0,0,Timber_plant_EU
REF,MFM,AF25,PA0433,0,0,0,5.708747995,10.86865351,15.7953838,55.64349212,70.71201236,87.09376015,101.033124,88.45356855,Timber_plant_EU
REF,MFM,AF25,PA0435,0,0,0,0,0,0,0,0,0,0,0,Timber_plant_EU
REF,MFM,AF25,PA0436,0,0,0,346.4278087,738.2266711,1188.79767,1586.537254,2166.128291,2734.197421,3291.690702,3850.875042,Timber_plant_EU
REF,MFM,AF25,PA0445,0,0,0,294.7449779,526.3840576,716.3159349,894.7242486,1168.473667,1374.498023,1557.904201,1528.091065,Timber_plant_EU
REF,MFM,AF25,PA0501,0,0,0,0.296155231,43.80540746,60.1235016,66.48125803,98.07664156,140.5868799,174.4652489,165.2465449,Timber_plant_EU
REF,MFM,AF25,PA0503,0,0,0,0,0,0,0,0,0,0,0,Timber_plant_EU
REF,MFM,AF25,PA0504,0,0,0,0,13.69670066,57.32952642,124.7294641,127.5471936,156.1495242,211.9558427,225.2324093,Timber_plant_EU
REF,MFM,AF25,PA0608,0,0,0,642.8569567,1877.654173,2975.037649,4056.264831,5299.932566,6482.706505,7475.467102,7620.05793,Timber_plant_EU
REF,MFM,AF25,PA0814,0,0,0,0,0,0,0,0,0,0,0,Timber_plant_EU
REF,MFM,AF25,PA1110,0,0,0,27.2146652,54.42933041,81.64399561,110.4260975,143.9593031,175.711471,189.5875271,76.57534255,Timber_plant_EU
REF,MFM,AF25,PA1201,0,0,0,0,0,0,0,0,0,0,0,Timber_plant_EU
REF,MFM,AF25,PA1204,0,0,0,0,0,0,0,0,0,0,0,Timber_plant_EU
