Mitigation_scenario,Forest_use,Management_scenario,Eco_reg,2000,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,Category
REF,MFM,noAF,PA1214,0,0,0,0,0,0,0,0,0,0,0,Clear_cut_EU_ex
REF,MFM,noAF,PA1215,0.487996618,0.607453078,0.746141083,0.751010001,0.837906621,0.853847904,0.854747112,0.85547273,0.855972999,0.856342215,0.856632268,Clear_cut_EU_ex
REF,MFM,noAF,PA1216,0.234651572,0.292091819,0.35877949,0.361120694,0.402904648,0.410569961,0.411002343,0.411351254,0.411591806,0.411769343,0.411908814,Clear_cut_EU_ex
REF,MFM,noAF,PA1217,0.080576581,0.100300884,0.123200643,0.124004585,0.138352702,0.14098488,0.141133355,0.141253167,0.14133577,0.141396734,0.141444626,Clear_cut_EU_ex
REF,MFM,noAF,PA1218,0.033381374,0.041552785,0.051039728,0.051372787,0.057316944,0.058407406,0.058468916,0.058518552,0.058552773,0.058578029,0.05859787,Clear_cut_EU_ex
REF,MFM,noAF,PA1219,0.005429384,0.00675844,0.008301463,0.008355634,0.009322434,0.009499795,0.009509799,0.009517872,0.009523438,0.009527546,0.009530773,Clear_cut_EU_ex
REF,MFM,noAF,PA1221,0.170397957,0.212109593,0.260536471,0.262236593,0.292579029,0.298145383,0.298459368,0.298712738,0.298887421,0.299016344,0.299117624,Clear_cut_EU_ex
REF,MFM,noAF,PA1222,0.150312395,0.187107295,0.229825882,0.231325603,0.258091443,0.263001666,0.26327864,0.263502144,0.263656236,0.263769962,0.263859304,Clear_cut_EU_ex
REF,MFM,AF0,Lake,0.003098316,0.003856751,0.004737289,0.004328623,0.004320971,0.00384155,0.003294342,0.00274214,0.00219164,0.001642886,0.001097823,Clear_cut_EU_ex
REF,MFM,AF0,PA0401,0.059158908,0.073640389,0.090453274,0.091337202,0.102734849,0.105122063,0.105880188,0.106416785,0.106888557,0.107237121,0.107476242,Clear_cut_EU_ex
REF,MFM,AF0,PA0402,0.627192593,0.78072277,0.958970089,0.924391017,0.989564131,0.960142996,0.913398288,0.862444486,0.806014856,0.745204041,0.698098772,Clear_cut_EU_ex
REF,MFM,AF0,PA0404,0.276734882,0.344476682,0.423124376,0.427259234,0.480575406,0.491742373,0.495288745,0.497798849,0.500005717,0.501636237,0.502754802,Clear_cut_EU_ex
REF,MFM,AF0,PA0405,0.28990597,0.360871914,0.443262814,0.440035433,0.471803443,0.448378356,0.414312661,0.389283938,0.359728178,0.324020276,0.283633838,Clear_cut_EU_ex
REF,MFM,AF0,PA0406,0.537488982,0.669060655,0.821814324,0.824081384,0.920680854,0.932614189,0.930121242,0.925895459,0.919453476,0.912140102,0.907803174,Clear_cut_EU_ex
REF,MFM,AF0,PA0409,0.27549019,0.342927303,0.421221256,0.42052927,0.469757718,0.478071261,0.478398444,0.477435915,0.476224646,0.474397059,0.472076833,Clear_cut_EU_ex
REF,MFM,AF0,PA0412,1.024810133,1.27567292,1.566922627,1.555381359,1.677735498,1.639966345,1.602825211,1.50095584,1.381156752,1.219916458,1.145126443,Clear_cut_EU_ex
REF,MFM,AF0,PA0418,0.076859176,0.095673497,0.117516775,0.118665173,0.133472981,0.136574447,0.137559402,0.138256548,0.138869474,0.139322327,0.139632993,Clear_cut_EU_ex
REF,MFM,AF0,PA0419,0.03530969,0.043953132,0.0539881,0.053549669,0.060274099,0.061697525,0.062219025,0.061715501,0.061987881,0.062212843,0.062398744,Clear_cut_EU_ex
REF,MFM,AF0,PA0421,0.021297081,0.026510383,0.032562986,0.032510526,0.036171439,0.036596072,0.036441559,0.036206306,0.035945401,0.035640212,0.035296719,Clear_cut_EU_ex
REF,MFM,AF0,PA0422,0.000448295,0.000558032,0.000685437,0.000692135,0.000778505,0.000796594,0.000802339,0.000806406,0.000809981,0.000812622,0.000814434,Clear_cut_EU_ex
REF,MFM,AF0,PA0429,0.081937463,0.101994896,0.125281416,0.126135904,0.141810766,0.145058318,0.1459757,0.14658609,0.147147187,0.147504048,0.147708205,Clear_cut_EU_ex
REF,MFM,AF0,PA0431,0.807704238,1.005421776,1.23497027,1.247038652,1.402652205,1.435245156,1.445595929,1.452922153,1.459363324,1.464122312,1.467387058,Clear_cut_EU_ex
REF,MFM,AF0,PA0432,0.142788799,0.177742001,0.218322392,0.220455883,0.247965795,0.253727691,0.255557537,0.256852693,0.257991386,0.258832697,0.25940985,Clear_cut_EU_ex
REF,MFM,AF0,PA0433,0.113092967,0.140776941,0.172917815,0.171948092,0.190492104,0.191886462,0.190054785,0.174202966,0.163162214,0.15985398,0.168882665,Clear_cut_EU_ex
REF,MFM,AF0,PA0435,0.085474727,0.106398045,0.130689852,0.13196698,0.148434673,0.151883799,0.152979162,0.153754455,0.154436087,0.154939704,0.155285193,Clear_cut_EU_ex
REF,MFM,AF0,PA0436,1.471930237,1.832243341,2.250564001,2.153296396,2.285129727,2.17630255,2.036497729,1.864887654,1.691011095,1.517385235,1.356638857,Clear_cut_EU_ex
REF,MFM,AF0,PA0445,2.086421456,2.597155574,3.19011384,3.109224706,3.396990414,3.410486683,3.332519254,3.230306891,3.135507207,3.048243701,2.985356021,Clear_cut_EU_ex
REF,MFM,AF0,PA0501,0.67088043,0.835104932,1.025768279,1.029268842,1.129904133,1.152978494,1.157983466,1.142891353,1.140992218,1.129562709,1.136151237,Clear_cut_EU_ex
REF,MFM,AF0,PA0503,0.063281911,0.07877266,0.096757297,0.097702829,0.10989482,0.112448408,0.113259369,0.113833363,0.114338015,0.114710872,0.114966658,Clear_cut_EU_ex
REF,MFM,AF0,PA0504,0.346714488,0.431586562,0.530122369,0.534540516,0.584510121,0.594678449,0.567893245,0.555027041,0.551957692,0.549285227,0.533627558,Clear_cut_EU_ex
REF,MFM,AF0,PA0608,3.587402824,4.465561458,5.485096678,5.371460069,5.782159229,5.596356929,5.276461631,4.893963051,4.614153194,4.328796588,4.092474423,Clear_cut_EU_ex
REF,MFM,AF0,PA0814,0.027597111,0.034352595,0.042195658,0.042608003,0.047924905,0.04903852,0.049392178,0.049642496,0.049862574,0.050025176,0.050136724,Clear_cut_EU_ex
REF,MFM,AF0,PA1110,0.24050324,0.299375914,0.367726622,0.363398876,0.405182893,0.410810031,0.405585141,0.393268804,0.391396983,0.389056641,0.389924172,Clear_cut_EU_ex
REF,MFM,AF0,PA1201,0.258177082,0.321376128,0.394749719,0.398607294,0.448348091,0.458766203,0.462074756,0.464416533,0.466475409,0.467996587,0.46904014,Clear_cut_EU_ex
REF,MFM,AF0,PA1204,0.019515221,0.024292342,0.029838542,0.030130131,0.033889964,0.034677453,0.034927542,0.035104553,0.03526018,0.035375164,0.035454045,Clear_cut_EU_ex
REF,MFM,AF0,PA1205,0.004744078,0.005905379,0.00725364,0.007324524,0.008238526,0.008429961,0.008490757,0.008533788,0.00857162,0.008599572,0.008618748,Clear_cut_EU_ex
REF,MFM,AF0,PA1206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Clear_cut_EU_ex
REF,MFM,AF0,PA1208,0.081767142,0.101782882,0.125020997,0.126242728,0.141996113,0.145295628,0.146343478,0.146995902,0.147195957,0.147588991,0.148313252,Clear_cut_EU_ex
REF,MFM,AF0,PA1209,0.786149228,0.978590324,1.202012913,1.212166279,1.361745507,1.390202867,1.39723226,1.383626778,1.370925067,1.369148848,1.386400277,Clear_cut_EU_ex
REF,MFM,AF0,PA1210,0.083055431,0.10338653,0.126990776,0.128231755,0.144233344,0.147584845,0.148649204,0.149402553,0.150064892,0.150554254,0.150889965,Clear_cut_EU_ex
REF,MFM,AF0,PA1211,0.365162402,0.454550333,0.558329012,0.563785118,0.634137873,0.648873118,0.653552694,0.656864874,0.659776922,0.661928456,0.663404445,Clear_cut_EU_ex
REF,MFM,AF0,PA1214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Clear_cut_EU_ex
REF,MFM,AF0,PA1215,0.487997781,0.607454526,0.746142861,0.745675517,0.820251701,0.838771674,0.844255549,0.793341389,0.767704051,0.762287985,0.798234375,Clear_cut_EU_ex
REF,MFM,AF0,PA1216,0.234652131,0.292092515,0.358780345,0.360854215,0.403913193,0.410782583,0.410867494,0.410229022,0.408617308,0.406675911,0.406065259,Clear_cut_EU_ex
REF,MFM,AF0,PA1217,0.080576773,0.100301123,0.123200937,0.124404882,0.139928928,0.143180409,0.144213004,0.14494387,0.145586443,0.146061201,0.146386893,Clear_cut_EU_ex
REF,MFM,AF0,PA1218,0.033381454,0.041552884,0.05103985,0.051538622,0.057969945,0.059316973,0.059744758,0.060047542,0.060313748,0.060510431,0.060645359,Clear_cut_EU_ex
REF,MFM,AF0,PA1219,0.005429396,0.006758456,0.008301483,0.008382607,0.009428643,0.009647733,0.009717311,0.009766558,0.009809856,0.009841846,0.009863791,Clear_cut_EU_ex
REF,MFM,AF0,PA1221,0.170398364,0.212110098,0.260537092,0.259352756,0.28879613,0.293516848,0.291130991,0.287715586,0.285446099,0.285875146,0.287234169,Clear_cut_EU_ex
REF,MFM,AF0,PA1222,0.150312754,0.187107741,0.22982643,0.232072341,0.26103183,0.267097337,0.269023603,0.270387004,0.271585698,0.27247134,0.273078905,Clear_cut_EU_ex
REF,MFM,AF0,Lake,0,0,0,0.00045496,0.001059538,0.001663984,0.002250897,0.002831202,0.00340641,0.00397342,0.004531006,Timber_plant_EU_ex
REF,MFM,AF0,PA0401,0,0,0,0,0,0,0,0,0,0,0,Timber_plant_EU_ex
REF,MFM,AF0,PA0402,0,0,0,0.043950324,0.099613109,0.154343084,0.209125298,0.265768007,0.327199288,0.391705518,0.441345903,Timber_plant_EU_ex
REF,MFM,AF0,PA0404,0,0,0,0,0,0,0,0,0,0,0,Timber_plant_EU_ex
REF,MFM,AF0,PA0405,0,0,0,0.007559036,0.03164476,0.066768301,0.104549157,0.132207451,0.164075114,0.201491141,0.24304938,Timber_plant_EU_ex
REF,MFM,AF0,PA0406,0,0,0,0.005763878,0.01271787,0.022473603,0.0318545,0.040955539,0.051683816,0.062164072,0.068673534,Timber_plant_EU_ex
REF,MFM,AF0,PA0409,0,0,0,0.004808247,0.008656166,0.011459364,0.014662602,0.018123946,0.021532157,0.02498293,0.028416689,Timber_plant_EU_ex
REF,MFM,AF0,PA0412,0,0,0,0.026853557,0.101940929,0.181063816,0.231337947,0.342502786,0.470474392,0.637752861,0.716685165,Timber_plant_EU_ex
REF,MFM,AF0,PA0418,0,0,0,0,0,0,0,0,0,0,0,Timber_plant_EU_ex
REF,MFM,AF0,PA0419,0,0,0,0.000966013,0.001044403,0.001045814,0.00097681,0.001800608,0.001809811,0.001792893,0.001749714,Timber_plant_EU_ex
REF,MFM,AF0,PA0421,0,0,0,0.000370672,0.000812887,0.001247647,0.001675083,0.00210351,0.002534252,0.002964923,0.003394499,Timber_plant_EU_ex
REF,MFM,AF0,PA0422,0,0,0,0,0,0,0,0,0,0,0,Timber_plant_EU_ex
REF,MFM,AF0,PA0429,0,0,0,0.000369788,0.000481125,0.000539961,0.000672612,0.00080543,0.000897757,0.001023671,0.001150706,Timber_plant_EU_ex
REF,MFM,AF0,PA0431,0,0,0,0,0,0,0,0,0,0,0,Timber_plant_EU_ex
REF,MFM,AF0,PA0432,0,0,0,0,0,0,0,0,0,0,0,Timber_plant_EU_ex
REF,MFM,AF0,PA0433,0,0,0,0.002659511,0.005904166,0.009073401,0.01235437,0.029231991,0.041174622,0.045149199,0.036577636,Timber_plant_EU_ex
REF,MFM,AF0,PA0435,0,0,0,0,0,0,0,0,0,0,0,Timber_plant_EU_ex
REF,MFM,AF0,PA0436,0,0,0,0.119260577,0.27101161,0.439234972,0.597902658,0.782863773,0.968478482,1.150776946,1.317472876,Timber_plant_EU_ex
REF,MFM,AF0,PA0445,0,0,0,0.112063578,0.226271067,0.29696729,0.401672321,0.522809424,0.63424762,0.733804308,0.805125318,Timber_plant_EU_ex
REF,MFM,AF0,PA0501,0,0,0,0.006523454,0.035141028,0.039138425,0.042730821,0.063908108,0.07115729,0.086539622,0.082662797,Timber_plant_EU_ex
REF,MFM,AF0,PA0503,0,0,0,0,0,0,0,0,0,0,0,Timber_plant_EU_ex
REF,MFM,AF0,PA0504,0,0,0,0.000762317,0.017591264,0.02141376,0.052642129,0.068653182,0.074487463,0.079202768,0.096261859,Timber_plant_EU_ex
REF,MFM,AF0,PA0608,0,0,0,0.167238095,0.447693532,0.778256797,1.144124854,1.55916272,1.867580913,2.174074473,2.424896945,Timber_plant_EU_ex
REF,MFM,AF0,PA0814,0,0,0,0,0,0,0,0,0,0,0,Timber_plant_EU_ex
REF,MFM,AF0,PA1110,0,0,0,0.007921246,0.012472957,0.016550745,0.024857697,0.039355502,0.043145256,0.046902641,0.047007226,Timber_plant_EU_ex
REF,MFM,AF0,PA1201,0,0,0,0,0,0,0,0,0,0,0,Timber_plant_EU_ex
REF,MFM,AF0,PA1204,0,0,0,0,0,0,0,0,0,0,0,Timber_plant_EU_ex
REF,MFM,AF0,PA1205,0,0,0,0,0,0,0,0,0,0,0,Timber_plant_EU_ex
REF,MFM,AF0,PA1206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Timber_plant_EU_ex
REF,MFM,AF0,PA1208,0,0,0,0,0,0,0,8.92E-05,0.00054125,0.000629987,0.00023623,Timber_plant_EU_ex
REF,MFM,AF0,PA1209,0,0,0,0.00159295,0.003474453,0.006740244,0.009785395,0.030521588,0.049492576,0.055900781,0.041826973,Timber_plant_EU_ex
REF,MFM,AF0,PA1210,0,0,0,0,0,0,0,0,0,0,0,Timber_plant_EU_ex
REF,MFM,AF0,PA1211,0,0,0,0,0,0,0,0,0,0,0,Timber_plant_EU_ex
REF,MFM,AF0,PA1214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Timber_plant_EU_ex
REF,MFM,AF0,PA1215,0,0,0,0.007758805,0.027201031,0.028373028,0.029142871,0.084483381,0.114012337,0.122303683,0.088329784,Timber_plant_EU_ex
REF,MFM,AF0,PA1216,0,0,0,0.001432205,0.003581671,0.0061811,0.009103269,0.011870137,0.015353123,0.018677089,0.020236206,Timber_plant_EU_ex
REF,MFM,AF0,PA1217,0,0,0,0,0,0,0,0,0,0,0,Timber_plant_EU_ex
REF,MFM,AF0,PA1218,0,0,0,0,0,0,0,0,0,0,0,Timber_plant_EU_ex
REF,MFM,AF0,PA1219,0,0,0,0,0,0,0,0,0,0,0,Timber_plant_EU_ex
REF,MFM,AF0,PA1221,0,0,0,0.003730357,0.007116197,0.009271492,0.013841013,0.018802005,0.022430362,0.023005301,0.022335029,Timber_plant_EU_ex
REF,MFM,AF0,PA1222,0,0,0,0,0,0,0,0,0,0,0,Timber_plant_EU_ex
REF,MFM,AF25,Lake,0.003098316,0.003856751,0.004737116,0.004417801,0.004547154,0.004155753,0.003653723,0.003122447,0.002554216,0.001965776,0.001347804,Clear_cut_EU_ex
REF,MFM,AF25,PA0401,0.059158908,0.073640389,0.090449964,0.09128806,0.1024905,0.104605784,0.104979511,0.105239428,0.105472682,0.105592656,0.105624316,Clear_cut_EU_ex
REF,MFM,AF25,PA0402,0.627192593,0.78072277,0.958935003,0.935962911,1.011726258,0.990799282,0.950363854,0.90614521,0.856707968,0.80214903,0.751534653,Clear_cut_EU_ex
REF,MFM,AF25,PA0404,0.276734882,0.344476682,0.423108895,0.427029355,0.479432386,0.48932731,0.491075538,0.492291385,0.493382505,0.493943722,0.49409182,Clear_cut_EU_ex
REF,MFM,AF25,PA0405,0.28990597,0.360871914,0.443246596,0.445191147,0.452484538,0.432012948,0.414840758,0.3799608,0.328315063,0.257265487,0.180619505,Clear_cut_EU_ex
REF,MFM,AF25,PA0406,0.537488982,0.669060654,0.821784256,0.823996179,0.919812428,0.929404982,0.923539206,0.917920023,0.908588463,0.901657664,0.898950114,Clear_cut_EU_ex
REF,MFM,AF25,PA0409,0.27549019,0.342927303,0.421205845,0.42121822,0.47044862,0.478104265,0.477418904,0.475927882,0.474100807,0.471901399,0.469645261,Clear_cut_EU_ex
REF,MFM,AF25,PA0412,1.024810133,1.275672919,1.566865298,1.56693263,1.724188482,1.715860379,1.648789724,1.526670617,1.338329856,1.055507372,0.865088587,Clear_cut_EU_ex
REF,MFM,AF25,PA0418,0.076859176,0.095673497,0.117512475,0.118601327,0.133155524,0.135903698,0.136389243,0.136726928,0.137029971,0.137185841,0.137226973,Clear_cut_EU_ex
REF,MFM,AF25,PA0419,0.03530969,0.043953132,0.053986124,0.054486351,0.06117266,0.062435192,0.062658255,0.06281339,0.06295261,0.063024218,0.063043114,Clear_cut_EU_ex
REF,MFM,AF25,PA0421,0.021297081,0.026510383,0.032561794,0.032584922,0.036284785,0.036718981,0.036532937,0.036304077,0.036063032,0.035780675,0.035466414,Clear_cut_EU_ex
REF,MFM,AF25,PA0422,0.000448295,0.000558032,0.000685412,0.000691763,0.000776653,0.000792682,0.000795514,0.000797484,0.000799251,0.00080016,0.0008004,Clear_cut_EU_ex
REF,MFM,AF25,PA0429,0.081937463,0.101994896,0.125276833,0.126147186,0.141603034,0.144448535,0.144888949,0.145149242,0.145366892,0.145429254,0.145369065,Clear_cut_EU_ex
REF,MFM,AF25,PA0431,0.807704238,1.005421776,1.234925086,1.246367707,1.39931608,1.428196328,1.433298869,1.436847555,1.4400322,1.44167022,1.442102472,Clear_cut_EU_ex
REF,MFM,AF25,PA0432,0.142788799,0.177742001,0.218314404,0.220337271,0.247376023,0.252481575,0.25338362,0.254010969,0.254573962,0.254863537,0.254939952,Clear_cut_EU_ex
