Ecoregion,EU,RoW
AA0101,0,0.01382
AA0102,0,0.083885063
AA0103,0,0.011410613
AA0104,0,0.042013277
AA0105,0,0.081880088
AA0106,0,0.202825728
AA0107,0,0.021358246
AA0108,0,0.006507179
AA0110,0,0.120721274
AA0111,0,0.132727378
AA0112,0,0.038882935
AA0113,0,0.079097438
AA0115,0,0.093363761
AA0116,0,0.014195305
AA0117,0,0.039857697
AA0118,0,0.080985897
AA0119,0,0.26223
AA0120,0,0.127873502
AA0121,0,0.210212143
AA0122,0,0.147270011
AA0123,0,0.481742717
AA0124,0,0.259305284
AA0125,0,0.033410722
AA0126,0,0.440840871
AA0127,0,0.023209002
AA0128,0,0.179973412
AA0201,0,0.164885108
AA0202,0,0.015541692
AA0203,0,0.05483518
AA0204,0,0.162432217
AA0401,0,0.018649004
AA0402,0,0.490680405
AA0403,0,0.076820634
AA0404,0,0.081731436
AA0405,0,0.162899296
AA0406,0,0.12224442
AA0407,0,0.009288123
AA0408,0,0.028219898
AA0409,0,0.49198968
AA0410,0,0.051158628
AA0411,0,0.094314828
AA0412,0,0.12446822
AA0413,0,0.160889188
AA0414,0,0.081741385
AA0701,0,0.35256725
AA0702,0,0.151811173
AA0703,0,0.130079653
AA0704,0,0.159559553
AA0705,0,0.053721979
AA0706,0,0.647187904
AA0707,0,1.184741541
AA0708,0,0.054708286
AA0709,0,0.113687519
AA0801,0,0.283316049
AA0802,0,0.469906228
AA0803,0,0.119016992
AA1001,0,0.015024464
AA1002,0,0.01029177
AA1003,0,0.364112721
AA1201,0,0.185815467
AA1202,0,0.173093991
AA1203,0,0.198435082
AA1204,0,0.037809553
AA1205,0,0.109554135
AA1206,0,0.086723508
AA1207,0,0.3046153
AA1208,0,0.072056925
AA1209,0,0.300853703
AA1210,0,0.098866944
AA1301,0,0.224320752
AA1302,0,0.632864406
AA1303,0,0.108580245
AA1304,0,1.23912004
AA1305,0,0.368247143
AA1306,0,0.131866637
AA1307,0,0.193745867
AA1308,0,23.60665602
AA1309,0,10.11745188
AA1310,0,0.270856432
AA1401,0,0.049620583
AT0101,0,0.22001955
AT0102,0,0.212757293
AT0103,0,0.021381704
AT0104,0,0.259763241
AT0105,0,0.017980393
AT0106,0,0.027790098
AT0107,0,0.058971162
AT0108,0,0.069542281
AT0109,0,0.014272615
AT0110,0,0.122329716
AT0111,0,0.326492488
AT0112,0,1.098237336
AT0114,0,0.006151356
AT0115,0,0.0034635
AT0116,0,0.034257118
AT0117,0,0.08613775
AT0118,0,0.085219057
AT0119,0,0.118294684
AT0120,0,0.025660561
AT0121,0,0.001852556
AT0122,0,0.021172251
AT0123,0,0.091655639
AT0124,0,0.32202859
AT0125,0,0.154342171
AT0126,0,0.050924759
AT0127,0,0
AT0128,0,0.232290797
AT0129,0,0.138907132
AT0130,0,0.228356606
AT0201,0,0.068801083
AT0202,0,0.222500998
AT0203,0,0.001436341
AT0701,0,0.629694377
AT0702,0,0.889655395
AT0704,0,1.538736721
AT0705,0,0.413962583
AT0706,0,0.307562777
AT0707,0,0.797149676
AT0708,0,0.010880304
AT0709,0,0.472930133
AT0710,0,0.002498076
AT0711,0,0.185778749
AT0712,0,0.100071415
AT0713,0,113.1172832
AT0714,0,0.025270452
AT0715,0,11.3614133
AT0716,0,0.345777505
AT0717,0,0.284044135
AT0718,0,0.12034889
AT0719,0,0.309482444
AT0721,0,0.386457295
AT0722,0,1.069351985
AT0723,0,0.15802088
AT0724,0,0
AT0725,0,0.285123737
AT0726,0,0.026573132
AT0801,0,2.072487444
AT0901,0,0.002800743
AT0902,0,0.072391806
AT0903,0,0.914939295
AT0904,0,0.045502244
AT0905,0,0
AT0906,0,0.021534952
AT0907,0,0.102016027
AT0908,0,0.249800862
