Ecoregion,A_org
AA0101,0.117209776
AA0102,0.469779625
AA0103,0.197805441
AA0104,0.835786237
AA0105,14.96133455
AA0106,2.340715617
AA0107,1.541317703
AA0108,0.102668618
AA0110,0.01646733
AA0111,2.745163532
AA0112,1.170059052
AA0113,1.246365809
AA0115,11.79090782
AA0116,1.997948548
AA0117,3.16579726
AA0118,1.678926353
AA0119,3.150493373
AA0120,7.018949769
AA0121,8.158464953
AA0122,10.15748817
AA0123,10.45959629
AA0124,7.58253478
AA0125,0.304586701
AA0126,0.710147707
AA0127,1.801009366
AA0128,5.958159549
AA0201,3.409827714
AA0202,0.354054137
AA0203,0.966497684
AA0204,3.144794912
AA0401,0
AA0402,23.96273313
AA0403,0.929943798
AA0404,1.346658297
AA0405,8.111869205
AA0406,2.571412902
AA0407,0.115403648
AA0408,1.200153249
AA0409,28.09846488
AA0410,1.112425673
AA0411,1.985012076
AA0412,1.760770217
AA0413,3.241074876
AA0414,0.435272489
AA0701,14.50045798
AA0702,34.58986075
AA0703,11.39930373
AA0704,35.08104039
AA0705,12.88262033
AA0706,33.63870508
AA0707,44.02861643
AA0708,2.542321837
AA0709,22.38001034
AA0801,5.02425939
AA0802,24.07815201
AA0803,31.99439807
AA1001,1.29189745
AA1002,1.275358586
AA1003,3.596466671
AA1201,13.0746564
AA1202,11.08414948
AA1203,5.722465083
AA1204,1.039962422
AA1205,1.571345897
AA1206,2.327523039
AA1207,18.95743661
AA1208,2.639820981
AA1209,16.11059415
AA1210,4.727703465
AA1301,8.470236007
AA1302,27.48077803
AA1303,15.3411675
AA1304,79.75141844
AA1305,41.45039462
AA1306,19.24413615
AA1307,17.68760896
AA1308,29.97086772
AA1309,24.78665481
AA1310,44.24045236
AA1401,1.442203693
AT0101,10.45933875
AT0102,18.74294117
AT0103,4.157449748
AT0104,36.50758195
AT0105,0.109013787
AT0106,2.073780778
AT0107,5.421387291
AT0108,6.93716261
AT0109,2.502631673
AT0110,6.687639386
AT0111,18.80476026
AT0112,25.00942831
AT0114,3.248056951
AT0115,0.264816252
AT0116,1.825093521
AT0117,10.92741725
AT0118,19.75315111
AT0119,3.146264513
AT0120,0.130520303
AT0121,0.129513351
AT0122,1.447266662
AT0123,6.99264345
AT0124,52.39805813
AT0125,11.54225277
AT0126,42.01052526
AT0127,0.004497591
AT0128,15.22951091
AT0129,7.304645575
AT0130,20.76042371
AT0201,0.308219479
AT0202,14.5148261
AT0203,3.992098985
AT0701,70.46188055
AT0702,11.12255733
AT0704,119.7389114
AT0705,94.05402354
AT0706,50.87714609
AT0707,66.76226175
AT0708,0.795060838
AT0709,33.10341875
AT0710,0.735100216
AT0711,32.59851104
AT0712,73.73887233
AT0713,187.0620669
AT0714,1.750137341
AT0715,93.76965353
AT0716,22.72553871
AT0717,22.90560365
AT0718,57.45265942
AT0719,42.77280788
AT0721,15.90563285
AT0722,163.8577059
AT0723,42.99605027
AT0724,3.483600384
AT0725,48.51113113
AT0726,26.6864846
AT0801,0.561435905
AT0901,0.207623336
AT0902,0.648644514
AT0903,3.539267508
AT0904,0.672330675
AT0905,15.63036334
AT0906,1.466935647
AT0907,14.77890607
AT0908,2.860365339
AT1001,2.770619384
AT1002,7.520972401
AT1003,1.224553233
AT1004,20.50929824
AT1005,0.325834888
AT1006,0.870519712
AT1007,26.84233875
