Ecoregion,A_org
AT1008,2.870605463
AT1009,18.54883553
AT1010,1.346666957
AT1011,0.126684201
AT1012,2.116925304
AT1013,0.270666911
AT1014,1.140301971
AT1015,3.481463036
AT1201,1.44115026
AT1202,3.072591727
AT1203,3.355458507
AT1302,1.834269747
AT1303,0.427878085
AT1304,0.139276586
AT1305,5.151666705
AT1306,1.344088633
AT1307,2.000024603
AT1309,57.11389893
AT1310,1.115012516
AT1311,4.149486669
AT1312,7.863682085
AT1313,9.878232355
AT1314,31.8517702
AT1315,2.273093398
AT1316,11.55623694
AT1318,0.283306466
AT1319,2.467830612
AT1320,8.289408202
AT1321,3.591583102
AT1322,6.256002869
AT1401,2.417853004
AT1402,1.010170144
AT1403,1.641520722
AT1404,0.412444653
AT1405,0.114699249
IM0101,0.413071142
IM0102,40.19723071
IM0103,11.11658872
IM0104,5.72243862
IM0105,5.796733751
IM0106,4.472735806
IM0107,4.248812108
IM0108,2.078406903
IM0109,3.029854088
IM0111,35.53566612
IM0112,1.599716056
IM0113,5.047049694
IM0114,3.183573017
IM0115,4.094052357
IM0116,1.545639273
IM0117,14.55605894
IM0118,74.93266865
IM0119,12.45570125
IM0120,25.25734879
IM0121,7.434371522
IM0122,0.828035386
IM0123,9.362046277
IM0124,4.050322722
IM0125,0.016499433
IM0126,4.446073601
IM0127,0.463951297
IM0128,1.84356884
IM0129,10.4663298
IM0130,0.935463511
IM0131,14.67987418
IM0132,6.428687965
IM0133,0.119040754
IM0134,5.05457511
IM0135,3.339239125
IM0136,4.788698114
IM0137,45.4261681
IM0138,1.819055224
IM0139,4.371762948
IM0140,5.866561161
IM0141,2.227974769
IM0142,2.230825519
IM0143,1.21793095
IM0144,1.610666763
IM0145,0.330260626
IM0146,11.55939864
IM0147,1.10873623
IM0149,22.90750057
IM0150,2.89729886
IM0151,3.156364591
IM0152,4.789705213
IM0153,3.151993963
IM0154,1.303706004
IM0155,0.310154988
IM0156,0.206820427
IM0157,1.535403851
IM0158,23.94826664
IM0159,7.059885961
IM0160,7.184465466
IM0161,6.971245162
IM0162,1.478404294
IM0163,10.11921677
IM0164,2.347634115
IM0165,2.911554447
IM0166,26.18047301
IM0167,2.551436015
IM0168,4.086836553
IM0169,1.638619453
IM0170,0.297308466
IM0171,0.223323032
IM0172,3.331512209
IM0201,23.87150123
IM0202,33.91950582
IM0203,11.83143178
IM0204,2.464671085
IM0205,3.620967734
IM0206,26.89181611
IM0207,17.17863622
IM0208,5.972770523
IM0209,8.523552958
IM0210,12.96781368
IM0211,3.525038826
IM0212,4.89154337
IM0301,8.185283125
IM0302,0.707286862
IM0303,1.208691183
IM0304,0.272805604
IM0401,8.639688201
IM0402,1.16559151
IM0403,5.062202595
IM0501,2.535774423
IM0502,3.598383147
IM0701,3.567067591
IM0901,2.105600017
IM1001,0.426002888
IM1301,33.06178413
IM1302,1.83642861
IM1303,44.55256272
IM1304,23.26381433
IM1401,0.544835492
IM1402,2.417981061
IM1403,0.410684543
IM1404,1.404046246
IM1405,2.0756916
IM1406,1.403959996
NA0201,4.912173803
NA0302,21.938281
NA0303,6.540117125
NA0401,8.503369432
NA0402,20.73203366
NA0403,17.80756353
NA0404,31.0457488
NA0405,5.295933107
NA0406,32.88118277
NA0407,12.2712287
NA0408,3.834931097
NA0409,11.51493468
NA0410,23.47294808
NA0411,13.35736663
NA0412,6.220897427
NA0413,38.71615512
NA0414,28.60693861
NA0415,17.53751372
NA0416,24.0666115
NA0417,1.86933641
NA0501,3.464886771
NA0502,11.78100627
NA0503,10.89441958
NA0504,1.262746092
NA0505,6.414850512
NA0506,10.07621302
NA0507,4.195594609
NA0508,4.38350591
NA0509,6.516524311
NA0510,6.861339164
NA0511,13.236798
NA0512,5.423576974
NA0513,0.447922066
NA0514,12.40609131
NA0515,0.57143595
NA0516,5.052333395
NA0517,13.55408089
NA0518,22.56991086
NA0519,1.341599103
NA0520,3.116632465
NA0521,2.055280004
NA0522,5.311861262
NA0523,14.3559503
NA0524,2.614119046
NA0525,0.61250595
NA0526,0.392466594
NA0527,5.223890518
NA0528,15.76648711
NA0529,24.89963351
NA0530,4.169892293
NA0601,3.025416499
NA0602,40.09139618
NA0603,2.245605303
NA0604,1.247356062
NA0605,42.19708323
NA0606,61.95989757
NA0607,41.63992156
NA0608,32.74024404
NA0609,44.4365564
NA0610,24.40400332
NA0611,1.468521535
NA0612,50.58245139
NA0613,22.1705919
NA0614,30.70715597
NA0615,0.128492009
NA0616,32.72885739
NA0617,5.273425811
NA0701,7.524826641
NA0801,6.445165671
NA0802,38.12549371
NA0803,28.44437783
NA0804,42.89293843
NA0805,25.43820922
NA0806,6.338076891
NA0807,2.943663602
NA0808,8.216057129
NA0809,6.102010006
NA0810,21.77597786
NA0811,63.60575927
NA0812,7.02761999
NA0813,4.680316845
NA0814,5.777889734
NA0815,44.06759857
NA1101,10.29645247
NA1102,0.294942101
NA1103,7.312667433
NA1104,12.29902432
NA1105,0.516811445
NA1106,12.0181407
NA1107,9.048774461
NA1108,15.49909818
NA1109,3.276603421
NA1110,15.21992944
NA1111,20.9292319
NA1112,11.8627242
NA1113,8.078428992
NA1114,67.02837932
NA1115,81.35932748
NA1116,19.29990302
NA1117,4.796607403
NA1118,2.584901832
NA1201,4.575542841
NA1202,7.12192182
NA1203,2.113324166
NA1301,7.226029405
NA1302,6.164308749
NA1303,50.78295119
NA1304,32.78305345
NA1305,32.90693252
NA1306,2.049800531
NA1307,12.42429439
NA1308,13.24416672
NA1309,22.00127024
NA1310,22.55965998
NA1311,1.659111127
NA1312,14.10439076
NA1313,13.19190345
NT0101,21.34823168
NT0102,0.566469099
NT0103,10.64777482
NT0104,22.793114
NT0105,8.663468511
NT0106,0.505926061
NT0107,17.50060934
NT0108,2.455697431
NT0109,3.379031106
NT0111,8.813179036
NT0112,1.469464104
NT0113,0.605354455
NT0114,0.203297469
NT0115,7.020327997
NT0117,1.485646031
NT0118,7.165334919
NT0119,1.190113793
NT0120,1.966105318
NT0121,10.33243077
NT0122,0.298534567
NT0124,13.74780107
NT0125,43.31173177
NT0126,0.777525609
NT0127,4.107381125
NT0128,9.447976124
NT0129,5.710963356
NT0130,2.867134771
NT0131,0.861214074
NT0132,22.45349615
NT0133,21.62352965
NT0134,0.044662636
NT0135,66.38999027
NT0136,11.26905476
NT0137,8.178161917
NT0138,4.503288563
NT0139,13.56042677
NT0140,39.32481223
NT0141,5.124926258
NT0142,23.18657369
NT0143,18.12690985
NT0144,0.812780085
NT0145,8.265288364
NT0146,0.802966562
NT0147,1.733840574
NT0148,1.636684589
NT0149,0.691861269
NT0150,47.47418267
NT0151,1.651092493
NT0152,2.11647737
NT0153,18.17918619
NT0154,14.61202934
NT0155,1.124761692
NT0156,14.89393545
NT0157,15.86613876
NT0158,8.231556153
NT0159,0.527146047
NT0160,10.41810998
NT0161,0.353368752
NT0162,1.157426935
NT0163,14.89413648
NT0164,0.123628409
NT0165,7.066406249
NT0166,71.4107181
NT0167,1.658204969
NT0168,31.5376148
NT0169,4.808651521
NT0170,17.39192564
NT0171,0.428403664
NT0173,41.8346026
NT0174,10.64416072
NT0175,3.216220077
NT0176,6.741980027
NT0177,0.490032077
NT0178,3.457380845
NT0180,24.58793616
NT0181,6.619111296
NT0182,21.01155839
NT0201,6.935561189
NT0202,11.29986778
NT0204,3.630948238
NT0205,6.167929552
NT0206,7.005945668
NT0207,0.778435952
NT0209,6.706052201
NT0210,75.44959083
NT0211,1.38933537
NT0212,21.8978035
NT0213,6.2267073
NT0214,2.031736028
NT0215,1.255444807
NT0216,0
NT0217,2.43608145
NT0218,0.186355658
NT0219,1.859441584
NT0220,0.023555476
NT0221,2.070785561
NT0222,3.291093023
NT0223,1.142899936
NT0224,0.481779539
NT0225,0.227424172
NT0226,0.123483124
NT0227,0.387882481
NT0228,7.531379328
NT0229,2.629493974
NT0230,3.954505897
NT0232,3.543224213
NT0233,0.640829238
NT0235,4.892258276
NT0301,0.201300734
NT0302,0.270976735
NT0303,11.41120489
NT0304,0.591820483
NT0305,1.059367888
NT0306,1.67911231
NT0307,0.104548683
NT0308,1.487429702
NT0309,6.008559612
NT0310,9.572729128
NT0401,0
NT0402,11.2540738
NT0404,22.67459763
NT0702,10.40477576
NT0703,2.589244845
NT0704,186.0113344
NT0707,9.639722318
NT0708,24.9268391
NT0709,34.70021976
NT0710,33.83425375
NT0801,24.10467573
NT0802,29.21044136
NT0803,31.13074924
NT0805,50.34353241
NT0902,0.486565934
NT0903,0.033298859
NT0904,1.205988031
NT0905,0.283057829
NT0906,0.473990623
NT0907,13.95780848
NT0908,2.543932484
NT0909,2.343218165
NT1001,10.04193079
NT1002,14.26439599
NT1003,10.53604949
NT1004,1.214941522
NT1005,0.305937362
NT1006,3.093797629
NT1007,0.138550613
NT1008,9.199929871
NT1010,8.114873548
NT1201,12.28908575
NT1301,0.401165096
NT1303,3.380501162
NT1304,68.66052648
NT1305,0.071990032
NT1306,0.205425483
NT1307,0.334472675
NT1308,3.221294291
NT1309,7.019266726
NT1312,0.227003906
NT1313,1.632049158
NT1314,0.287353218
NT1315,12.64132577
NT1316,0.968298831
NT1401,2.42708009
NT1402,0.76333522
NT1403,1.98727404
NT1404,0.482161111
NT1405,0.854337318
NT1406,0.91574449
NT1407,0.543857644
OC0105,0.832376817
OC0106,0.543693741
OC0112,0.068397334
OC0201,0.611316151
OC0202,0.52391337
OC0701,0.138644078
OC0702,0.116301311
PA0101,29.78212372
PA0102,24.03955944
PA0401,1.614466529
PA0402,40.50454488
PA0404,22.35958985
PA0405,11.71863269
PA0406,8.892573901
PA0407,4.738331942
PA0408,15.05545554
PA0409,25.39569182
PA0410,9.847807226
PA0411,35.88232013
PA0412,75.13279444
PA0413,11.99521207
PA0414,9.901706953
PA0415,38.64058643
PA0416,2.962416102
PA0417,13.82266489
PA0418,5.128908822
PA0419,71.65176323
PA0420,7.782893961
PA0421,5.102729692
PA0422,7.328769739
PA0423,2.495107987
PA0424,41.2822378
PA0426,53.42071817
PA0427,2.37527367
PA0428,8.609283502
PA0429,4.441337779
PA0430,23.66387352
PA0431,30.93084445
PA0432,4.517062387
PA0433,2.548814223
PA0434,7.716623613
PA0435,3.394781098
PA0436,86.23484052
PA0437,9.807322517
PA0438,0.753982145
PA0439,1.389563081
PA0440,15.74974226
PA0441,4.486107813
PA0442,1.146234535
PA0443,21.05677707
PA0444,23.12844029
PA0445,53.19562799
PA0446,30.10537447
PA0501,15.41857892
PA0502,5.866336558
PA0503,3.53840003
PA0504,12.81433313
PA0505,25.04711181
PA0506,0.412745496
PA0507,4.285228151
PA0508,0.959879717
PA0509,7.929408258
PA0510,4.494291228
PA0511,1.206036813
PA0512,0.27704557
PA0513,2.193968635
PA0514,3.555328743
PA0515,10.08138471
PA0516,7.008753594
PA0517,0.270097221
PA0518,5.521548675
PA0519,35.91403343
PA0520,1.152092673
PA0521,0.927935161
PA0601,376.3098203
PA0602,6.64765733
PA0603,12.19029614
PA0604,1.387765677
PA0605,98.21512377
PA0606,39.1400823
PA0607,6.911261815
PA0608,204.6995214
PA0609,20.85026031
PA0610,17.44583969
PA0611,128.184597
PA0801,8.048383738
PA0802,4.126316066
PA0803,2.258429566
PA0804,14.87974836
PA0805,15.8993966
PA0806,2.197583271
PA0808,4.295816972
PA0809,40.52596004
PA0810,74.15173426
PA0811,5.766148224
PA0812,8.404724983
PA0813,82.75943509
PA0814,91.22228664
PA0815,2.284615795
PA0816,9.774336123
PA0817,17.36761273
PA0818,4.343229895
PA0901,12.41661947
PA0902,0.932014702
PA0903,2.255834105
PA0904,2.045963789
PA0905,1.108889066
PA0906,2.380229531
PA0907,3.051492498
PA0908,0.491923402
PA1001,4.877543718
PA1002,5.900409023
PA1003,9.61282768
PA1004,0.017731576
PA1005,0.297677792
PA1006,4.984026093
PA1007,2.401020783
PA1008,1.293208967
PA1009,2.079210126
PA1010,0.505216947
PA1011,0.012701566
PA1012,2.974678789
PA1013,16.36857832
PA1014,0.462907737
PA1015,0.803093892
PA1016,7.432674483
PA1017,26.2329733
PA1018,0.946209886
PA1019,6.437361544
PA1020,7.8417283
PA1021,4.088753755
PA1022,5.042229377
PA1101,0.214286589
PA1102,42.61440891
PA1103,46.29774109
PA1104,22.44402248
PA1105,10.56369354
PA1106,4.538184545
PA1107,17.36214439
PA1108,20.28628794
PA1109,2.021203237
PA1110,19.8081213
PA1111,78.93639832
PA1112,19.86639274
PA1113,0.27391907
PA1114,35.03909785
PA1201,14.13348514
PA1202,8.486238773
PA1203,0.249503362
PA1204,0.40258642
PA1205,0.798803698
PA1206,0.896347982
PA1207,12.27921026
PA1208,3.536941378
PA1209,30.39428163
PA1210,3.897385674
PA1211,10.51899079
PA1212,7.101715506
PA1213,16.31847668
PA1214,31.87334038
PA1215,9.661335158
PA1216,5.654105833
PA1217,4.634738078
PA1218,1.352153737
PA1219,0.266266113
PA1220,7.200091068
PA1221,7.176433387
PA1222,8.196145417
PA1301,0.004449943
PA1302,9.254515718
PA1303,13.66669717
PA1304,0.194894555
PA1305,6.070592583
PA1306,4.696315247
PA1307,14.88580698
PA1308,9.597048739
PA1309,0.639321229
PA1310,12.68416276
PA1311,2.951305541
PA1312,10.22616361
PA1313,13.48942817
PA1314,9.404107119
PA1315,2.679113447
PA1316,4.985081463
PA1317,6.400539747
PA1318,29.00998739
PA1319,0.746252467
PA1320,9.196394852
PA1321,13.04097196
PA1322,0.80721627
PA1323,0.808518863
PA1324,1.446243292
PA1325,5.324356925
PA1326,2.156507776
PA1327,2.813836917
PA1328,8.847757469
PA1329,2.788151755
PA1330,9.878707073
PA1331,0
PA1332,0.063006337
PA1333,0.046215306
