"Group","Scenario","Annual_EU_median","Permanent_EU_median","Pasture_EU_median","Urban_EU_median","Annual_RoW_median","Permanent_RoW_median","Pasture_RoW_median","Urban_RoW_median","For_ClearCut_EU_median","For_ClearCut_im_median","For_ClearCut_ex_median","For_Retention_EU_median","For_Plantation_im_median","For_TimberPlant_EU_median","For_TimberPlant_ex_median","For_SelectionSystem_EU_median","For_SelectionSystem_im_median","For_SelectionSystem_ex_median","For_Selective_im_median","EP_EU_median","EP_conv_EU_median","EP_RoW_median","EP_conv_im_median","Afforested_EU_median","Afforested_RoW_median","Regrowth_median","ForOther_Extensive_EU_median","ForOther_Extensive_RoW_median","ForOther_Intensive_EU_median","ForOther_Intensive_RoW_median"
"RCP2.6_MFM","noAFM",0.0115234066208192,0.082281449801451,0.0769013634493619,0.0219820953668722,1.8440578033944,1.57775660990838,3.66105097360309,0.883028293495453,0.0265677126051575,0.0124893605329835,0.00835428374060035,0,0.0450999846571154,0,0,0.000654489529972595,0.000595218702431863,1.69576348909852e-07,0.0105570468827891,0.019529359859448,0.0137896814978722,2.27825702122085,0.0446282389421642,0.00447049166530612,0.557203522684926,0.267159320675059,2.58180885403096e-05,0.267846911399222,0.0129830196350045,2.37467339981955
"RCP2.6_SFM","noAFM",0.0115608644599979,0.0821870180771096,0.0767768790034027,0.0218901018398746,1.84489273287282,1.57773011542204,3.66162498852819,0.882985026332838,0.02691896986847,0.0125502512402869,0.00833702673168216,0,0.0468008518181741,0,0,0.000655519405251624,0.000594164136477591,1.67880041742018e-07,0.0109649626220954,0.0194548815100984,0.0136537191134189,2.27815093803087,0.0426189657999557,0.0044644080605751,0.5571793725993,0.267067908924613,2.49169376880717e-05,0.267670498752501,0.0121113460013447,2.37160676989058
"REF_MFM","noAFM",0.0825492497696443,0.0874473927091214,0.0906416057001903,0.0240520903015731,3.4418329521002,1.62897701608856,7.45424477105374,0.906683318500529,0.0230643275362047,0.0152035878806342,0.00808510946847798,0,0.0521604795942059,0,0,0.000909747145089819,0.000565957937655233,1.82034277054231e-07,0.0122920452764113,0.00230924646532993,0.00410674798691184,0.208749294777644,0.00430898321472046,0,0.31256200812596,0.3060021750784,0.000268565425681834,0.155182291557872,0.00972820984694793,1.44410408290144
"REF_SFM","noAFM",0.0825359088456593,0.0874479737668539,0.0906196879021126,0.0240506089588222,3.44239865926598,1.62894483065096,7.45417348192789,0.906825905768315,0.0230854576419942,0.0171650255557726,0.00806385880891763,0,0.0452767634678634,0,0,0.000909961234141405,0.000496514752066801,1.81771490688473e-07,0.010629842432202,0.0023092691034141,0.00416736436389447,0.208748855127919,0.0048342162615674,0,0.312583839919286,0.30779918950575,0.000271623060754745,0.15554447459481,0.00983070366795944,1.44804109926095
"RCP2.6_MFM","AFMfree",0.0116076160437418,0.0833908954726972,0.0777368851236986,0.0223145730835979,1.84677700943274,1.57783185021097,3.66353252692808,0.883023617033591,0.0205609270837377,0.00974711581455437,0.00822795061967591,0.000803378693598629,0.032045322731599,0,0,0.000457412294281497,0.000344837523388834,1.30100615309908e-06,0.00777855862783006,0.0204143952689868,0.0137788958108073,2.27811221328739,0.0353072254960001,0.0045039200926389,0.557195822152513,0.268237196034867,3.14544158145613e-05,0.270014299753529,0.0163903536245449,2.39222159743004
"RCP2.6_SFM","AFMfree",0.0120184018192288,0.088551602435605,0.0811556727371179,0.0232433072810368,1.84900172331967,1.57880036809848,3.66442816469483,0.88345420166709,0.0215891165676104,0.0098649206587648,0.0086895868038178,0.000849707025953539,0.0346732286668685,0,0,0.000485693216634835,0.000341391712362099,1.14194767106253e-06,0,0.0217150844737234,0.0145934801418422,2.27949286823816,0.0344907307040298,0.00470013686175998,0.557468229232527,0.270314392364179,5.19114970569832e-05,0.272460745912105,0.0318270155666142,2.42100627339069
"REF_MFM","AFMfree",0.0853632364758085,0.0909198735563632,0.0931884477272651,0.0245636948531839,3.4426948450249,1.62873202994113,7.45390153720073,0.906821838699396,0.0172516397684004,0.0128503856043707,0.00781138752345127,0.000644574614629585,0.0328919027891393,0,0,0.000675209718594215,0.000380877792275126,1.8339040826451e-07,0.00805222417622776,0.0023060153871925,0.00416718234560242,0.208747004505849,0.00457010270470891,0,0.312580856481327,0.310626829498483,0.000305412528787657,0.157152410469501,0.0116061806566457,1.46110254492908
"REF_SFM","AFMfree",0.0874204914952518,0.0920720728450301,0.0942864503491746,0.0251620472487731,3.44266564108069,1.62874244710545,7.45385662297887,0.906757101377241,0.016770784902729,0.0126889266667427,0.00851737584204734,0.000687883480942423,0.0350910420685257,0,0,0.000712179324528115,0.000379214937820898,3.921545209208e-06,0.0106220549741114,0.00235390213531451,0.00433041801740389,0.208747784210147,0.00402596690451385,0,0.312587141700473,0.30910705377802,0.00046467392858426,0.156486756059365,0.020505978166961,1.45608932548883
"RCP2.6_MFM","AFM25",0.0115013663273661,0.0822205146262605,0.0768785446497712,0.0219919849609595,1.84649714467521,1.57778425990982,3.66292867732792,0.883063947200651,0.0183802591441752,0.0105285742631495,0.00830995113513038,0.000633626662231459,0.032753429378173,0,0,0.000976100389455857,0.00043293979335197,1.50910736703121e-06,0.00790688047244056,0.0195132878160012,0.0135500655305654,2.27818333576198,0.0381807258963461,0.00445488649699124,0.557187842326968,0.268107461799032,2.70754969517683e-05,0.269689567444555,0.0138774359324384,2.39078149767602
"RCP2.6_SFM","AFM25",0.011800078215517,0.0886331486431852,0.0809960569971436,0.0232764279640029,1.8449624134305,1.57774582874826,3.66150854419198,0.883020665797967,0.0216177737652732,0.0133188804706985,0.00896827316752227,0.000721593382238997,0.0397999881947724,0,0,0.000399538618587913,0.000524580669183679,3.84293753670597e-07,0.0095061573568148,0.0208755868660598,0.0147355793597108,2.27823430648768,0.0424748749323959,0.00469848224040114,0.557207884916855,0.267488655012227,4.95214257085637e-05,0.268805797823157,0.0312577358577401,2.38117540300542
