"Group","PDFx100","lower95","upper95","Year"
"RCP2.6",10.6593626620189,0,0,"2020"
"REF",10.6638979789782,0,0,"2020"
"RCP2.6",10.5647819148794,0,0,"2030"
"REF",11.1295132669509,0,0,"2030"
"RCP2.6",10.6131688125729,0,0,"2040"
"REF",11.4848962972286,0,0,"2040"
"RCP2.6",10.633031779122,0,0,"2050"
"REF",11.7581358518729,0,0,"2050"
"RCP2.6",10.6258644181987,0,0,"2060"
"REF",12.0065461432395,0,0,"2060"
"RCP2.6",10.6627225663018,0,0,"2070"
"REF",12.1870261478893,0,0,"2070"
"RCP2.6",10.7618780780151,0,0,"2080"
"REF",12.2864294526155,0,0,"2080"
"RCP2.6",10.8218946185226,0,0,"2090"
"REF",12.341435914224,0,0,"2090"
"RCP2.6",10.7391965593107,0,0,"2100"
"REF",12.3647509906555,0,0,"2100"
