Ecoregion,Annual_median,Permanent_median,Pasture_median,Urban_median,ClearCut_median,Retention_median,PlantationFuel_median,Plantation_median,SelectionSystem_median,SelectiveLogging_median,Afforested_median,ForExtensive_median,ForIntensive_median
AA0101,8.42E-14,7.68E-14,3.38E-14,NaN,4.49E-14,2.83E-14,4.49E-14,4.49E-14,2.83E-14,2.83E-14,0.00E+00,2.83E-14,4.49E-14
AA0102,4.65E-14,3.72E-14,1.56E-14,6.90E-14,2.87E-14,1.02E-14,2.87E-14,2.87E-14,1.02E-14,1.02E-14,0.00E+00,1.02E-14,2.87E-14
AA0103,8.04E-14,5.58E-14,2.02E-14,1.26E-13,5.30E-14,2.32E-14,5.30E-14,5.30E-14,2.32E-14,2.32E-14,0.00E+00,2.32E-14,5.30E-14
AA0104,2.54E-14,2.11E-14,6.52E-15,4.15E-14,1.80E-14,6.00E-15,1.80E-14,1.80E-14,6.00E-15,6.00E-15,0.00E+00,6.00E-15,1.80E-14
AA0105,1.25E-14,8.95E-15,6.41E-15,2.28E-14,7.40E-15,4.13E-15,7.40E-15,7.40E-15,4.13E-15,4.13E-15,0.00E+00,4.13E-15,7.40E-15
AA0106,2.26E-14,1.93E-14,6.34E-15,3.71E-14,1.51E-14,6.45E-15,1.51E-14,1.51E-14,6.45E-15,6.45E-15,0.00E+00,6.45E-15,1.51E-14
AA0107,1.52E-14,1.30E-14,7.71E-15,2.72E-14,9.46E-15,4.55E-15,9.46E-15,9.46E-15,4.55E-15,4.55E-15,0.00E+00,4.55E-15,9.46E-15
AA0108,3.04E-14,2.61E-14,2.87E-14,5.31E-14,2.13E-14,5.33E-15,2.13E-14,2.13E-14,5.33E-15,5.33E-15,0.00E+00,5.33E-15,2.13E-14
AA0109,NaN,NaN,0.00E+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00E+00,NaN,NaN
AA0110,1.74E-13,1.50E-13,9.85E-14,NaN,1.04E-13,5.40E-14,1.04E-13,1.04E-13,5.40E-14,5.40E-14,0.00E+00,5.40E-14,1.04E-13
AA0111,1.88E-14,1.61E-14,4.73E-15,3.10E-14,1.22E-14,5.53E-15,1.22E-14,1.22E-14,5.53E-15,5.53E-15,0.00E+00,5.53E-15,1.22E-14
AA0112,2.43E-14,2.12E-14,9.69E-15,NaN,1.60E-14,7.81E-15,1.60E-14,1.60E-14,7.81E-15,7.81E-15,0.00E+00,7.81E-15,1.60E-14
AA0113,1.34E-13,1.21E-13,7.25E-14,2.07E-13,5.77E-14,4.10E-14,5.77E-14,5.77E-14,4.10E-14,4.10E-14,0.00E+00,4.10E-14,5.77E-14
AA0114,NaN,NaN,7.17E-18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00E+00,NaN,NaN
AA0115,6.69E-15,5.64E-15,1.87E-15,1.07E-14,4.37E-15,1.96E-15,4.37E-15,4.37E-15,1.96E-15,1.96E-15,0.00E+00,1.96E-15,4.37E-15
AA0116,1.84E-14,1.12E-14,5.87E-15,3.07E-14,1.10E-14,7.40E-15,1.10E-14,1.10E-14,7.40E-15,7.40E-15,0.00E+00,7.40E-15,1.10E-14
AA0117,1.53E-14,1.05E-14,9.36E-15,2.62E-14,7.98E-15,4.93E-15,7.98E-15,7.98E-15,4.93E-15,4.93E-15,0.00E+00,4.93E-15,7.98E-15
AA0118,2.82E-14,1.64E-14,7.03E-15,4.49E-14,1.71E-14,9.99E-15,1.71E-14,1.71E-14,9.99E-15,9.99E-15,0.00E+00,9.99E-15,1.71E-14
AA0119,6.23E-14,5.02E-14,1.92E-14,1.10E-13,3.48E-14,2.19E-14,3.48E-14,3.48E-14,2.19E-14,2.19E-14,0.00E+00,2.19E-14,3.48E-14
