"Group","PDFx100","lower95","upper95","Year"
"RCP2.6",11.4417095521605,0,0,"2020"
"REF",11.4415541628704,0,0,"2020"
"RCP2.6",11.3133794445139,0,0,"2030"
"REF",11.8804037374504,0,0,"2030"
"RCP2.6",11.3425848284424,0,0,"2040"
"REF",12.2405750714974,0,0,"2040"
"RCP2.6",11.3271074009187,0,0,"2050"
"REF",12.5184285230867,0,0,"2050"
"RCP2.6",11.2754946969732,0,0,"2060"
"REF",12.7577254975981,0,0,"2060"
"RCP2.6",11.2557025547099,0,0,"2070"
"REF",12.8982749942339,0,0,"2070"
"RCP2.6",11.2960610094539,0,0,"2080"
"REF",12.9670614726647,0,0,"2080"
"RCP2.6",11.2406867867525,0,0,"2090"
"REF",13.0168096326871,0,0,"2090"
"RCP2.6",11.0237505369694,0,0,"2100"
"REF",13.0403396662757,0,0,"2100"
